time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-31 06:50:04,235,0,MNIST,USPS,Baseline,Adam,256,0.001,0.9490,0.9874,0.7140,0.2539,0.0000,0.0000
2019-07-31 06:50:16,470,1,MNIST,USPS,Baseline,Adam,256,0.001,0.9844,0.9900,0.6906,0.0563,0.0000,0.0000
2019-07-31 06:50:28,705,2,MNIST,USPS,Baseline,Adam,256,0.001,0.9870,0.9918,0.7170,0.0446,0.0000,0.0000
2019-07-31 06:50:40,940,3,MNIST,USPS,Baseline,Adam,256,0.001,0.9883,0.9914,0.7942,0.0398,0.0000,0.0000
2019-07-31 06:50:53,1175,4,MNIST,USPS,Baseline,Adam,256,0.001,0.9894,0.9926,0.8241,0.0368,0.0000,0.0000
2019-07-31 06:51:06,1410,5,MNIST,USPS,Baseline,Adam,256,0.001,0.9906,0.9925,0.7927,0.0330,0.0000,0.0000
2019-07-31 06:51:18,1645,6,MNIST,USPS,Baseline,Adam,256,0.001,0.9909,0.9934,0.8391,0.0317,0.0000,0.0000
2019-07-31 06:51:31,1880,7,MNIST,USPS,Baseline,Adam,256,0.001,0.9914,0.9943,0.8221,0.0303,0.0000,0.0000
2019-07-31 06:51:43,2115,8,MNIST,USPS,Baseline,Adam,256,0.001,0.9914,0.9936,0.7927,0.0293,0.0000,0.0000
2019-07-31 06:51:55,2350,9,MNIST,USPS,Baseline,Adam,256,0.001,0.9921,0.9941,0.8231,0.0277,0.0000,0.0000
2019-07-31 06:52:08,2585,10,MNIST,USPS,Baseline,Adam,256,0.001,0.9915,0.9937,0.8142,0.0293,0.0000,0.0000
2019-07-31 06:52:20,2820,11,MNIST,USPS,Baseline,Adam,256,0.001,0.9925,0.9938,0.7344,0.0269,0.0000,0.0000
2019-07-31 06:52:33,3055,12,MNIST,USPS,Baseline,Adam,256,0.001,0.9928,0.9942,0.7429,0.0258,0.0000,0.0000
2019-07-31 06:52:45,3290,13,MNIST,USPS,Baseline,Adam,256,0.001,0.9932,0.9931,0.7020,0.0253,0.0000,0.0000
2019-07-31 06:52:57,3525,14,MNIST,USPS,Baseline,Adam,256,0.001,0.9928,0.9933,0.8072,0.0254,0.0000,0.0000
2019-07-31 06:53:10,3760,15,MNIST,USPS,Baseline,Adam,256,0.001,0.9922,0.9882,0.8201,0.0265,0.0000,0.0000
2019-07-31 06:53:22,3995,16,MNIST,USPS,Baseline,Adam,256,0.001,0.9931,0.9940,0.8022,0.0249,0.0000,0.0000
2019-07-31 06:53:35,4230,17,MNIST,USPS,Baseline,Adam,256,0.001,0.9937,0.9942,0.7942,0.0240,0.0000,0.0000
2019-07-31 06:53:47,4465,18,MNIST,USPS,Baseline,Adam,256,0.001,0.9937,0.9939,0.8072,0.0240,0.0000,0.0000
2019-07-31 06:53:59,4700,19,MNIST,USPS,Baseline,Adam,256,0.001,0.9934,0.9951,0.7628,0.0232,0.0000,0.0000
2019-07-31 06:54:12,4935,20,MNIST,USPS,Baseline,Adam,256,0.001,0.9933,0.9932,0.6746,0.0238,0.0000,0.0000
2019-07-31 06:54:25,5170,21,MNIST,USPS,Baseline,Adam,256,0.001,0.9936,0.9934,0.8276,0.0231,0.0000,0.0000
2019-07-31 06:54:37,5405,22,MNIST,USPS,Baseline,Adam,256,0.001,0.9934,0.9942,0.7738,0.0235,0.0000,0.0000
2019-07-31 06:54:50,5640,23,MNIST,USPS,Baseline,Adam,256,0.001,0.9938,0.9941,0.7334,0.0220,0.0000,0.0000
2019-07-31 06:55:02,5875,24,MNIST,USPS,Baseline,Adam,256,0.001,0.9939,0.9940,0.7877,0.0220,0.0000,0.0000
2019-07-31 06:55:14,6110,25,MNIST,USPS,Baseline,Adam,256,0.001,0.9937,0.9925,0.8057,0.0225,0.0000,0.0000
2019-07-31 06:55:27,6345,26,MNIST,USPS,Baseline,Adam,256,0.001,0.9941,0.9930,0.7623,0.0210,0.0000,0.0000
2019-07-31 06:55:39,6580,27,MNIST,USPS,Baseline,Adam,256,0.001,0.9942,0.9939,0.6163,0.0214,0.0000,0.0000
2019-07-31 06:55:52,6815,28,MNIST,USPS,Baseline,Adam,256,0.001,0.9945,0.9949,0.7743,0.0204,0.0000,0.0000
2019-07-31 06:56:04,7050,29,MNIST,USPS,Baseline,Adam,256,0.001,0.9938,0.9948,0.7314,0.0215,0.0000,0.0000
2019-07-31 06:56:16,7285,30,MNIST,USPS,Baseline,Adam,256,0.001,0.9943,0.9930,0.8166,0.0210,0.0000,0.0000
2019-07-31 06:56:29,7520,31,MNIST,USPS,Baseline,Adam,256,0.001,0.9948,0.9929,0.7688,0.0196,0.0000,0.0000
2019-07-31 06:56:41,7755,32,MNIST,USPS,Baseline,Adam,256,0.001,0.9934,0.9937,0.7280,0.0228,0.0000,0.0000
2019-07-31 06:56:54,7990,33,MNIST,USPS,Baseline,Adam,256,0.001,0.9945,0.9936,0.8117,0.0202,0.0000,0.0000
2019-07-31 06:57:06,8225,34,MNIST,USPS,Baseline,Adam,256,0.001,0.9952,0.9941,0.7838,0.0188,0.0000,0.0000
2019-07-31 06:57:19,8460,35,MNIST,USPS,Baseline,Adam,256,0.001,0.9944,0.9936,0.8077,0.0212,0.0000,0.0000
2019-07-31 06:57:31,8695,36,MNIST,USPS,Baseline,Adam,256,0.001,0.9944,0.9925,0.7294,0.0198,0.0000,0.0000
2019-07-31 06:57:43,8930,37,MNIST,USPS,Baseline,Adam,256,0.001,0.9947,0.9946,0.7708,0.0196,0.0000,0.0000
2019-07-31 06:57:56,9165,38,MNIST,USPS,Baseline,Adam,256,0.001,0.9948,0.9944,0.8181,0.0191,0.0000,0.0000
2019-07-31 06:58:09,9400,39,MNIST,USPS,Baseline,Adam,256,0.001,0.9948,0.9937,0.7289,0.0193,0.0000,0.0000
2019-07-31 06:58:21,9635,40,MNIST,USPS,Baseline,Adam,256,0.001,0.9944,0.9939,0.7608,0.0197,0.0000,0.0000
2019-07-31 06:58:33,9870,41,MNIST,USPS,Baseline,Adam,256,0.001,0.9949,0.9943,0.7773,0.0192,0.0000,0.0000
2019-07-31 06:58:46,10105,42,MNIST,USPS,Baseline,Adam,256,0.001,0.9944,0.9919,0.7474,0.0194,0.0000,0.0000
2019-07-31 06:58:59,10340,43,MNIST,USPS,Baseline,Adam,256,0.001,0.9950,0.9948,0.7130,0.0183,0.0000,0.0000
2019-07-31 06:59:11,10575,44,MNIST,USPS,Baseline,Adam,256,0.001,0.9950,0.9943,0.7828,0.0194,0.0000,0.0000
2019-07-31 06:59:24,10810,45,MNIST,USPS,Baseline,Adam,256,0.001,0.9958,0.9952,0.7399,0.0167,0.0000,0.0000
2019-07-31 06:59:36,11045,46,MNIST,USPS,Baseline,Adam,256,0.001,0.9952,0.9948,0.7294,0.0183,0.0000,0.0000
2019-07-31 06:59:49,11280,47,MNIST,USPS,Baseline,Adam,256,0.001,0.9949,0.9916,0.7489,0.0181,0.0000,0.0000
2019-07-31 07:00:01,11515,48,MNIST,USPS,Baseline,Adam,256,0.001,0.9950,0.9929,0.7479,0.0189,0.0000,0.0000
2019-07-31 07:00:13,11750,49,MNIST,USPS,Baseline,Adam,256,0.001,0.9956,0.9943,0.7444,0.0171,0.0000,0.0000
2019-07-31 07:00:26,11985,50,MNIST,USPS,Baseline,Adam,256,0.001,0.9949,0.9941,0.7085,0.0184,0.0000,0.0000
2019-07-31 07:00:38,12220,51,MNIST,USPS,Baseline,Adam,256,0.001,0.9951,0.9934,0.7100,0.0183,0.0000,0.0000
2019-07-31 07:00:51,12455,52,MNIST,USPS,Baseline,Adam,256,0.001,0.9959,0.9942,0.7534,0.0160,0.0000,0.0000
2019-07-31 07:01:03,12690,53,MNIST,USPS,Baseline,Adam,256,0.001,0.9950,0.9934,0.7270,0.0188,0.0000,0.0000
2019-07-31 07:01:15,12925,54,MNIST,USPS,Baseline,Adam,256,0.001,0.9958,0.9951,0.7683,0.0166,0.0000,0.0000
2019-07-31 07:01:28,13160,55,MNIST,USPS,Baseline,Adam,256,0.001,0.9952,0.9932,0.7937,0.0178,0.0000,0.0000
2019-07-31 07:01:40,13395,56,MNIST,USPS,Baseline,Adam,256,0.001,0.9956,0.9932,0.7683,0.0172,0.0000,0.0000
2019-07-31 07:01:52,13630,57,MNIST,USPS,Baseline,Adam,256,0.001,0.9956,0.9950,0.7952,0.0174,0.0000,0.0000
