time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-31 12:02:34,29,0,MNIST,USPS,DANN,Adam,256,0.001,0.7888,0.9351,0.6567,1.7653,0.0000,0.0000
2019-07-31 12:02:45,58,1,MNIST,USPS,DANN,Adam,256,0.001,0.9465,0.9691,0.6697,1.2792,0.0000,0.0000
2019-07-31 12:02:55,87,2,MNIST,USPS,DANN,Adam,256,0.001,0.9634,0.9815,0.6054,1.1432,0.0000,0.0000
2019-07-31 12:03:06,116,3,MNIST,USPS,DANN,Adam,256,0.001,0.9717,0.9818,0.7115,1.0910,0.0000,0.0000
2019-07-31 12:03:16,145,4,MNIST,USPS,DANN,Adam,256,0.001,0.9786,0.9815,0.7304,1.0359,0.0000,0.0000
2019-07-31 12:03:26,174,5,MNIST,USPS,DANN,Adam,256,0.001,0.9810,0.9866,0.7155,1.0040,0.0000,0.0000
2019-07-31 12:03:36,203,6,MNIST,USPS,DANN,Adam,256,0.001,0.9828,0.9838,0.6492,0.9905,0.0000,0.0000
2019-07-31 12:03:46,232,7,MNIST,USPS,DANN,Adam,256,0.001,0.9826,0.9809,0.4813,0.9700,0.0000,0.0000
2019-07-31 12:03:55,261,8,MNIST,USPS,DANN,Adam,256,0.001,0.9818,0.9807,0.3244,0.9514,0.0000,0.0000
2019-07-31 12:04:04,290,9,MNIST,USPS,DANN,Adam,256,0.001,0.9824,0.9861,0.3607,0.9128,0.0000,0.0000
2019-07-31 12:04:14,319,10,MNIST,USPS,DANN,Adam,256,0.001,0.9793,0.9872,0.6921,0.8845,0.0000,0.0000
2019-07-31 12:04:23,348,11,MNIST,USPS,DANN,Adam,256,0.001,0.9829,0.9647,0.7688,0.9157,0.0000,0.0000
2019-07-31 12:04:33,377,12,MNIST,USPS,DANN,Adam,256,0.001,0.9795,0.9804,0.7270,0.9317,0.0000,0.0000
