time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2020-03-10 18:58:45,29,0,MNIST,USPS,MADA_test,Adam,256,0.001,0.7705,0.9181,0.5914,3.2601,0.0000,0.0000
2020-03-10 18:59:31,58,1,MNIST,USPS,MADA_test,Adam,256,0.001,0.9464,0.9688,0.6188,2.7805,0.0000,0.0000
2020-03-10 19:00:17,87,2,MNIST,USPS,MADA_test,Adam,256,0.001,0.9601,0.9687,0.7120,4.0491,0.0000,0.0000
2020-03-10 19:01:08,116,3,MNIST,USPS,MADA_test,Adam,256,0.001,0.9705,0.9811,0.7005,3.2965,0.0000,0.0000
2020-03-10 19:02:02,145,4,MNIST,USPS,MADA_test,Adam,256,0.001,0.9737,0.9696,0.7853,3.1851,0.0000,0.0000
2020-03-10 19:02:55,174,5,MNIST,USPS,MADA_test,Adam,256,0.001,0.9784,0.9847,0.7872,3.1219,0.0000,0.0000
2020-03-10 19:03:51,203,6,MNIST,USPS,MADA_test,Adam,256,0.001,0.9786,0.9789,0.7867,3.1747,0.0000,0.0000
2020-03-10 19:04:47,232,7,MNIST,USPS,MADA_test,Adam,256,0.001,0.9795,0.9726,0.8072,3.1698,0.0000,0.0000
2020-03-10 19:05:43,261,8,MNIST,USPS,MADA_test,Adam,256,0.001,0.9822,0.9859,0.7718,3.1903,0.0000,0.0000
2020-03-10 19:06:34,290,9,MNIST,USPS,MADA_test,Adam,256,0.001,0.9821,0.9763,0.7524,3.1785,0.0000,0.0000
2020-03-10 19:07:23,319,10,MNIST,USPS,MADA_test,Adam,256,0.001,0.9799,0.9869,0.8022,3.1791,0.0000,0.0000
2020-03-10 19:08:14,348,11,MNIST,USPS,MADA_test,Adam,256,0.001,0.9822,0.9855,0.7862,3.1964,0.0000,0.0000
2020-03-10 19:09:05,377,12,MNIST,USPS,MADA_test,Adam,256,0.001,0.9809,0.9857,0.8281,3.1868,0.0000,0.0000
2020-03-10 19:10:02,406,13,MNIST,USPS,MADA_test,Adam,256,0.001,0.9817,0.9736,0.8406,3.2178,0.0000,0.0000
2020-03-10 19:10:56,435,14,MNIST,USPS,MADA_test,Adam,256,0.001,0.9826,0.9824,0.7564,3.2233,0.0000,0.0000
2020-03-10 19:11:52,464,15,MNIST,USPS,MADA_test,Adam,256,0.001,0.9817,0.9839,0.7997,3.2167,0.0000,0.0000
2020-03-10 19:12:47,493,16,MNIST,USPS,MADA_test,Adam,256,0.001,0.9829,0.9853,0.7504,3.2365,0.0000,0.0000
2020-03-10 19:13:44,522,17,MNIST,USPS,MADA_test,Adam,256,0.001,0.9845,0.9757,0.7887,3.2348,0.0000,0.0000
2020-03-10 19:14:40,551,18,MNIST,USPS,MADA_test,Adam,256,0.001,0.9813,0.9876,0.8022,3.2486,0.0000,0.0000
2020-03-10 19:15:34,580,19,MNIST,USPS,MADA_test,Adam,256,0.001,0.9824,0.9717,0.8067,3.2579,0.0000,0.0000
2020-03-10 19:16:37,609,20,MNIST,USPS,MADA_test,Adam,256,0.001,0.9841,0.9846,0.8012,3.2487,0.0000,0.0000
2020-03-10 19:17:35,638,21,MNIST,USPS,MADA_test,Adam,256,0.001,0.9825,0.9886,0.7977,3.2519,0.0000,0.0000
