time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2020-03-21 23:15:00,29,0,MNIST,USPS,MCD,Adam,256,0.001,0.8544,0.8946,0.7484,0.7575,0.0000,0.0000
2020-03-21 23:16:48,58,1,MNIST,USPS,MCD,Adam,256,0.001,0.9639,0.9142,0.8396,0.1692,0.0000,0.0000
2020-03-21 23:18:22,87,2,MNIST,USPS,MCD,Adam,256,0.001,0.9720,0.8875,0.8929,0.1091,0.0000,0.0000
2020-03-21 23:20:05,116,3,MNIST,USPS,MCD,Adam,256,0.001,0.9796,0.9476,0.8824,0.0825,0.0000,0.0000
2020-03-21 23:21:50,145,4,MNIST,USPS,MCD,Adam,256,0.001,0.9778,0.9178,0.8989,0.0785,0.0000,0.0000
2020-03-21 23:23:33,174,5,MNIST,USPS,MCD,Adam,256,0.001,0.9792,0.9193,0.8949,0.0731,0.0000,0.0000
2020-03-21 23:25:19,203,6,MNIST,USPS,MCD,Adam,256,0.001,0.9821,0.9518,0.9018,0.0666,0.0000,0.0000
2020-03-21 23:27:02,232,7,MNIST,USPS,MCD,Adam,256,0.001,0.9831,0.9115,0.9173,0.0578,0.0000,0.0000
2020-03-21 23:28:45,261,8,MNIST,USPS,MCD,Adam,256,0.001,0.9820,0.9416,0.9148,0.0644,0.0000,0.0000
2020-03-21 23:30:28,290,9,MNIST,USPS,MCD,Adam,256,0.001,0.9843,0.9569,0.9268,0.0574,0.0000,0.0000
2020-03-21 23:32:11,319,10,MNIST,USPS,MCD,Adam,256,0.001,0.9818,0.9691,0.9203,0.0602,0.0000,0.0000
2020-03-21 23:33:54,348,11,MNIST,USPS,MCD,Adam,256,0.001,0.9824,0.9115,0.9103,0.0608,0.0000,0.0000
2020-03-21 23:35:38,377,12,MNIST,USPS,MCD,Adam,256,0.001,0.9859,0.9759,0.9173,0.0521,0.0000,0.0000
2020-03-21 23:37:22,406,13,MNIST,USPS,MCD,Adam,256,0.001,0.9850,0.9403,0.9283,0.0545,0.0000,0.0000
2020-03-21 23:39:10,435,14,MNIST,USPS,MCD,Adam,256,0.001,0.9848,0.9156,0.9332,0.0528,0.0000,0.0000
2020-03-21 23:41:13,464,15,MNIST,USPS,MCD,Adam,256,0.001,0.9835,0.9339,0.9243,0.0539,0.0000,0.0000
