time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-31 07:53:03,29,0,MNIST,USPS,MT,Adam,256,0.001,0.6234,0.9385,0.7180,1.4430,0.0000,0.0000
2019-07-31 07:53:10,58,1,MNIST,USPS,MT,Adam,256,0.001,0.8784,0.9657,0.8122,0.5958,0.0000,0.0000
2019-07-31 07:53:17,87,2,MNIST,USPS,MT,Adam,256,0.001,0.9267,0.9691,0.8660,0.3168,0.0000,0.0000
2019-07-31 07:53:24,116,3,MNIST,USPS,MT,Adam,256,0.001,0.9442,0.9701,0.9083,0.2206,0.0000,0.0000
2019-07-31 07:53:32,145,4,MNIST,USPS,MT,Adam,256,0.001,0.9539,0.9758,0.9103,0.1831,0.0000,0.0000
2019-07-31 07:53:38,174,5,MNIST,USPS,MT,Adam,256,0.001,0.9547,0.9788,0.9273,0.1584,0.0000,0.0000
2019-07-31 07:53:45,203,6,MNIST,USPS,MT,Adam,256,0.001,0.9595,0.9859,0.9307,0.1451,0.0000,0.0000
2019-07-31 07:53:52,232,7,MNIST,USPS,MT,Adam,256,0.001,0.9697,0.9825,0.9063,0.1185,0.0000,0.0000
2019-07-31 07:54:00,261,8,MNIST,USPS,MT,Adam,256,0.001,0.9624,0.9811,0.9467,0.1282,0.0000,0.0000
2019-07-31 07:54:07,290,9,MNIST,USPS,MT,Adam,256,0.001,0.9671,0.9843,0.9442,0.1136,0.0000,0.0000
2019-07-31 07:54:14,319,10,MNIST,USPS,MT,Adam,256,0.001,0.9709,0.9884,0.9427,0.0997,0.0000,0.0000
2019-07-31 07:54:21,348,11,MNIST,USPS,MT,Adam,256,0.001,0.9688,0.9844,0.9377,0.1057,0.0000,0.0000
2019-07-31 07:54:28,377,12,MNIST,USPS,MT,Adam,256,0.001,0.9714,0.9871,0.9437,0.1054,0.0000,0.0000
2019-07-31 07:54:35,406,13,MNIST,USPS,MT,Adam,256,0.001,0.9732,0.9883,0.9492,0.0956,0.0000,0.0000
2019-07-31 07:54:42,435,14,MNIST,USPS,MT,Adam,256,0.001,0.9763,0.9890,0.9377,0.0925,0.0000,0.0000
2019-07-31 07:54:49,464,15,MNIST,USPS,MT,Adam,256,0.001,0.9735,0.9915,0.9477,0.0927,0.0000,0.0000
2019-07-31 07:54:56,493,16,MNIST,USPS,MT,Adam,256,0.001,0.9706,0.9908,0.9402,0.0952,0.0000,0.0000
2019-07-31 07:55:02,522,17,MNIST,USPS,MT,Adam,256,0.001,0.9727,0.9909,0.9571,0.0907,0.0000,0.0000
2019-07-31 07:55:09,551,18,MNIST,USPS,MT,Adam,256,0.001,0.9784,0.9887,0.9482,0.0784,0.0000,0.0000
2019-07-31 07:55:16,580,19,MNIST,USPS,MT,Adam,256,0.001,0.9745,0.9844,0.9492,0.0889,0.0000,0.0000
2019-07-31 07:55:22,609,20,MNIST,USPS,MT,Adam,256,0.001,0.9764,0.9890,0.9512,0.0843,0.0000,0.0000
2019-07-31 07:55:30,638,21,MNIST,USPS,MT,Adam,256,0.001,0.9801,0.9902,0.9467,0.0723,0.0000,0.0000
2019-07-31 07:55:37,667,22,MNIST,USPS,MT,Adam,256,0.001,0.9791,0.9902,0.9576,0.0726,0.0000,0.0000
2019-07-31 07:55:44,696,23,MNIST,USPS,MT,Adam,256,0.001,0.9774,0.9888,0.9367,0.0786,0.0000,0.0000
2019-07-31 07:55:51,725,24,MNIST,USPS,MT,Adam,256,0.001,0.9780,0.9868,0.9377,0.0770,0.0000,0.0000
2019-07-31 07:55:58,754,25,MNIST,USPS,MT,Adam,256,0.001,0.9758,0.9900,0.9412,0.0828,0.0000,0.0000
2019-07-31 07:56:06,783,26,MNIST,USPS,MT,Adam,256,0.001,0.9791,0.9893,0.9532,0.0760,0.0000,0.0000
2019-07-31 07:56:13,812,27,MNIST,USPS,MT,Adam,256,0.001,0.9774,0.9875,0.9462,0.0744,0.0000,0.0000
2019-07-31 07:56:21,841,28,MNIST,USPS,MT,Adam,256,0.001,0.9768,0.9904,0.9517,0.0786,0.0000,0.0000
2019-07-31 07:56:28,870,29,MNIST,USPS,MT,Adam,256,0.001,0.9795,0.9877,0.9487,0.0741,0.0000,0.0000
2019-07-31 07:56:35,899,30,MNIST,USPS,MT,Adam,256,0.001,0.9791,0.9895,0.9367,0.0764,0.0000,0.0000
2019-07-31 07:56:42,928,31,MNIST,USPS,MT,Adam,256,0.001,0.9811,0.9874,0.9307,0.0704,0.0000,0.0000
2019-07-31 07:56:49,957,32,MNIST,USPS,MT,Adam,256,0.001,0.9844,0.9915,0.9512,0.0612,0.0000,0.0000
2019-07-31 07:56:55,986,33,MNIST,USPS,MT,Adam,256,0.001,0.9815,0.9915,0.9432,0.0641,0.0000,0.0000
2019-07-31 07:57:02,1015,34,MNIST,USPS,MT,Adam,256,0.001,0.9824,0.9934,0.9392,0.0698,0.0000,0.0000
2019-07-31 07:57:09,1044,35,MNIST,USPS,MT,Adam,256,0.001,0.9803,0.9916,0.9467,0.0672,0.0000,0.0000
2019-07-31 07:57:16,1073,36,MNIST,USPS,MT,Adam,256,0.001,0.9797,0.9883,0.9347,0.0726,0.0000,0.0000
2019-07-31 07:57:23,1102,37,MNIST,USPS,MT,Adam,256,0.001,0.9787,0.9885,0.9437,0.0767,0.0000,0.0000
2019-07-31 07:57:30,1131,38,MNIST,USPS,MT,Adam,256,0.001,0.9824,0.9901,0.9397,0.0668,0.0000,0.0000
2019-07-31 07:57:37,1160,39,MNIST,USPS,MT,Adam,256,0.001,0.9830,0.9924,0.9492,0.0655,0.0000,0.0000
2019-07-31 07:57:44,1189,40,MNIST,USPS,MT,Adam,256,0.001,0.9825,0.9901,0.9442,0.0678,0.0000,0.0000
2019-07-31 07:57:51,1218,41,MNIST,USPS,MT,Adam,256,0.001,0.9809,0.9921,0.9417,0.0693,0.0000,0.0000
2019-07-31 07:57:58,1247,42,MNIST,USPS,MT,Adam,256,0.001,0.9817,0.9924,0.9417,0.0699,0.0000,0.0000
