time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2020-03-14 16:07:20,29,0,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.8190,0.9412,0.5855,1.0674,0.0000,0.0000
2020-03-14 16:07:53,58,1,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9569,0.9505,0.6891,0.2796,0.0000,0.0000
2020-03-14 16:08:27,87,2,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9764,0.9744,0.7354,0.1583,0.0000,0.0000
2020-03-14 16:09:01,116,3,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9775,0.9582,0.7663,0.1377,0.0000,0.0000
2020-03-14 16:09:34,145,4,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9784,0.9815,0.7304,0.1326,0.0000,0.0000
2020-03-14 16:10:10,174,5,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9776,0.9792,0.7917,0.1364,0.0000,0.0000
2020-03-14 16:10:44,203,6,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9811,0.9753,0.7803,0.1329,0.0000,0.0000
2020-03-14 16:11:18,232,7,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9805,0.9882,0.7758,0.1426,0.0000,0.0000
2020-03-14 16:11:57,261,8,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9822,0.9859,0.7843,0.1416,0.0000,0.0000
2020-03-14 16:12:38,290,9,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9790,0.9861,0.7892,0.1554,0.0000,0.0000
2020-03-14 16:13:17,319,10,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9838,0.9878,0.7922,0.1433,0.0000,0.0000
2020-03-14 16:13:57,348,11,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9841,0.9689,0.8445,0.1497,0.0000,0.0000
2020-03-14 16:14:35,377,12,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9846,0.9809,0.7723,0.1612,0.0000,0.0000
2020-03-14 16:15:13,406,13,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9833,0.9765,0.8077,0.1655,0.0000,0.0000
2020-03-14 16:15:53,435,14,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9826,0.9593,0.7932,0.1736,0.0000,0.0000
2020-03-14 16:16:33,464,15,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9822,0.9603,0.7967,0.1731,0.0000,0.0000
2020-03-14 16:17:12,493,16,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9807,0.9828,0.8391,0.1893,0.0000,0.0000
2020-03-14 16:17:53,522,17,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9817,0.9831,0.7862,0.2028,0.0000,0.0000
2020-03-14 16:18:33,551,18,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9807,0.9806,0.7823,0.2003,0.0000,0.0000
2020-03-14 16:19:11,580,19,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9803,0.9870,0.7897,0.2196,0.0000,0.0000
2020-03-14 16:19:51,609,20,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9832,0.9853,0.8391,0.2116,0.0000,0.0000
2020-03-14 16:20:30,638,21,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9833,0.9721,0.8520,0.2168,0.0000,0.0000
2020-03-14 16:21:10,667,22,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9794,0.9821,0.7848,0.2259,0.0000,0.0000
2020-03-14 16:21:51,696,23,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9832,0.9888,0.7638,0.2251,0.0000,0.0000
2020-03-14 16:22:30,725,24,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9846,0.9850,0.8052,0.2304,0.0000,0.0000
2020-03-14 16:23:11,754,25,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9841,0.9587,0.8884,0.2375,0.0000,0.0000
2020-03-14 16:23:51,783,26,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9815,0.9776,0.7872,0.2381,0.0000,0.0000
2020-03-14 16:24:31,812,27,MNIST,USPS,MYMADA_BCEweight_entropy,Adam,256,0.001,0.9849,0.9821,0.8216,0.2320,0.0000,0.0000
