time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2020-03-17 12:52:11,29,0,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.8433,0.8933,0.6801,0.9556,0.0000,0.0000
2020-03-17 12:53:06,58,1,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9646,0.9565,0.7683,0.2504,0.0000,0.0000
2020-03-17 12:54:03,87,2,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9721,0.9761,0.8465,0.1735,0.0000,0.0000
2020-03-17 12:54:58,116,3,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9786,0.9493,0.8799,0.1484,0.0000,0.0000
2020-03-17 12:55:49,145,4,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9806,0.9677,0.8685,0.1466,0.0000,0.0000
2020-03-17 12:56:38,174,5,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9775,0.9632,0.8869,0.1508,0.0000,0.0000
2020-03-17 12:57:22,203,6,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9809,0.9687,0.9322,0.1523,0.0000,0.0000
2020-03-17 12:58:06,232,7,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9806,0.9814,0.9198,0.1660,0.0000,0.0000
2020-03-17 12:58:50,261,8,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9828,0.9699,0.9103,0.1686,0.0000,0.0000
2020-03-17 12:59:37,290,9,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9814,0.9533,0.9183,0.1738,0.0000,0.0000
2020-03-17 13:00:26,319,10,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9803,0.9783,0.9327,0.1801,0.0000,0.0000
2020-03-17 13:01:12,348,11,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9852,0.9545,0.9292,0.1791,0.0000,0.0000
2020-03-17 13:01:59,377,12,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9818,0.9738,0.9163,0.1930,0.0000,0.0000
2020-03-17 13:02:50,406,13,MNIST,USPS,MYMADA_BCEweight_entropyTrue_lateraugment,Adam,256,0.001,0.9817,0.9572,0.9243,0.2010,0.0000,0.0000
