time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2020-03-22 13:50:19,29,0,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.8433,0.8933,0.6801,0.9261,0.0000,0.0000
2020-03-22 13:51:25,58,1,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9644,0.9595,0.7653,0.2193,0.0000,0.0000
2020-03-22 13:52:31,87,2,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9725,0.9716,0.8470,0.1436,0.0000,0.0000
2020-03-22 13:53:34,116,3,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9782,0.9502,0.8804,0.1160,0.0000,0.0000
2020-03-22 13:54:40,145,4,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9814,0.9660,0.8710,0.1082,0.0000,0.0000
2020-03-22 13:55:46,174,5,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9772,0.9761,0.8769,0.1088,0.0000,0.0000
2020-03-22 13:56:48,203,6,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9810,0.9626,0.9307,0.0980,0.0000,0.0000
2020-03-22 13:57:51,232,7,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9806,0.9777,0.9228,0.1049,0.0000,0.0000
2020-03-22 13:58:53,261,8,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9830,0.9635,0.9103,0.1038,0.0000,0.0000
2020-03-22 13:59:55,290,9,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9799,0.9537,0.9153,0.1154,0.0000,0.0000
2020-03-22 14:00:58,319,10,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9817,0.9820,0.9322,0.1111,0.0000,0.0000
2020-03-22 14:02:02,348,11,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9832,0.9593,0.9287,0.1107,0.0000,0.0000
2020-03-22 14:03:05,377,12,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9829,0.9806,0.9208,0.1160,0.0000,0.0000
2020-03-22 14:04:10,406,13,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9850,0.9776,0.9347,0.1113,0.0000,0.0000
2020-03-22 14:05:13,435,14,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9832,0.9816,0.9223,0.1275,0.0000,0.0000
2020-03-22 14:06:18,464,15,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9856,0.9750,0.9143,0.1181,0.0000,0.0000
2020-03-22 14:07:32,493,16,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9859,0.9817,0.9307,0.1194,0.0000,0.0000
2020-03-22 14:09:08,522,17,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9840,0.9650,0.9302,0.1324,0.0000,0.0000
2020-03-22 14:10:48,551,18,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9860,0.9861,0.9352,0.1237,0.0000,0.0000
2020-03-22 14:12:33,580,19,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9867,0.9761,0.9412,0.1271,0.0000,0.0000
2020-03-22 14:14:22,609,20,MNIST,USPS,MYMADA_class_distance,Adam,256,0.001,0.9845,0.9887,0.9302,0.1373,0.0000,0.0000
