time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2020-03-22 13:52:07,29,0,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.8424,0.9050,0.6677,0.9399,0.0000,0.0000
2020-03-22 13:53:11,58,1,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9635,0.9548,0.7260,0.2264,0.0000,0.0000
2020-03-22 13:54:19,87,2,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9732,0.9577,0.7867,0.1438,0.0000,0.0000
2020-03-22 13:55:24,116,3,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9789,0.9514,0.8196,0.1192,0.0000,0.0000
2020-03-22 13:56:30,145,4,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9779,0.9462,0.8127,0.1126,0.0000,0.0000
2020-03-22 13:57:34,174,5,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9764,0.9505,0.8201,0.1121,0.0000,0.0000
2020-03-22 13:58:38,203,6,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9801,0.9657,0.8445,0.1000,0.0000,0.0000
2020-03-22 13:59:42,232,7,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9815,0.9747,0.8585,0.1044,0.0000,0.0000
2020-03-22 14:00:45,261,8,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9811,0.9617,0.8505,0.1055,0.0000,0.0000
2020-03-22 14:01:50,290,9,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9779,0.9509,0.8440,0.1134,0.0000,0.0000
2020-03-22 14:02:54,319,10,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9805,0.9800,0.8640,0.1127,0.0000,0.0000
2020-03-22 14:03:59,348,11,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9828,0.9221,0.8595,0.1109,0.0000,0.0000
2020-03-22 14:05:03,377,12,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9826,0.9744,0.8545,0.1148,0.0000,0.0000
2020-03-22 14:06:08,406,13,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9817,0.9793,0.8729,0.1143,0.0000,0.0000
2020-03-22 14:07:12,435,14,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9822,0.9696,0.8764,0.1204,0.0000,0.0000
2020-03-22 14:08:15,464,15,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9864,0.9689,0.8580,0.1077,0.0000,0.0000
2020-03-22 14:09:16,493,16,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9837,0.9859,0.8695,0.1224,0.0000,0.0000
2020-03-22 14:10:21,522,17,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9820,0.9777,0.8665,0.1322,0.0000,0.0000
2020-03-22 14:11:48,551,18,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9859,0.9722,0.8849,0.1189,0.0000,0.0000
2020-03-22 14:13:21,580,19,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9841,0.9477,0.8680,0.1260,0.0000,0.0000
2020-03-22 14:15:04,609,20,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9846,0.9849,0.8610,0.1314,0.0000,0.0000
2020-03-22 14:16:57,638,21,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9829,0.9232,0.8934,0.1388,0.0000,0.0000
2020-03-22 14:19:15,667,22,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9818,0.9667,0.8784,0.1424,0.0000,0.0000
2020-03-22 14:21:48,696,23,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9849,0.9655,0.8774,0.1401,0.0000,0.0000
2020-03-22 14:24:46,725,24,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9824,0.9219,0.8710,0.1488,0.0000,0.0000
2020-03-22 14:28:19,754,25,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9850,0.9711,0.8894,0.1486,0.0000,0.0000
2020-03-22 14:32:08,783,26,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9876,0.9809,0.8904,0.1493,0.0000,0.0000
2020-03-22 14:36:03,812,27,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9877,0.9822,0.8834,0.1508,0.0000,0.0000
2020-03-22 14:40:04,841,28,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9863,0.9515,0.8814,0.1554,0.0000,0.0000
2020-03-22 14:44:11,870,29,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9848,0.9746,0.8754,0.1611,0.0000,0.0000
2020-03-22 14:48:24,899,30,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9824,0.9657,0.8919,0.1716,0.0000,0.0000
2020-03-22 14:52:52,928,31,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9864,0.9745,0.9033,0.1577,0.0000,0.0000
2020-03-22 14:57:39,957,32,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9857,0.9641,0.9003,0.1656,0.0000,0.0000
2020-03-22 15:02:37,986,33,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9849,0.9848,0.8734,0.1719,0.0000,0.0000
2020-03-22 15:07:43,1015,34,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9863,0.9782,0.8999,0.1670,0.0000,0.0000
2020-03-22 15:12:55,1044,35,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9880,0.9634,0.8969,0.1622,0.0000,0.0000
2020-03-22 15:18:20,1073,36,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9821,0.9630,0.8834,0.1782,0.0000,0.0000
2020-03-22 15:23:51,1102,37,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9865,0.9795,0.8485,0.1671,0.0000,0.0000
2020-03-22 15:29:29,1131,38,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9871,0.9746,0.9038,0.1680,0.0000,0.0000
2020-03-22 15:35:13,1160,39,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9899,0.9522,0.9003,0.1659,0.0000,0.0000
2020-03-22 15:40:59,1189,40,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9860,0.9530,0.8754,0.1730,0.0000,0.0000
2020-03-22 15:46:49,1218,41,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9859,0.9749,0.8989,0.1767,0.0000,0.0000
2020-03-22 15:52:43,1247,42,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9867,0.9805,0.8759,0.1731,0.0000,0.0000
2020-03-22 15:58:44,1276,43,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9872,0.9806,0.8839,0.1694,0.0000,0.0000
2020-03-22 16:04:49,1305,44,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9881,0.9856,0.9028,0.1728,0.0000,0.0000
2020-03-22 16:10:57,1334,45,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9886,0.9485,0.9302,0.1692,0.0000,0.0000
2020-03-22 16:17:08,1363,46,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9880,0.9718,0.8929,0.1700,0.0000,0.0000
2020-03-22 16:23:20,1392,47,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9856,0.9841,0.8909,0.1767,0.0000,0.0000
2020-03-22 16:29:38,1421,48,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9852,0.9749,0.8899,0.1812,0.0000,0.0000
2020-03-22 16:36:10,1450,49,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9867,0.9788,0.9088,0.1723,0.0000,0.0000
2020-03-22 16:42:40,1479,50,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9864,0.9663,0.8944,0.1759,0.0000,0.0000
2020-03-22 16:49:21,1508,51,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9872,0.9840,0.9028,0.1723,0.0000,0.0000
2020-03-22 16:56:09,1537,52,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9868,0.9842,0.8924,0.1757,0.0000,0.0000
2020-03-22 17:02:57,1566,53,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9883,0.9759,0.8854,0.1753,0.0000,0.0000
2020-03-22 17:09:53,1595,54,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9865,0.9820,0.9088,0.1794,0.0000,0.0000
2020-03-22 17:16:58,1624,55,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9899,0.9812,0.8944,0.1693,0.0000,0.0000
2020-03-22 17:24:08,1653,56,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9875,0.9569,0.8864,0.1764,0.0000,0.0000
2020-03-22 17:31:23,1682,57,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9877,0.9635,0.9048,0.1749,0.0000,0.0000
2020-03-22 17:38:42,1711,58,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9881,0.9790,0.8789,0.1739,0.0000,0.0000
2020-03-22 17:46:04,1740,59,MNIST,USPS,MYMADA_domain_distance,Adam,256,0.001,0.9868,0.9663,0.9093,0.1810,0.0000,0.0000
