time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2020-03-22 10:26:02,29,0,MNIST,USPS,MYMCD,Adam,256,0.001,0.4239,0.8159,0.7663,0.8732,0.0000,0.0000
2020-03-22 10:27:51,58,1,MNIST,USPS,MYMCD,Adam,256,0.001,0.4829,0.8255,0.8032,0.2126,0.0000,0.0000
2020-03-22 10:29:40,87,2,MNIST,USPS,MYMCD,Adam,256,0.001,0.4817,0.8517,0.8535,0.1501,0.0000,0.0000
2020-03-22 10:31:27,116,3,MNIST,USPS,MYMCD,Adam,256,0.001,0.4867,0.8326,0.8391,0.1175,0.0000,0.0000
2020-03-22 10:33:15,145,4,MNIST,USPS,MYMCD,Adam,256,0.001,0.4876,0.9262,0.8884,0.1103,0.0000,0.0000
2020-03-22 10:34:59,174,5,MNIST,USPS,MYMCD,Adam,256,0.001,0.4889,0.9121,0.9178,0.1091,0.0000,0.0000
2020-03-22 10:36:44,203,6,MNIST,USPS,MYMCD,Adam,256,0.001,0.4879,0.9309,0.8914,0.0973,0.0000,0.0000
2020-03-22 10:38:30,232,7,MNIST,USPS,MYMCD,Adam,256,0.001,0.4890,0.9219,0.9163,0.1124,0.0000,0.0000
2020-03-22 10:40:16,261,8,MNIST,USPS,MYMCD,Adam,256,0.001,0.4889,0.6082,0.9238,0.1070,0.0000,0.0000
2020-03-22 10:42:16,290,9,MNIST,USPS,MYMCD,Adam,256,0.001,0.4885,0.9255,0.8450,0.1169,0.0000,0.0000
2020-03-22 10:44:25,319,10,MNIST,USPS,MYMCD,Adam,256,0.001,0.4886,0.7994,0.8874,0.1070,0.0000,0.0000
2020-03-22 10:46:41,348,11,MNIST,USPS,MYMCD,Adam,256,0.001,0.4887,0.9362,0.9033,0.1083,0.0000,0.0000
2020-03-22 10:49:22,377,12,MNIST,USPS,MYMCD,Adam,256,0.001,0.4886,0.9430,0.8291,0.1076,0.0000,0.0000
2020-03-22 10:52:13,406,13,MNIST,USPS,MYMCD,Adam,256,0.001,0.4888,0.9453,0.7763,0.1089,0.0000,0.0000
2020-03-22 10:55:15,435,14,MNIST,USPS,MYMCD,Adam,256,0.001,0.4892,0.9101,0.9278,0.1076,0.0000,0.0000
