time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2020-03-20 15:20:11,29,0,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.8226,0.9422,0.5979,1.0431,0.0000,0.0000
2020-03-20 15:20:44,58,1,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9584,0.9480,0.7135,0.2648,0.0000,0.0000
2020-03-20 15:21:17,87,2,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9752,0.9726,0.7534,0.1422,0.0000,0.0000
2020-03-20 15:21:50,116,3,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9783,0.9610,0.7788,0.1201,0.0000,0.0000
2020-03-20 15:22:30,145,4,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9787,0.9789,0.7588,0.1093,0.0000,0.0000
2020-03-20 15:23:06,174,5,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9779,0.9761,0.7982,0.1064,0.0000,0.0000
2020-03-20 15:23:44,203,6,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9818,0.9712,0.7912,0.0936,0.0000,0.0000
2020-03-20 15:24:23,232,7,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9822,0.9900,0.7877,0.0950,0.0000,0.0000
2020-03-20 15:25:04,261,8,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9834,0.9882,0.7982,0.0939,0.0000,0.0000
2020-03-20 15:25:43,290,9,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9799,0.9834,0.8196,0.1058,0.0000,0.0000
2020-03-20 15:26:19,319,10,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9845,0.9881,0.7902,0.0943,0.0000,0.0000
2020-03-20 15:26:56,348,11,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9853,0.9773,0.8261,0.0980,0.0000,0.0000
2020-03-20 15:27:32,377,12,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9836,0.9759,0.8166,0.1045,0.0000,0.0000
2020-03-20 15:28:09,406,13,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9838,0.9796,0.8450,0.0994,0.0000,0.0000
2020-03-20 15:28:45,435,14,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9860,0.9789,0.8356,0.1003,0.0000,0.0000
2020-03-20 15:29:22,464,15,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9852,0.9893,0.8296,0.0969,0.0000,0.0000
2020-03-20 15:29:59,493,16,MNIST,USPS,MY_nodetach,Adam,256,0.001,0.9842,0.9892,0.8475,0.1064,0.0000,0.0000
