time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2020-03-20 15:25:51,29,0,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.8190,0.9412,0.5855,1.0456,0.0000,0.0000
2020-03-20 15:26:27,58,1,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9574,0.9466,0.6886,0.2646,0.0000,0.0000
2020-03-20 15:27:04,87,2,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9760,0.9727,0.7414,0.1433,0.0000,0.0000
2020-03-20 15:27:40,116,3,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9775,0.9594,0.7554,0.1210,0.0000,0.0000
2020-03-20 15:28:16,145,4,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9783,0.9814,0.7334,0.1111,0.0000,0.0000
2020-03-20 15:28:52,174,5,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9770,0.9758,0.7738,0.1094,0.0000,0.0000
2020-03-20 15:29:29,203,6,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9824,0.9757,0.7598,0.0950,0.0000,0.0000
2020-03-20 15:30:05,232,7,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9810,0.9887,0.7499,0.0975,0.0000,0.0000
2020-03-20 15:30:42,261,8,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9830,0.9865,0.7668,0.0948,0.0000,0.0000
2020-03-20 15:31:18,290,9,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9794,0.9835,0.7673,0.1089,0.0000,0.0000
2020-03-20 15:31:54,319,10,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9848,0.9847,0.7917,0.0981,0.0000,0.0000
2020-03-20 15:32:29,348,11,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9872,0.9701,0.8276,0.0956,0.0000,0.0000
2020-03-20 15:33:05,377,12,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9842,0.9775,0.7778,0.1033,0.0000,0.0000
2020-03-20 15:33:41,406,13,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9832,0.9841,0.8251,0.0991,0.0000,0.0000
2020-03-20 15:34:16,435,14,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9863,0.9830,0.8132,0.0990,0.0000,0.0000
2020-03-20 15:34:52,464,15,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9856,0.9886,0.8042,0.0948,0.0000,0.0000
2020-03-20 15:35:27,493,16,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9830,0.9889,0.8276,0.1076,0.0000,0.0000
2020-03-20 15:36:04,522,17,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9864,0.9893,0.8027,0.1018,0.0000,0.0000
2020-03-20 15:36:40,551,18,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9826,0.9888,0.7912,0.1114,0.0000,0.0000
2020-03-20 15:37:16,580,19,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9844,0.9887,0.7922,0.1110,0.0000,0.0000
2020-03-20 15:37:51,609,20,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9855,0.9863,0.8366,0.1084,0.0000,0.0000
2020-03-20 15:38:26,638,21,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9875,0.9893,0.8645,0.1083,0.0000,0.0000
2020-03-20 15:39:00,667,22,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9842,0.9878,0.7932,0.1135,0.0000,0.0000
2020-03-20 15:39:34,696,23,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9846,0.9828,0.8326,0.1144,0.0000,0.0000
2020-03-20 15:40:08,725,24,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9875,0.9897,0.8171,0.1108,0.0000,0.0000
2020-03-20 15:40:42,754,25,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9855,0.9817,0.8710,0.1226,0.0000,0.0000
2020-03-20 15:41:16,783,26,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9846,0.9738,0.8595,0.1208,0.0000,0.0000
2020-03-20 15:41:51,812,27,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9871,0.9876,0.8226,0.1226,0.0000,0.0000
2020-03-20 15:42:27,841,28,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9836,0.9740,0.8640,0.1286,0.0000,0.0000
2020-03-20 15:43:08,870,29,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9824,0.9848,0.8799,0.1361,0.0000,0.0000
2020-03-20 15:44:01,899,30,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9838,0.9718,0.8421,0.1356,0.0000,0.0000
2020-03-20 15:45:08,928,31,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9834,0.9828,0.8261,0.1372,0.0000,0.0000
2020-03-20 15:46:31,957,32,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9853,0.9636,0.8301,0.1353,0.0000,0.0000
2020-03-20 15:48:03,986,33,MNIST,USPS,MY_withdetach,Adam,256,0.001,0.9849,0.9772,0.8545,0.1408,0.0000,0.0000
