time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-28 11:28:20,234,0,SVHN,MNIST,MADA,Adam,256,0.001,0.7172,0.9025,0.6095,2.2000,0.0000,0.0000
2019-07-28 11:32:09,468,1,SVHN,MNIST,MADA,Adam,256,0.001,0.9106,0.9143,0.6539,1.5707,0.0000,0.0000
2019-07-28 11:35:58,702,2,SVHN,MNIST,MADA,Adam,256,0.001,0.9227,0.9392,0.6680,1.5700,0.0000,0.0000
2019-07-28 11:39:47,936,3,SVHN,MNIST,MADA,Adam,256,0.001,0.9312,0.9330,0.7800,1.5663,0.0000,0.0000
2019-07-28 11:43:36,1170,4,SVHN,MNIST,MADA,Adam,256,0.001,0.9333,0.9361,0.6993,1.5702,0.0000,0.0000
2019-07-28 11:47:27,1404,5,SVHN,MNIST,MADA,Adam,256,0.001,0.9370,0.9394,0.7754,1.5687,0.0000,0.0000
2019-07-28 11:51:14,1638,6,SVHN,MNIST,MADA,Adam,256,0.001,0.9389,0.9391,0.7806,1.5686,0.0000,0.0000
2019-07-28 11:55:05,1872,7,SVHN,MNIST,MADA,Adam,256,0.001,0.9429,0.9450,0.8461,1.5645,0.0000,0.0000
2019-07-28 11:58:51,2106,8,SVHN,MNIST,MADA,Adam,256,0.001,0.9448,0.9368,0.8316,1.5643,0.0000,0.0000
2019-07-28 12:02:40,2340,9,SVHN,MNIST,MADA,Adam,256,0.001,0.9443,0.9482,0.8256,1.5630,0.0000,0.0000
2019-07-28 12:06:27,2574,10,SVHN,MNIST,MADA,Adam,256,0.001,0.9455,0.9362,0.8381,1.5640,0.0000,0.0000
2019-07-28 12:10:16,2808,11,SVHN,MNIST,MADA,Adam,256,0.001,0.9491,0.9438,0.8399,1.5548,0.0000,0.0000
2019-07-28 12:14:05,3042,12,SVHN,MNIST,MADA,Adam,256,0.001,0.9481,0.9437,0.8930,1.5578,0.0000,0.0000
2019-07-28 12:17:54,3276,13,SVHN,MNIST,MADA,Adam,256,0.001,0.9487,0.9496,0.8613,1.5546,0.0000,0.0000
2019-07-28 12:21:42,3510,14,SVHN,MNIST,MADA,Adam,256,0.001,0.9509,0.9448,0.8838,1.5511,0.0000,0.0000
2019-07-28 12:25:30,3744,15,SVHN,MNIST,MADA,Adam,256,0.001,0.9512,0.9511,0.8963,1.5497,0.0000,0.0000
2019-07-28 12:29:17,3978,16,SVHN,MNIST,MADA,Adam,256,0.001,0.9511,0.9515,0.8633,1.5514,0.0000,0.0000
2019-07-28 12:33:05,4212,17,SVHN,MNIST,MADA,Adam,256,0.001,0.9528,0.9476,0.8905,1.5461,0.0000,0.0000
2019-07-28 12:36:52,4446,18,SVHN,MNIST,MADA,Adam,256,0.001,0.9506,0.9421,0.8900,1.5519,0.0000,0.0000
2019-07-28 12:40:37,4680,19,SVHN,MNIST,MADA,Adam,256,0.001,0.9531,0.9495,0.8698,1.5467,0.0000,0.0000
2019-07-28 12:43:18,4914,20,SVHN,MNIST,MADA,Adam,256,0.001,0.9557,0.9479,0.8418,1.5378,0.0000,0.0000
2019-07-28 12:47:08,5148,21,SVHN,MNIST,MADA,Adam,256,0.001,0.9550,0.9456,0.8861,1.5391,0.0000,0.0000
2019-07-28 12:50:57,5382,22,SVHN,MNIST,MADA,Adam,256,0.001,0.9564,0.9512,0.8857,1.5424,0.0000,0.0000
