time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-31 06:50:29,29,0,USPS,MNIST,Baseline,Adam,256,0.001,0.8096,0.4818,0.4810,1.0025,0.0000,0.0000
2019-07-31 06:50:32,58,1,USPS,MNIST,Baseline,Adam,256,0.001,0.9572,0.9357,0.6987,0.2731,0.0000,0.0000
2019-07-31 06:50:36,87,2,USPS,MNIST,Baseline,Adam,256,0.001,0.9812,0.9581,0.6720,0.1220,0.0000,0.0000
2019-07-31 06:50:39,116,3,USPS,MNIST,Baseline,Adam,256,0.001,0.9861,0.9651,0.5867,0.0810,0.0000,0.0000
2019-07-31 06:50:42,145,4,USPS,MNIST,Baseline,Adam,256,0.001,0.9907,0.9661,0.6066,0.0586,0.0000,0.0000
2019-07-31 06:50:45,174,5,USPS,MNIST,Baseline,Adam,256,0.001,0.9923,0.9656,0.6541,0.0446,0.0000,0.0000
2019-07-31 06:50:49,203,6,USPS,MNIST,Baseline,Adam,256,0.001,0.9956,0.9671,0.6725,0.0358,0.0000,0.0000
2019-07-31 06:50:52,232,7,USPS,MNIST,Baseline,Adam,256,0.001,0.9940,0.9706,0.6761,0.0318,0.0000,0.0000
2019-07-31 06:50:55,261,8,USPS,MNIST,Baseline,Adam,256,0.001,0.9962,0.9651,0.7048,0.0263,0.0000,0.0000
2019-07-31 06:50:58,290,9,USPS,MNIST,Baseline,Adam,256,0.001,0.9963,0.9676,0.6206,0.0251,0.0000,0.0000
2019-07-31 06:51:01,319,10,USPS,MNIST,Baseline,Adam,256,0.001,0.9956,0.9701,0.7184,0.0231,0.0000,0.0000
2019-07-31 06:51:05,348,11,USPS,MNIST,Baseline,Adam,256,0.001,0.9962,0.9686,0.6251,0.0206,0.0000,0.0000
2019-07-31 06:51:08,377,12,USPS,MNIST,Baseline,Adam,256,0.001,0.9964,0.9711,0.6168,0.0203,0.0000,0.0000
2019-07-31 06:51:11,406,13,USPS,MNIST,Baseline,Adam,256,0.001,0.9974,0.9661,0.6208,0.0177,0.0000,0.0000
2019-07-31 06:51:14,435,14,USPS,MNIST,Baseline,Adam,256,0.001,0.9967,0.9696,0.6244,0.0172,0.0000,0.0000
2019-07-31 06:51:17,464,15,USPS,MNIST,Baseline,Adam,256,0.001,0.9978,0.9706,0.6515,0.0151,0.0000,0.0000
2019-07-31 06:51:21,493,16,USPS,MNIST,Baseline,Adam,256,0.001,0.9981,0.9696,0.5635,0.0140,0.0000,0.0000
2019-07-31 06:51:24,522,17,USPS,MNIST,Baseline,Adam,256,0.001,0.9982,0.9696,0.6174,0.0121,0.0000,0.0000
2019-07-31 06:51:27,551,18,USPS,MNIST,Baseline,Adam,256,0.001,0.9978,0.9696,0.6974,0.0149,0.0000,0.0000
2019-07-31 06:51:30,580,19,USPS,MNIST,Baseline,Adam,256,0.001,0.9973,0.9681,0.5601,0.0140,0.0000,0.0000
2019-07-31 06:51:33,609,20,USPS,MNIST,Baseline,Adam,256,0.001,0.9977,0.9716,0.5388,0.0147,0.0000,0.0000
2019-07-31 06:51:37,638,21,USPS,MNIST,Baseline,Adam,256,0.001,0.9981,0.9701,0.5341,0.0135,0.0000,0.0000
2019-07-31 06:51:40,667,22,USPS,MNIST,Baseline,Adam,256,0.001,0.9977,0.9701,0.6131,0.0134,0.0000,0.0000
2019-07-31 06:51:43,696,23,USPS,MNIST,Baseline,Adam,256,0.001,0.9959,0.9706,0.6782,0.0181,0.0000,0.0000
2019-07-31 06:51:46,725,24,USPS,MNIST,Baseline,Adam,256,0.001,0.9979,0.9676,0.6922,0.0133,0.0000,0.0000
2019-07-31 06:51:49,754,25,USPS,MNIST,Baseline,Adam,256,0.001,0.9981,0.9731,0.6249,0.0114,0.0000,0.0000
2019-07-31 06:51:52,783,26,USPS,MNIST,Baseline,Adam,256,0.001,0.9979,0.9661,0.6266,0.0120,0.0000,0.0000
2019-07-31 06:51:55,812,27,USPS,MNIST,Baseline,Adam,256,0.001,0.9973,0.9666,0.5788,0.0141,0.0000,0.0000
2019-07-31 06:51:59,841,28,USPS,MNIST,Baseline,Adam,256,0.001,0.9979,0.9711,0.7064,0.0120,0.0000,0.0000
2019-07-31 06:52:02,870,29,USPS,MNIST,Baseline,Adam,256,0.001,0.9986,0.9716,0.6951,0.0093,0.0000,0.0000
2019-07-31 06:52:05,899,30,USPS,MNIST,Baseline,Adam,256,0.001,0.9982,0.9716,0.6491,0.0103,0.0000,0.0000
2019-07-31 06:52:08,928,31,USPS,MNIST,Baseline,Adam,256,0.001,0.9975,0.9716,0.6139,0.0124,0.0000,0.0000
2019-07-31 06:52:12,957,32,USPS,MNIST,Baseline,Adam,256,0.001,0.9990,0.9751,0.6480,0.0098,0.0000,0.0000
2019-07-31 06:52:15,986,33,USPS,MNIST,Baseline,Adam,256,0.001,0.9986,0.9736,0.6991,0.0092,0.0000,0.0000
2019-07-31 06:52:18,1015,34,USPS,MNIST,Baseline,Adam,256,0.001,0.9988,0.9666,0.6339,0.0100,0.0000,0.0000
2019-07-31 06:52:21,1044,35,USPS,MNIST,Baseline,Adam,256,0.001,0.9982,0.9726,0.6516,0.0099,0.0000,0.0000
2019-07-31 06:52:24,1073,36,USPS,MNIST,Baseline,Adam,256,0.001,0.9978,0.9721,0.6272,0.0109,0.0000,0.0000
2019-07-31 06:52:27,1102,37,USPS,MNIST,Baseline,Adam,256,0.001,0.9986,0.9726,0.6322,0.0118,0.0000,0.0000
2019-07-31 06:52:31,1131,38,USPS,MNIST,Baseline,Adam,256,0.001,0.9989,0.9721,0.7101,0.0087,0.0000,0.0000
