time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-08-01 08:56:09,234,0,USPS,MNIST,MADA,Adam,256,0.001,0.9630,0.9636,0.8064,0.4870,0.0000,0.0000
2019-08-01 08:56:29,468,1,USPS,MNIST,MADA,Adam,256,0.001,0.9963,0.9736,0.8485,0.1187,0.0000,0.0000
2019-08-01 08:56:50,702,2,USPS,MNIST,MADA,Adam,256,0.001,0.9976,0.9681,0.8624,0.1111,0.0000,0.0000
2019-08-01 08:57:09,936,3,USPS,MNIST,MADA,Adam,256,0.001,0.9980,0.9726,0.8478,0.1239,0.0000,0.0000
2019-08-01 08:57:29,1170,4,USPS,MNIST,MADA,Adam,256,0.001,0.9979,0.9681,0.8647,0.1354,0.0000,0.0000
2019-08-01 08:57:50,1404,5,USPS,MNIST,MADA,Adam,256,0.001,0.9977,0.9666,0.8945,0.1572,0.0000,0.0000
2019-08-01 08:58:09,1638,6,USPS,MNIST,MADA,Adam,256,0.001,0.9964,0.9651,0.9328,0.2029,0.0000,0.0000
2019-08-01 08:58:29,1872,7,USPS,MNIST,MADA,Adam,256,0.001,0.9952,0.9601,0.9403,0.2866,0.0000,0.0000
2019-08-01 08:58:49,2106,8,USPS,MNIST,MADA,Adam,256,0.001,0.9947,0.9522,0.8942,0.3427,0.0000,0.0000
2019-08-01 08:59:09,2340,9,USPS,MNIST,MADA,Adam,256,0.001,0.9954,0.9407,0.9085,0.3471,0.0000,0.0000
2019-08-01 08:59:29,2574,10,USPS,MNIST,MADA,Adam,256,0.001,0.9950,0.9497,0.9488,0.3758,0.0000,0.0000
2019-08-01 08:59:49,2808,11,USPS,MNIST,MADA,Adam,256,0.001,0.9942,0.9058,0.8901,0.3920,0.0000,0.0000
2019-08-01 09:00:08,3042,12,USPS,MNIST,MADA,Adam,256,0.001,0.9938,0.9626,0.9429,0.4150,0.0000,0.0000
2019-08-01 09:00:28,3276,13,USPS,MNIST,MADA,Adam,256,0.001,0.9947,0.9337,0.9414,0.4063,0.0000,0.0000
2019-08-01 09:00:48,3510,14,USPS,MNIST,MADA,Adam,256,0.001,0.9944,0.9432,0.9623,0.4409,0.0000,0.0000
2019-08-01 09:01:08,3744,15,USPS,MNIST,MADA,Adam,256,0.001,0.9946,0.9482,0.9180,0.4715,0.0000,0.0000
2019-08-01 09:01:28,3978,16,USPS,MNIST,MADA,Adam,256,0.001,0.9946,0.9427,0.9424,0.4790,0.0000,0.0000
2019-08-01 09:01:48,4212,17,USPS,MNIST,MADA,Adam,256,0.001,0.9958,0.9273,0.9359,0.5079,0.0000,0.0000
2019-08-01 09:02:07,4446,18,USPS,MNIST,MADA,Adam,256,0.001,0.9958,0.9158,0.9435,0.5327,0.0000,0.0000
2019-08-01 09:02:27,4680,19,USPS,MNIST,MADA,Adam,256,0.001,0.9958,0.9557,0.9236,0.5442,0.0000,0.0000
2019-08-01 09:02:47,4914,20,USPS,MNIST,MADA,Adam,256,0.001,0.9964,0.9382,0.9322,0.5547,0.0000,0.0000
2019-08-01 09:03:07,5148,21,USPS,MNIST,MADA,Adam,256,0.001,0.9966,0.9243,0.9155,0.5796,0.0000,0.0000
2019-08-01 09:03:27,5382,22,USPS,MNIST,MADA,Adam,256,0.001,0.9971,0.9497,0.9238,0.5815,0.0000,0.0000
2019-08-01 09:03:47,5616,23,USPS,MNIST,MADA,Adam,256,0.001,0.9968,0.9467,0.8616,0.5952,0.0000,0.0000
2019-08-01 09:04:07,5850,24,USPS,MNIST,MADA,Adam,256,0.001,0.9971,0.9352,0.9509,0.6031,0.0000,0.0000
2019-08-01 09:04:26,6084,25,USPS,MNIST,MADA,Adam,256,0.001,0.9969,0.9567,0.8935,0.6062,0.0000,0.0000
2019-08-01 09:04:46,6318,26,USPS,MNIST,MADA,Adam,256,0.001,0.9971,0.9422,0.9456,0.6150,0.0000,0.0000
2019-08-01 09:05:06,6552,27,USPS,MNIST,MADA,Adam,256,0.001,0.9972,0.9183,0.9481,0.6159,0.0000,0.0000
2019-08-01 09:05:26,6786,28,USPS,MNIST,MADA,Adam,256,0.001,0.9971,0.9118,0.8918,0.6221,0.0000,0.0000
2019-08-01 09:05:46,7020,29,USPS,MNIST,MADA,Adam,256,0.001,0.9977,0.8909,0.9486,0.6252,0.0000,0.0000
2019-08-01 09:06:06,7254,30,USPS,MNIST,MADA,Adam,256,0.001,0.9973,0.9591,0.8927,0.6302,0.0000,0.0000
2019-08-01 09:06:26,7488,31,USPS,MNIST,MADA,Adam,256,0.001,0.9972,0.9033,0.9248,0.6297,0.0000,0.0000
2019-08-01 09:06:46,7722,32,USPS,MNIST,MADA,Adam,256,0.001,0.9977,0.9278,0.9139,0.6326,0.0000,0.0000
2019-08-01 09:07:06,7956,33,USPS,MNIST,MADA,Adam,256,0.001,0.9978,0.9412,0.8984,0.6377,0.0000,0.0000
2019-08-01 09:07:26,8190,34,USPS,MNIST,MADA,Adam,256,0.001,0.9980,0.9268,0.9063,0.6487,0.0000,0.0000
2019-08-01 09:07:46,8424,35,USPS,MNIST,MADA,Adam,256,0.001,0.9969,0.9517,0.9234,0.6502,0.0000,0.0000
2019-08-01 09:08:06,8658,36,USPS,MNIST,MADA,Adam,256,0.001,0.9974,0.9507,0.9274,0.6427,0.0000,0.0000
2019-08-01 09:08:25,8892,37,USPS,MNIST,MADA,Adam,256,0.001,0.9969,0.9482,0.8804,0.6507,0.0000,0.0000
2019-08-01 09:08:45,9126,38,USPS,MNIST,MADA,Adam,256,0.001,0.9970,0.9048,0.9380,0.6558,0.0000,0.0000
2019-08-01 09:09:05,9360,39,USPS,MNIST,MADA,Adam,256,0.001,0.9968,0.9562,0.9277,0.6637,0.0000,0.0000
2019-08-01 09:09:25,9594,40,USPS,MNIST,MADA,Adam,256,0.001,0.9975,0.9547,0.8687,0.6596,0.0000,0.0000
2019-08-01 09:09:44,9828,41,USPS,MNIST,MADA,Adam,256,0.001,0.9979,0.9302,0.9380,0.6586,0.0000,0.0000
2019-08-01 09:10:04,10062,42,USPS,MNIST,MADA,Adam,256,0.001,0.9978,0.9442,0.8814,0.6662,0.0000,0.0000
2019-08-01 09:10:24,10296,43,USPS,MNIST,MADA,Adam,256,0.001,0.9975,0.9258,0.9280,0.6626,0.0000,0.0000
2019-08-01 09:10:43,10530,44,USPS,MNIST,MADA,Adam,256,0.001,0.9982,0.9178,0.9153,0.6622,0.0000,0.0000
2019-08-01 09:11:04,10764,45,USPS,MNIST,MADA,Adam,256,0.001,0.9974,0.9447,0.9506,0.6609,0.0000,0.0000
2019-08-01 09:11:23,10998,46,USPS,MNIST,MADA,Adam,256,0.001,0.9975,0.9616,0.8971,0.6585,0.0000,0.0000
2019-08-01 09:11:43,11232,47,USPS,MNIST,MADA,Adam,256,0.001,0.9973,0.9552,0.9402,0.6699,0.0000,0.0000
2019-08-01 09:12:03,11466,48,USPS,MNIST,MADA,Adam,256,0.001,0.9973,0.9606,0.9239,0.6586,0.0000,0.0000
2019-08-01 09:12:23,11700,49,USPS,MNIST,MADA,Adam,256,0.001,0.9971,0.9123,0.9285,0.6605,0.0000,0.0000
2019-08-01 09:12:43,11934,50,USPS,MNIST,MADA,Adam,256,0.001,0.9975,0.9372,0.9483,0.6651,0.0000,0.0000
2019-08-01 09:13:02,12168,51,USPS,MNIST,MADA,Adam,256,0.001,0.9967,0.9427,0.9206,0.6506,0.0000,0.0000
2019-08-01 09:13:23,12402,52,USPS,MNIST,MADA,Adam,256,0.001,0.9979,0.9497,0.9384,0.6701,0.0000,0.0000
2019-08-01 09:13:42,12636,53,USPS,MNIST,MADA,Adam,256,0.001,0.9981,0.9218,0.9304,0.6723,0.0000,0.0000
2019-08-01 09:14:02,12870,54,USPS,MNIST,MADA,Adam,256,0.001,0.9980,0.9562,0.9027,0.6722,0.0000,0.0000
2019-08-01 09:14:22,13104,55,USPS,MNIST,MADA,Adam,256,0.001,0.9979,0.9462,0.9306,0.6748,0.0000,0.0000
2019-08-01 09:14:42,13338,56,USPS,MNIST,MADA,Adam,256,0.001,0.9978,0.9477,0.9281,0.6743,0.0000,0.0000
2019-08-01 09:15:02,13572,57,USPS,MNIST,MADA,Adam,256,0.001,0.9979,0.9527,0.9018,0.6764,0.0000,0.0000
2019-08-01 09:15:21,13806,58,USPS,MNIST,MADA,Adam,256,0.001,0.9979,0.9422,0.9258,0.6770,0.0000,0.0000
2019-08-01 09:15:42,14040,59,USPS,MNIST,MADA,Adam,256,0.001,0.9972,0.9631,0.9368,0.6695,0.0000,0.0000
2019-08-01 09:16:01,14274,60,USPS,MNIST,MADA,Adam,256,0.001,0.9978,0.9507,0.9532,0.6684,0.0000,0.0000
2019-08-01 09:16:21,14508,61,USPS,MNIST,MADA,Adam,256,0.001,0.9981,0.9636,0.9262,0.6810,0.0000,0.0000
2019-08-01 09:16:41,14742,62,USPS,MNIST,MADA,Adam,256,0.001,0.9981,0.9616,0.9350,0.6771,0.0000,0.0000
2019-08-01 09:17:01,14976,63,USPS,MNIST,MADA,Adam,256,0.001,0.9980,0.9362,0.9428,0.6796,0.0000,0.0000
2019-08-01 09:17:21,15210,64,USPS,MNIST,MADA,Adam,256,0.001,0.9982,0.9591,0.9317,0.6791,0.0000,0.0000
2019-08-01 09:17:41,15444,65,USPS,MNIST,MADA,Adam,256,0.001,0.9983,0.9537,0.9353,0.6811,0.0000,0.0000
2019-08-01 09:18:01,15678,66,USPS,MNIST,MADA,Adam,256,0.001,0.9978,0.9616,0.9343,0.6764,0.0000,0.0000
2019-08-01 09:18:20,15912,67,USPS,MNIST,MADA,Adam,256,0.001,0.9983,0.9537,0.9447,0.6779,0.0000,0.0000
2019-08-01 09:18:40,16146,68,USPS,MNIST,MADA,Adam,256,0.001,0.9985,0.9317,0.9441,0.6829,0.0000,0.0000
2019-08-01 09:19:00,16380,69,USPS,MNIST,MADA,Adam,256,0.001,0.9983,0.9173,0.9514,0.6787,0.0000,0.0000
2019-08-01 09:19:20,16614,70,USPS,MNIST,MADA,Adam,256,0.001,0.9983,0.9567,0.9540,0.6771,0.0000,0.0000
2019-08-01 09:19:40,16848,71,USPS,MNIST,MADA,Adam,256,0.001,0.9984,0.9422,0.9418,0.6837,0.0000,0.0000
2019-08-01 09:20:00,17082,72,USPS,MNIST,MADA,Adam,256,0.001,0.9977,0.9372,0.9321,0.6806,0.0000,0.0000
2019-08-01 09:20:20,17316,73,USPS,MNIST,MADA,Adam,256,0.001,0.9985,0.9442,0.9439,0.6825,0.0000,0.0000
2019-08-01 09:20:39,17550,74,USPS,MNIST,MADA,Adam,256,0.001,0.9980,0.9412,0.9119,0.6801,0.0000,0.0000
2019-08-01 09:20:59,17784,75,USPS,MNIST,MADA,Adam,256,0.001,0.9983,0.9432,0.9473,0.6814,0.0000,0.0000
2019-08-01 09:21:19,18018,76,USPS,MNIST,MADA,Adam,256,0.001,0.9981,0.9661,0.9388,0.6781,0.0000,0.0000
2019-08-01 09:21:38,18252,77,USPS,MNIST,MADA,Adam,256,0.001,0.9983,0.9472,0.9344,0.6827,0.0000,0.0000
2019-08-01 09:21:58,18486,78,USPS,MNIST,MADA,Adam,256,0.001,0.9984,0.9512,0.9499,0.6824,0.0000,0.0000
2019-08-01 09:22:18,18720,79,USPS,MNIST,MADA,Adam,256,0.001,0.9987,0.9317,0.9159,0.6856,0.0000,0.0000
2019-08-01 09:22:37,18954,80,USPS,MNIST,MADA,Adam,256,0.001,0.9985,0.9347,0.9191,0.6804,0.0000,0.0000
2019-08-01 09:22:57,19188,81,USPS,MNIST,MADA,Adam,256,0.001,0.9988,0.9253,0.9387,0.6844,0.0000,0.0000
2019-08-01 09:23:17,19422,82,USPS,MNIST,MADA,Adam,256,0.001,0.9986,0.9018,0.9002,0.6875,0.0000,0.0000
2019-08-01 09:23:37,19656,83,USPS,MNIST,MADA,Adam,256,0.001,0.9981,0.9512,0.8770,0.6848,0.0000,0.0000
2019-08-01 09:23:56,19890,84,USPS,MNIST,MADA,Adam,256,0.001,0.9987,0.9517,0.8849,0.6853,0.0000,0.0000
2019-08-01 09:24:16,20124,85,USPS,MNIST,MADA,Adam,256,0.001,0.9987,0.9233,0.9500,0.6894,0.0000,0.0000
