time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-31 07:07:41,29,0,USPS,MNIST,MCD,Adam,256,0.001,0.8737,0.8989,0.7528,0.6738,0.0000,0.0000
2019-07-31 07:07:47,58,1,USPS,MNIST,MCD,Adam,256,0.001,0.9789,0.9447,0.8751,0.1170,0.0000,0.0000
2019-07-31 07:07:53,87,2,USPS,MNIST,MCD,Adam,256,0.001,0.9826,0.9215,0.8146,0.0751,0.0000,0.0000
2019-07-31 07:07:59,116,3,USPS,MNIST,MCD,Adam,256,0.001,0.9878,0.9504,0.8721,0.0549,0.0000,0.0000
2019-07-31 07:08:05,145,4,USPS,MNIST,MCD,Adam,256,0.001,0.9914,0.9504,0.9460,0.0431,0.0000,0.0000
2019-07-31 07:08:10,174,5,USPS,MNIST,MCD,Adam,256,0.001,0.9908,0.9549,0.9514,0.0390,0.0000,0.0000
2019-07-31 07:08:16,203,6,USPS,MNIST,MCD,Adam,256,0.001,0.9925,0.9554,0.9477,0.0329,0.0000,0.0000
2019-07-31 07:08:22,232,7,USPS,MNIST,MCD,Adam,256,0.001,0.9932,0.9370,0.9625,0.0297,0.0000,0.0000
2019-07-31 07:08:28,261,8,USPS,MNIST,MCD,Adam,256,0.001,0.9929,0.9519,0.9591,0.0292,0.0000,0.0000
2019-07-31 07:08:34,290,9,USPS,MNIST,MCD,Adam,256,0.001,0.9928,0.9018,0.9415,0.0299,0.0000,0.0000
2019-07-31 07:08:39,319,10,USPS,MNIST,MCD,Adam,256,0.001,0.9936,0.9273,0.9507,0.0275,0.0000,0.0000
2019-07-31 07:08:45,348,11,USPS,MNIST,MCD,Adam,256,0.001,0.9951,0.9335,0.9672,0.0237,0.0000,0.0000
2019-07-31 07:08:51,377,12,USPS,MNIST,MCD,Adam,256,0.001,0.9943,0.9312,0.9678,0.0240,0.0000,0.0000
2019-07-31 07:08:57,406,13,USPS,MNIST,MCD,Adam,256,0.001,0.9947,0.9444,0.9642,0.0219,0.0000,0.0000
2019-07-31 07:09:03,435,14,USPS,MNIST,MCD,Adam,256,0.001,0.9955,0.9377,0.9611,0.0216,0.0000,0.0000
2019-07-31 07:09:09,464,15,USPS,MNIST,MCD,Adam,256,0.001,0.9947,0.9519,0.9660,0.0230,0.0000,0.0000
2019-07-31 07:09:15,493,16,USPS,MNIST,MCD,Adam,256,0.001,0.9956,0.9215,0.9458,0.0192,0.0000,0.0000
2019-07-31 07:09:21,522,17,USPS,MNIST,MCD,Adam,256,0.001,0.9925,0.9415,0.9580,0.0268,0.0000,0.0000
2019-07-31 07:09:27,551,18,USPS,MNIST,MCD,Adam,256,0.001,0.9954,0.9175,0.9710,0.0196,0.0000,0.0000
2019-07-31 07:09:32,580,19,USPS,MNIST,MCD,Adam,256,0.001,0.9946,0.9400,0.9690,0.0213,0.0000,0.0000
2019-07-31 07:09:38,609,20,USPS,MNIST,MCD,Adam,256,0.001,0.9961,0.9342,0.9610,0.0164,0.0000,0.0000
2019-07-31 07:09:44,638,21,USPS,MNIST,MCD,Adam,256,0.001,0.9940,0.9290,0.9600,0.0237,0.0000,0.0000
2019-07-31 07:09:50,667,22,USPS,MNIST,MCD,Adam,256,0.001,0.9955,0.9056,0.9580,0.0192,0.0000,0.0000
2019-07-31 07:09:56,696,23,USPS,MNIST,MCD,Adam,256,0.001,0.9971,0.9484,0.9684,0.0171,0.0000,0.0000
2019-07-31 07:10:02,725,24,USPS,MNIST,MCD,Adam,256,0.001,0.9967,0.9365,0.9679,0.0156,0.0000,0.0000
2019-07-31 07:10:08,754,25,USPS,MNIST,MCD,Adam,256,0.001,0.9963,0.9178,0.9577,0.0167,0.0000,0.0000
2019-07-31 07:10:13,783,26,USPS,MNIST,MCD,Adam,256,0.001,0.9962,0.9355,0.9651,0.0174,0.0000,0.0000
2019-07-31 07:10:19,812,27,USPS,MNIST,MCD,Adam,256,0.001,0.9955,0.9250,0.9553,0.0176,0.0000,0.0000
2019-07-31 07:10:25,841,28,USPS,MNIST,MCD,Adam,256,0.001,0.9947,0.8288,0.9542,0.0225,0.0000,0.0000
2019-07-31 07:10:31,870,29,USPS,MNIST,MCD,Adam,256,0.001,0.9953,0.9270,0.9686,0.0205,0.0000,0.0000
2019-07-31 07:10:37,899,30,USPS,MNIST,MCD,Adam,256,0.001,0.9963,0.9078,0.9700,0.0172,0.0000,0.0000
2019-07-31 07:10:43,928,31,USPS,MNIST,MCD,Adam,256,0.001,0.9963,0.9330,0.9646,0.0190,0.0000,0.0000
2019-07-31 07:10:49,957,32,USPS,MNIST,MCD,Adam,256,0.001,0.9964,0.9312,0.9739,0.0161,0.0000,0.0000
2019-07-31 07:10:55,986,33,USPS,MNIST,MCD,Adam,256,0.001,0.9951,0.9479,0.9669,0.0205,0.0000,0.0000
2019-07-31 07:11:00,1015,34,USPS,MNIST,MCD,Adam,256,0.001,0.9940,0.9340,0.9647,0.0245,0.0000,0.0000
2019-07-31 07:11:06,1044,35,USPS,MNIST,MCD,Adam,256,0.001,0.9975,0.9427,0.9711,0.0135,0.0000,0.0000
2019-07-31 07:11:12,1073,36,USPS,MNIST,MCD,Adam,256,0.001,0.9976,0.9469,0.9704,0.0136,0.0000,0.0000
2019-07-31 07:11:18,1102,37,USPS,MNIST,MCD,Adam,256,0.001,0.9986,0.9449,0.9675,0.0111,0.0000,0.0000
2019-07-31 07:11:24,1131,38,USPS,MNIST,MCD,Adam,256,0.001,0.9967,0.9377,0.9718,0.0160,0.0000,0.0000
2019-07-31 07:11:29,1160,39,USPS,MNIST,MCD,Adam,256,0.001,0.9951,0.9415,0.9715,0.0223,0.0000,0.0000
2019-07-31 07:11:35,1189,40,USPS,MNIST,MCD,Adam,256,0.001,0.9952,0.9375,0.9617,0.0200,0.0000,0.0000
2019-07-31 07:11:41,1218,41,USPS,MNIST,MCD,Adam,256,0.001,0.9973,0.9477,0.9666,0.0152,0.0000,0.0000
2019-07-31 07:11:47,1247,42,USPS,MNIST,MCD,Adam,256,0.001,0.9969,0.9190,0.9594,0.0149,0.0000,0.0000
2019-07-31 07:11:53,1276,43,USPS,MNIST,MCD,Adam,256,0.001,0.9959,0.9290,0.9659,0.0187,0.0000,0.0000
2019-07-31 07:11:58,1305,44,USPS,MNIST,MCD,Adam,256,0.001,0.9964,0.9233,0.9732,0.0155,0.0000,0.0000
2019-07-31 07:12:04,1334,45,USPS,MNIST,MCD,Adam,256,0.001,0.9959,0.9484,0.9684,0.0182,0.0000,0.0000
2019-07-31 07:12:10,1363,46,USPS,MNIST,MCD,Adam,256,0.001,0.9973,0.9444,0.9712,0.0152,0.0000,0.0000
2019-07-31 07:12:16,1392,47,USPS,MNIST,MCD,Adam,256,0.001,0.9959,0.9116,0.9713,0.0168,0.0000,0.0000
2019-07-31 07:12:22,1421,48,USPS,MNIST,MCD,Adam,256,0.001,0.9955,0.9347,0.9741,0.0216,0.0000,0.0000
2019-07-31 07:12:28,1450,49,USPS,MNIST,MCD,Adam,256,0.001,0.9971,0.9392,0.9741,0.0148,0.0000,0.0000
2019-07-31 07:12:33,1479,50,USPS,MNIST,MCD,Adam,256,0.001,0.9962,0.9345,0.9739,0.0171,0.0000,0.0000
2019-07-31 07:12:39,1508,51,USPS,MNIST,MCD,Adam,256,0.001,0.9971,0.9454,0.9701,0.0157,0.0000,0.0000
2019-07-31 07:12:44,1537,52,USPS,MNIST,MCD,Adam,256,0.001,0.9984,0.9519,0.9732,0.0110,0.0000,0.0000
2019-07-31 07:12:50,1566,53,USPS,MNIST,MCD,Adam,256,0.001,0.9968,0.9230,0.9548,0.0148,0.0000,0.0000
2019-07-31 07:12:56,1595,54,USPS,MNIST,MCD,Adam,256,0.001,0.9929,0.9245,0.9576,0.0255,0.0000,0.0000
2019-07-31 07:13:01,1624,55,USPS,MNIST,MCD,Adam,256,0.001,0.9947,0.9380,0.9664,0.0216,0.0000,0.0000
2019-07-31 07:13:07,1653,56,USPS,MNIST,MCD,Adam,256,0.001,0.9973,0.9492,0.9762,0.0140,0.0000,0.0000
2019-07-31 07:13:13,1682,57,USPS,MNIST,MCD,Adam,256,0.001,0.9978,0.9487,0.9758,0.0127,0.0000,0.0000
2019-07-31 07:13:19,1711,58,USPS,MNIST,MCD,Adam,256,0.001,0.9978,0.9238,0.9727,0.0131,0.0000,0.0000
2019-07-31 07:13:25,1740,59,USPS,MNIST,MCD,Adam,256,0.001,0.9968,0.9397,0.9749,0.0151,0.0000,0.0000
2019-07-31 07:13:30,1769,60,USPS,MNIST,MCD,Adam,256,0.001,0.9974,0.9290,0.9726,0.0135,0.0000,0.0000
2019-07-31 07:13:36,1798,61,USPS,MNIST,MCD,Adam,256,0.001,0.9954,0.8956,0.9537,0.0194,0.0000,0.0000
2019-07-31 07:13:42,1827,62,USPS,MNIST,MCD,Adam,256,0.001,0.9936,0.9372,0.9751,0.0248,0.0000,0.0000
2019-07-31 07:13:48,1856,63,USPS,MNIST,MCD,Adam,256,0.001,0.9949,0.9382,0.9707,0.0199,0.0000,0.0000
2019-07-31 07:13:54,1885,64,USPS,MNIST,MCD,Adam,256,0.001,0.9983,0.9158,0.9765,0.0112,0.0000,0.0000
2019-07-31 07:14:00,1914,65,USPS,MNIST,MCD,Adam,256,0.001,0.9974,0.9193,0.9607,0.0133,0.0000,0.0000
2019-07-31 07:14:06,1943,66,USPS,MNIST,MCD,Adam,256,0.001,0.9964,0.9038,0.9730,0.0179,0.0000,0.0000
2019-07-31 07:14:12,1972,67,USPS,MNIST,MCD,Adam,256,0.001,0.9964,0.9290,0.9744,0.0186,0.0000,0.0000
2019-07-31 07:14:17,2001,68,USPS,MNIST,MCD,Adam,256,0.001,0.9966,0.8665,0.9712,0.0142,0.0000,0.0000
2019-07-31 07:14:23,2030,69,USPS,MNIST,MCD,Adam,256,0.001,0.9971,0.9372,0.9785,0.0165,0.0000,0.0000
2019-07-31 07:14:29,2059,70,USPS,MNIST,MCD,Adam,256,0.001,0.9977,0.9071,0.9658,0.0121,0.0000,0.0000
2019-07-31 07:14:35,2088,71,USPS,MNIST,MCD,Adam,256,0.001,0.9962,0.9243,0.9690,0.0152,0.0000,0.0000
2019-07-31 07:14:41,2117,72,USPS,MNIST,MCD,Adam,256,0.001,0.9964,0.9280,0.9727,0.0161,0.0000,0.0000
2019-07-31 07:14:46,2146,73,USPS,MNIST,MCD,Adam,256,0.001,0.9968,0.9195,0.9677,0.0133,0.0000,0.0000
2019-07-31 07:14:52,2175,74,USPS,MNIST,MCD,Adam,256,0.001,0.9962,0.9462,0.9716,0.0163,0.0000,0.0000
2019-07-31 07:14:58,2204,75,USPS,MNIST,MCD,Adam,256,0.001,0.9977,0.9524,0.9680,0.0129,0.0000,0.0000
2019-07-31 07:15:04,2233,76,USPS,MNIST,MCD,Adam,256,0.001,0.9984,0.9429,0.9670,0.0116,0.0000,0.0000
2019-07-31 07:15:10,2262,77,USPS,MNIST,MCD,Adam,256,0.001,0.9962,0.9330,0.9727,0.0146,0.0000,0.0000
2019-07-31 07:15:16,2291,78,USPS,MNIST,MCD,Adam,256,0.001,0.9973,0.9422,0.9654,0.0132,0.0000,0.0000
2019-07-31 07:15:21,2320,79,USPS,MNIST,MCD,Adam,256,0.001,0.9975,0.9524,0.9722,0.0128,0.0000,0.0000
2019-07-31 07:15:27,2349,80,USPS,MNIST,MCD,Adam,256,0.001,0.9975,0.9382,0.9752,0.0126,0.0000,0.0000
2019-07-31 07:15:33,2378,81,USPS,MNIST,MCD,Adam,256,0.001,0.9969,0.9243,0.9684,0.0144,0.0000,0.0000
2019-07-31 07:15:39,2407,82,USPS,MNIST,MCD,Adam,256,0.001,0.9977,0.9357,0.9758,0.0141,0.0000,0.0000
2019-07-31 07:15:45,2436,83,USPS,MNIST,MCD,Adam,256,0.001,0.9964,0.9390,0.9709,0.0166,0.0000,0.0000
2019-07-31 07:15:51,2465,84,USPS,MNIST,MCD,Adam,256,0.001,0.9962,0.9387,0.9703,0.0170,0.0000,0.0000
2019-07-31 07:15:56,2494,85,USPS,MNIST,MCD,Adam,256,0.001,0.9951,0.9532,0.9649,0.0213,0.0000,0.0000
2019-07-31 07:16:02,2523,86,USPS,MNIST,MCD,Adam,256,0.001,0.9972,0.9352,0.9719,0.0144,0.0000,0.0000
2019-07-31 07:16:08,2552,87,USPS,MNIST,MCD,Adam,256,0.001,0.9976,0.9519,0.9742,0.0124,0.0000,0.0000
2019-07-31 07:16:14,2581,88,USPS,MNIST,MCD,Adam,256,0.001,0.9983,0.9210,0.9695,0.0110,0.0000,0.0000
2019-07-31 07:16:20,2610,89,USPS,MNIST,MCD,Adam,256,0.001,0.9978,0.9268,0.9741,0.0123,0.0000,0.0000
2019-07-31 07:16:26,2639,90,USPS,MNIST,MCD,Adam,256,0.001,0.9963,0.9133,0.9782,0.0160,0.0000,0.0000
2019-07-31 07:16:32,2668,91,USPS,MNIST,MCD,Adam,256,0.001,0.9975,0.9058,0.9771,0.0128,0.0000,0.0000
2019-07-31 07:16:37,2697,92,USPS,MNIST,MCD,Adam,256,0.001,0.9981,0.9395,0.9716,0.0110,0.0000,0.0000
2019-07-31 07:16:43,2726,93,USPS,MNIST,MCD,Adam,256,0.001,0.9986,0.9183,0.9758,0.0086,0.0000,0.0000
2019-07-31 07:16:49,2755,94,USPS,MNIST,MCD,Adam,256,0.001,0.9984,0.9190,0.9764,0.0101,0.0000,0.0000
2019-07-31 07:16:55,2784,95,USPS,MNIST,MCD,Adam,256,0.001,0.9961,0.8787,0.9748,0.0183,0.0000,0.0000
2019-07-31 07:17:01,2813,96,USPS,MNIST,MCD,Adam,256,0.001,0.9947,0.9479,0.9751,0.0215,0.0000,0.0000
2019-07-31 07:17:07,2842,97,USPS,MNIST,MCD,Adam,256,0.001,0.9980,0.9367,0.9759,0.0118,0.0000,0.0000
2019-07-31 07:17:12,2871,98,USPS,MNIST,MCD,Adam,256,0.001,0.9982,0.9046,0.9744,0.0114,0.0000,0.0000
2019-07-31 07:17:18,2900,99,USPS,MNIST,MCD,Adam,256,0.001,0.9975,0.9300,0.9691,0.0132,0.0000,0.0000
2019-07-31 07:17:24,2929,100,USPS,MNIST,MCD,Adam,256,0.001,0.9971,0.9370,0.9668,0.0154,0.0000,0.0000
2019-07-31 07:17:30,2958,101,USPS,MNIST,MCD,Adam,256,0.001,0.9962,0.9315,0.9722,0.0162,0.0000,0.0000
2019-07-31 07:17:36,2987,102,USPS,MNIST,MCD,Adam,256,0.001,0.9967,0.9340,0.9758,0.0157,0.0000,0.0000
2019-07-31 07:17:42,3016,103,USPS,MNIST,MCD,Adam,256,0.001,0.9977,0.9253,0.9778,0.0142,0.0000,0.0000
2019-07-31 07:17:48,3045,104,USPS,MNIST,MCD,Adam,256,0.001,0.9984,0.9265,0.9747,0.0103,0.0000,0.0000
2019-07-31 07:17:54,3074,105,USPS,MNIST,MCD,Adam,256,0.001,0.9982,0.8981,0.9700,0.0100,0.0000,0.0000
2019-07-31 07:18:00,3103,106,USPS,MNIST,MCD,Adam,256,0.001,0.9936,0.9439,0.9617,0.0256,0.0000,0.0000
2019-07-31 07:18:06,3132,107,USPS,MNIST,MCD,Adam,256,0.001,0.9969,0.9273,0.9759,0.0153,0.0000,0.0000
2019-07-31 07:18:12,3161,108,USPS,MNIST,MCD,Adam,256,0.001,0.9961,0.9223,0.9746,0.0173,0.0000,0.0000
2019-07-31 07:18:17,3190,109,USPS,MNIST,MCD,Adam,256,0.001,0.9980,0.8802,0.9756,0.0104,0.0000,0.0000
2019-07-31 07:18:23,3219,110,USPS,MNIST,MCD,Adam,256,0.001,0.9979,0.9327,0.9759,0.0118,0.0000,0.0000
2019-07-31 07:18:29,3248,111,USPS,MNIST,MCD,Adam,256,0.001,0.9985,0.9439,0.9734,0.0093,0.0000,0.0000
2019-07-31 07:18:35,3277,112,USPS,MNIST,MCD,Adam,256,0.001,0.9982,0.9412,0.9778,0.0113,0.0000,0.0000
2019-07-31 07:18:41,3306,113,USPS,MNIST,MCD,Adam,256,0.001,0.9978,0.9218,0.9709,0.0127,0.0000,0.0000
2019-07-31 07:18:47,3335,114,USPS,MNIST,MCD,Adam,256,0.001,0.9983,0.9088,0.9768,0.0111,0.0000,0.0000
2019-07-31 07:18:53,3364,115,USPS,MNIST,MCD,Adam,256,0.001,0.9968,0.8844,0.9644,0.0142,0.0000,0.0000
2019-07-31 07:18:58,3393,116,USPS,MNIST,MCD,Adam,256,0.001,0.9953,0.9362,0.9742,0.0207,0.0000,0.0000
2019-07-31 07:19:05,3422,117,USPS,MNIST,MCD,Adam,256,0.001,0.9955,0.9342,0.9770,0.0204,0.0000,0.0000
2019-07-31 07:19:10,3451,118,USPS,MNIST,MCD,Adam,256,0.001,0.9968,0.9088,0.9745,0.0141,0.0000,0.0000
2019-07-31 07:19:16,3480,119,USPS,MNIST,MCD,Adam,256,0.001,0.9978,0.9312,0.9692,0.0123,0.0000,0.0000
2019-07-31 07:19:22,3509,120,USPS,MNIST,MCD,Adam,256,0.001,0.9975,0.9302,0.9734,0.0119,0.0000,0.0000
2019-07-31 07:19:28,3538,121,USPS,MNIST,MCD,Adam,256,0.001,0.9955,0.9036,0.9679,0.0169,0.0000,0.0000
2019-07-31 07:19:34,3567,122,USPS,MNIST,MCD,Adam,256,0.001,0.9961,0.8881,0.9725,0.0162,0.0000,0.0000
2019-07-31 07:19:40,3596,123,USPS,MNIST,MCD,Adam,256,0.001,0.9971,0.9058,0.9701,0.0132,0.0000,0.0000
2019-07-31 07:19:46,3625,124,USPS,MNIST,MCD,Adam,256,0.001,0.9981,0.9121,0.9758,0.0125,0.0000,0.0000
2019-07-31 07:19:52,3654,125,USPS,MNIST,MCD,Adam,256,0.001,0.9983,0.9258,0.9729,0.0099,0.0000,0.0000
2019-07-31 07:19:57,3683,126,USPS,MNIST,MCD,Adam,256,0.001,0.9971,0.9228,0.9744,0.0140,0.0000,0.0000
