time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-26 18:10:49,104,7,Amazon,Dslr,MT,SGD,36,0.0003,0.7286,0.0000,0.7209,1.0046,0.0000,0.9249
2019-07-26 18:14:19,208,15,Amazon,Dslr,MT,SGD,36,0.0003,0.7970,0.0000,0.7631,0.7473,0.0000,0.7410
2019-07-26 18:17:49,312,23,Amazon,Dslr,MT,SGD,36,0.0003,0.8312,0.0000,0.7912,0.6051,0.0000,0.6716
2019-07-26 18:21:18,416,31,Amazon,Dslr,MT,SGD,36,0.0003,0.8697,0.0000,0.7751,0.4980,0.0000,0.6717
2019-07-26 18:24:49,520,39,Amazon,Dslr,MT,SGD,36,0.0003,0.8868,0.0000,0.8012,0.4376,0.0000,0.6354
2019-07-26 18:28:19,624,47,Amazon,Dslr,MT,SGD,36,0.0003,0.8739,0.0000,0.8153,0.4809,0.0000,0.6060
2019-07-26 18:31:46,728,55,Amazon,Dslr,MT,SGD,36,0.0003,0.9081,0.0000,0.8153,0.3624,0.0000,0.6332
2019-07-26 18:35:01,832,63,Amazon,Dslr,MT,SGD,36,0.0003,0.8718,0.0000,0.8153,0.4441,0.0000,0.6216
2019-07-26 18:38:14,936,71,Amazon,Dslr,MT,SGD,36,0.0003,0.8953,0.0000,0.7932,0.3495,0.0000,0.6583
2019-07-26 18:41:28,1040,79,Amazon,Dslr,MT,SGD,36,0.0003,0.9209,0.0000,0.7972,0.2934,0.0000,0.6619
2019-07-26 18:44:41,1144,87,Amazon,Dslr,MT,SGD,36,0.0003,0.9274,0.0000,0.7972,0.2763,0.0000,0.6618
2019-07-26 18:47:57,1248,95,Amazon,Dslr,MT,SGD,36,0.0003,0.9252,0.0000,0.8333,0.3219,0.0000,0.5892
2019-07-26 18:51:10,1352,103,Amazon,Dslr,MT,SGD,36,0.0003,0.9038,0.0000,0.8133,0.3025,0.0000,0.6128
2019-07-26 18:54:24,1456,111,Amazon,Dslr,MT,SGD,36,0.0003,0.9402,0.0000,0.8173,0.2389,0.0000,0.6086
2019-07-26 18:57:38,1560,119,Amazon,Dslr,MT,SGD,36,0.0003,0.9274,0.0000,0.8233,0.2657,0.0000,0.6179
2019-07-26 19:00:52,1664,127,Amazon,Dslr,MT,SGD,36,0.0003,0.9530,0.0000,0.8173,0.1631,0.0000,0.6378
2019-07-26 19:04:06,1768,135,Amazon,Dslr,MT,SGD,36,0.0003,0.9423,0.0000,0.8072,0.2231,0.0000,0.6265
2019-07-26 19:07:18,1872,143,Amazon,Dslr,MT,SGD,36,0.0003,0.9316,0.0000,0.8133,0.2672,0.0000,0.6744
2019-07-26 19:10:31,1976,151,Amazon,Dslr,MT,SGD,36,0.0003,0.9295,0.0000,0.8052,0.2825,0.0000,0.6407
2019-07-26 19:13:45,2080,159,Amazon,Dslr,MT,SGD,36,0.0003,0.9338,0.0000,0.8012,0.2366,0.0000,0.6276
2019-07-26 19:17:00,2184,167,Amazon,Dslr,MT,SGD,36,0.0003,0.9380,0.0000,0.8112,0.2106,0.0000,0.6105
2019-07-26 19:20:13,2288,175,Amazon,Dslr,MT,SGD,36,0.0003,0.9316,0.0000,0.8092,0.2385,0.0000,0.6605
2019-07-26 19:23:26,2392,183,Amazon,Dslr,MT,SGD,36,0.0003,0.9594,0.0000,0.8012,0.1693,0.0000,0.6371
2019-07-26 19:26:40,2496,191,Amazon,Dslr,MT,SGD,36,0.0003,0.9530,0.0000,0.7992,0.1569,0.0000,0.6442
2019-07-26 19:29:54,2600,199,Amazon,Dslr,MT,SGD,36,0.0003,0.9658,0.0000,0.8173,0.1710,0.0000,0.6576
2019-07-26 19:33:07,2704,207,Amazon,Dslr,MT,SGD,36,0.0003,0.9594,0.0000,0.8052,0.1816,0.0000,0.6470
2019-07-26 19:36:21,2808,215,Amazon,Dslr,MT,SGD,36,0.0003,0.9316,0.0000,0.8133,0.2137,0.0000,0.6392
2019-07-26 19:39:35,2912,223,Amazon,Dslr,MT,SGD,36,0.0003,0.9509,0.0000,0.8133,0.1719,0.0000,0.6332
2019-07-26 19:42:49,3016,231,Amazon,Dslr,MT,SGD,36,0.0003,0.9615,0.0000,0.8153,0.1623,0.0000,0.6113
2019-07-26 19:46:02,3120,239,Amazon,Dslr,MT,SGD,36,0.0003,0.9338,0.0000,0.8193,0.2209,0.0000,0.5985
2019-07-26 19:49:16,3224,247,Amazon,Dslr,MT,SGD,36,0.0003,0.9444,0.0000,0.8133,0.1980,0.0000,0.6178
2019-07-26 19:52:30,3328,255,Amazon,Dslr,MT,SGD,36,0.0003,0.9530,0.0000,0.8072,0.1577,0.0000,0.6111
2019-07-26 19:55:42,3432,263,Amazon,Dslr,MT,SGD,36,0.0003,0.9530,0.0000,0.8072,0.1718,0.0000,0.6208
2019-07-26 19:58:55,3536,271,Amazon,Dslr,MT,SGD,36,0.0003,0.9466,0.0000,0.8072,0.2099,0.0000,0.6235
2019-07-26 20:02:07,3640,279,Amazon,Dslr,MT,SGD,36,0.0003,0.9615,0.0000,0.8092,0.1412,0.0000,0.6229
2019-07-26 20:05:21,3744,287,Amazon,Dslr,MT,SGD,36,0.0003,0.9551,0.0000,0.8012,0.1747,0.0000,0.6963
2019-07-26 20:08:35,3848,295,Amazon,Dslr,MT,SGD,36,0.0003,0.9637,0.0000,0.8213,0.1555,0.0000,0.6367
2019-07-26 20:11:48,3952,303,Amazon,Dslr,MT,SGD,36,0.0003,0.9722,0.0000,0.8052,0.1161,0.0000,0.6898
2019-07-26 20:15:01,4056,311,Amazon,Dslr,MT,SGD,36,0.0003,0.9444,0.0000,0.8153,0.1972,0.0000,0.6318
2019-07-26 20:18:15,4160,319,Amazon,Dslr,MT,SGD,36,0.0003,0.9444,0.0000,0.8112,0.2066,0.0000,0.6728
2019-07-26 20:21:29,4264,327,Amazon,Dslr,MT,SGD,36,0.0003,0.9637,0.0000,0.8052,0.1210,0.0000,0.6302
2019-07-26 20:24:43,4368,335,Amazon,Dslr,MT,SGD,36,0.0003,0.9658,0.0000,0.8112,0.1315,0.0000,0.6556
2019-07-26 20:27:58,4472,343,Amazon,Dslr,MT,SGD,36,0.0003,0.9573,0.0000,0.8213,0.1583,0.0000,0.5981
2019-07-26 20:31:13,4576,351,Amazon,Dslr,MT,SGD,36,0.0003,0.9551,0.0000,0.8012,0.1455,0.0000,0.6668
2019-07-26 20:34:26,4680,359,Amazon,Dslr,MT,SGD,36,0.0003,0.9679,0.0000,0.8112,0.1264,0.0000,0.6339
2019-07-26 20:37:40,4784,367,Amazon,Dslr,MT,SGD,36,0.0003,0.9615,0.0000,0.8092,0.1328,0.0000,0.6264
2019-07-26 20:40:55,4888,375,Amazon,Dslr,MT,SGD,36,0.0003,0.9744,0.0000,0.8032,0.1071,0.0000,0.6744
2019-07-26 20:44:08,4992,383,Amazon,Dslr,MT,SGD,36,0.0003,0.9530,0.0000,0.8092,0.1528,0.0000,0.6242
2019-07-26 20:47:22,5096,391,Amazon,Dslr,MT,SGD,36,0.0003,0.9487,0.0000,0.8153,0.1668,0.0000,0.6575
2019-07-26 20:50:35,5200,399,Amazon,Dslr,MT,SGD,36,0.0003,0.9679,0.0000,0.8012,0.1296,0.0000,0.6625
2019-07-26 20:53:49,5304,407,Amazon,Dslr,MT,SGD,36,0.0003,0.9701,0.0000,0.8032,0.1130,0.0000,0.6806
2019-07-26 20:57:02,5408,415,Amazon,Dslr,MT,SGD,36,0.0003,0.9615,0.0000,0.8112,0.1565,0.0000,0.6307
2019-07-26 21:00:16,5512,423,Amazon,Dslr,MT,SGD,36,0.0003,0.9551,0.0000,0.8173,0.1717,0.0000,0.6246
2019-07-26 21:03:29,5616,431,Amazon,Dslr,MT,SGD,36,0.0003,0.9615,0.0000,0.8032,0.1854,0.0000,0.6535
2019-07-26 21:06:44,5720,439,Amazon,Dslr,MT,SGD,36,0.0003,0.9701,0.0000,0.8112,0.1212,0.0000,0.6443
2019-07-26 21:09:56,5824,447,Amazon,Dslr,MT,SGD,36,0.0003,0.9701,0.0000,0.8112,0.1104,0.0000,0.6524
2019-07-26 21:13:09,5928,455,Amazon,Dslr,MT,SGD,36,0.0003,0.9615,0.0000,0.8112,0.1417,0.0000,0.6527
2019-07-26 21:16:23,6032,463,Amazon,Dslr,MT,SGD,36,0.0003,0.9722,0.0000,0.8133,0.0913,0.0000,0.6209
2019-07-26 21:19:37,6136,471,Amazon,Dslr,MT,SGD,36,0.0003,0.9679,0.0000,0.8072,0.1399,0.0000,0.6347
2019-07-26 21:22:50,6240,479,Amazon,Dslr,MT,SGD,36,0.0003,0.9402,0.0000,0.8052,0.2155,0.0000,0.6661
2019-07-26 21:26:03,6344,487,Amazon,Dslr,MT,SGD,36,0.0003,0.9551,0.0000,0.8072,0.1436,0.0000,0.6497
2019-07-26 21:29:17,6448,495,Amazon,Dslr,MT,SGD,36,0.0003,0.9615,0.0000,0.8092,0.1480,0.0000,0.6397
2019-07-26 21:32:30,6552,503,Amazon,Dslr,MT,SGD,36,0.0003,0.9765,0.0000,0.8052,0.1164,0.0000,0.6550
2019-07-26 21:35:42,6656,511,Amazon,Dslr,MT,SGD,36,0.0003,0.9530,0.0000,0.8072,0.1520,0.0000,0.6364
2019-07-26 21:38:56,6760,519,Amazon,Dslr,MT,SGD,36,0.0003,0.9786,0.0000,0.8193,0.0950,0.0000,0.6311
2019-07-26 21:42:09,6864,527,Amazon,Dslr,MT,SGD,36,0.0003,0.9444,0.0000,0.8052,0.1904,0.0000,0.6169
2019-07-26 21:45:23,6968,535,Amazon,Dslr,MT,SGD,36,0.0003,0.9679,0.0000,0.8052,0.1061,0.0000,0.6594
2019-07-26 21:48:36,7072,543,Amazon,Dslr,MT,SGD,36,0.0003,0.9829,0.0000,0.8052,0.0808,0.0000,0.6583
2019-07-26 21:51:51,7176,551,Amazon,Dslr,MT,SGD,36,0.0003,0.9722,0.0000,0.8133,0.1049,0.0000,0.6443
2019-07-26 21:55:03,7280,559,Amazon,Dslr,MT,SGD,36,0.0003,0.9658,0.0000,0.8092,0.1225,0.0000,0.6377
2019-07-26 21:58:18,7384,567,Amazon,Dslr,MT,SGD,36,0.0003,0.9722,0.0000,0.8193,0.1182,0.0000,0.6086
2019-07-26 22:01:31,7488,575,Amazon,Dslr,MT,SGD,36,0.0003,0.9701,0.0000,0.8032,0.1227,0.0000,0.6581
2019-07-26 22:04:45,7592,583,Amazon,Dslr,MT,SGD,36,0.0003,0.9765,0.0000,0.8032,0.0983,0.0000,0.6614
2019-07-26 22:07:57,7696,591,Amazon,Dslr,MT,SGD,36,0.0003,0.9893,0.0000,0.8133,0.0637,0.0000,0.6624
2019-07-26 22:11:11,7800,599,Amazon,Dslr,MT,SGD,36,0.0003,0.9679,0.0000,0.8112,0.1111,0.0000,0.6380
2019-07-26 22:14:26,7904,607,Amazon,Dslr,MT,SGD,36,0.0003,0.9829,0.0000,0.8153,0.0940,0.0000,0.6116
2019-07-26 22:17:38,8008,615,Amazon,Dslr,MT,SGD,36,0.0003,0.9679,0.0000,0.8153,0.1161,0.0000,0.6340
