time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-26 12:43:23,156,1,Amazon,Webcam,Baseline,SGD,36,0.001,0.7867,0.0000,0.6390,0.7707,0.0000,1.3179
2019-07-26 12:44:23,312,3,Amazon,Webcam,Baseline,SGD,36,0.001,0.8474,0.0000,0.6943,0.5039,0.0000,1.2899
2019-07-26 12:45:21,468,5,Amazon,Webcam,Baseline,SGD,36,0.001,0.8931,0.0000,0.7132,0.3521,0.0000,1.1643
2019-07-26 12:46:20,624,7,Amazon,Webcam,Baseline,SGD,36,0.001,0.9095,0.0000,0.6843,0.3141,0.0000,1.3118
2019-07-26 12:47:19,780,9,Amazon,Webcam,Baseline,SGD,36,0.001,0.9240,0.0000,0.7094,0.2451,0.0000,1.1144
2019-07-26 12:48:17,936,11,Amazon,Webcam,Baseline,SGD,36,0.001,0.9382,0.0000,0.6767,0.2051,0.0000,1.4070
2019-07-26 12:49:16,1092,13,Amazon,Webcam,Baseline,SGD,36,0.001,0.9397,0.0000,0.7296,0.1966,0.0000,1.0871
2019-07-26 12:50:15,1248,15,Amazon,Webcam,Baseline,SGD,36,0.001,0.9457,0.0000,0.7157,0.1806,0.0000,1.1590
2019-07-26 12:51:14,1404,17,Amazon,Webcam,Baseline,SGD,36,0.001,0.9453,0.0000,0.6830,0.1771,0.0000,1.3789
2019-07-26 12:52:12,1560,19,Amazon,Webcam,Baseline,SGD,36,0.001,0.9460,0.0000,0.6642,0.1673,0.0000,1.5097
2019-07-26 12:53:11,1716,21,Amazon,Webcam,Baseline,SGD,36,0.001,0.9610,0.0000,0.7031,0.1333,0.0000,1.3700
2019-07-26 12:54:10,1872,23,Amazon,Webcam,Baseline,SGD,36,0.001,0.9546,0.0000,0.6994,0.1462,0.0000,1.3507
2019-07-26 12:55:08,2028,25,Amazon,Webcam,Baseline,SGD,36,0.001,0.9581,0.0000,0.6830,0.1362,0.0000,1.3292
2019-07-26 12:56:08,2184,27,Amazon,Webcam,Baseline,SGD,36,0.001,0.9617,0.0000,0.6616,0.1263,0.0000,1.5625
2019-07-26 12:57:07,2340,29,Amazon,Webcam,Baseline,SGD,36,0.001,0.9585,0.0000,0.6981,0.1291,0.0000,1.3890
2019-07-26 12:58:05,2496,31,Amazon,Webcam,Baseline,SGD,36,0.001,0.9585,0.0000,0.6969,0.1229,0.0000,1.3414
2019-07-26 12:59:04,2652,33,Amazon,Webcam,Baseline,SGD,36,0.001,0.9673,0.0000,0.6868,0.1020,0.0000,1.3288
2019-07-26 13:00:03,2808,35,Amazon,Webcam,Baseline,SGD,36,0.001,0.9649,0.0000,0.7082,0.1097,0.0000,1.3023
2019-07-26 13:01:01,2964,37,Amazon,Webcam,Baseline,SGD,36,0.001,0.9641,0.0000,0.6943,0.1097,0.0000,1.3833
2019-07-26 13:02:00,3120,39,Amazon,Webcam,Baseline,SGD,36,0.001,0.9581,0.0000,0.7157,0.1299,0.0000,1.2305
2019-07-26 13:02:59,3276,41,Amazon,Webcam,Baseline,SGD,36,0.001,0.9712,0.0000,0.7119,0.1036,0.0000,1.3226
2019-07-26 13:03:58,3432,43,Amazon,Webcam,Baseline,SGD,36,0.001,0.9631,0.0000,0.6981,0.1280,0.0000,1.3167
2019-07-26 13:04:56,3588,45,Amazon,Webcam,Baseline,SGD,36,0.001,0.9602,0.0000,0.7057,0.1312,0.0000,1.3149
2019-07-26 13:05:55,3744,47,Amazon,Webcam,Baseline,SGD,36,0.001,0.9734,0.0000,0.6956,0.0875,0.0000,1.4079
2019-07-26 13:06:54,3900,49,Amazon,Webcam,Baseline,SGD,36,0.001,0.9673,0.0000,0.7019,0.1022,0.0000,1.3112
2019-07-26 13:07:52,4056,51,Amazon,Webcam,Baseline,SGD,36,0.001,0.9641,0.0000,0.7182,0.1153,0.0000,1.1981
2019-07-26 13:08:51,4212,53,Amazon,Webcam,Baseline,SGD,36,0.001,0.9698,0.0000,0.6881,0.0975,0.0000,1.4280
2019-07-26 13:09:50,4368,55,Amazon,Webcam,Baseline,SGD,36,0.001,0.9705,0.0000,0.6994,0.0931,0.0000,1.3691
2019-07-26 13:10:49,4524,57,Amazon,Webcam,Baseline,SGD,36,0.001,0.9670,0.0000,0.7019,0.1005,0.0000,1.3354
2019-07-26 13:11:47,4680,59,Amazon,Webcam,Baseline,SGD,36,0.001,0.9766,0.0000,0.7145,0.0839,0.0000,1.3297
2019-07-26 13:12:46,4836,61,Amazon,Webcam,Baseline,SGD,36,0.001,0.9702,0.0000,0.6918,0.0956,0.0000,1.3971
2019-07-26 13:13:45,4992,63,Amazon,Webcam,Baseline,SGD,36,0.001,0.9659,0.0000,0.6868,0.0974,0.0000,1.3950
2019-07-26 13:14:44,5148,65,Amazon,Webcam,Baseline,SGD,36,0.001,0.9734,0.0000,0.6969,0.0799,0.0000,1.3921
2019-07-26 13:15:43,5304,67,Amazon,Webcam,Baseline,SGD,36,0.001,0.9702,0.0000,0.6943,0.0931,0.0000,1.3328
2019-07-26 13:16:41,5460,69,Amazon,Webcam,Baseline,SGD,36,0.001,0.9684,0.0000,0.7094,0.0992,0.0000,1.2764
2019-07-26 13:17:40,5616,71,Amazon,Webcam,Baseline,SGD,36,0.001,0.9716,0.0000,0.6805,0.0889,0.0000,1.4993
2019-07-26 13:18:39,5772,73,Amazon,Webcam,Baseline,SGD,36,0.001,0.9691,0.0000,0.6881,0.0929,0.0000,1.3776
2019-07-26 13:19:38,5928,75,Amazon,Webcam,Baseline,SGD,36,0.001,0.9691,0.0000,0.6918,0.0913,0.0000,1.3571
2019-07-26 13:20:36,6084,77,Amazon,Webcam,Baseline,SGD,36,0.001,0.9741,0.0000,0.6931,0.0791,0.0000,1.3124
2019-07-26 13:21:36,6240,79,Amazon,Webcam,Baseline,SGD,36,0.001,0.9748,0.0000,0.6931,0.0753,0.0000,1.3424
2019-07-26 13:22:34,6396,81,Amazon,Webcam,Baseline,SGD,36,0.001,0.9769,0.0000,0.7119,0.0719,0.0000,1.2589
2019-07-26 13:23:33,6552,83,Amazon,Webcam,Baseline,SGD,36,0.001,0.9698,0.0000,0.6969,0.0817,0.0000,1.3548
2019-07-26 13:24:32,6708,85,Amazon,Webcam,Baseline,SGD,36,0.001,0.9730,0.0000,0.6956,0.0887,0.0000,1.3159
2019-07-26 13:25:31,6864,87,Amazon,Webcam,Baseline,SGD,36,0.001,0.9741,0.0000,0.6956,0.0755,0.0000,1.3926
2019-07-26 13:26:29,7020,89,Amazon,Webcam,Baseline,SGD,36,0.001,0.9737,0.0000,0.6805,0.0827,0.0000,1.3972
2019-07-26 13:27:28,7176,91,Amazon,Webcam,Baseline,SGD,36,0.001,0.9769,0.0000,0.6881,0.0727,0.0000,1.4761
2019-07-26 13:28:27,7332,93,Amazon,Webcam,Baseline,SGD,36,0.001,0.9748,0.0000,0.6541,0.0833,0.0000,1.6039
2019-07-26 13:29:26,7488,95,Amazon,Webcam,Baseline,SGD,36,0.001,0.9759,0.0000,0.6843,0.0774,0.0000,1.4308
2019-07-26 13:30:24,7644,97,Amazon,Webcam,Baseline,SGD,36,0.001,0.9776,0.0000,0.6931,0.0674,0.0000,1.3851
2019-07-26 13:31:23,7800,99,Amazon,Webcam,Baseline,SGD,36,0.001,0.9759,0.0000,0.6717,0.0775,0.0000,1.5177
2019-07-26 13:32:22,7956,101,Amazon,Webcam,Baseline,SGD,36,0.001,0.9712,0.0000,0.6742,0.0896,0.0000,1.4264
2019-07-26 13:33:21,8112,103,Amazon,Webcam,Baseline,SGD,36,0.001,0.9791,0.0000,0.6906,0.0680,0.0000,1.3657
2019-07-26 13:34:19,8268,105,Amazon,Webcam,Baseline,SGD,36,0.001,0.9744,0.0000,0.6868,0.0870,0.0000,1.3958
2019-07-26 13:35:18,8424,107,Amazon,Webcam,Baseline,SGD,36,0.001,0.9744,0.0000,0.6818,0.0753,0.0000,1.4388
2019-07-26 13:36:17,8580,109,Amazon,Webcam,Baseline,SGD,36,0.001,0.9780,0.0000,0.7082,0.0729,0.0000,1.2860
2019-07-26 13:37:16,8736,111,Amazon,Webcam,Baseline,SGD,36,0.001,0.9801,0.0000,0.6906,0.0622,0.0000,1.4031
2019-07-26 13:38:14,8892,113,Amazon,Webcam,Baseline,SGD,36,0.001,0.9762,0.0000,0.6981,0.0732,0.0000,1.3568
2019-07-26 13:39:13,9048,115,Amazon,Webcam,Baseline,SGD,36,0.001,0.9755,0.0000,0.7082,0.0660,0.0000,1.3460
2019-07-26 13:40:12,9204,117,Amazon,Webcam,Baseline,SGD,36,0.001,0.9712,0.0000,0.6767,0.0908,0.0000,1.3819
2019-07-26 13:41:11,9360,119,Amazon,Webcam,Baseline,SGD,36,0.001,0.9766,0.0000,0.6792,0.0803,0.0000,1.3857
2019-07-26 13:42:10,9516,121,Amazon,Webcam,Baseline,SGD,36,0.001,0.9791,0.0000,0.6843,0.0705,0.0000,1.4507
2019-07-26 13:43:09,9672,123,Amazon,Webcam,Baseline,SGD,36,0.001,0.9819,0.0000,0.6805,0.0575,0.0000,1.4707
2019-07-26 13:44:08,9828,125,Amazon,Webcam,Baseline,SGD,36,0.001,0.9805,0.0000,0.6792,0.0655,0.0000,1.4457
2019-07-26 13:45:06,9984,127,Amazon,Webcam,Baseline,SGD,36,0.001,0.9712,0.0000,0.6692,0.0910,0.0000,1.4794
