time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-08-02 04:48:56,115,4,Amazon,Webcam,DANN,SGD,36,0.0009222516369110502,0.7597,0.0000,0.6717,1.3520,0.0000,0.0000
2019-08-02 04:51:52,230,9,Amazon,Webcam,DANN,SGD,36,0.0008567623151203901,0.8140,0.0000,0.7233,1.2230,0.0000,0.0000
2019-08-02 04:54:51,345,14,Amazon,Webcam,DANN,SGD,36,0.0008011869826527027,0.8587,0.0000,0.7447,1.0726,0.0000,0.0000
2019-08-02 04:57:49,460,19,Amazon,Webcam,DANN,SGD,36,0.0007533547065603879,0.8708,0.0000,0.7509,1.0449,0.0000,0.0000
2019-08-02 05:00:52,575,24,Amazon,Webcam,DANN,SGD,36,0.0007116950602540659,0.8792,0.0000,0.7711,1.1009,0.0000,0.0000
2019-08-02 05:03:53,690,29,Amazon,Webcam,DANN,SGD,36,0.0006750421556685226,0.8768,0.0000,0.7899,1.0931,0.0000,0.0000
2019-08-02 05:06:51,805,34,Amazon,Webcam,DANN,SGD,36,0.0006425111200459104,0.9010,0.0000,0.7849,1.0995,0.0000,0.0000
2019-08-02 05:09:49,920,39,Amazon,Webcam,DANN,SGD,36,0.0006134174756572845,0.9118,0.0000,0.8101,1.0967,0.0000,0.0000
2019-08-02 05:12:50,1035,44,Amazon,Webcam,DANN,SGD,36,0.0005872229249430694,0.9239,0.0000,0.7962,1.0771,0.0000,0.0000
2019-08-02 05:15:48,1150,49,Amazon,Webcam,DANN,SGD,36,0.0005634979350296413,0.9396,0.0000,0.8478,1.0530,0.0000,0.0000
2019-08-02 05:18:46,1265,54,Amazon,Webcam,DANN,SGD,36,0.0005418953229033869,0.9191,0.0000,0.8101,1.0794,0.0000,0.0000
2019-08-02 05:21:45,1380,59,Amazon,Webcam,DANN,SGD,36,0.0005221312289286617,0.9469,0.0000,0.8277,1.0407,0.0000,0.0000
2019-08-02 05:24:39,1495,64,Amazon,Webcam,DANN,SGD,36,0.0005039711651884882,0.9432,0.0000,0.8516,1.0589,0.0000,0.0000
2019-08-02 05:27:35,1610,69,Amazon,Webcam,DANN,SGD,36,0.000487219620043949,0.9324,0.0000,0.8101,1.0645,0.0000,0.0000
2019-08-02 05:30:31,1725,74,Amazon,Webcam,DANN,SGD,36,0.00047171219993257673,0.9336,0.0000,0.8403,1.0644,0.0000,0.0000
2019-08-02 05:33:27,1840,79,Amazon,Webcam,DANN,SGD,36,0.00045730961101440935,0.9384,0.0000,0.8226,1.0506,0.0000,0.0000
2019-08-02 05:36:28,1955,84,Amazon,Webcam,DANN,SGD,36,0.00044389299475439717,0.9493,0.0000,0.8302,1.0368,0.0000,0.0000
2019-08-02 05:39:29,2070,89,Amazon,Webcam,DANN,SGD,36,0.0004313602733292376,0.9529,0.0000,0.8491,1.0360,0.0000,0.0000
2019-08-02 05:42:27,2185,94,Amazon,Webcam,DANN,SGD,36,0.0004196232575207583,0.9517,0.0000,0.8440,1.0417,0.0000,0.0000
2019-08-02 05:45:27,2300,99,Amazon,Webcam,DANN,SGD,36,0.00040860533687992704,0.9698,0.0000,0.8365,1.0252,0.0000,0.0000
2019-08-02 05:48:27,2415,104,Amazon,Webcam,DANN,SGD,36,0.0003982396191970717,0.9601,0.0000,0.8428,1.0261,0.0000,0.0000
2019-08-02 05:51:31,2530,109,Amazon,Webcam,DANN,SGD,36,0.0003884674200351854,0.9541,0.0000,0.8415,1.0382,0.0000,0.0000
2019-08-02 05:54:30,2645,114,Amazon,Webcam,DANN,SGD,36,0.0003792370274546534,0.9589,0.0000,0.8465,1.0332,0.0000,0.0000
2019-08-02 05:57:33,2760,119,Amazon,Webcam,DANN,SGD,36,0.00037050268487937124,0.9469,0.0000,0.8365,1.0478,0.0000,0.0000
2019-08-02 06:00:34,2875,124,Amazon,Webcam,DANN,SGD,36,0.00036222374822905923,0.9577,0.0000,0.8390,1.0396,0.0000,0.0000
2019-08-02 06:03:34,2990,129,Amazon,Webcam,DANN,SGD,36,0.00035436398328164286,0.9589,0.0000,0.8264,1.0187,0.0000,0.0000
2019-08-02 06:06:31,3105,134,Amazon,Webcam,DANN,SGD,36,0.0003468909766475229,0.9577,0.0000,0.8214,1.0432,0.0000,0.0000
2019-08-02 06:09:31,3220,139,Amazon,Webcam,DANN,SGD,36,0.0003397756393801184,0.9614,0.0000,0.8201,1.0266,0.0000,0.0000
2019-08-02 06:12:29,3335,144,Amazon,Webcam,DANN,SGD,36,0.00033299178657509747,0.9541,0.0000,0.8239,1.0363,0.0000,0.0000
2019-08-02 06:15:26,3450,149,Amazon,Webcam,DANN,SGD,36,0.00032651577965662234,0.9505,0.0000,0.8214,1.0397,0.0000,0.0000
2019-08-02 06:18:27,3565,154,Amazon,Webcam,DANN,SGD,36,0.0003203262206547776,0.9541,0.0000,0.8239,1.0339,0.0000,0.0000
2019-08-02 06:21:22,3680,159,Amazon,Webcam,DANN,SGD,36,0.0003144036898220335,0.9541,0.0000,0.8327,1.0476,0.0000,0.0000
2019-08-02 06:24:24,3795,164,Amazon,Webcam,DANN,SGD,36,0.00030873051955000367,0.9614,0.0000,0.8239,1.0288,0.0000,0.0000
2019-08-02 06:27:21,3910,169,Amazon,Webcam,DANN,SGD,36,0.00030329059882946014,0.9601,0.0000,0.8403,1.0216,0.0000,0.0000
2019-08-02 06:30:17,4025,174,Amazon,Webcam,DANN,SGD,36,0.0002980692035208178,0.9553,0.0000,0.8088,1.0227,0.0000,0.0000
2019-08-02 06:33:15,4140,179,Amazon,Webcam,DANN,SGD,36,0.00029305284852541744,0.9638,0.0000,0.8314,1.0278,0.0000,0.0000
2019-08-02 06:36:15,4255,184,Amazon,Webcam,DANN,SGD,36,0.0002882291586129844,0.9758,0.0000,0.8390,1.0015,0.0000,0.0000
2019-08-02 06:39:16,4370,189,Amazon,Webcam,DANN,SGD,36,0.0002835867552006937,0.9758,0.0000,0.8252,1.0061,0.0000,0.0000
2019-08-02 06:42:15,4485,194,Amazon,Webcam,DANN,SGD,36,0.00027911515681997956,0.9626,0.0000,0.8390,1.0207,0.0000,0.0000
2019-08-02 06:45:14,4600,199,Amazon,Webcam,DANN,SGD,36,0.00027480469136852,0.9698,0.0000,0.8390,1.0092,0.0000,0.0000
2019-08-02 06:48:05,4715,204,Amazon,Webcam,DANN,SGD,36,0.0002706464185423364,0.9541,0.0000,0.8440,1.0340,0.0000,0.0000
2019-08-02 06:51:03,4830,209,Amazon,Webcam,DANN,SGD,36,0.0002666320610889666,0.9734,0.0000,0.8252,1.0022,0.0000,0.0000
2019-08-02 06:54:00,4945,214,Amazon,Webcam,DANN,SGD,36,0.00026275394372694534,0.9638,0.0000,0.8428,1.0109,0.0000,0.0000
2019-08-02 06:56:57,5060,219,Amazon,Webcam,DANN,SGD,36,0.0002590049387470878,0.9662,0.0000,0.8365,1.0119,0.0000,0.0000
2019-08-02 06:59:57,5175,224,Amazon,Webcam,DANN,SGD,36,0.00025537841745352515,0.9783,0.0000,0.8428,0.9933,0.0000,0.0000
2019-08-02 07:02:56,5290,229,Amazon,Webcam,DANN,SGD,36,0.00025186820672204495,0.9674,0.0000,0.8465,1.0147,0.0000,0.0000
2019-08-02 07:05:53,5405,234,Amazon,Webcam,DANN,SGD,36,0.0002484685500540605,0.9686,0.0000,0.8491,1.0095,0.0000,0.0000
2019-08-02 07:08:50,5520,239,Amazon,Webcam,DANN,SGD,36,0.0002451740725897124,0.9831,0.0000,0.8491,0.9899,0.0000,0.0000
2019-08-02 07:11:51,5635,244,Amazon,Webcam,DANN,SGD,36,0.00024197974961583934,0.9662,0.0000,0.8629,1.0095,0.0000,0.0000
2019-08-02 07:14:48,5750,249,Amazon,Webcam,DANN,SGD,36,0.00023888087816599437,0.9686,0.0000,0.8491,1.0252,0.0000,0.0000
2019-08-02 07:17:44,5865,254,Amazon,Webcam,DANN,SGD,36,0.00023587305136209667,0.9698,0.0000,0.8390,1.0057,0.0000,0.0000
2019-08-02 07:20:41,5980,259,Amazon,Webcam,DANN,SGD,36,0.00023295213519215,0.9698,0.0000,0.8478,1.0067,0.0000,0.0000
2019-08-02 07:23:37,6095,264,Amazon,Webcam,DANN,SGD,36,0.00023011424745692714,0.9662,0.0000,0.8465,1.0194,0.0000,0.0000
2019-08-02 07:26:28,6210,269,Amazon,Webcam,DANN,SGD,36,0.0002273557386516063,0.9758,0.0000,0.8365,0.9982,0.0000,0.0000
2019-08-02 07:29:27,6325,274,Amazon,Webcam,DANN,SGD,36,0.0002246731745768792,0.9626,0.0000,0.8478,1.0167,0.0000,0.0000
2019-08-02 07:32:23,6440,279,Amazon,Webcam,DANN,SGD,36,0.000222063320498715,0.9722,0.0000,0.8566,0.9996,0.0000,0.0000
2019-08-02 07:35:25,6555,284,Amazon,Webcam,DANN,SGD,36,0.00021952312669733942,0.9565,0.0000,0.8465,1.0246,0.0000,0.0000
2019-08-02 07:38:21,6670,289,Amazon,Webcam,DANN,SGD,36,0.00021704971526455123,0.9650,0.0000,0.8415,1.0172,0.0000,0.0000
2019-08-02 07:41:18,6785,294,Amazon,Webcam,DANN,SGD,36,0.00021464036802465856,0.9626,0.0000,0.8616,1.0062,0.0000,0.0000
2019-08-02 07:44:18,6900,299,Amazon,Webcam,DANN,SGD,36,0.0002122925154684156,0.9686,0.0000,0.8491,1.0016,0.0000,0.0000
2019-08-02 07:47:18,7015,304,Amazon,Webcam,DANN,SGD,36,0.0002100037266016632,0.9626,0.0000,0.8428,1.0139,0.0000,0.0000
2019-08-02 07:50:16,7130,309,Amazon,Webcam,DANN,SGD,36,0.00020777169962117378,0.9601,0.0000,0.8428,1.0217,0.0000,0.0000
2019-08-02 07:53:16,7245,314,Amazon,Webcam,DANN,SGD,36,0.00020559425333967717,0.9686,0.0000,0.8516,1.0092,0.0000,0.0000
2019-08-02 07:56:13,7360,319,Amazon,Webcam,DANN,SGD,36,0.0002034693192903755,0.9710,0.0000,0.8616,1.0002,0.0000,0.0000
2019-08-02 07:59:12,7475,324,Amazon,Webcam,DANN,SGD,36,0.00020139493444860032,0.9565,0.0000,0.8604,1.0284,0.0000,0.0000
2019-08-02 08:02:12,7590,329,Amazon,Webcam,DANN,SGD,36,0.00019936923451474182,0.9758,0.0000,0.8616,0.9957,0.0000,0.0000
2019-08-02 08:05:19,7705,334,Amazon,Webcam,DANN,SGD,36,0.0001973904477083141,0.9710,0.0000,0.8654,1.0031,0.0000,0.0000
2019-08-02 08:08:28,7820,339,Amazon,Webcam,DANN,SGD,36,0.00019545688902809175,0.9734,0.0000,0.8503,1.0031,0.0000,0.0000
2019-08-02 08:11:42,7935,344,Amazon,Webcam,DANN,SGD,36,0.00019356695493775902,0.9783,0.0000,0.8516,0.9860,0.0000,0.0000
2019-08-02 08:14:50,8050,349,Amazon,Webcam,DANN,SGD,36,0.00019171911844051128,0.9722,0.0000,0.8478,1.0022,0.0000,0.0000
2019-08-02 08:18:01,8165,354,Amazon,Webcam,DANN,SGD,36,0.0001899119245096112,0.9710,0.0000,0.8516,1.0125,0.0000,0.0000
2019-08-02 08:21:14,8280,359,Amazon,Webcam,DANN,SGD,36,0.00018814398584507654,0.9758,0.0000,0.8591,1.0012,0.0000,0.0000
2019-08-02 08:24:26,8395,364,Amazon,Webcam,DANN,SGD,36,0.00018641397892950844,0.9783,0.0000,0.8566,0.9989,0.0000,0.0000
2019-08-02 08:27:37,8510,369,Amazon,Webcam,DANN,SGD,36,0.00018472064035860488,0.9662,0.0000,0.8629,1.0079,0.0000,0.0000
2019-08-02 08:30:43,8625,374,Amazon,Webcam,DANN,SGD,36,0.00018306276342417094,0.9577,0.0000,0.8566,1.0223,0.0000,0.0000
2019-08-02 08:34:00,8740,379,Amazon,Webcam,DANN,SGD,36,0.00018143919492947036,0.9626,0.0000,0.8415,1.0234,0.0000,0.0000
2019-08-02 08:37:16,8855,384,Amazon,Webcam,DANN,SGD,36,0.00017984883221859049,0.9638,0.0000,0.8553,1.0130,0.0000,0.0000
2019-08-02 08:40:21,8970,389,Amazon,Webcam,DANN,SGD,36,0.00017829062040313113,0.9758,0.0000,0.8616,0.9980,0.0000,0.0000
2019-08-02 08:43:21,9085,394,Amazon,Webcam,DANN,SGD,36,0.0001767635497710074,0.9746,0.0000,0.8704,0.9980,0.0000,0.0000
2019-08-02 08:46:19,9200,399,Amazon,Webcam,DANN,SGD,36,0.00017526665336348542,0.9746,0.0000,0.8365,0.9962,0.0000,0.0000
2019-08-02 08:49:19,9315,404,Amazon,Webcam,DANN,SGD,36,0.0001737990047077729,0.9783,0.0000,0.8616,0.9938,0.0000,0.0000
2019-08-02 08:52:19,9430,409,Amazon,Webcam,DANN,SGD,36,0.0001723597156935695,0.9674,0.0000,0.8604,1.0174,0.0000,0.0000
2019-08-02 08:55:19,9545,414,Amazon,Webcam,DANN,SGD,36,0.00017094793458296575,0.9674,0.0000,0.8579,1.0109,0.0000,0.0000
2019-08-02 08:58:23,9660,419,Amazon,Webcam,DANN,SGD,36,0.00016956284414396477,0.9710,0.0000,0.8591,1.0043,0.0000,0.0000
2019-08-02 09:01:26,9775,424,Amazon,Webcam,DANN,SGD,36,0.00016820365989870975,0.9771,0.0000,0.8679,0.9991,0.0000,0.0000
2019-08-02 09:04:30,9890,429,Amazon,Webcam,DANN,SGD,36,0.00016686962847822816,0.9686,0.0000,0.8566,1.0063,0.0000,0.0000
2019-08-02 09:07:32,10005,434,Amazon,Webcam,DANN,SGD,36,0.00016556002607617017,0.9686,0.0000,0.8717,1.0170,0.0000,0.0000
