time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2020-03-19 07:21:25,116,3,Amazon,Webcam,MY,SGD,28,0.00092163144122123,0.7623,0.0000,0.6931,1.4801,0.0000,0.0000
2020-03-19 07:26:39,232,7,Amazon,Webcam,MY,SGD,28,0.0008557184588913329,0.8091,0.0000,0.6755,1.3158,0.0000,0.0000
2020-03-19 07:31:54,348,11,Amazon,Webcam,MY,SGD,28,0.0007998487216425274,0.8534,0.0000,0.7409,1.1271,0.0000,0.0000
2020-03-19 07:37:08,464,15,Amazon,Webcam,MY,SGD,28,0.0007518097856933751,0.8584,0.0000,0.7484,1.0694,0.0000,0.0000
2020-03-19 07:42:22,580,19,Amazon,Webcam,MY,SGD,28,0.000710004599325149,0.8916,0.0000,0.7560,0.9374,0.0000,0.0000
2020-03-19 07:47:35,696,23,Amazon,Webcam,MY,SGD,28,0.0006732496373959273,0.9039,0.0000,0.7585,0.9268,0.0000,0.0000
2020-03-19 07:52:49,812,27,Amazon,Webcam,MY,SGD,28,0.000640648022203437,0.9076,0.0000,0.7824,0.9418,0.0000,0.0000
2020-03-19 07:58:03,928,31,Amazon,Webcam,MY,SGD,28,0.0006115069133796134,0.8941,0.0000,0.8101,1.0038,0.0000,0.0000
2020-03-19 08:03:17,1044,35,Amazon,Webcam,MY,SGD,28,0.0005852820709667514,0.9335,0.0000,0.8214,0.9580,0.0000,0.0000
2020-03-19 08:08:31,1160,39,Amazon,Webcam,MY,SGD,28,0.0005615396662222589,0.9557,0.0000,0.8264,0.8739,0.0000,0.0000
2020-03-19 08:13:45,1276,43,Amazon,Webcam,MY,SGD,28,0.0005399293637627795,0.9200,0.0000,0.8264,1.0116,0.0000,0.0000
2020-03-19 08:18:59,1392,47,Amazon,Webcam,MY,SGD,28,0.0005201649603032369,0.9372,0.0000,0.8478,0.9524,0.0000,0.0000
2020-03-19 08:24:11,1508,51,Amazon,Webcam,MY,SGD,28,0.0005020102055285807,0.9458,0.0000,0.8704,0.9432,0.0000,0.0000
2020-03-19 08:29:21,1624,55,Amazon,Webcam,MY,SGD,28,0.00048526824921260397,0.9335,0.0000,0.8717,1.0146,0.0000,0.0000
2020-03-19 08:34:33,1740,59,Amazon,Webcam,MY,SGD,28,0.0004697736722222898,0.9397,0.0000,0.8717,0.9807,0.0000,0.0000
2020-03-19 08:39:44,1856,63,Amazon,Webcam,MY,SGD,28,0.0004553863890209257,0.9458,0.0000,0.8881,0.9363,0.0000,0.0000
2020-03-19 08:44:56,1972,67,Amazon,Webcam,MY,SGD,28,0.0004419869259458967,0.9421,0.0000,0.8868,0.9785,0.0000,0.0000
2020-03-19 08:50:09,2088,71,Amazon,Webcam,MY,SGD,28,0.00042947272460943476,0.9631,0.0000,0.8893,0.9201,0.0000,0.0000
2020-03-19 08:55:24,2204,75,Amazon,Webcam,MY,SGD,28,0.0004177552186527327,0.9495,0.0000,0.8956,0.9745,0.0000,0.0000
2020-03-19 09:00:38,2320,79,Amazon,Webcam,MY,SGD,28,0.0004067575005882195,0.9470,0.0000,0.9057,0.9782,0.0000,0.0000
2020-03-19 09:05:51,2436,83,Amazon,Webcam,MY,SGD,28,0.000396412443637936,0.9680,0.0000,0.9069,0.9239,0.0000,0.0000
2020-03-19 09:11:02,2552,87,Amazon,Webcam,MY,SGD,28,0.0003866611778210599,0.9470,0.0000,0.9094,1.0009,0.0000,0.0000
2020-03-19 09:16:13,2668,91,Amazon,Webcam,MY,SGD,28,0.0003774518443432736,0.9532,0.0000,0.9145,0.9613,0.0000,0.0000
2020-03-19 09:21:25,2784,95,Amazon,Webcam,MY,SGD,28,0.00036873857046004104,0.9594,0.0000,0.9107,0.9529,0.0000,0.0000
2020-03-19 09:26:36,2900,99,Amazon,Webcam,MY,SGD,28,0.0003604806203702235,0.9631,0.0000,0.9182,0.9461,0.0000,0.0000
2020-03-19 09:31:49,3016,103,Amazon,Webcam,MY,SGD,28,0.000352641687684642,0.9544,0.0000,0.9182,0.9640,0.0000,0.0000
2020-03-19 09:37:02,3132,107,Amazon,Webcam,MY,SGD,28,0.00034518930253938664,0.9606,0.0000,0.9157,0.9639,0.0000,0.0000
2020-03-19 09:42:17,3248,111,Amazon,Webcam,MY,SGD,28,0.00033809433214409363,0.9544,0.0000,0.9195,0.9686,0.0000,0.0000
2020-03-19 09:47:32,3364,115,Amazon,Webcam,MY,SGD,28,0.00033133055794051097,0.9631,0.0000,0.9157,0.9352,0.0000,0.0000
2020-03-19 09:52:46,3480,119,Amazon,Webcam,MY,SGD,28,0.00032487431593475975,0.9631,0.0000,0.9220,0.9542,0.0000,0.0000
2020-03-19 09:58:01,3596,123,Amazon,Webcam,MY,SGD,28,0.0003187041894039679,0.9631,0.0000,0.9220,0.9494,0.0000,0.0000
2020-03-19 10:03:15,3712,127,Amazon,Webcam,MY,SGD,28,0.0003128007452452298,0.9680,0.0000,0.9195,0.9267,0.0000,0.0000
2020-03-19 10:08:30,3828,131,Amazon,Webcam,MY,SGD,28,0.0003071463068660909,0.9680,0.0000,0.9170,0.9584,0.0000,0.0000
2020-03-19 10:13:42,3944,135,Amazon,Webcam,MY,SGD,28,0.0003017247578110439,0.9594,0.0000,0.9170,0.9586,0.0000,0.0000
2020-03-19 10:18:54,4060,139,Amazon,Webcam,MY,SGD,28,0.0002965213713531725,0.9618,0.0000,0.9157,0.9695,0.0000,0.0000
2020-03-19 10:24:05,4176,143,Amazon,Webcam,MY,SGD,28,0.0002915226621112205,0.9692,0.0000,0.9170,0.9249,0.0000,0.0000
2020-03-19 10:29:16,4292,147,Amazon,Webcam,MY,SGD,28,0.0002867162564236227,0.9655,0.0000,0.9182,0.9290,0.0000,0.0000
2020-03-19 10:34:28,4408,151,Amazon,Webcam,MY,SGD,28,0.0002820907787559352,0.9692,0.0000,0.9195,0.9363,0.0000,0.0000
