time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-27 01:58:57,156,1,Dslr,Amazon,MT,SGD,36,0.001,0.9676,0.0000,0.6024,0.1142,0.0000,1.7627
2019-07-27 02:03:25,312,3,Dslr,Amazon,MT,SGD,36,0.001,0.9783,0.0000,0.6184,0.0713,0.0000,1.7842
2019-07-27 02:07:51,468,5,Dslr,Amazon,MT,SGD,36,0.001,0.9861,0.0000,0.6287,0.0488,0.0000,1.7005
2019-07-27 02:12:17,624,7,Dslr,Amazon,MT,SGD,36,0.001,0.9875,0.0000,0.6028,0.0460,0.0000,1.8579
2019-07-27 02:16:45,780,9,Dslr,Amazon,MT,SGD,36,0.001,0.9907,0.0000,0.6163,0.0351,0.0000,1.8023
2019-07-27 02:21:12,936,11,Dslr,Amazon,MT,SGD,36,0.001,0.9875,0.0000,0.6120,0.0426,0.0000,1.7910
2019-07-27 02:25:35,1092,13,Dslr,Amazon,MT,SGD,36,0.001,0.9879,0.0000,0.6191,0.0367,0.0000,1.7792
2019-07-27 02:31:11,1248,15,Dslr,Amazon,MT,SGD,36,0.001,0.9922,0.0000,0.6226,0.0300,0.0000,1.7102
2019-07-27 02:38:24,1404,17,Dslr,Amazon,MT,SGD,36,0.001,0.9936,0.0000,0.6131,0.0239,0.0000,1.7869
2019-07-27 02:45:36,1560,19,Dslr,Amazon,MT,SGD,36,0.001,0.9918,0.0000,0.6134,0.0309,0.0000,1.7747
2019-07-27 02:53:00,1716,21,Dslr,Amazon,MT,SGD,36,0.001,0.9922,0.0000,0.6248,0.0296,0.0000,1.6957
2019-07-27 03:00:33,1872,23,Dslr,Amazon,MT,SGD,36,0.001,0.9925,0.0000,0.6099,0.0298,0.0000,1.8301
2019-07-27 03:08:04,2028,25,Dslr,Amazon,MT,SGD,36,0.001,0.9943,0.0000,0.6131,0.0201,0.0000,1.7596
2019-07-27 03:15:35,2184,27,Dslr,Amazon,MT,SGD,36,0.001,0.9936,0.0000,0.6166,0.0277,0.0000,1.6923
2019-07-27 03:23:02,2340,29,Dslr,Amazon,MT,SGD,36,0.001,0.9961,0.0000,0.6202,0.0174,0.0000,1.7149
2019-07-27 03:30:31,2496,31,Dslr,Amazon,MT,SGD,36,0.001,0.9950,0.0000,0.6226,0.0197,0.0000,1.6806
2019-07-27 03:37:47,2652,33,Dslr,Amazon,MT,SGD,36,0.001,0.9932,0.0000,0.6049,0.0242,0.0000,1.7224
2019-07-27 03:43:24,2808,35,Dslr,Amazon,MT,SGD,36,0.001,0.9957,0.0000,0.6120,0.0182,0.0000,1.7132
2019-07-27 03:50:30,2964,37,Dslr,Amazon,MT,SGD,36,0.001,0.9947,0.0000,0.6113,0.0218,0.0000,1.7391
2019-07-27 03:57:43,3120,39,Dslr,Amazon,MT,SGD,36,0.001,0.9947,0.0000,0.6148,0.0198,0.0000,1.7283
2019-07-27 04:03:58,3276,41,Dslr,Amazon,MT,SGD,36,0.001,0.9975,0.0000,0.6244,0.0150,0.0000,1.6798
2019-07-27 04:09:57,3432,43,Dslr,Amazon,MT,SGD,36,0.001,0.9968,0.0000,0.6195,0.0121,0.0000,1.6843
2019-07-27 04:15:53,3588,45,Dslr,Amazon,MT,SGD,36,0.001,0.9968,0.0000,0.6191,0.0133,0.0000,1.7124
2019-07-27 04:21:52,3744,47,Dslr,Amazon,MT,SGD,36,0.001,0.9964,0.0000,0.6131,0.0176,0.0000,1.7186
2019-07-27 04:27:53,3900,49,Dslr,Amazon,MT,SGD,36,0.001,0.9954,0.0000,0.6120,0.0148,0.0000,1.6884
2019-07-27 04:34:30,4056,51,Dslr,Amazon,MT,SGD,36,0.001,0.9961,0.0000,0.6173,0.0159,0.0000,1.6962
2019-07-27 04:41:16,4212,53,Dslr,Amazon,MT,SGD,36,0.001,0.9975,0.0000,0.6180,0.0130,0.0000,1.6712
2019-07-27 04:48:28,4368,55,Dslr,Amazon,MT,SGD,36,0.001,0.9972,0.0000,0.6166,0.0132,0.0000,1.7108
2019-07-27 04:56:22,4524,57,Dslr,Amazon,MT,SGD,36,0.001,0.9979,0.0000,0.6109,0.0110,0.0000,1.7324
2019-07-27 05:04:15,4680,59,Dslr,Amazon,MT,SGD,36,0.001,0.9939,0.0000,0.6155,0.0185,0.0000,1.7392
