time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-08-02 05:32:30,506,21,Dslr,Webcam,DANN,SGD,36,0.0007360229028772128,0.9831,0.0000,0.9673,0.9645,0.0000,0.0000
2019-08-02 06:00:01,1012,43,Dslr,Webcam,DANN,SGD,36,0.0005922518526722734,0.9807,0.0000,0.9673,0.9869,0.0000,0.0000
2019-08-02 06:31:11,1518,65,Dslr,Webcam,DANN,SGD,36,0.0005005138405611126,0.9855,0.0000,0.9774,0.9811,0.0000,0.0000
2019-08-02 07:02:36,2024,87,Dslr,Webcam,DANN,SGD,36,0.0004362732204744836,0.9915,0.0000,0.9736,0.9775,0.0000,0.0000
2019-08-02 07:33:41,2530,109,Dslr,Webcam,DANN,SGD,36,0.0003884674200351854,0.9928,0.0000,0.9786,0.9650,0.0000,0.0000
2019-08-02 08:04:52,3036,131,Dslr,Webcam,DANN,SGD,36,0.00035133006823782995,0.9952,0.0000,0.9711,0.9678,0.0000,0.0000
2019-08-02 08:36:15,3542,153,Dslr,Webcam,DANN,SGD,36,0.00032154217533559833,0.9964,0.0000,0.9736,0.9567,0.0000,0.0000
2019-08-02 09:06:02,4048,175,Dslr,Webcam,DANN,SGD,36,0.00029704994052493503,0.9952,0.0000,0.9761,0.9646,0.0000,0.0000
2019-08-02 09:33:23,4554,197,Dslr,Webcam,DANN,SGD,36,0.0002765101293304244,0.9928,0.0000,0.9723,0.9743,0.0000,0.0000
2019-08-02 10:00:50,5060,219,Dslr,Webcam,DANN,SGD,36,0.0002590049387470878,0.9940,0.0000,0.9786,0.9638,0.0000,0.0000
2019-08-02 10:28:22,5566,241,Dslr,Webcam,DANN,SGD,36,0.00024388459514663498,0.9940,0.0000,0.9698,0.9648,0.0000,0.0000
2019-08-02 10:56:00,6072,263,Dslr,Webcam,DANN,SGD,36,0.00023067536111119182,0.9976,0.0000,0.9711,0.9591,0.0000,0.0000
2019-08-02 11:22:13,6578,285,Dslr,Webcam,DANN,SGD,36,0.00021902319103009552,0.9915,0.0000,0.9686,0.9762,0.0000,0.0000
2019-08-02 11:48:21,7084,307,Dslr,Webcam,DANN,SGD,36,0.00020865784118982462,0.9964,0.0000,0.9736,0.9653,0.0000,0.0000
2019-08-02 12:15:29,7590,329,Dslr,Webcam,DANN,SGD,36,0.00019936923451474182,0.9940,0.0000,0.9748,0.9652,0.0000,0.0000
2019-08-02 12:43:07,8096,351,Dslr,Webcam,DANN,SGD,36,0.00019099144292232412,0.9952,0.0000,0.9711,0.9607,0.0000,0.0000
2019-08-02 13:10:42,8602,373,Dslr,Webcam,DANN,SGD,36,0.0001833915579795883,0.9952,0.0000,0.9736,0.9612,0.0000,0.0000
2019-08-02 13:38:24,9108,395,Dslr,Webcam,DANN,SGD,36,0.0001764617867677969,0.9964,0.0000,0.9673,0.9601,0.0000,0.0000
2019-08-02 14:05:59,9614,417,Dslr,Webcam,DANN,SGD,36,0.00017011372835960687,0.9964,0.0000,0.9648,0.9598,0.0000,0.0000
