time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-08-03 01:51:44,506,21,Dslr,Webcam,MADA,SGD,36,0.0007360229028772128,0.9783,0.0000,0.9748,21.4172,0.0000,0.0000
2019-08-03 02:18:23,1012,43,Dslr,Webcam,MADA,SGD,36,0.0005922518526722734,0.9903,0.0000,0.9786,21.6912,0.0000,0.0000
2019-08-03 02:44:56,1518,65,Dslr,Webcam,MADA,SGD,36,0.0005005138405611126,0.9758,0.0000,0.9660,21.7031,0.0000,0.0000
2019-08-03 03:11:30,2024,87,Dslr,Webcam,MADA,SGD,36,0.0004362732204744836,0.9952,0.0000,0.9723,21.5489,0.0000,0.0000
2019-08-03 03:38:03,2530,109,Dslr,Webcam,MADA,SGD,36,0.0003884674200351854,0.9891,0.0000,0.9836,21.5263,0.0000,0.0000
2019-08-03 04:04:38,3036,131,Dslr,Webcam,MADA,SGD,36,0.00035133006823782995,0.9928,0.0000,0.9799,21.4974,0.0000,0.0000
2019-08-03 04:31:11,3542,153,Dslr,Webcam,MADA,SGD,36,0.00032154217533559833,0.9940,0.0000,0.9774,21.4786,0.0000,0.0000
2019-08-03 04:57:36,4048,175,Dslr,Webcam,MADA,SGD,36,0.00029704994052493503,0.9976,0.0000,0.9761,21.4824,0.0000,0.0000
2019-08-03 05:24:07,4554,197,Dslr,Webcam,MADA,SGD,36,0.0002765101293304244,0.9964,0.0000,0.9811,21.4748,0.0000,0.0000
2019-08-03 05:50:36,5060,219,Dslr,Webcam,MADA,SGD,36,0.0002590049387470878,0.9964,0.0000,0.9824,21.4640,0.0000,0.0000
2019-08-03 06:17:07,5566,241,Dslr,Webcam,MADA,SGD,36,0.00024388459514663498,0.9988,0.0000,0.9824,21.4535,0.0000,0.0000
2019-08-03 06:43:44,6072,263,Dslr,Webcam,MADA,SGD,36,0.00023067536111119182,0.9940,0.0000,0.9774,21.4518,0.0000,0.0000
2019-08-03 07:10:16,6578,285,Dslr,Webcam,MADA,SGD,36,0.00021902319103009552,0.9952,0.0000,0.9824,21.4318,0.0000,0.0000
