time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-26 17:15:48,110,4,Webcam,Amazon,Baseline,SGD,36,0.001,0.9535,0.0000,0.6124,0.1622,0.0000,1.7447
2019-07-26 17:16:37,220,9,Webcam,Amazon,Baseline,SGD,36,0.001,0.9774,0.0000,0.5879,0.0824,0.0000,1.8954
2019-07-26 17:17:27,330,14,Webcam,Amazon,Baseline,SGD,36,0.001,0.9686,0.0000,0.6042,0.0913,0.0000,1.9107
2019-07-26 17:18:17,440,19,Webcam,Amazon,Baseline,SGD,36,0.001,0.9660,0.0000,0.6148,0.0950,0.0000,1.7793
2019-07-26 17:19:07,550,24,Webcam,Amazon,Baseline,SGD,36,0.001,0.9761,0.0000,0.6109,0.0759,0.0000,1.8451
2019-07-26 17:19:57,660,29,Webcam,Amazon,Baseline,SGD,36,0.001,0.9761,0.0000,0.5729,0.0569,0.0000,2.0777
2019-07-26 17:20:46,770,34,Webcam,Amazon,Baseline,SGD,36,0.001,0.9824,0.0000,0.6145,0.0462,0.0000,1.8201
2019-07-26 17:21:36,880,39,Webcam,Amazon,Baseline,SGD,36,0.001,0.9824,0.0000,0.5889,0.0505,0.0000,1.9967
2019-07-26 17:22:25,990,44,Webcam,Amazon,Baseline,SGD,36,0.001,0.9698,0.0000,0.5651,0.0857,0.0000,2.2179
2019-07-26 17:23:15,1100,49,Webcam,Amazon,Baseline,SGD,36,0.001,0.9748,0.0000,0.5669,0.0703,0.0000,2.2502
2019-07-26 17:24:05,1210,54,Webcam,Amazon,Baseline,SGD,36,0.001,0.9862,0.0000,0.5960,0.0338,0.0000,1.9188
2019-07-26 17:24:55,1320,59,Webcam,Amazon,Baseline,SGD,36,0.001,0.9874,0.0000,0.5967,0.0354,0.0000,1.9234
2019-07-26 17:25:45,1430,64,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5893,0.0384,0.0000,1.9583
2019-07-26 17:26:35,1540,69,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5854,0.0305,0.0000,2.0122
2019-07-26 17:27:25,1650,74,Webcam,Amazon,Baseline,SGD,36,0.001,0.9925,0.0000,0.5946,0.0205,0.0000,1.9228
2019-07-26 17:28:15,1760,79,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5882,0.0279,0.0000,2.0096
2019-07-26 17:29:06,1870,84,Webcam,Amazon,Baseline,SGD,36,0.001,0.9862,0.0000,0.5932,0.0343,0.0000,1.9972
2019-07-26 17:29:56,1980,89,Webcam,Amazon,Baseline,SGD,36,0.001,0.9811,0.0000,0.5811,0.0419,0.0000,2.0640
2019-07-26 17:30:46,2090,94,Webcam,Amazon,Baseline,SGD,36,0.001,0.9874,0.0000,0.5840,0.0341,0.0000,1.9863
2019-07-26 17:31:36,2200,99,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5911,0.0168,0.0000,1.9722
2019-07-26 17:32:26,2310,104,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5779,0.0218,0.0000,2.0073
2019-07-26 17:33:16,2420,109,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5765,0.0351,0.0000,2.0250
2019-07-26 17:34:06,2530,114,Webcam,Amazon,Baseline,SGD,36,0.001,0.9912,0.0000,0.5744,0.0178,0.0000,1.9630
2019-07-26 17:34:56,2640,119,Webcam,Amazon,Baseline,SGD,36,0.001,0.9862,0.0000,0.5705,0.0316,0.0000,2.0708
2019-07-26 17:35:45,2750,124,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5772,0.0317,0.0000,2.0299
2019-07-26 17:36:35,2860,129,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5840,0.0350,0.0000,1.9027
2019-07-26 17:37:25,2970,134,Webcam,Amazon,Baseline,SGD,36,0.001,0.9912,0.0000,0.5847,0.0277,0.0000,1.9546
2019-07-26 17:38:15,3080,139,Webcam,Amazon,Baseline,SGD,36,0.001,0.9899,0.0000,0.5772,0.0299,0.0000,1.9441
