time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-08-02 09:51:06,610,4,Art,Clipart,DANN,SGD,36,0.000700055165608746,0.8741,0.0000,0.4467,1.1043,0.0000,0.0000
2019-08-02 10:21:45,1220,9,Art,Clipart,DANN,SGD,36,0.0005501151127217315,0.9103,0.0000,0.4474,1.1018,0.0000,0.0000
2019-08-02 10:52:24,1830,14,Art,Clipart,DANN,SGD,36,0.0004585212845315031,0.9178,0.0000,0.4490,1.1097,0.0000,0.0000
2019-08-02 11:21:13,2440,19,Art,Clipart,DANN,SGD,36,0.00039606662451275074,0.9337,0.0000,0.4499,1.0686,0.0000,0.0000
2019-08-02 11:49:49,3050,24,Art,Clipart,DANN,SGD,36,0.0003504186832792559,0.9431,0.0000,0.4483,1.0665,0.0000,0.0000
2019-08-02 12:19:53,3660,29,Art,Clipart,DANN,SGD,36,0.0003154153070825469,0.9483,0.0000,0.4470,1.0564,0.0000,0.0000
2019-08-02 12:50:27,4270,34,Art,Clipart,DANN,SGD,36,0.00028761357938097997,0.9449,0.0000,0.4440,1.0583,0.0000,0.0000
2019-08-02 13:21:04,4880,39,Art,Clipart,DANN,SGD,36,0.00026492961371473535,0.9485,0.0000,0.4442,1.0492,0.0000,0.0000
2019-08-02 13:51:43,5490,44,Art,Clipart,DANN,SGD,36,0.000246023648052946,0.9508,0.0000,0.4534,1.0458,0.0000,0.0000
2019-08-02 14:22:20,6100,49,Art,Clipart,DANN,SGD,36,0.00022999268726610892,0.9583,0.0000,0.4385,1.0308,0.0000,0.0000
2019-08-02 14:53:13,6710,54,Art,Clipart,DANN,SGD,36,0.0002162045491426538,0.9647,0.0000,0.4367,1.0201,0.0000,0.0000
2019-08-02 15:23:48,7320,59,Art,Clipart,DANN,SGD,36,0.0002042025955274518,0.9608,0.0000,0.4490,1.0284,0.0000,0.0000
2019-08-02 15:54:42,7930,64,Art,Clipart,DANN,SGD,36,0.00019364823982658203,0.9595,0.0000,0.4373,1.0279,0.0000,0.0000
2019-08-02 16:25:31,8540,69,Art,Clipart,DANN,SGD,36,0.00018428477957201426,0.9581,0.0000,0.4422,1.0326,0.0000,0.0000
2019-08-02 16:56:16,9150,74,Art,Clipart,DANN,SGD,36,0.00017591383057998842,0.9638,0.0000,0.4330,1.0220,0.0000,0.0000
2019-08-02 17:27:10,9760,79,Art,Clipart,DANN,SGD,36,0.00016837950256677947,0.9661,0.0000,0.4474,1.0118,0.0000,0.0000
