iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
136,1,Art,Product,Baseline,SGD,36,0.001,0.6737,0.0000,0.5767,1.2163,0.0000,1.7447
272,3,Art,Product,Baseline,SGD,36,0.001,0.8105,0.0000,0.6542,0.6876,0.0000,1.5243
408,5,Art,Product,Baseline,SGD,36,0.001,0.8463,0.0000,0.6139,0.5795,0.0000,1.7470
544,7,Art,Product,Baseline,SGD,36,0.001,0.8867,0.0000,0.6215,0.4208,0.0000,1.6509
680,9,Art,Product,Baseline,SGD,36,0.001,0.8945,0.0000,0.6296,0.4156,0.0000,1.7501
816,11,Art,Product,Baseline,SGD,36,0.001,0.9069,0.0000,0.6272,0.3683,0.0000,1.7358
952,13,Art,Product,Baseline,SGD,36,0.001,0.9279,0.0000,0.6105,0.2754,0.0000,1.8587
1088,15,Art,Product,Baseline,SGD,36,0.001,0.9213,0.0000,0.6409,0.3030,0.0000,1.6564
1224,17,Art,Product,Baseline,SGD,36,0.001,0.9349,0.0000,0.6213,0.2555,0.0000,1.8419
1360,19,Art,Product,Baseline,SGD,36,0.001,0.9328,0.0000,0.6294,0.2546,0.0000,1.7526
1496,21,Art,Product,Baseline,SGD,36,0.001,0.9407,0.0000,0.6303,0.2309,0.0000,1.8185
1632,23,Art,Product,Baseline,SGD,36,0.001,0.9353,0.0000,0.6260,0.2398,0.0000,1.7097
1768,25,Art,Product,Baseline,SGD,36,0.001,0.9460,0.0000,0.6263,0.2198,0.0000,1.7699
1904,27,Art,Product,Baseline,SGD,36,0.001,0.9489,0.0000,0.6321,0.1796,0.0000,1.6947
2040,29,Art,Product,Baseline,SGD,36,0.001,0.9456,0.0000,0.6342,0.2014,0.0000,1.7080
2176,31,Art,Product,Baseline,SGD,36,0.001,0.9464,0.0000,0.6211,0.1955,0.0000,1.7669
2312,33,Art,Product,Baseline,SGD,36,0.001,0.9448,0.0000,0.6143,0.1958,0.0000,1.7856
2448,35,Art,Product,Baseline,SGD,36,0.001,0.9506,0.0000,0.6310,0.1943,0.0000,1.6569
2584,37,Art,Product,Baseline,SGD,36,0.001,0.9551,0.0000,0.6179,0.1701,0.0000,1.7459
2720,39,Art,Product,Baseline,SGD,36,0.001,0.9584,0.0000,0.6339,0.1482,0.0000,1.6928
2856,41,Art,Product,Baseline,SGD,36,0.001,0.9539,0.0000,0.6281,0.1686,0.0000,1.7059
2992,43,Art,Product,Baseline,SGD,36,0.001,0.9600,0.0000,0.6193,0.1555,0.0000,1.7267
3128,45,Art,Product,Baseline,SGD,36,0.001,0.9547,0.0000,0.6310,0.1634,0.0000,1.6497
