iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
122,0,Clipart,Real World,Baseline,SGD,36,0.001,0.3514,0.0000,0.4746,2.6818,0.0000,2.0888
244,1,Clipart,Real World,Baseline,SGD,36,0.001,0.5993,0.0000,0.5263,1.5277,0.0000,1.9206
366,2,Clipart,Real World,Baseline,SGD,36,0.001,0.6804,0.0000,0.5667,1.1913,0.0000,1.7893
488,3,Clipart,Real World,Baseline,SGD,36,0.001,0.7253,0.0000,0.5800,1.0012,0.0000,1.6809
610,4,Clipart,Real World,Baseline,SGD,36,0.001,0.7489,0.0000,0.5853,0.9118,0.0000,1.7115
732,5,Clipart,Real World,Baseline,SGD,36,0.001,0.7897,0.0000,0.5917,0.7567,0.0000,1.7354
854,6,Clipart,Real World,Baseline,SGD,36,0.001,0.8025,0.0000,0.5951,0.7148,0.0000,1.7600
976,7,Clipart,Real World,Baseline,SGD,36,0.001,0.8273,0.0000,0.5901,0.6430,0.0000,1.8203
1098,8,Clipart,Real World,Baseline,SGD,36,0.001,0.8312,0.0000,0.5997,0.6081,0.0000,1.8049
1220,9,Clipart,Real World,Baseline,SGD,36,0.001,0.8293,0.0000,0.5846,0.6058,0.0000,1.8701
1342,10,Clipart,Real World,Baseline,SGD,36,0.001,0.8371,0.0000,0.5947,0.5732,0.0000,1.7727
1464,11,Clipart,Real World,Baseline,SGD,36,0.001,0.8527,0.0000,0.5905,0.5098,0.0000,1.8104
1586,12,Clipart,Real World,Baseline,SGD,36,0.001,0.8527,0.0000,0.5910,0.5032,0.0000,1.8711
1708,13,Clipart,Real World,Baseline,SGD,36,0.001,0.8722,0.0000,0.5901,0.4627,0.0000,1.8734
1830,14,Clipart,Real World,Baseline,SGD,36,0.001,0.8699,0.0000,0.5779,0.4756,0.0000,1.9094
1952,15,Clipart,Real World,Baseline,SGD,36,0.001,0.8710,0.0000,0.5855,0.4616,0.0000,1.9273
2074,16,Clipart,Real World,Baseline,SGD,36,0.001,0.8806,0.0000,0.5742,0.4247,0.0000,1.9709
2196,17,Clipart,Real World,Baseline,SGD,36,0.001,0.8813,0.0000,0.5699,0.4301,0.0000,1.9479
2318,18,Clipart,Real World,Baseline,SGD,36,0.001,0.8790,0.0000,0.5761,0.4295,0.0000,2.0081
2440,19,Clipart,Real World,Baseline,SGD,36,0.001,0.8942,0.0000,0.5742,0.3725,0.0000,1.9796
