iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
121,0,Product,Clipart,DANN,SGD,36,0.001,0.5909,0.0000,0.3285,3.0184,0.0000,3.3244
242,1,Product,Clipart,DANN,SGD,36,0.001,0.8074,0.0000,0.3384,2.0640,0.0000,3.5652
363,2,Product,Clipart,DANN,SGD,36,0.001,0.8512,0.0000,0.3288,1.9130,0.0000,3.7964
484,3,Product,Clipart,DANN,SGD,36,0.001,0.8703,0.0000,0.3283,1.8363,0.0000,3.8857
605,4,Product,Clipart,DANN,SGD,36,0.001,0.8848,0.0000,0.3395,1.7968,0.0000,3.8185
726,5,Product,Clipart,DANN,SGD,36,0.001,0.9061,0.0000,0.3567,1.7228,0.0000,3.7444
847,6,Product,Clipart,DANN,SGD,36,0.001,0.9116,0.0000,0.3549,1.6923,0.0000,3.8168
968,7,Product,Clipart,DANN,SGD,36,0.001,0.9171,0.0000,0.3228,1.6895,0.0000,4.1696
1089,8,Product,Clipart,DANN,SGD,36,0.001,0.9180,0.0000,0.3329,1.6746,0.0000,4.0826
1210,9,Product,Clipart,DANN,SGD,36,0.001,0.9229,0.0000,0.3466,1.6547,0.0000,3.8392
1331,10,Product,Clipart,DANN,SGD,36,0.001,0.9348,0.0000,0.3203,1.6117,0.0000,4.0203
1452,11,Product,Clipart,DANN,SGD,36,0.001,0.9325,0.0000,0.3514,1.6222,0.0000,3.8082
1573,12,Product,Clipart,DANN,SGD,36,0.001,0.9275,0.0000,0.3510,1.6338,0.0000,3.7769
1694,13,Product,Clipart,DANN,SGD,36,0.001,0.9408,0.0000,0.3425,1.5970,0.0000,3.9048
1815,14,Product,Clipart,DANN,SGD,36,0.001,0.9435,0.0000,0.3455,1.5874,0.0000,3.8699
1936,15,Product,Clipart,DANN,SGD,36,0.001,0.9456,0.0000,0.3565,1.5811,0.0000,3.7951
2057,16,Product,Clipart,DANN,SGD,36,0.001,0.9493,0.0000,0.3450,1.5750,0.0000,3.9444
2178,17,Product,Clipart,DANN,SGD,36,0.001,0.9493,0.0000,0.3530,1.5663,0.0000,3.8558
2299,18,Product,Clipart,DANN,SGD,36,0.001,0.9486,0.0000,0.3468,1.5675,0.0000,3.7830
2420,19,Product,Clipart,DANN,SGD,36,0.001,0.9493,0.0000,0.3606,1.5597,0.0000,3.7326
2541,20,Product,Clipart,DANN,SGD,36,0.001,0.9458,0.0000,0.3416,1.5754,0.0000,3.8324
2662,21,Product,Clipart,DANN,SGD,36,0.001,0.9467,0.0000,0.3640,1.5750,0.0000,3.7781
2783,22,Product,Clipart,DANN,SGD,36,0.001,0.9580,0.0000,0.3471,1.5416,0.0000,3.8292
2904,23,Product,Clipart,DANN,SGD,36,0.001,0.9541,0.0000,0.3565,1.5450,0.0000,3.8170
3025,24,Product,Clipart,DANN,SGD,36,0.001,0.9506,0.0000,0.3528,1.5535,0.0000,3.9422
3146,25,Product,Clipart,DANN,SGD,36,0.001,0.9495,0.0000,0.3473,1.5657,0.0000,3.8628
3267,26,Product,Clipart,DANN,SGD,36,0.001,0.9536,0.0000,0.3345,1.5421,0.0000,3.8073
3388,27,Product,Clipart,DANN,SGD,36,0.001,0.9587,0.0000,0.3482,1.5378,0.0000,3.8218
3509,28,Product,Clipart,DANN,SGD,36,0.001,0.9587,0.0000,0.3274,1.5323,0.0000,3.9546
3630,29,Product,Clipart,DANN,SGD,36,0.001,0.9571,0.0000,0.3306,1.5394,0.0000,3.7702
3751,30,Product,Clipart,DANN,SGD,36,0.001,0.9578,0.0000,0.3448,1.5382,0.0000,3.5532
3872,31,Product,Clipart,DANN,SGD,36,0.001,0.9578,0.0000,0.3363,1.5337,0.0000,3.6512
3993,32,Product,Clipart,DANN,SGD,36,0.001,0.9566,0.0000,0.3446,1.5289,0.0000,3.5161
4114,33,Product,Clipart,DANN,SGD,36,0.001,0.9617,0.0000,0.3324,1.5142,0.0000,3.6223
4235,34,Product,Clipart,DANN,SGD,36,0.001,0.9619,0.0000,0.3480,1.5215,0.0000,3.5948
4356,35,Product,Clipart,DANN,SGD,36,0.001,0.9681,0.0000,0.3333,1.5036,0.0000,3.7363
4477,36,Product,Clipart,DANN,SGD,36,0.001,0.9591,0.0000,0.3471,1.5281,0.0000,3.5613
4598,37,Product,Clipart,DANN,SGD,36,0.001,0.9669,0.0000,0.3569,1.5015,0.0000,3.4553
4719,38,Product,Clipart,DANN,SGD,36,0.001,0.9660,0.0000,0.3574,1.5043,0.0000,3.5454
4840,39,Product,Clipart,DANN,SGD,36,0.001,0.9612,0.0000,0.3340,1.5160,0.0000,3.5545
4961,40,Product,Clipart,DANN,SGD,36,0.001,0.9672,0.0000,0.3184,1.5112,0.0000,3.7711
5082,41,Product,Clipart,DANN,SGD,36,0.001,0.9612,0.0000,0.3242,1.5279,0.0000,3.6968
