iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
124,0,Product,Real World,Baseline,SGD,36,0.001,0.5963,0.0000,0.6610,1.6588,0.0000,1.2663
248,1,Product,Real World,Baseline,SGD,36,0.001,0.8103,0.0000,0.6626,0.6614,0.0000,1.3438
372,2,Product,Real World,Baseline,SGD,36,0.001,0.8603,0.0000,0.6805,0.4984,0.0000,1.2818
496,3,Product,Real World,Baseline,SGD,36,0.001,0.8797,0.0000,0.6851,0.4237,0.0000,1.2333
620,4,Product,Real World,Baseline,SGD,36,0.001,0.8986,0.0000,0.7032,0.3514,0.0000,1.2332
744,5,Product,Real World,Baseline,SGD,36,0.001,0.9148,0.0000,0.7000,0.3112,0.0000,1.2420
868,6,Product,Real World,Baseline,SGD,36,0.001,0.9175,0.0000,0.6897,0.3019,0.0000,1.2916
992,7,Product,Real World,Baseline,SGD,36,0.001,0.9281,0.0000,0.6853,0.2509,0.0000,1.3406
1116,8,Product,Real World,Baseline,SGD,36,0.001,0.9311,0.0000,0.6943,0.2534,0.0000,1.2959
1240,9,Product,Real World,Baseline,SGD,36,0.001,0.9351,0.0000,0.6856,0.2264,0.0000,1.3578
1364,10,Product,Real World,Baseline,SGD,36,0.001,0.9342,0.0000,0.6982,0.2368,0.0000,1.3285
1488,11,Product,Real World,Baseline,SGD,36,0.001,0.9383,0.0000,0.6892,0.2188,0.0000,1.3352
1612,12,Product,Real World,Baseline,SGD,36,0.001,0.9475,0.0000,0.6874,0.1933,0.0000,1.4147
1736,13,Product,Real World,Baseline,SGD,36,0.001,0.9448,0.0000,0.6931,0.1932,0.0000,1.3152
1860,14,Product,Real World,Baseline,SGD,36,0.001,0.9527,0.0000,0.6982,0.1796,0.0000,1.2826
1984,15,Product,Real World,Baseline,SGD,36,0.001,0.9459,0.0000,0.7030,0.1896,0.0000,1.2707
2108,16,Product,Real World,Baseline,SGD,36,0.001,0.9511,0.0000,0.7012,0.1762,0.0000,1.2965
2232,17,Product,Real World,Baseline,SGD,36,0.001,0.9572,0.0000,0.6821,0.1591,0.0000,1.3857
2356,18,Product,Real World,Baseline,SGD,36,0.001,0.9565,0.0000,0.7044,0.1540,0.0000,1.2936
2480,19,Product,Real World,Baseline,SGD,36,0.001,0.9585,0.0000,0.6941,0.1562,0.0000,1.3323
2604,20,Product,Real World,Baseline,SGD,36,0.001,0.9554,0.0000,0.6883,0.1685,0.0000,1.3417
2728,21,Product,Real World,Baseline,SGD,36,0.001,0.9576,0.0000,0.6961,0.1524,0.0000,1.3260
2852,22,Product,Real World,Baseline,SGD,36,0.001,0.9585,0.0000,0.7051,0.1533,0.0000,1.2789
2976,23,Product,Real World,Baseline,SGD,36,0.001,0.9570,0.0000,0.6911,0.1559,0.0000,1.3723
3100,24,Product,Real World,Baseline,SGD,36,0.001,0.9635,0.0000,0.6927,0.1427,0.0000,1.2753
3224,25,Product,Real World,Baseline,SGD,36,0.001,0.9622,0.0000,0.6927,0.1328,0.0000,1.3169
3348,26,Product,Real World,Baseline,SGD,36,0.001,0.9622,0.0000,0.7023,0.1391,0.0000,1.2680
3472,27,Product,Real World,Baseline,SGD,36,0.001,0.9606,0.0000,0.6945,0.1452,0.0000,1.3416
3596,28,Product,Real World,Baseline,SGD,36,0.001,0.9556,0.0000,0.6920,0.1619,0.0000,1.3098
3720,29,Product,Real World,Baseline,SGD,36,0.001,0.9646,0.0000,0.6927,0.1364,0.0000,1.3299
3844,30,Product,Real World,Baseline,SGD,36,0.001,0.9633,0.0000,0.6975,0.1443,0.0000,1.2853
3968,31,Product,Real World,Baseline,SGD,36,0.001,0.9617,0.0000,0.6849,0.1380,0.0000,1.3342
4092,32,Product,Real World,Baseline,SGD,36,0.001,0.9624,0.0000,0.6970,0.1350,0.0000,1.2904
4216,33,Product,Real World,Baseline,SGD,36,0.001,0.9642,0.0000,0.6888,0.1184,0.0000,1.3100
4340,34,Product,Real World,Baseline,SGD,36,0.001,0.9651,0.0000,0.7032,0.1273,0.0000,1.2835
4464,35,Product,Real World,Baseline,SGD,36,0.001,0.9624,0.0000,0.6927,0.1428,0.0000,1.3118
