time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-28 06:50:01,234,0,MNIST,USPS,Baseline,Adam,256,0.001,0.9477,0.9852,0.6607,0.1833,0.0000,0.0000
2019-07-28 06:50:08,468,1,MNIST,USPS,Baseline,Adam,256,0.001,0.9796,0.9906,0.6507,0.0623,0.0000,0.0000
2019-07-28 06:50:17,702,2,MNIST,USPS,Baseline,Adam,256,0.001,0.9835,0.9898,0.6996,0.0481,0.0000,0.0000
2019-07-28 06:50:26,936,3,MNIST,USPS,Baseline,Adam,256,0.001,0.9849,0.9864,0.6507,0.0436,0.0000,0.0000
2019-07-28 06:50:35,1170,4,MNIST,USPS,Baseline,Adam,256,0.001,0.9866,0.9868,0.7459,0.0385,0.0000,0.0000
2019-07-28 06:50:44,1404,5,MNIST,USPS,Baseline,Adam,256,0.001,0.9876,0.9911,0.6946,0.0339,0.0000,0.0000
2019-07-28 06:50:53,1638,6,MNIST,USPS,Baseline,Adam,256,0.001,0.9884,0.9913,0.7564,0.0311,0.0000,0.0000
2019-07-28 06:51:01,1872,7,MNIST,USPS,Baseline,Adam,256,0.001,0.9882,0.9923,0.6901,0.0314,0.0000,0.0000
2019-07-28 06:51:08,2106,8,MNIST,USPS,Baseline,Adam,256,0.001,0.9893,0.9914,0.7299,0.0289,0.0000,0.0000
2019-07-28 06:51:16,2340,9,MNIST,USPS,Baseline,Adam,256,0.001,0.9898,0.9916,0.6791,0.0264,0.0000,0.0000
2019-07-28 06:51:25,2574,10,MNIST,USPS,Baseline,Adam,256,0.001,0.9896,0.9924,0.6268,0.0273,0.0000,0.0000
2019-07-28 06:51:34,2808,11,MNIST,USPS,Baseline,Adam,256,0.001,0.9899,0.9936,0.6991,0.0264,0.0000,0.0000
2019-07-28 06:51:43,3042,12,MNIST,USPS,Baseline,Adam,256,0.001,0.9909,0.9903,0.7977,0.0248,0.0000,0.0000
2019-07-28 06:51:52,3276,13,MNIST,USPS,Baseline,Adam,256,0.001,0.9903,0.9924,0.7549,0.0243,0.0000,0.0000
2019-07-28 06:52:01,3510,14,MNIST,USPS,Baseline,Adam,256,0.001,0.9909,0.9928,0.6692,0.0233,0.0000,0.0000
2019-07-28 06:52:11,3744,15,MNIST,USPS,Baseline,Adam,256,0.001,0.9914,0.9936,0.6039,0.0223,0.0000,0.0000
2019-07-28 06:52:19,3978,16,MNIST,USPS,Baseline,Adam,256,0.001,0.9907,0.9922,0.6831,0.0231,0.0000,0.0000
2019-07-28 06:52:28,4212,17,MNIST,USPS,Baseline,Adam,256,0.001,0.9911,0.9921,0.6841,0.0227,0.0000,0.0000
2019-07-28 06:52:37,4446,18,MNIST,USPS,Baseline,Adam,256,0.001,0.9907,0.9933,0.6901,0.0238,0.0000,0.0000
2019-07-28 06:52:47,4680,19,MNIST,USPS,Baseline,Adam,256,0.001,0.9914,0.9921,0.6183,0.0221,0.0000,0.0000
