time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-31 06:31:04,29,0,MNIST,USPS,DANN,Adam,256,0.001,0.8002,0.9382,0.5551,1.5046,0.0000,0.0000
2019-07-31 06:31:07,58,1,MNIST,USPS,DANN,Adam,256,0.001,0.9531,0.9734,0.5506,1.0825,0.0000,0.0000
2019-07-31 06:31:12,87,2,MNIST,USPS,DANN,Adam,256,0.001,0.9696,0.9715,0.6846,0.9588,0.0000,0.0000
2019-07-31 06:31:15,116,3,MNIST,USPS,DANN,Adam,256,0.001,0.9743,0.9823,0.7050,0.8555,0.0000,0.0000
2019-07-31 06:31:19,145,4,MNIST,USPS,DANN,Adam,256,0.001,0.9754,0.9714,0.7095,0.7553,0.0000,0.0000
2019-07-31 06:31:23,174,5,MNIST,USPS,DANN,Adam,256,0.001,0.9744,0.9837,0.7260,0.6867,0.0000,0.0000
2019-07-31 06:31:27,203,6,MNIST,USPS,DANN,Adam,256,0.001,0.9764,0.9856,0.6323,0.7290,0.0000,0.0000
2019-07-31 06:31:31,232,7,MNIST,USPS,DANN,Adam,256,0.001,0.9754,0.9815,0.6333,0.7368,0.0000,0.0000
2019-07-31 06:31:35,261,8,MNIST,USPS,DANN,Adam,256,0.001,0.9762,0.9788,0.7743,0.7502,0.0000,0.0000
2019-07-31 06:31:39,290,9,MNIST,USPS,DANN,Adam,256,0.001,0.9717,0.9520,0.7833,0.7775,0.0000,0.0000
2019-07-31 06:31:42,319,10,MNIST,USPS,DANN,Adam,256,0.001,0.9701,0.9711,0.4958,0.7895,0.0000,0.0000
2019-07-31 06:31:46,348,11,MNIST,USPS,DANN,Adam,256,0.001,0.9700,0.9544,0.5232,0.8468,0.0000,0.0000
2019-07-31 06:31:50,377,12,MNIST,USPS,DANN,Adam,256,0.001,0.9705,0.9705,0.7569,0.8211,0.0000,0.0000
2019-07-31 06:31:54,406,13,MNIST,USPS,DANN,Adam,256,0.001,0.9706,0.9684,0.7394,0.8520,0.0000,0.0000
2019-07-31 06:31:58,435,14,MNIST,USPS,DANN,Adam,256,0.001,0.9682,0.9824,0.7808,0.8673,0.0000,0.0000
2019-07-31 06:32:02,464,15,MNIST,USPS,DANN,Adam,256,0.001,0.9678,0.9789,0.6926,0.8712,0.0000,0.0000
2019-07-31 06:32:06,493,16,MNIST,USPS,DANN,Adam,256,0.001,0.9692,0.9618,0.7404,0.8655,0.0000,0.0000
2019-07-31 06:32:09,522,17,MNIST,USPS,DANN,Adam,256,0.001,0.9679,0.9832,0.6791,0.8461,0.0000,0.0000
2019-07-31 06:32:12,551,18,MNIST,USPS,DANN,Adam,256,0.001,0.9697,0.9555,0.6786,0.8691,0.0000,0.0000
2019-07-31 06:32:16,580,19,MNIST,USPS,DANN,Adam,256,0.001,0.9674,0.9823,0.7643,0.8625,0.0000,0.0000
2019-07-31 06:32:22,609,20,MNIST,USPS,DANN,Adam,256,0.001,0.9657,0.9772,0.8206,0.8976,0.0000,0.0000
2019-07-31 06:32:26,638,21,MNIST,USPS,DANN,Adam,256,0.001,0.9646,0.9767,0.6119,0.9059,0.0000,0.0000
2019-07-31 06:32:29,667,22,MNIST,USPS,DANN,Adam,256,0.001,0.9652,0.9740,0.6492,0.9008,0.0000,0.0000
2019-07-31 06:32:33,696,23,MNIST,USPS,DANN,Adam,256,0.001,0.9611,0.9793,0.8371,0.9277,0.0000,0.0000
