time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-31 08:30:05,29,0,MNIST,USPS,MADA,Adam,256,0.001,0.7790,0.9465,0.6697,7.9469,0.0000,0.0000
2019-07-31 08:30:12,58,1,MNIST,USPS,MADA,Adam,256,0.001,0.9515,0.9678,0.7085,3.8480,0.0000,0.0000
2019-07-31 08:30:18,87,2,MNIST,USPS,MADA,Adam,256,0.001,0.9669,0.9817,0.7155,2.3661,0.0000,0.0000
2019-07-31 08:30:25,116,3,MNIST,USPS,MADA,Adam,256,0.001,0.9526,0.9707,0.7778,4.4077,0.0000,0.0000
2019-07-31 08:30:31,145,4,MNIST,USPS,MADA,Adam,256,0.001,0.9520,0.9702,0.8072,4.0459,0.0000,0.0000
2019-07-31 08:30:37,174,5,MNIST,USPS,MADA,Adam,256,0.001,0.9411,0.9221,0.7952,4.6357,0.0000,0.0000
2019-07-31 08:30:44,203,6,MNIST,USPS,MADA,Adam,256,0.001,0.9461,0.9444,0.7519,4.3571,0.0000,0.0000
2019-07-31 08:30:50,232,7,MNIST,USPS,MADA,Adam,256,0.001,0.9507,0.9566,0.6477,3.2448,0.0000,0.0000
2019-07-31 08:30:56,261,8,MNIST,USPS,MADA,Adam,256,0.001,0.9360,0.9708,0.7025,3.7918,0.0000,0.0000
2019-07-31 08:31:02,290,9,MNIST,USPS,MADA,Adam,256,0.001,0.9558,0.9431,0.6637,2.6525,0.0000,0.0000
2019-07-31 08:31:08,319,10,MNIST,USPS,MADA,Adam,256,0.001,0.9254,0.9678,0.7479,4.2825,0.0000,0.0000
2019-07-31 08:31:14,348,11,MNIST,USPS,MADA,Adam,256,0.001,0.9310,0.9354,0.6398,3.3858,0.0000,0.0000
2019-07-31 08:31:19,377,12,MNIST,USPS,MADA,Adam,256,0.001,0.9267,0.9716,0.5894,3.7046,0.0000,0.0000
2019-07-31 08:31:26,406,13,MNIST,USPS,MADA,Adam,256,0.001,0.9267,0.9202,0.5262,3.3097,0.0000,0.0000
2019-07-31 08:31:32,435,14,MNIST,USPS,MADA,Adam,256,0.001,0.9161,0.9509,0.7618,3.8642,0.0000,0.0000
2019-07-31 08:31:38,464,15,MNIST,USPS,MADA,Adam,256,0.001,0.9251,0.9664,0.7165,3.4590,0.0000,0.0000
2019-07-31 08:31:44,493,16,MNIST,USPS,MADA,Adam,256,0.001,0.9363,0.9118,0.6642,2.8428,0.0000,0.0000
2019-07-31 08:31:50,522,17,MNIST,USPS,MADA,Adam,256,0.001,0.9091,0.9521,0.5780,3.4898,0.0000,0.0000
2019-07-31 08:31:56,551,18,MNIST,USPS,MADA,Adam,256,0.001,0.9102,0.9229,0.5600,2.6651,0.0000,0.0000
2019-07-31 08:32:02,580,19,MNIST,USPS,MADA,Adam,256,0.001,0.9246,0.8751,0.6537,2.3413,0.0000,0.0000
2019-07-31 08:32:08,609,20,MNIST,USPS,MADA,Adam,256,0.001,0.9001,0.9456,0.7449,3.7359,0.0000,0.0000
2019-07-31 08:32:14,638,21,MNIST,USPS,MADA,Adam,256,0.001,0.9271,0.9617,0.7474,1.8760,0.0000,0.0000
2019-07-31 08:32:20,667,22,MNIST,USPS,MADA,Adam,256,0.001,0.9345,0.9392,0.7025,1.4441,0.0000,0.0000
2019-07-31 08:32:26,696,23,MNIST,USPS,MADA,Adam,256,0.001,0.8897,0.9526,0.6996,3.7481,0.0000,0.0000
2019-07-31 08:32:32,725,24,MNIST,USPS,MADA,Adam,256,0.001,0.9107,0.9588,0.7075,3.2779,0.0000,0.0000
2019-07-31 08:32:39,754,25,MNIST,USPS,MADA,Adam,256,0.001,0.9399,0.9520,0.7230,1.9807,0.0000,0.0000
2019-07-31 08:32:45,783,26,MNIST,USPS,MADA,Adam,256,0.001,0.9034,0.8259,0.6258,2.9686,0.0000,0.0000
2019-07-31 08:32:51,812,27,MNIST,USPS,MADA,Adam,256,0.001,0.9073,0.9600,0.7783,2.5248,0.0000,0.0000
2019-07-31 08:32:57,841,28,MNIST,USPS,MADA,Adam,256,0.001,0.9453,0.9644,0.7872,1.1066,0.0000,0.0000
2019-07-31 08:33:03,870,29,MNIST,USPS,MADA,Adam,256,0.001,0.9500,0.9640,0.7803,1.0630,0.0000,0.0000
2019-07-31 08:33:09,899,30,MNIST,USPS,MADA,Adam,256,0.001,0.9002,0.9057,0.6368,3.1000,0.0000,0.0000
2019-07-31 08:33:15,928,31,MNIST,USPS,MADA,Adam,256,0.001,0.8652,0.9304,0.6761,3.7374,0.0000,0.0000
2019-07-31 08:33:22,957,32,MNIST,USPS,MADA,Adam,256,0.001,0.9227,0.9481,0.7588,2.1333,0.0000,0.0000
2019-07-31 08:33:28,986,33,MNIST,USPS,MADA,Adam,256,0.001,0.8831,0.8636,0.7588,3.2416,0.0000,0.0000
2019-07-31 08:33:34,1015,34,MNIST,USPS,MADA,Adam,256,0.001,0.8956,0.8982,0.7060,3.0390,0.0000,0.0000
2019-07-31 08:33:40,1044,35,MNIST,USPS,MADA,Adam,256,0.001,0.9207,0.9623,0.7738,2.1548,0.0000,0.0000
2019-07-31 08:33:46,1073,36,MNIST,USPS,MADA,Adam,256,0.001,0.9320,0.8946,0.7708,1.7948,0.0000,0.0000
2019-07-31 08:33:52,1102,37,MNIST,USPS,MADA,Adam,256,0.001,0.8832,0.9238,0.7260,3.0823,0.0000,0.0000
2019-07-31 08:33:58,1131,38,MNIST,USPS,MADA,Adam,256,0.001,0.9265,0.9446,0.5242,1.4994,0.0000,0.0000
2019-07-31 08:34:04,1160,39,MNIST,USPS,MADA,Adam,256,0.001,0.8996,0.8763,0.3423,2.2095,0.0000,0.0000
2019-07-31 08:34:10,1189,40,MNIST,USPS,MADA,Adam,256,0.001,0.8902,0.9338,0.7374,3.1100,0.0000,0.0000
2019-07-31 08:34:16,1218,41,MNIST,USPS,MADA,Adam,256,0.001,0.8906,0.9009,0.6821,2.8549,0.0000,0.0000
2019-07-31 08:34:22,1247,42,MNIST,USPS,MADA,Adam,256,0.001,0.8891,0.9070,0.5496,2.7048,0.0000,0.0000
2019-07-31 08:34:28,1276,43,MNIST,USPS,MADA,Adam,256,0.001,0.8450,0.9391,0.6168,3.3690,0.0000,0.0000
2019-07-31 08:34:34,1305,44,MNIST,USPS,MADA,Adam,256,0.001,0.8909,0.9523,0.7469,2.7737,0.0000,0.0000
2019-07-31 08:34:40,1334,45,MNIST,USPS,MADA,Adam,256,0.001,0.9007,0.9438,0.7005,2.2435,0.0000,0.0000
2019-07-31 08:34:46,1363,46,MNIST,USPS,MADA,Adam,256,0.001,0.8785,0.9129,0.6163,2.8467,0.0000,0.0000
2019-07-31 08:34:52,1392,47,MNIST,USPS,MADA,Adam,256,0.001,0.8909,0.9168,0.6084,1.9721,0.0000,0.0000
2019-07-31 08:34:58,1421,48,MNIST,USPS,MADA,Adam,256,0.001,0.9042,0.8526,0.6557,1.6565,0.0000,0.0000
2019-07-31 08:35:05,1450,49,MNIST,USPS,MADA,Adam,256,0.001,0.8943,0.8861,0.7673,1.7037,0.0000,0.0000
2019-07-31 08:35:11,1479,50,MNIST,USPS,MADA,Adam,256,0.001,0.9107,0.8847,0.7484,2.2343,0.0000,0.0000
2019-07-31 08:35:17,1508,51,MNIST,USPS,MADA,Adam,256,0.001,0.8758,0.8584,0.4539,3.5196,0.0000,0.0000
2019-07-31 08:35:23,1537,52,MNIST,USPS,MADA,Adam,256,0.001,0.8605,0.8953,0.5321,3.0915,0.0000,0.0000
2019-07-31 08:35:29,1566,53,MNIST,USPS,MADA,Adam,256,0.001,0.8727,0.9495,0.7698,2.6296,0.0000,0.0000
2019-07-31 08:35:35,1595,54,MNIST,USPS,MADA,Adam,256,0.001,0.9201,0.9505,0.8087,1.4962,0.0000,0.0000
2019-07-31 08:35:41,1624,55,MNIST,USPS,MADA,Adam,256,0.001,0.8755,0.9394,0.7404,3.1350,0.0000,0.0000
2019-07-31 08:35:47,1653,56,MNIST,USPS,MADA,Adam,256,0.001,0.9236,0.9479,0.7917,1.5651,0.0000,0.0000
2019-07-31 08:35:53,1682,57,MNIST,USPS,MADA,Adam,256,0.001,0.9277,0.8801,0.7608,1.3406,0.0000,0.0000
2019-07-31 08:35:59,1711,58,MNIST,USPS,MADA,Adam,256,0.001,0.9057,0.9348,0.7578,1.8904,0.0000,0.0000
2019-07-31 08:36:05,1740,59,MNIST,USPS,MADA,Adam,256,0.001,0.9058,0.8967,0.6672,2.1492,0.0000,0.0000
2019-07-31 08:36:11,1769,60,MNIST,USPS,MADA,Adam,256,0.001,0.9041,0.8786,0.5690,1.9528,0.0000,0.0000
2019-07-31 08:36:17,1798,61,MNIST,USPS,MADA,Adam,256,0.001,0.8288,0.9332,0.6961,5.0942,0.0000,0.0000
2019-07-31 08:36:24,1827,62,MNIST,USPS,MADA,Adam,256,0.001,0.9217,0.9614,0.8082,1.5921,0.0000,0.0000
2019-07-31 08:36:30,1856,63,MNIST,USPS,MADA,Adam,256,0.001,0.9343,0.9549,0.7982,1.3091,0.0000,0.0000
2019-07-31 08:36:36,1885,64,MNIST,USPS,MADA,Adam,256,0.001,0.8842,0.8556,0.6143,3.2617,0.0000,0.0000
2019-07-31 08:36:42,1914,65,MNIST,USPS,MADA,Adam,256,0.001,0.8808,0.9535,0.7494,2.7584,0.0000,0.0000
2019-07-31 08:36:48,1943,66,MNIST,USPS,MADA,Adam,256,0.001,0.9169,0.9503,0.6961,1.3658,0.0000,0.0000
2019-07-31 08:36:54,1972,67,MNIST,USPS,MADA,Adam,256,0.001,0.8780,0.8947,0.6826,3.0609,0.0000,0.0000
2019-07-31 08:37:00,2001,68,MNIST,USPS,MADA,Adam,256,0.001,0.8963,0.9539,0.7339,1.9072,0.0000,0.0000
2019-07-31 08:37:06,2030,69,MNIST,USPS,MADA,Adam,256,0.001,0.9242,0.9554,0.7394,1.2240,0.0000,0.0000
2019-07-31 08:37:12,2059,70,MNIST,USPS,MADA,Adam,256,0.001,0.9236,0.9399,0.7085,1.6342,0.0000,0.0000
2019-07-31 08:37:18,2088,71,MNIST,USPS,MADA,Adam,256,0.001,0.9255,0.9397,0.5825,1.3839,0.0000,0.0000
2019-07-31 08:37:24,2117,72,MNIST,USPS,MADA,Adam,256,0.001,0.9147,0.9405,0.6672,1.8907,0.0000,0.0000
2019-07-31 08:37:30,2146,73,MNIST,USPS,MADA,Adam,256,0.001,0.9228,0.9168,0.6592,1.3939,0.0000,0.0000
2019-07-31 08:37:36,2175,74,MNIST,USPS,MADA,Adam,256,0.001,0.8831,0.9275,0.6981,2.6927,0.0000,0.0000
2019-07-31 08:37:42,2204,75,MNIST,USPS,MADA,Adam,256,0.001,0.9261,0.9271,0.7618,1.3892,0.0000,0.0000
2019-07-31 08:37:48,2233,76,MNIST,USPS,MADA,Adam,256,0.001,0.8291,0.8299,0.5635,4.8006,0.0000,0.0000
2019-07-31 08:37:55,2262,77,MNIST,USPS,MADA,Adam,256,0.001,0.9011,0.9502,0.7578,1.9338,0.0000,0.0000
2019-07-31 08:38:01,2291,78,MNIST,USPS,MADA,Adam,256,0.001,0.9355,0.9575,0.7603,0.8386,0.0000,0.0000
2019-07-31 08:38:07,2320,79,MNIST,USPS,MADA,Adam,256,0.001,0.9469,0.9655,0.7479,0.5475,0.0000,0.0000
2019-07-31 08:38:13,2349,80,MNIST,USPS,MADA,Adam,256,0.001,0.9471,0.9663,0.7927,0.4848,0.0000,0.0000
2019-07-31 08:38:19,2378,81,MNIST,USPS,MADA,Adam,256,0.001,0.9561,0.9678,0.7603,0.4675,0.0000,0.0000
2019-07-31 08:38:25,2407,82,MNIST,USPS,MADA,Adam,256,0.001,0.9542,0.9600,0.7534,0.6058,0.0000,0.0000
