time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-27 09:40:29,28,0,MNIST,USPS,MCD,Adam,256,0.001,0.8539,0.9078,0.7546,0.4939,0.0000,0.0000
2019-07-27 09:40:38,56,1,MNIST,USPS,MCD,Adam,256,0.001,0.9587,0.8730,0.7947,0.1369,0.0000,0.0000
2019-07-27 09:40:48,84,2,MNIST,USPS,MCD,Adam,256,0.001,0.9676,0.9453,0.8084,0.1068,0.0000,0.0000
2019-07-27 09:40:57,112,3,MNIST,USPS,MCD,Adam,256,0.001,0.9704,0.9692,0.8226,0.0894,0.0000,0.0000
2019-07-27 09:41:07,140,4,MNIST,USPS,MCD,Adam,256,0.001,0.9731,0.9077,0.8682,0.0872,0.0000,0.0000
2019-07-27 09:41:16,168,5,MNIST,USPS,MCD,Adam,256,0.001,0.9761,0.9094,0.8647,0.0766,0.0000,0.0000
2019-07-27 09:41:26,196,6,MNIST,USPS,MCD,Adam,256,0.001,0.9775,0.9383,0.8510,0.0720,0.0000,0.0000
2019-07-27 09:41:35,224,7,MNIST,USPS,MCD,Adam,256,0.001,0.9736,0.9239,0.8515,0.0893,0.0000,0.0000
2019-07-27 09:41:45,252,8,MNIST,USPS,MCD,Adam,256,0.001,0.9807,0.8691,0.8650,0.0627,0.0000,0.0000
2019-07-27 09:41:54,280,9,MNIST,USPS,MCD,Adam,256,0.001,0.9830,0.8982,0.8622,0.0586,0.0000,0.0000
2019-07-27 09:42:03,308,10,MNIST,USPS,MCD,Adam,256,0.001,0.9788,0.9058,0.8832,0.0716,0.0000,0.0000
2019-07-27 09:42:13,336,11,MNIST,USPS,MCD,Adam,256,0.001,0.9825,0.9040,0.8829,0.0560,0.0000,0.0000
2019-07-27 09:42:22,364,12,MNIST,USPS,MCD,Adam,256,0.001,0.9813,0.8742,0.8769,0.0572,0.0000,0.0000
2019-07-27 09:42:31,392,13,MNIST,USPS,MCD,Adam,256,0.001,0.9811,0.8681,0.8812,0.0558,0.0000,0.0000
2019-07-27 09:42:41,420,14,MNIST,USPS,MCD,Adam,256,0.001,0.9810,0.8798,0.8889,0.0625,0.0000,0.0000
2019-07-27 09:42:51,448,15,MNIST,USPS,MCD,Adam,256,0.001,0.9821,0.9285,0.8864,0.0542,0.0000,0.0000
2019-07-27 09:43:00,476,16,MNIST,USPS,MCD,Adam,256,0.001,0.9803,0.9184,0.9006,0.0621,0.0000,0.0000
2019-07-27 09:43:10,504,17,MNIST,USPS,MCD,Adam,256,0.001,0.9795,0.9280,0.8914,0.0623,0.0000,0.0000
2019-07-27 09:43:19,532,18,MNIST,USPS,MCD,Adam,256,0.001,0.9863,0.9590,0.8874,0.0468,0.0000,0.0000
2019-07-27 09:43:28,560,19,MNIST,USPS,MCD,Adam,256,0.001,0.9874,0.9005,0.8832,0.0418,0.0000,0.0000
2019-07-27 09:43:38,588,20,MNIST,USPS,MCD,Adam,256,0.001,0.9860,0.9264,0.9013,0.0421,0.0000,0.0000
2019-07-27 09:43:47,616,21,MNIST,USPS,MCD,Adam,256,0.001,0.9844,0.9460,0.9013,0.0531,0.0000,0.0000
2019-07-27 09:43:56,644,22,MNIST,USPS,MCD,Adam,256,0.001,0.9844,0.9567,0.8941,0.0507,0.0000,0.0000
2019-07-27 09:44:06,672,23,MNIST,USPS,MCD,Adam,256,0.001,0.9851,0.9443,0.9036,0.0481,0.0000,0.0000
2019-07-27 09:44:15,700,24,MNIST,USPS,MCD,Adam,256,0.001,0.9847,0.9727,0.9006,0.0503,0.0000,0.0000
2019-07-27 09:44:24,728,25,MNIST,USPS,MCD,Adam,256,0.001,0.9848,0.8591,0.8959,0.0511,0.0000,0.0000
2019-07-27 09:44:33,756,26,MNIST,USPS,MCD,Adam,256,0.001,0.9870,0.8147,0.9073,0.0421,0.0000,0.0000
2019-07-27 09:44:43,784,27,MNIST,USPS,MCD,Adam,256,0.001,0.9869,0.9352,0.9011,0.0465,0.0000,0.0000
2019-07-27 09:44:52,812,28,MNIST,USPS,MCD,Adam,256,0.001,0.9857,0.9410,0.9023,0.0426,0.0000,0.0000
2019-07-27 09:45:02,840,29,MNIST,USPS,MCD,Adam,256,0.001,0.9851,0.8663,0.8991,0.0441,0.0000,0.0000
2019-07-27 09:45:11,868,30,MNIST,USPS,MCD,Adam,256,0.001,0.9870,0.8755,0.9016,0.0435,0.0000,0.0000
2019-07-27 09:45:21,896,31,MNIST,USPS,MCD,Adam,256,0.001,0.9879,0.9094,0.9043,0.0399,0.0000,0.0000
2019-07-27 09:45:30,924,32,MNIST,USPS,MCD,Adam,256,0.001,0.9821,0.9233,0.8854,0.0541,0.0000,0.0000
2019-07-27 09:45:39,952,33,MNIST,USPS,MCD,Adam,256,0.001,0.9840,0.9721,0.8956,0.0518,0.0000,0.0000
2019-07-27 09:45:49,980,34,MNIST,USPS,MCD,Adam,256,0.001,0.9890,0.9242,0.9033,0.0340,0.0000,0.0000
2019-07-27 09:45:58,1008,35,MNIST,USPS,MCD,Adam,256,0.001,0.9882,0.7929,0.9023,0.0421,0.0000,0.0000
2019-07-27 09:46:07,1036,36,MNIST,USPS,MCD,Adam,256,0.001,0.9857,0.9194,0.9118,0.0488,0.0000,0.0000
2019-07-27 09:46:16,1064,37,MNIST,USPS,MCD,Adam,256,0.001,0.9863,0.8494,0.9048,0.0388,0.0000,0.0000
2019-07-27 09:46:26,1092,38,MNIST,USPS,MCD,Adam,256,0.001,0.9855,0.9167,0.9078,0.0481,0.0000,0.0000
2019-07-27 09:46:35,1120,39,MNIST,USPS,MCD,Adam,256,0.001,0.9863,0.9007,0.9088,0.0435,0.0000,0.0000
2019-07-27 09:46:44,1148,40,MNIST,USPS,MCD,Adam,256,0.001,0.9884,0.9353,0.9011,0.0385,0.0000,0.0000
2019-07-27 09:46:54,1176,41,MNIST,USPS,MCD,Adam,256,0.001,0.9860,0.9613,0.9013,0.0438,0.0000,0.0000
2019-07-27 09:47:03,1204,42,MNIST,USPS,MCD,Adam,256,0.001,0.9884,0.9327,0.9031,0.0336,0.0000,0.0000
2019-07-27 09:47:12,1232,43,MNIST,USPS,MCD,Adam,256,0.001,0.9863,0.9544,0.9073,0.0413,0.0000,0.0000
2019-07-27 09:47:22,1260,44,MNIST,USPS,MCD,Adam,256,0.001,0.9870,0.9312,0.9023,0.0394,0.0000,0.0000
2019-07-27 09:47:31,1288,45,MNIST,USPS,MCD,Adam,256,0.001,0.9872,0.9582,0.9038,0.0450,0.0000,0.0000
2019-07-27 09:47:40,1316,46,MNIST,USPS,MCD,Adam,256,0.001,0.9868,0.9706,0.8976,0.0411,0.0000,0.0000
2019-07-27 09:47:49,1344,47,MNIST,USPS,MCD,Adam,256,0.001,0.9875,0.9497,0.9093,0.0404,0.0000,0.0000
2019-07-27 09:47:59,1372,48,MNIST,USPS,MCD,Adam,256,0.001,0.9895,0.9554,0.9068,0.0334,0.0000,0.0000
2019-07-27 09:48:08,1400,49,MNIST,USPS,MCD,Adam,256,0.001,0.9883,0.9395,0.9026,0.0387,0.0000,0.0000
2019-07-27 09:48:17,1428,50,MNIST,USPS,MCD,Adam,256,0.001,0.9879,0.9059,0.9018,0.0421,0.0000,0.0000
2019-07-27 09:48:27,1456,51,MNIST,USPS,MCD,Adam,256,0.001,0.9867,0.8990,0.9038,0.0403,0.0000,0.0000
2019-07-27 09:48:36,1484,52,MNIST,USPS,MCD,Adam,256,0.001,0.9867,0.9671,0.9008,0.0397,0.0000,0.0000
2019-07-27 09:48:45,1512,53,MNIST,USPS,MCD,Adam,256,0.001,0.9860,0.9043,0.9101,0.0455,0.0000,0.0000
2019-07-27 09:48:55,1540,54,MNIST,USPS,MCD,Adam,256,0.001,0.9874,0.8694,0.8939,0.0404,0.0000,0.0000
2019-07-27 09:49:04,1568,55,MNIST,USPS,MCD,Adam,256,0.001,0.9856,0.9331,0.9088,0.0440,0.0000,0.0000
2019-07-27 09:49:13,1596,56,MNIST,USPS,MCD,Adam,256,0.001,0.9886,0.9678,0.9175,0.0325,0.0000,0.0000
2019-07-27 09:49:22,1624,57,MNIST,USPS,MCD,Adam,256,0.001,0.9894,0.8885,0.9056,0.0334,0.0000,0.0000
2019-07-27 09:49:32,1652,58,MNIST,USPS,MCD,Adam,256,0.001,0.9887,0.8967,0.9036,0.0360,0.0000,0.0000
2019-07-27 09:49:41,1680,59,MNIST,USPS,MCD,Adam,256,0.001,0.9886,0.9080,0.8734,0.0391,0.0000,0.0000
2019-07-27 09:49:50,1708,60,MNIST,USPS,MCD,Adam,256,0.001,0.9883,0.9411,0.9088,0.0423,0.0000,0.0000
2019-07-27 09:50:00,1736,61,MNIST,USPS,MCD,Adam,256,0.001,0.9863,0.9099,0.9011,0.0404,0.0000,0.0000
2019-07-27 09:50:09,1764,62,MNIST,USPS,MCD,Adam,256,0.001,0.9849,0.9258,0.9091,0.0494,0.0000,0.0000
2019-07-27 09:50:19,1792,63,MNIST,USPS,MCD,Adam,256,0.001,0.9890,0.9315,0.9128,0.0327,0.0000,0.0000
2019-07-27 09:50:28,1820,64,MNIST,USPS,MCD,Adam,256,0.001,0.9897,0.8955,0.9185,0.0379,0.0000,0.0000
2019-07-27 09:50:37,1848,65,MNIST,USPS,MCD,Adam,256,0.001,0.9855,0.9385,0.9021,0.0420,0.0000,0.0000
2019-07-27 09:50:47,1876,66,MNIST,USPS,MCD,Adam,256,0.001,0.9873,0.9446,0.8949,0.0397,0.0000,0.0000
2019-07-27 09:50:56,1904,67,MNIST,USPS,MCD,Adam,256,0.001,0.9890,0.9173,0.8999,0.0326,0.0000,0.0000
2019-07-27 09:51:06,1932,68,MNIST,USPS,MCD,Adam,256,0.001,0.9879,0.9294,0.9155,0.0356,0.0000,0.0000
2019-07-27 09:51:15,1960,69,MNIST,USPS,MCD,Adam,256,0.001,0.9877,0.9553,0.8969,0.0395,0.0000,0.0000
2019-07-27 09:51:25,1988,70,MNIST,USPS,MCD,Adam,256,0.001,0.9884,0.9645,0.9023,0.0373,0.0000,0.0000
2019-07-27 09:51:34,2016,71,MNIST,USPS,MCD,Adam,256,0.001,0.9872,0.8993,0.9136,0.0370,0.0000,0.0000
2019-07-27 09:51:43,2044,72,MNIST,USPS,MCD,Adam,256,0.001,0.9897,0.8227,0.9058,0.0358,0.0000,0.0000
2019-07-27 09:51:53,2072,73,MNIST,USPS,MCD,Adam,256,0.001,0.9854,0.9302,0.8991,0.0439,0.0000,0.0000
2019-07-27 09:52:02,2100,74,MNIST,USPS,MCD,Adam,256,0.001,0.9866,0.8198,0.8974,0.0397,0.0000,0.0000
2019-07-27 09:52:12,2128,75,MNIST,USPS,MCD,Adam,256,0.001,0.9891,0.8884,0.9058,0.0358,0.0000,0.0000
2019-07-27 09:52:21,2156,76,MNIST,USPS,MCD,Adam,256,0.001,0.9898,0.9417,0.8991,0.0327,0.0000,0.0000
2019-07-27 09:52:30,2184,77,MNIST,USPS,MCD,Adam,256,0.001,0.9877,0.9024,0.9150,0.0366,0.0000,0.0000
2019-07-27 09:52:39,2212,78,MNIST,USPS,MCD,Adam,256,0.001,0.9895,0.9065,0.9021,0.0351,0.0000,0.0000
2019-07-27 09:52:49,2240,79,MNIST,USPS,MCD,Adam,256,0.001,0.9874,0.9456,0.8989,0.0378,0.0000,0.0000
2019-07-27 09:52:58,2268,80,MNIST,USPS,MCD,Adam,256,0.001,0.9904,0.9137,0.9098,0.0315,0.0000,0.0000
2019-07-27 09:53:07,2296,81,MNIST,USPS,MCD,Adam,256,0.001,0.9883,0.8137,0.9113,0.0341,0.0000,0.0000
2019-07-27 09:53:17,2324,82,MNIST,USPS,MCD,Adam,256,0.001,0.9888,0.8474,0.9086,0.0363,0.0000,0.0000
2019-07-27 09:53:26,2352,83,MNIST,USPS,MCD,Adam,256,0.001,0.9895,0.9133,0.9056,0.0354,0.0000,0.0000
2019-07-27 09:53:36,2380,84,MNIST,USPS,MCD,Adam,256,0.001,0.9870,0.7733,0.9081,0.0417,0.0000,0.0000
2019-07-27 09:53:45,2408,85,MNIST,USPS,MCD,Adam,256,0.001,0.9888,0.9679,0.9205,0.0374,0.0000,0.0000
2019-07-27 09:53:54,2436,86,MNIST,USPS,MCD,Adam,256,0.001,0.9884,0.9060,0.9083,0.0346,0.0000,0.0000
2019-07-27 09:54:04,2464,87,MNIST,USPS,MCD,Adam,256,0.001,0.9887,0.9213,0.9036,0.0339,0.0000,0.0000
2019-07-27 09:54:13,2492,88,MNIST,USPS,MCD,Adam,256,0.001,0.9872,0.9523,0.8697,0.0401,0.0000,0.0000
2019-07-27 09:54:22,2520,89,MNIST,USPS,MCD,Adam,256,0.001,0.9915,0.9497,0.9116,0.0280,0.0000,0.0000
2019-07-27 09:54:32,2548,90,MNIST,USPS,MCD,Adam,256,0.001,0.9907,0.8944,0.9083,0.0305,0.0000,0.0000
2019-07-27 09:54:41,2576,91,MNIST,USPS,MCD,Adam,256,0.001,0.9889,0.9223,0.8946,0.0357,0.0000,0.0000
2019-07-27 09:54:50,2604,92,MNIST,USPS,MCD,Adam,256,0.001,0.9904,0.9141,0.8879,0.0295,0.0000,0.0000
2019-07-27 09:55:00,2632,93,MNIST,USPS,MCD,Adam,256,0.001,0.9902,0.9041,0.9131,0.0292,0.0000,0.0000
2019-07-27 09:55:09,2660,94,MNIST,USPS,MCD,Adam,256,0.001,0.9903,0.9225,0.9108,0.0346,0.0000,0.0000
2019-07-27 09:55:18,2688,95,MNIST,USPS,MCD,Adam,256,0.001,0.9849,0.9428,0.9031,0.0475,0.0000,0.0000
2019-07-27 09:55:28,2716,96,MNIST,USPS,MCD,Adam,256,0.001,0.9873,0.9224,0.8642,0.0432,0.0000,0.0000
2019-07-27 09:55:37,2744,97,MNIST,USPS,MCD,Adam,256,0.001,0.9891,0.9216,0.9106,0.0351,0.0000,0.0000
2019-07-27 09:55:46,2772,98,MNIST,USPS,MCD,Adam,256,0.001,0.9916,0.8962,0.9096,0.0268,0.0000,0.0000
2019-07-27 09:55:56,2800,99,MNIST,USPS,MCD,Adam,256,0.001,0.9893,0.8901,0.9061,0.0323,0.0000,0.0000
2019-07-27 09:56:05,2828,100,MNIST,USPS,MCD,Adam,256,0.001,0.9903,0.9410,0.9061,0.0311,0.0000,0.0000
2019-07-27 09:56:15,2856,101,MNIST,USPS,MCD,Adam,256,0.001,0.9897,0.9460,0.8974,0.0402,0.0000,0.0000
2019-07-27 09:56:24,2884,102,MNIST,USPS,MCD,Adam,256,0.001,0.9890,0.9000,0.9063,0.0344,0.0000,0.0000
2019-07-27 09:56:34,2912,103,MNIST,USPS,MCD,Adam,256,0.001,0.9884,0.8973,0.9076,0.0393,0.0000,0.0000
2019-07-27 09:56:43,2940,104,MNIST,USPS,MCD,Adam,256,0.001,0.9892,0.9140,0.9103,0.0341,0.0000,0.0000
2019-07-27 09:56:52,2968,105,MNIST,USPS,MCD,Adam,256,0.001,0.9899,0.9494,0.8916,0.0339,0.0000,0.0000
2019-07-27 09:57:01,2996,106,MNIST,USPS,MCD,Adam,256,0.001,0.9899,0.9575,0.9078,0.0346,0.0000,0.0000
2019-07-27 09:57:11,3024,107,MNIST,USPS,MCD,Adam,256,0.001,0.9890,0.9252,0.9138,0.0359,0.0000,0.0000
2019-07-27 09:57:20,3052,108,MNIST,USPS,MCD,Adam,256,0.001,0.9894,0.9394,0.8981,0.0360,0.0000,0.0000
2019-07-27 09:57:29,3080,109,MNIST,USPS,MCD,Adam,256,0.001,0.9886,0.8792,0.9053,0.0350,0.0000,0.0000
2019-07-27 09:57:39,3108,110,MNIST,USPS,MCD,Adam,256,0.001,0.9902,0.9481,0.8979,0.0301,0.0000,0.0000
2019-07-27 09:57:48,3136,111,MNIST,USPS,MCD,Adam,256,0.001,0.9907,0.9617,0.8979,0.0283,0.0000,0.0000
2019-07-27 09:57:58,3164,112,MNIST,USPS,MCD,Adam,256,0.001,0.9894,0.8838,0.9086,0.0377,0.0000,0.0000
2019-07-27 09:58:07,3192,113,MNIST,USPS,MCD,Adam,256,0.001,0.9906,0.8808,0.9051,0.0284,0.0000,0.0000
2019-07-27 09:58:16,3220,114,MNIST,USPS,MCD,Adam,256,0.001,0.9866,0.8979,0.9101,0.0446,0.0000,0.0000
2019-07-27 09:58:25,3248,115,MNIST,USPS,MCD,Adam,256,0.001,0.9889,0.9133,0.8886,0.0356,0.0000,0.0000
2019-07-27 09:58:35,3276,116,MNIST,USPS,MCD,Adam,256,0.001,0.9867,0.8797,0.9101,0.0394,0.0000,0.0000
2019-07-27 09:58:44,3304,117,MNIST,USPS,MCD,Adam,256,0.001,0.9895,0.9695,0.8984,0.0329,0.0000,0.0000
2019-07-27 09:58:54,3332,118,MNIST,USPS,MCD,Adam,256,0.001,0.9904,0.8924,0.9111,0.0327,0.0000,0.0000
2019-07-27 09:59:03,3360,119,MNIST,USPS,MCD,Adam,256,0.001,0.9897,0.9182,0.9038,0.0323,0.0000,0.0000
2019-07-27 09:59:12,3388,120,MNIST,USPS,MCD,Adam,256,0.001,0.9886,0.8299,0.9116,0.0352,0.0000,0.0000
