time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-29 07:10:34,29,0,MNIST,USPS,MT,Adam,256,0.001,0.7980,0.9396,0.6502,0.7617,0.0000,0.0000
2019-07-29 07:10:42,58,1,MNIST,USPS,MT,Adam,256,0.001,0.9481,0.9315,0.7055,0.1733,0.0000,0.0000
2019-07-29 07:10:53,87,2,MNIST,USPS,MT,Adam,256,0.001,0.9630,0.9620,0.7035,0.1280,0.0000,0.0000
2019-07-29 07:11:02,116,3,MNIST,USPS,MT,Adam,256,0.001,0.9675,0.9626,0.7260,0.1053,0.0000,0.0000
2019-07-29 07:11:11,145,4,MNIST,USPS,MT,Adam,256,0.001,0.9700,0.9559,0.7499,0.1009,0.0000,0.0000
2019-07-29 07:11:20,174,5,MNIST,USPS,MT,Adam,256,0.001,0.9751,0.9729,0.7439,0.0848,0.0000,0.0000
2019-07-29 07:11:29,203,6,MNIST,USPS,MT,Adam,256,0.001,0.9756,0.9819,0.7265,0.0855,0.0000,0.0000
2019-07-29 07:11:38,232,7,MNIST,USPS,MT,Adam,256,0.001,0.9733,0.9722,0.7125,0.0903,0.0000,0.0000
2019-07-29 07:11:47,261,8,MNIST,USPS,MT,Adam,256,0.001,0.9778,0.9770,0.7653,0.0732,0.0000,0.0000
2019-07-29 07:11:56,290,9,MNIST,USPS,MT,Adam,256,0.001,0.9818,0.9807,0.7344,0.0620,0.0000,0.0000
2019-07-29 07:12:05,319,10,MNIST,USPS,MT,Adam,256,0.001,0.9806,0.9579,0.7638,0.0657,0.0000,0.0000
2019-07-29 07:12:15,348,11,MNIST,USPS,MT,Adam,256,0.001,0.9803,0.9651,0.7578,0.0681,0.0000,0.0000
2019-07-29 07:12:24,377,12,MNIST,USPS,MT,Adam,256,0.001,0.9801,0.9827,0.7693,0.0693,0.0000,0.0000
2019-07-29 07:12:34,406,13,MNIST,USPS,MT,Adam,256,0.001,0.9818,0.9858,0.7255,0.0588,0.0000,0.0000
2019-07-29 07:12:43,435,14,MNIST,USPS,MT,Adam,256,0.001,0.9824,0.9811,0.6936,0.0559,0.0000,0.0000
2019-07-29 07:12:52,464,15,MNIST,USPS,MT,Adam,256,0.001,0.9856,0.9784,0.7633,0.0519,0.0000,0.0000
2019-07-29 07:13:01,493,16,MNIST,USPS,MT,Adam,256,0.001,0.9832,0.9805,0.7569,0.0551,0.0000,0.0000
2019-07-29 07:13:10,522,17,MNIST,USPS,MT,Adam,256,0.001,0.9848,0.9843,0.7449,0.0562,0.0000,0.0000
2019-07-29 07:13:19,551,18,MNIST,USPS,MT,Adam,256,0.001,0.9824,0.9852,0.7304,0.0580,0.0000,0.0000
2019-07-29 07:13:28,580,19,MNIST,USPS,MT,Adam,256,0.001,0.9836,0.9791,0.7554,0.0595,0.0000,0.0000
