time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-28 06:54:30,286,0,SVHN,MNIST,Baseline,Adam,256,0.001,0.7438,0.8909,0.5228,0.8284,0.0000,0.0000
2019-07-28 06:57:22,572,1,SVHN,MNIST,Baseline,Adam,256,0.001,0.9124,0.9362,0.6310,0.2943,0.0000,0.0000
2019-07-28 07:00:12,858,2,SVHN,MNIST,Baseline,Adam,256,0.001,0.9220,0.9435,0.6009,0.2608,0.0000,0.0000
2019-07-28 07:03:02,1144,3,SVHN,MNIST,Baseline,Adam,256,0.001,0.9297,0.9365,0.5775,0.2389,0.0000,0.0000
2019-07-28 07:05:53,1430,4,SVHN,MNIST,Baseline,Adam,256,0.001,0.9332,0.9491,0.5483,0.2272,0.0000,0.0000
2019-07-28 07:08:42,1716,5,SVHN,MNIST,Baseline,Adam,256,0.001,0.9360,0.9452,0.5269,0.2180,0.0000,0.0000
2019-07-28 07:11:34,2002,6,SVHN,MNIST,Baseline,Adam,256,0.001,0.9386,0.9452,0.6369,0.2100,0.0000,0.0000
2019-07-28 07:14:24,2288,7,SVHN,MNIST,Baseline,Adam,256,0.001,0.9404,0.9468,0.7295,0.2050,0.0000,0.0000
2019-07-28 07:17:14,2574,8,SVHN,MNIST,Baseline,Adam,256,0.001,0.9434,0.9484,0.6400,0.1967,0.0000,0.0000
2019-07-28 07:20:04,2860,9,SVHN,MNIST,Baseline,Adam,256,0.001,0.9442,0.9500,0.6593,0.1947,0.0000,0.0000
2019-07-28 07:22:54,3146,10,SVHN,MNIST,Baseline,Adam,256,0.001,0.9447,0.9482,0.7455,0.1908,0.0000,0.0000
2019-07-28 07:25:44,3432,11,SVHN,MNIST,Baseline,Adam,256,0.001,0.9437,0.9420,0.6117,0.1911,0.0000,0.0000
2019-07-28 07:28:35,3718,12,SVHN,MNIST,Baseline,Adam,256,0.001,0.9474,0.9562,0.7190,0.1819,0.0000,0.0000
2019-07-28 07:31:24,4004,13,SVHN,MNIST,Baseline,Adam,256,0.001,0.9484,0.9624,0.6939,0.1791,0.0000,0.0000
2019-07-28 07:34:15,4290,14,SVHN,MNIST,Baseline,Adam,256,0.001,0.9496,0.9538,0.7475,0.1751,0.0000,0.0000
2019-07-28 07:37:08,4576,15,SVHN,MNIST,Baseline,Adam,256,0.001,0.9502,0.9557,0.6991,0.1733,0.0000,0.0000
2019-07-28 07:40:03,4862,16,SVHN,MNIST,Baseline,Adam,256,0.001,0.9505,0.9549,0.6477,0.1741,0.0000,0.0000
2019-07-28 07:42:59,5148,17,SVHN,MNIST,Baseline,Adam,256,0.001,0.9520,0.9533,0.5808,0.1681,0.0000,0.0000
2019-07-28 07:45:55,5434,18,SVHN,MNIST,Baseline,Adam,256,0.001,0.9512,0.9534,0.7244,0.1688,0.0000,0.0000
2019-07-28 07:48:49,5720,19,SVHN,MNIST,Baseline,Adam,256,0.001,0.9525,0.9607,0.7133,0.1648,0.0000,0.0000
2019-07-28 07:51:44,6006,20,SVHN,MNIST,Baseline,Adam,256,0.001,0.9521,0.9562,0.6853,0.1642,0.0000,0.0000
2019-07-28 07:54:35,6292,21,SVHN,MNIST,Baseline,Adam,256,0.001,0.9524,0.9561,0.7490,0.1649,0.0000,0.0000
2019-07-28 07:57:20,6578,22,SVHN,MNIST,Baseline,Adam,256,0.001,0.9545,0.9520,0.6465,0.1587,0.0000,0.0000
2019-07-28 08:00:05,6864,23,SVHN,MNIST,Baseline,Adam,256,0.001,0.9534,0.9568,0.7351,0.1620,0.0000,0.0000
2019-07-28 08:02:11,7150,24,SVHN,MNIST,Baseline,Adam,256,0.001,0.9561,0.9591,0.6959,0.1543,0.0000,0.0000
2019-07-28 08:04:27,7436,25,SVHN,MNIST,Baseline,Adam,256,0.001,0.9557,0.9605,0.7529,0.1559,0.0000,0.0000
2019-07-28 08:07:13,7722,26,SVHN,MNIST,Baseline,Adam,256,0.001,0.9565,0.9532,0.6672,0.1525,0.0000,0.0000
2019-07-28 08:09:59,8008,27,SVHN,MNIST,Baseline,Adam,256,0.001,0.9555,0.9538,0.6684,0.1533,0.0000,0.0000
2019-07-28 08:12:43,8294,28,SVHN,MNIST,Baseline,Adam,256,0.001,0.9559,0.9595,0.7640,0.1535,0.0000,0.0000
2019-07-28 08:15:28,8580,29,SVHN,MNIST,Baseline,Adam,256,0.001,0.9575,0.9563,0.6985,0.1503,0.0000,0.0000
2019-07-28 08:18:14,8866,30,SVHN,MNIST,Baseline,Adam,256,0.001,0.9562,0.9574,0.6500,0.1501,0.0000,0.0000
2019-07-28 08:21:00,9152,31,SVHN,MNIST,Baseline,Adam,256,0.001,0.9569,0.9569,0.7702,0.1492,0.0000,0.0000
2019-07-28 08:23:44,9438,32,SVHN,MNIST,Baseline,Adam,256,0.001,0.9577,0.9536,0.7336,0.1466,0.0000,0.0000
2019-07-28 08:26:30,9724,33,SVHN,MNIST,Baseline,Adam,256,0.001,0.9575,0.9616,0.7250,0.1483,0.0000,0.0000
2019-07-28 08:29:15,10010,34,SVHN,MNIST,Baseline,Adam,256,0.001,0.9577,0.9501,0.6528,0.1465,0.0000,0.0000
2019-07-28 08:32:00,10296,35,SVHN,MNIST,Baseline,Adam,256,0.001,0.9578,0.9544,0.6943,0.1447,0.0000,0.0000
2019-07-28 08:34:46,10582,36,SVHN,MNIST,Baseline,Adam,256,0.001,0.9578,0.9536,0.6707,0.1452,0.0000,0.0000
2019-07-28 08:37:32,10868,37,SVHN,MNIST,Baseline,Adam,256,0.001,0.9580,0.9559,0.6524,0.1447,0.0000,0.0000
2019-07-28 08:40:19,11154,38,SVHN,MNIST,Baseline,Adam,256,0.001,0.9584,0.9559,0.7989,0.1450,0.0000,0.0000
2019-07-28 08:43:03,11440,39,SVHN,MNIST,Baseline,Adam,256,0.001,0.9587,0.9557,0.7055,0.1424,0.0000,0.0000
2019-07-28 08:45:48,11726,40,SVHN,MNIST,Baseline,Adam,256,0.001,0.9590,0.9609,0.7287,0.1421,0.0000,0.0000
2019-07-28 08:48:33,12012,41,SVHN,MNIST,Baseline,Adam,256,0.001,0.9593,0.9575,0.7711,0.1424,0.0000,0.0000
2019-07-28 08:51:17,12298,42,SVHN,MNIST,Baseline,Adam,256,0.001,0.9585,0.9619,0.7537,0.1442,0.0000,0.0000
2019-07-28 08:54:02,12584,43,SVHN,MNIST,Baseline,Adam,256,0.001,0.9597,0.9534,0.7038,0.1403,0.0000,0.0000
2019-07-28 08:56:48,12870,44,SVHN,MNIST,Baseline,Adam,256,0.001,0.9592,0.9546,0.7653,0.1417,0.0000,0.0000
2019-07-28 08:59:36,13156,45,SVHN,MNIST,Baseline,Adam,256,0.001,0.9595,0.9591,0.7393,0.1412,0.0000,0.0000
2019-07-28 09:02:22,13442,46,SVHN,MNIST,Baseline,Adam,256,0.001,0.9597,0.9592,0.7886,0.1394,0.0000,0.0000
2019-07-28 09:05:08,13728,47,SVHN,MNIST,Baseline,Adam,256,0.001,0.9606,0.9589,0.7290,0.1382,0.0000,0.0000
2019-07-28 09:07:54,14014,48,SVHN,MNIST,Baseline,Adam,256,0.001,0.9592,0.9594,0.7164,0.1402,0.0000,0.0000
2019-07-28 09:10:39,14300,49,SVHN,MNIST,Baseline,Adam,256,0.001,0.9605,0.9567,0.7230,0.1371,0.0000,0.0000
2019-07-28 09:13:26,14586,50,SVHN,MNIST,Baseline,Adam,256,0.001,0.9593,0.9569,0.7878,0.1415,0.0000,0.0000
2019-07-28 09:16:12,14872,51,SVHN,MNIST,Baseline,Adam,256,0.001,0.9599,0.9577,0.6310,0.1396,0.0000,0.0000
2019-07-28 09:18:56,15158,52,SVHN,MNIST,Baseline,Adam,256,0.001,0.9602,0.9583,0.7351,0.1369,0.0000,0.0000
2019-07-28 09:21:39,15444,53,SVHN,MNIST,Baseline,Adam,256,0.001,0.9598,0.9556,0.7834,0.1387,0.0000,0.0000
2019-07-28 09:24:23,15730,54,SVHN,MNIST,Baseline,Adam,256,0.001,0.9618,0.9577,0.7729,0.1340,0.0000,0.0000
2019-07-28 09:27:07,16016,55,SVHN,MNIST,Baseline,Adam,256,0.001,0.9604,0.9577,0.7331,0.1367,0.0000,0.0000
2019-07-28 09:29:50,16302,56,SVHN,MNIST,Baseline,Adam,256,0.001,0.9604,0.9619,0.7760,0.1367,0.0000,0.0000
2019-07-28 09:32:34,16588,57,SVHN,MNIST,Baseline,Adam,256,0.001,0.9614,0.9601,0.7020,0.1339,0.0000,0.0000
2019-07-28 09:35:10,16874,58,SVHN,MNIST,Baseline,Adam,256,0.001,0.9615,0.9608,0.7304,0.1343,0.0000,0.0000
2019-07-28 09:37:08,17160,59,SVHN,MNIST,Baseline,Adam,256,0.001,0.9602,0.9586,0.7488,0.1376,0.0000,0.0000
2019-07-28 09:39:51,17446,60,SVHN,MNIST,Baseline,Adam,256,0.001,0.9611,0.9584,0.7278,0.1340,0.0000,0.0000
2019-07-28 09:42:35,17732,61,SVHN,MNIST,Baseline,Adam,256,0.001,0.9615,0.9559,0.7391,0.1344,0.0000,0.0000
2019-07-28 09:45:18,18018,62,SVHN,MNIST,Baseline,Adam,256,0.001,0.9607,0.9603,0.7676,0.1350,0.0000,0.0000
2019-07-28 09:48:01,18304,63,SVHN,MNIST,Baseline,Adam,256,0.001,0.9605,0.9537,0.7597,0.1359,0.0000,0.0000
2019-07-28 09:50:44,18590,64,SVHN,MNIST,Baseline,Adam,256,0.001,0.9611,0.9571,0.7812,0.1339,0.0000,0.0000
2019-07-28 09:53:27,18876,65,SVHN,MNIST,Baseline,Adam,256,0.001,0.9613,0.9582,0.7270,0.1344,0.0000,0.0000
2019-07-28 09:56:10,19162,66,SVHN,MNIST,Baseline,Adam,256,0.001,0.9599,0.9574,0.7068,0.1372,0.0000,0.0000
2019-07-28 09:58:54,19448,67,SVHN,MNIST,Baseline,Adam,256,0.001,0.9611,0.9573,0.7278,0.1338,0.0000,0.0000
2019-07-28 10:01:37,19734,68,SVHN,MNIST,Baseline,Adam,256,0.001,0.9624,0.9597,0.7175,0.1320,0.0000,0.0000
2019-07-28 10:04:19,20020,69,SVHN,MNIST,Baseline,Adam,256,0.001,0.9621,0.9552,0.7036,0.1324,0.0000,0.0000
2019-07-28 10:07:02,20306,70,SVHN,MNIST,Baseline,Adam,256,0.001,0.9604,0.9591,0.7477,0.1349,0.0000,0.0000
2019-07-28 10:09:44,20592,71,SVHN,MNIST,Baseline,Adam,256,0.001,0.9614,0.9574,0.7360,0.1332,0.0000,0.0000
2019-07-28 10:12:26,20878,72,SVHN,MNIST,Baseline,Adam,256,0.001,0.9606,0.9599,0.7485,0.1333,0.0000,0.0000
2019-07-28 10:15:08,21164,73,SVHN,MNIST,Baseline,Adam,256,0.001,0.9616,0.9531,0.7174,0.1328,0.0000,0.0000
2019-07-28 10:17:49,21450,74,SVHN,MNIST,Baseline,Adam,256,0.001,0.9611,0.9602,0.7405,0.1316,0.0000,0.0000
2019-07-28 10:20:33,21736,75,SVHN,MNIST,Baseline,Adam,256,0.001,0.9610,0.9572,0.7745,0.1325,0.0000,0.0000
2019-07-28 10:23:16,22022,76,SVHN,MNIST,Baseline,Adam,256,0.001,0.9606,0.9568,0.7341,0.1361,0.0000,0.0000
2019-07-28 10:25:57,22308,77,SVHN,MNIST,Baseline,Adam,256,0.001,0.9616,0.9591,0.7423,0.1314,0.0000,0.0000
