time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-28 05:59:12,234,0,SVHN,MNIST,DANN,Adam,256,0.001,0.7404,0.8758,0.5876,1.8201,0.0000,0.0000
2019-07-28 06:01:27,468,1,SVHN,MNIST,DANN,Adam,256,0.001,0.9115,0.9251,0.6973,1.4838,0.0000,0.0000
2019-07-28 06:03:40,702,2,SVHN,MNIST,DANN,Adam,256,0.001,0.9243,0.9140,0.7177,1.5230,0.0000,0.0000
2019-07-28 06:05:53,936,3,SVHN,MNIST,DANN,Adam,256,0.001,0.9302,0.9249,0.7595,1.5625,0.0000,0.0000
2019-07-28 06:08:06,1170,4,SVHN,MNIST,DANN,Adam,256,0.001,0.9339,0.9287,0.8454,1.5730,0.0000,0.0000
2019-07-28 06:10:20,1404,5,SVHN,MNIST,DANN,Adam,256,0.001,0.9360,0.9377,0.7984,1.5746,0.0000,0.0000
2019-07-28 06:12:34,1638,6,SVHN,MNIST,DANN,Adam,256,0.001,0.9407,0.9440,0.8515,1.5676,0.0000,0.0000
2019-07-28 06:14:47,1872,7,SVHN,MNIST,DANN,Adam,256,0.001,0.9415,0.9368,0.8922,1.5693,0.0000,0.0000
2019-07-28 06:16:59,2106,8,SVHN,MNIST,DANN,Adam,256,0.001,0.9424,0.9424,0.8743,1.5706,0.0000,0.0000
2019-07-28 06:19:13,2340,9,SVHN,MNIST,DANN,Adam,256,0.001,0.9434,0.9508,0.8538,1.5694,0.0000,0.0000
2019-07-28 06:21:26,2574,10,SVHN,MNIST,DANN,Adam,256,0.001,0.9459,0.9429,0.8488,1.5607,0.0000,0.0000
2019-07-28 06:23:39,2808,11,SVHN,MNIST,DANN,Adam,256,0.001,0.9475,0.9514,0.8586,1.5610,0.0000,0.0000
2019-07-28 06:25:53,3042,12,SVHN,MNIST,DANN,Adam,256,0.001,0.9478,0.9409,0.8830,1.5602,0.0000,0.0000
2019-07-28 06:28:06,3276,13,SVHN,MNIST,DANN,Adam,256,0.001,0.9476,0.9537,0.8767,1.5611,0.0000,0.0000
2019-07-28 06:30:21,3510,14,SVHN,MNIST,DANN,Adam,256,0.001,0.9513,0.9480,0.8606,1.5517,0.0000,0.0000
2019-07-28 06:32:36,3744,15,SVHN,MNIST,DANN,Adam,256,0.001,0.9497,0.9478,0.8801,1.5529,0.0000,0.0000
2019-07-28 06:34:52,3978,16,SVHN,MNIST,DANN,Adam,256,0.001,0.9522,0.9452,0.8791,1.5493,0.0000,0.0000
2019-07-28 06:37:07,4212,17,SVHN,MNIST,DANN,Adam,256,0.001,0.9517,0.9418,0.8604,1.5486,0.0000,0.0000
2019-07-28 06:39:23,4446,18,SVHN,MNIST,DANN,Adam,256,0.001,0.9540,0.9513,0.8538,1.5479,0.0000,0.0000
2019-07-28 06:41:36,4680,19,SVHN,MNIST,DANN,Adam,256,0.001,0.9548,0.9503,0.8984,1.5428,0.0000,0.0000
2019-07-28 06:43:49,4914,20,SVHN,MNIST,DANN,Adam,256,0.001,0.9535,0.9517,0.8255,1.5474,0.0000,0.0000
2019-07-28 06:46:01,5148,21,SVHN,MNIST,DANN,Adam,256,0.001,0.9527,0.9479,0.8514,1.5482,0.0000,0.0000
2019-07-28 06:48:15,5382,22,SVHN,MNIST,DANN,Adam,256,0.001,0.9551,0.9484,0.8759,1.5413,0.0000,0.0000
2019-07-28 06:50:29,5616,23,SVHN,MNIST,DANN,Adam,256,0.001,0.9573,0.9511,0.9012,1.5340,0.0000,0.0000
