time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-26 08:09:57,234,0,SVHN,MNIST,MCD,Adam,256,0.0002,0.7360,0.8239,0.6311,0.8257,0.0000,0.0000
2019-07-26 08:17:35,468,1,SVHN,MNIST,MCD,Adam,256,0.0002,0.9124,0.8362,0.7851,0.2963,0.0000,0.0000
2019-07-26 08:25:13,702,2,SVHN,MNIST,MCD,Adam,256,0.0002,0.9255,0.8861,0.8538,0.2579,0.0000,0.0000
2019-07-26 08:32:51,936,3,SVHN,MNIST,MCD,Adam,256,0.0002,0.9314,0.8949,0.8895,0.2366,0.0000,0.0000
2019-07-26 08:40:29,1170,4,SVHN,MNIST,MCD,Adam,256,0.0002,0.9355,0.8995,0.8885,0.2195,0.0000,0.0000
2019-07-26 08:48:07,1404,5,SVHN,MNIST,MCD,Adam,256,0.0002,0.9385,0.9127,0.9286,0.2123,0.0000,0.0000
2019-07-26 08:55:44,1638,6,SVHN,MNIST,MCD,Adam,256,0.0002,0.9424,0.9206,0.9327,0.1998,0.0000,0.0000
2019-07-26 09:03:22,1872,7,SVHN,MNIST,MCD,Adam,256,0.0002,0.9461,0.9144,0.9226,0.1914,0.0000,0.0000
2019-07-26 09:10:59,2106,8,SVHN,MNIST,MCD,Adam,256,0.0002,0.9467,0.9231,0.9413,0.1859,0.0000,0.0000
2019-07-26 09:18:35,2340,9,SVHN,MNIST,MCD,Adam,256,0.0002,0.9469,0.9169,0.9552,0.1832,0.0000,0.0000
2019-07-26 09:26:12,2574,10,SVHN,MNIST,MCD,Adam,256,0.0002,0.9475,0.9178,0.9442,0.1825,0.0000,0.0000
2019-07-26 09:33:49,2808,11,SVHN,MNIST,MCD,Adam,256,0.0002,0.9522,0.9295,0.9532,0.1697,0.0000,0.0000
2019-07-26 09:41:26,3042,12,SVHN,MNIST,MCD,Adam,256,0.0002,0.9521,0.9123,0.9526,0.1670,0.0000,0.0000
2019-07-26 09:49:03,3276,13,SVHN,MNIST,MCD,Adam,256,0.0002,0.9547,0.9027,0.9528,0.1614,0.0000,0.0000
2019-07-26 09:56:39,3510,14,SVHN,MNIST,MCD,Adam,256,0.0002,0.9547,0.9251,0.9530,0.1617,0.0000,0.0000
2019-07-26 10:04:15,3744,15,SVHN,MNIST,MCD,Adam,256,0.0002,0.9546,0.9268,0.9484,0.1597,0.0000,0.0000
2019-07-26 10:11:52,3978,16,SVHN,MNIST,MCD,Adam,256,0.0002,0.9573,0.9220,0.9428,0.1545,0.0000,0.0000
2019-07-26 10:19:29,4212,17,SVHN,MNIST,MCD,Adam,256,0.0002,0.9569,0.9190,0.9563,0.1532,0.0000,0.0000
2019-07-26 10:27:05,4446,18,SVHN,MNIST,MCD,Adam,256,0.0002,0.9580,0.9184,0.9637,0.1527,0.0000,0.0000
2019-07-26 10:34:41,4680,19,SVHN,MNIST,MCD,Adam,256,0.0002,0.9591,0.9174,0.9587,0.1479,0.0000,0.0000
2019-07-26 10:42:18,4914,20,SVHN,MNIST,MCD,Adam,256,0.0002,0.9584,0.9300,0.9621,0.1469,0.0000,0.0000
2019-07-26 10:49:54,5148,21,SVHN,MNIST,MCD,Adam,256,0.0002,0.9587,0.9315,0.9550,0.1476,0.0000,0.0000
2019-07-26 10:57:30,5382,22,SVHN,MNIST,MCD,Adam,256,0.0002,0.9597,0.9256,0.9578,0.1453,0.0000,0.0000
2019-07-26 11:05:06,5616,23,SVHN,MNIST,MCD,Adam,256,0.0002,0.9609,0.9158,0.9593,0.1406,0.0000,0.0000
2019-07-26 11:12:42,5850,24,SVHN,MNIST,MCD,Adam,256,0.0002,0.9615,0.9192,0.9513,0.1390,0.0000,0.0000
2019-07-26 11:20:17,6084,25,SVHN,MNIST,MCD,Adam,256,0.0002,0.9614,0.9182,0.9614,0.1382,0.0000,0.0000
2019-07-26 11:27:52,6318,26,SVHN,MNIST,MCD,Adam,256,0.0002,0.9618,0.9142,0.9639,0.1362,0.0000,0.0000
2019-07-26 11:35:27,6552,27,SVHN,MNIST,MCD,Adam,256,0.0002,0.9611,0.9364,0.9575,0.1385,0.0000,0.0000
2019-07-26 11:43:02,6786,28,SVHN,MNIST,MCD,Adam,256,0.0002,0.9624,0.9189,0.9595,0.1349,0.0000,0.0000
2019-07-26 11:50:37,7020,29,SVHN,MNIST,MCD,Adam,256,0.0002,0.9629,0.9217,0.9688,0.1296,0.0000,0.0000
2019-07-26 11:58:12,7254,30,SVHN,MNIST,MCD,Adam,256,0.0002,0.9646,0.9218,0.9579,0.1285,0.0000,0.0000
2019-07-26 12:05:47,7488,31,SVHN,MNIST,MCD,Adam,256,0.0002,0.9639,0.9311,0.9605,0.1296,0.0000,0.0000
2019-07-26 12:13:21,7722,32,SVHN,MNIST,MCD,Adam,256,0.0002,0.9651,0.9371,0.9650,0.1285,0.0000,0.0000
2019-07-26 12:20:56,7956,33,SVHN,MNIST,MCD,Adam,256,0.0002,0.9651,0.9207,0.9638,0.1257,0.0000,0.0000
2019-07-26 12:28:30,8190,34,SVHN,MNIST,MCD,Adam,256,0.0002,0.9636,0.9159,0.9607,0.1344,0.0000,0.0000
2019-07-26 12:36:05,8424,35,SVHN,MNIST,MCD,Adam,256,0.0002,0.9655,0.9245,0.9638,0.1249,0.0000,0.0000
2019-07-26 12:43:39,8658,36,SVHN,MNIST,MCD,Adam,256,0.0002,0.9653,0.9380,0.9540,0.1242,0.0000,0.0000
2019-07-26 12:51:14,8892,37,SVHN,MNIST,MCD,Adam,256,0.0002,0.9650,0.9384,0.9589,0.1271,0.0000,0.0000
2019-07-26 12:58:48,9126,38,SVHN,MNIST,MCD,Adam,256,0.0002,0.9665,0.9328,0.9640,0.1225,0.0000,0.0000
2019-07-26 13:06:22,9360,39,SVHN,MNIST,MCD,Adam,256,0.0002,0.9654,0.9178,0.9639,0.1245,0.0000,0.0000
2019-07-26 13:13:56,9594,40,SVHN,MNIST,MCD,Adam,256,0.0002,0.9659,0.9119,0.9635,0.1235,0.0000,0.0000
2019-07-26 13:21:30,9828,41,SVHN,MNIST,MCD,Adam,256,0.0002,0.9661,0.9183,0.9640,0.1219,0.0000,0.0000
2019-07-26 13:29:05,10062,42,SVHN,MNIST,MCD,Adam,256,0.0002,0.9668,0.9157,0.9635,0.1195,0.0000,0.0000
