time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-26 05:18:30,234,0,SVHN,MNIST,MT,Adam,256,0.0002,0.6004,0.7429,0.5371,1.3902,0.8142,1.4270
2019-07-26 05:22:35,468,1,SVHN,MNIST,MT,Adam,256,0.0002,0.8917,0.8599,0.6029,0.4618,0.4566,1.2388
2019-07-26 05:26:41,702,2,SVHN,MNIST,MT,Adam,256,0.0002,0.9194,0.8959,0.6446,0.3049,0.3394,1.0915
2019-07-26 05:30:48,936,3,SVHN,MNIST,MT,Adam,256,0.0002,0.9317,0.9037,0.7338,0.2518,0.3156,0.8279
2019-07-26 05:34:50,1170,4,SVHN,MNIST,MT,Adam,256,0.0002,0.9385,0.8992,0.6394,0.2216,0.3338,1.0735
2019-07-26 05:38:47,1404,5,SVHN,MNIST,MT,Adam,256,0.0002,0.9446,0.9023,0.6828,0.2015,0.3195,1.0114
2019-07-26 05:42:45,1638,6,SVHN,MNIST,MT,Adam,256,0.0002,0.9480,0.9091,0.6993,0.1836,0.3034,0.9441
2019-07-26 05:46:42,1872,7,SVHN,MNIST,MT,Adam,256,0.0002,0.9516,0.9296,0.7537,0.1727,0.2390,0.7969
2019-07-26 05:50:40,2106,8,SVHN,MNIST,MT,Adam,256,0.0002,0.9537,0.9208,0.7483,0.1681,0.2713,0.8299
2019-07-26 05:54:38,2340,9,SVHN,MNIST,MT,Adam,256,0.0002,0.9560,0.9256,0.7389,0.1587,0.2565,0.8910
2019-07-26 05:58:36,2574,10,SVHN,MNIST,MT,Adam,256,0.0002,0.9566,0.9344,0.7543,0.1539,0.2341,0.8539
2019-07-26 06:02:33,2808,11,SVHN,MNIST,MT,Adam,256,0.0002,0.9589,0.9369,0.7674,0.1469,0.2228,0.8194
2019-07-26 06:06:31,3042,12,SVHN,MNIST,MT,Adam,256,0.0002,0.9587,0.9373,0.8110,0.1502,0.2219,0.6739
2019-07-26 06:10:33,3276,13,SVHN,MNIST,MT,Adam,256,0.0002,0.9617,0.9342,0.8031,0.1388,0.2312,0.6487
2019-07-26 06:14:40,3510,14,SVHN,MNIST,MT,Adam,256,0.0002,0.9650,0.9376,0.8127,0.1287,0.2175,0.7039
2019-07-26 06:18:47,3744,15,SVHN,MNIST,MT,Adam,256,0.0002,0.9648,0.9420,0.8011,0.1263,0.2047,0.7100
2019-07-26 06:22:55,3978,16,SVHN,MNIST,MT,Adam,256,0.0002,0.9654,0.9370,0.7832,0.1266,0.2310,0.8070
2019-07-26 06:27:02,4212,17,SVHN,MNIST,MT,Adam,256,0.0002,0.9674,0.9382,0.8508,0.1184,0.2182,0.5452
2019-07-26 06:31:09,4446,18,SVHN,MNIST,MT,Adam,256,0.0002,0.9689,0.9283,0.8600,0.1154,0.2561,0.5689
2019-07-26 06:35:16,4680,19,SVHN,MNIST,MT,Adam,256,0.0002,0.9679,0.9445,0.8583,0.1171,0.2006,0.5304
2019-07-26 06:39:22,4914,20,SVHN,MNIST,MT,Adam,256,0.0002,0.9691,0.9331,0.8363,0.1154,0.2447,0.6967
2019-07-26 06:43:29,5148,21,SVHN,MNIST,MT,Adam,256,0.0002,0.9704,0.9427,0.8645,0.1098,0.2066,0.5588
2019-07-26 06:47:36,5382,22,SVHN,MNIST,MT,Adam,256,0.0002,0.9728,0.9402,0.8682,0.1013,0.2154,0.5507
2019-07-26 06:51:43,5616,23,SVHN,MNIST,MT,Adam,256,0.0002,0.9721,0.9437,0.8781,0.1035,0.2073,0.4909
2019-07-26 06:55:50,5850,24,SVHN,MNIST,MT,Adam,256,0.0002,0.9718,0.9473,0.8820,0.1018,0.1897,0.4769
2019-07-26 06:59:56,6084,25,SVHN,MNIST,MT,Adam,256,0.0002,0.9742,0.9384,0.8759,0.0939,0.2252,0.5764
2019-07-26 07:04:04,6318,26,SVHN,MNIST,MT,Adam,256,0.0002,0.9751,0.9436,0.8681,0.0946,0.2034,0.6009
2019-07-26 07:08:11,6552,27,SVHN,MNIST,MT,Adam,256,0.0002,0.9753,0.9454,0.8740,0.0898,0.2004,0.5826
2019-07-26 07:12:17,6786,28,SVHN,MNIST,MT,Adam,256,0.0002,0.9763,0.9426,0.8955,0.0887,0.2178,0.4592
2019-07-26 07:16:14,7020,29,SVHN,MNIST,MT,Adam,256,0.0002,0.9753,0.9469,0.8790,0.0893,0.1984,0.5740
2019-07-26 07:20:08,7254,30,SVHN,MNIST,MT,Adam,256,0.0002,0.9775,0.9449,0.8931,0.0835,0.2094,0.4626
2019-07-26 07:23:49,7488,31,SVHN,MNIST,MT,Adam,256,0.0002,0.9755,0.9469,0.9060,0.0887,0.2005,0.4395
2019-07-26 07:27:29,7722,32,SVHN,MNIST,MT,Adam,256,0.0002,0.9777,0.9289,0.9023,0.0836,0.2528,0.4613
2019-07-26 07:31:09,7956,33,SVHN,MNIST,MT,Adam,256,0.0002,0.9773,0.9433,0.8873,0.0818,0.2129,0.5920
2019-07-26 07:34:54,8190,34,SVHN,MNIST,MT,Adam,256,0.0002,0.9785,0.9505,0.8813,0.0803,0.1871,0.6548
2019-07-26 07:38:46,8424,35,SVHN,MNIST,MT,Adam,256,0.0002,0.9785,0.9396,0.8965,0.0772,0.2374,0.5059
2019-07-26 07:42:37,8658,36,SVHN,MNIST,MT,Adam,256,0.0002,0.9789,0.9456,0.9093,0.0766,0.2095,0.4743
2019-07-26 07:46:31,8892,37,SVHN,MNIST,MT,Adam,256,0.0002,0.9800,0.9411,0.9188,0.0727,0.2253,0.3820
2019-07-26 07:50:23,9126,38,SVHN,MNIST,MT,Adam,256,0.0002,0.9799,0.9456,0.9042,0.0721,0.2125,0.4641
2019-07-26 07:54:16,9360,39,SVHN,MNIST,MT,Adam,256,0.0002,0.9808,0.9455,0.9184,0.0715,0.2109,0.4408
2019-07-26 07:58:10,9594,40,SVHN,MNIST,MT,Adam,256,0.0002,0.9818,0.9488,0.9039,0.0672,0.1923,0.5117
2019-07-26 08:02:02,9828,41,SVHN,MNIST,MT,Adam,256,0.0002,0.9821,0.9446,0.9032,0.0675,0.2183,0.5274
2019-07-26 08:05:58,10062,42,SVHN,MNIST,MT,Adam,256,0.0002,0.9808,0.9415,0.9182,0.0684,0.2219,0.4223
2019-07-26 08:09:56,10296,43,SVHN,MNIST,MT,Adam,256,0.0002,0.9823,0.9484,0.9163,0.0637,0.1962,0.4546
2019-07-26 08:13:53,10530,44,SVHN,MNIST,MT,Adam,256,0.0002,0.9838,0.9440,0.9231,0.0612,0.2103,0.3887
