time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-28 05:58:12,28,0,USPS,MNIST,Baseline,Adam,256,0.001,0.7771,0.9123,0.5426,0.7404,0.0000,0.0000
2019-07-28 05:58:18,56,1,USPS,MNIST,Baseline,Adam,256,0.001,0.9406,0.9477,0.5250,0.1469,0.0000,0.0000
2019-07-28 05:58:23,84,2,USPS,MNIST,Baseline,Adam,256,0.001,0.9573,0.9552,0.4749,0.0877,0.0000,0.0000
2019-07-28 05:58:30,112,3,USPS,MNIST,Baseline,Adam,256,0.001,0.9652,0.9591,0.5872,0.0644,0.0000,0.0000
2019-07-28 05:58:35,140,4,USPS,MNIST,Baseline,Adam,256,0.001,0.9682,0.9641,0.5758,0.0504,0.0000,0.0000
2019-07-28 05:58:41,168,5,USPS,MNIST,Baseline,Adam,256,0.001,0.9705,0.9616,0.6437,0.0420,0.0000,0.0000
2019-07-28 05:58:46,196,6,USPS,MNIST,Baseline,Adam,256,0.001,0.9735,0.9686,0.6339,0.0340,0.0000,0.0000
2019-07-28 05:58:51,224,7,USPS,MNIST,Baseline,Adam,256,0.001,0.9757,0.9656,0.5761,0.0280,0.0000,0.0000
2019-07-28 05:58:56,252,8,USPS,MNIST,Baseline,Adam,256,0.001,0.9770,0.9676,0.5769,0.0253,0.0000,0.0000
2019-07-28 05:59:02,280,9,USPS,MNIST,Baseline,Adam,256,0.001,0.9737,0.9681,0.5927,0.0293,0.0000,0.0000
2019-07-28 05:59:07,308,10,USPS,MNIST,Baseline,Adam,256,0.001,0.9744,0.9611,0.5047,0.0269,0.0000,0.0000
2019-07-28 05:59:13,336,11,USPS,MNIST,Baseline,Adam,256,0.001,0.9776,0.9691,0.6168,0.0230,0.0000,0.0000
2019-07-28 05:59:18,364,12,USPS,MNIST,Baseline,Adam,256,0.001,0.9774,0.9716,0.6086,0.0195,0.0000,0.0000
