time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-31 06:31:49,235,0,USPS,MNIST,DANN,Adam,256,0.001,0.9625,0.9616,0.7291,0.8251,0.0000,0.0000
2019-07-31 06:32:07,470,1,USPS,MNIST,DANN,Adam,256,0.001,0.9953,0.9666,0.8048,0.2684,0.0000,0.0000
2019-07-31 06:32:25,705,2,USPS,MNIST,DANN,Adam,256,0.001,0.9936,0.9591,0.8665,0.4209,0.0000,0.0000
2019-07-31 06:32:44,940,3,USPS,MNIST,DANN,Adam,256,0.001,0.9905,0.9631,0.8043,0.6390,0.0000,0.0000
2019-07-31 06:33:02,1175,4,USPS,MNIST,DANN,Adam,256,0.001,0.9898,0.9606,0.7661,0.7668,0.0000,0.0000
2019-07-31 06:33:21,1410,5,USPS,MNIST,DANN,Adam,256,0.001,0.9899,0.9552,0.8905,0.8124,0.0000,0.0000
2019-07-31 06:33:39,1645,6,USPS,MNIST,DANN,Adam,256,0.001,0.9895,0.9457,0.8451,0.8539,0.0000,0.0000
2019-07-31 06:33:58,1880,7,USPS,MNIST,DANN,Adam,256,0.001,0.9896,0.9517,0.8879,0.8597,0.0000,0.0000
2019-07-31 06:34:17,2115,8,USPS,MNIST,DANN,Adam,256,0.001,0.9894,0.9601,0.8220,0.8738,0.0000,0.0000
2019-07-31 06:34:36,2350,9,USPS,MNIST,DANN,Adam,256,0.001,0.9876,0.9352,0.7921,0.8759,0.0000,0.0000
2019-07-31 06:34:55,2585,10,USPS,MNIST,DANN,Adam,256,0.001,0.9871,0.9457,0.8835,0.8963,0.0000,0.0000
2019-07-31 06:35:13,2820,11,USPS,MNIST,DANN,Adam,256,0.001,0.9883,0.9492,0.8094,0.9079,0.0000,0.0000
2019-07-31 06:35:31,3055,12,USPS,MNIST,DANN,Adam,256,0.001,0.9878,0.9357,0.8386,0.8941,0.0000,0.0000
2019-07-31 06:35:50,3290,13,USPS,MNIST,DANN,Adam,256,0.001,0.9883,0.9557,0.9036,0.9170,0.0000,0.0000
2019-07-31 06:36:08,3525,14,USPS,MNIST,DANN,Adam,256,0.001,0.9876,0.9387,0.8499,0.9098,0.0000,0.0000
2019-07-31 06:36:26,3760,15,USPS,MNIST,DANN,Adam,256,0.001,0.9866,0.9482,0.9030,0.9160,0.0000,0.0000
2019-07-31 06:36:44,3995,16,USPS,MNIST,DANN,Adam,256,0.001,0.9864,0.9073,0.8534,0.9236,0.0000,0.0000
2019-07-31 06:37:02,4230,17,USPS,MNIST,DANN,Adam,256,0.001,0.9869,0.8959,0.8353,0.9108,0.0000,0.0000
2019-07-31 06:37:21,4465,18,USPS,MNIST,DANN,Adam,256,0.001,0.9870,0.9552,0.7885,0.9098,0.0000,0.0000
2019-07-31 06:37:39,4700,19,USPS,MNIST,DANN,Adam,256,0.001,0.9863,0.8665,0.8166,0.9153,0.0000,0.0000
2019-07-31 06:37:57,4935,20,USPS,MNIST,DANN,Adam,256,0.001,0.9864,0.9447,0.8303,0.9237,0.0000,0.0000
2019-07-31 06:38:15,5170,21,USPS,MNIST,DANN,Adam,256,0.001,0.9832,0.8944,0.8334,0.9574,0.0000,0.0000
2019-07-31 06:38:34,5405,22,USPS,MNIST,DANN,Adam,256,0.001,0.9869,0.9532,0.8865,0.9435,0.0000,0.0000
2019-07-31 06:38:52,5640,23,USPS,MNIST,DANN,Adam,256,0.001,0.9885,0.9412,0.7911,0.9407,0.0000,0.0000
2019-07-31 06:39:10,5875,24,USPS,MNIST,DANN,Adam,256,0.001,0.9884,0.9268,0.8393,0.9386,0.0000,0.0000
2019-07-31 06:39:28,6110,25,USPS,MNIST,DANN,Adam,256,0.001,0.9882,0.8989,0.9032,0.9373,0.0000,0.0000
2019-07-31 06:39:47,6345,26,USPS,MNIST,DANN,Adam,256,0.001,0.9894,0.9168,0.8867,0.9455,0.0000,0.0000
2019-07-31 06:40:05,6580,27,USPS,MNIST,DANN,Adam,256,0.001,0.9900,0.9218,0.8819,0.9542,0.0000,0.0000
2019-07-31 06:40:23,6815,28,USPS,MNIST,DANN,Adam,256,0.001,0.9895,0.8540,0.8208,0.9422,0.0000,0.0000
2019-07-31 06:40:41,7050,29,USPS,MNIST,DANN,Adam,256,0.001,0.9897,0.9018,0.9011,0.9427,0.0000,0.0000
2019-07-31 06:41:00,7285,30,USPS,MNIST,DANN,Adam,256,0.001,0.9887,0.9248,0.9127,0.9486,0.0000,0.0000
2019-07-31 06:41:18,7520,31,USPS,MNIST,DANN,Adam,256,0.001,0.9884,0.9357,0.8946,0.9468,0.0000,0.0000
2019-07-31 06:41:36,7755,32,USPS,MNIST,DANN,Adam,256,0.001,0.9902,0.9083,0.8911,0.9540,0.0000,0.0000
2019-07-31 06:41:54,7990,33,USPS,MNIST,DANN,Adam,256,0.001,0.9903,0.9148,0.9048,0.9555,0.0000,0.0000
2019-07-31 06:42:12,8225,34,USPS,MNIST,DANN,Adam,256,0.001,0.9913,0.9128,0.8936,0.9473,0.0000,0.0000
2019-07-31 06:42:31,8460,35,USPS,MNIST,DANN,Adam,256,0.001,0.9913,0.9008,0.8749,0.9539,0.0000,0.0000
2019-07-31 06:42:50,8695,36,USPS,MNIST,DANN,Adam,256,0.001,0.9918,0.9033,0.8995,0.9529,0.0000,0.0000
2019-07-31 06:43:10,8930,37,USPS,MNIST,DANN,Adam,256,0.001,0.9912,0.8695,0.9109,0.9505,0.0000,0.0000
2019-07-31 06:43:32,9165,38,USPS,MNIST,DANN,Adam,256,0.001,0.9910,0.9332,0.9140,0.9541,0.0000,0.0000
2019-07-31 06:43:53,9400,39,USPS,MNIST,DANN,Adam,256,0.001,0.9910,0.9317,0.9242,0.9570,0.0000,0.0000
2019-07-31 06:44:12,9635,40,USPS,MNIST,DANN,Adam,256,0.001,0.9906,0.9233,0.9161,0.9562,0.0000,0.0000
2019-07-31 06:44:33,9870,41,USPS,MNIST,DANN,Adam,256,0.001,0.9911,0.8989,0.9409,0.9525,0.0000,0.0000
2019-07-31 06:44:51,10105,42,USPS,MNIST,DANN,Adam,256,0.001,0.9901,0.9178,0.8569,0.9527,0.0000,0.0000
2019-07-31 06:45:09,10340,43,USPS,MNIST,DANN,Adam,256,0.001,0.9900,0.9133,0.9192,0.9523,0.0000,0.0000
2019-07-31 06:45:28,10575,44,USPS,MNIST,DANN,Adam,256,0.001,0.9894,0.9153,0.9238,0.9488,0.0000,0.0000
2019-07-31 06:45:49,10810,45,USPS,MNIST,DANN,Adam,256,0.001,0.9909,0.7848,0.9146,0.9519,0.0000,0.0000
2019-07-31 06:46:08,11045,46,USPS,MNIST,DANN,Adam,256,0.001,0.9904,0.8939,0.8996,0.9539,0.0000,0.0000
2019-07-31 06:46:27,11280,47,USPS,MNIST,DANN,Adam,256,0.001,0.9891,0.9198,0.9082,0.9662,0.0000,0.0000
2019-07-31 06:46:46,11515,48,USPS,MNIST,DANN,Adam,256,0.001,0.9892,0.8460,0.9104,0.9582,0.0000,0.0000
2019-07-31 06:47:04,11750,49,USPS,MNIST,DANN,Adam,256,0.001,0.9922,0.9063,0.9174,0.9507,0.0000,0.0000
2019-07-31 06:47:22,11985,50,USPS,MNIST,DANN,Adam,256,0.001,0.9927,0.7977,0.9170,0.9554,0.0000,0.0000
2019-07-31 06:47:40,12220,51,USPS,MNIST,DANN,Adam,256,0.001,0.9914,0.8231,0.9438,0.9546,0.0000,0.0000
2019-07-31 06:47:59,12455,52,USPS,MNIST,DANN,Adam,256,0.001,0.9921,0.9367,0.8936,0.9572,0.0000,0.0000
2019-07-31 06:48:17,12690,53,USPS,MNIST,DANN,Adam,256,0.001,0.9932,0.8894,0.9361,0.9605,0.0000,0.0000
2019-07-31 06:48:35,12925,54,USPS,MNIST,DANN,Adam,256,0.001,0.9946,0.9273,0.8767,0.9560,0.0000,0.0000
2019-07-31 06:48:54,13160,55,USPS,MNIST,DANN,Adam,256,0.001,0.9950,0.9203,0.9459,0.9569,0.0000,0.0000
2019-07-31 06:49:12,13395,56,USPS,MNIST,DANN,Adam,256,0.001,0.9958,0.9382,0.8911,0.9602,0.0000,0.0000
2019-07-31 06:49:32,13630,57,USPS,MNIST,DANN,Adam,256,0.001,0.9965,0.9218,0.9132,0.9577,0.0000,0.0000
2019-07-31 06:49:50,13865,58,USPS,MNIST,DANN,Adam,256,0.001,0.9958,0.9392,0.9224,0.9582,0.0000,0.0000
2019-07-31 06:50:09,14100,59,USPS,MNIST,DANN,Adam,256,0.001,0.9961,0.9103,0.8659,0.9595,0.0000,0.0000
