time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-28 10:02:57,234,0,USPS,MNIST,MADA,Adam,256,0.001,0.9645,0.9646,0.5700,1.1961,0.0000,0.0000
2019-07-28 10:04:10,468,1,USPS,MNIST,MADA,Adam,256,0.001,0.9945,0.9696,0.7023,1.1558,0.0000,0.0000
2019-07-28 10:05:24,702,2,USPS,MNIST,MADA,Adam,256,0.001,0.9962,0.9656,0.8389,1.2057,0.0000,0.0000
2019-07-28 10:06:39,936,3,USPS,MNIST,MADA,Adam,256,0.001,0.9967,0.9666,0.8347,1.2324,0.0000,0.0000
2019-07-28 10:07:56,1170,4,USPS,MNIST,MADA,Adam,256,0.001,0.9971,0.9641,0.8904,1.2408,0.0000,0.0000
2019-07-28 10:09:10,1404,5,USPS,MNIST,MADA,Adam,256,0.001,0.9972,0.9716,0.8812,1.2515,0.0000,0.0000
2019-07-28 10:10:24,1638,6,USPS,MNIST,MADA,Adam,256,0.001,0.9966,0.9676,0.8726,1.2601,0.0000,0.0000
2019-07-28 10:11:40,1872,7,USPS,MNIST,MADA,Adam,256,0.001,0.9975,0.9656,0.8850,1.2635,0.0000,0.0000
2019-07-28 10:12:55,2106,8,USPS,MNIST,MADA,Adam,256,0.001,0.9973,0.9581,0.9273,1.2715,0.0000,0.0000
2019-07-28 10:14:09,2340,9,USPS,MNIST,MADA,Adam,256,0.001,0.9972,0.9636,0.8988,1.2744,0.0000,0.0000
2019-07-28 10:15:24,2574,10,USPS,MNIST,MADA,Adam,256,0.001,0.9982,0.9666,0.9217,1.2804,0.0000,0.0000
2019-07-28 10:16:38,2808,11,USPS,MNIST,MADA,Adam,256,0.001,0.9980,0.9636,0.8999,1.2889,0.0000,0.0000
2019-07-28 10:17:52,3042,12,USPS,MNIST,MADA,Adam,256,0.001,0.9976,0.9611,0.9093,1.2935,0.0000,0.0000
2019-07-28 10:19:08,3276,13,USPS,MNIST,MADA,Adam,256,0.001,0.9966,0.9591,0.9142,1.2991,0.0000,0.0000
2019-07-28 10:20:22,3510,14,USPS,MNIST,MADA,Adam,256,0.001,0.9979,0.9626,0.9177,1.3027,0.0000,0.0000
