time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-28 10:03:11,28,0,USPS,MNIST,MCD,Adam,256,0.001,0.8568,0.8700,0.7812,0.4507,0.0000,0.0000
2019-07-28 10:03:19,56,1,USPS,MNIST,MCD,Adam,256,0.001,0.9702,0.9273,0.8859,0.1003,0.0000,0.0000
2019-07-28 10:03:27,84,2,USPS,MNIST,MCD,Adam,256,0.001,0.9809,0.9213,0.8960,0.0656,0.0000,0.0000
2019-07-28 10:03:35,112,3,USPS,MNIST,MCD,Adam,256,0.001,0.9817,0.9283,0.8999,0.0597,0.0000,0.0000
2019-07-28 10:03:44,140,4,USPS,MNIST,MCD,Adam,256,0.001,0.9849,0.9255,0.9162,0.0505,0.0000,0.0000
2019-07-28 10:03:52,168,5,USPS,MNIST,MCD,Adam,256,0.001,0.9889,0.9395,0.9292,0.0360,0.0000,0.0000
2019-07-28 10:04:00,196,6,USPS,MNIST,MCD,Adam,256,0.001,0.9887,0.9472,0.9088,0.0356,0.0000,0.0000
2019-07-28 10:04:08,224,7,USPS,MNIST,MCD,Adam,256,0.001,0.9865,0.9442,0.9153,0.0403,0.0000,0.0000
2019-07-28 10:04:15,252,8,USPS,MNIST,MCD,Adam,256,0.001,0.9895,0.9429,0.9233,0.0326,0.0000,0.0000
2019-07-28 10:04:23,280,9,USPS,MNIST,MCD,Adam,256,0.001,0.9886,0.9559,0.9189,0.0384,0.0000,0.0000
2019-07-28 10:04:32,308,10,USPS,MNIST,MCD,Adam,256,0.001,0.9926,0.9459,0.9233,0.0255,0.0000,0.0000
2019-07-28 10:04:40,336,11,USPS,MNIST,MCD,Adam,256,0.001,0.9929,0.9442,0.9126,0.0242,0.0000,0.0000
2019-07-28 10:04:47,364,12,USPS,MNIST,MCD,Adam,256,0.001,0.9927,0.9405,0.9116,0.0249,0.0000,0.0000
2019-07-28 10:04:55,392,13,USPS,MNIST,MCD,Adam,256,0.001,0.9907,0.9357,0.9086,0.0281,0.0000,0.0000
2019-07-28 10:05:03,420,14,USPS,MNIST,MCD,Adam,256,0.001,0.9946,0.9462,0.9294,0.0208,0.0000,0.0000
2019-07-28 10:05:11,448,15,USPS,MNIST,MCD,Adam,256,0.001,0.9920,0.9317,0.9096,0.0253,0.0000,0.0000
2019-07-28 10:05:20,476,16,USPS,MNIST,MCD,Adam,256,0.001,0.9925,0.9444,0.9226,0.0257,0.0000,0.0000
2019-07-28 10:05:27,504,17,USPS,MNIST,MCD,Adam,256,0.001,0.9920,0.9422,0.9306,0.0259,0.0000,0.0000
2019-07-28 10:05:35,532,18,USPS,MNIST,MCD,Adam,256,0.001,0.9948,0.9459,0.9285,0.0187,0.0000,0.0000
2019-07-28 10:05:43,560,19,USPS,MNIST,MCD,Adam,256,0.001,0.9932,0.9517,0.9254,0.0243,0.0000,0.0000
2019-07-28 10:05:51,588,20,USPS,MNIST,MCD,Adam,256,0.001,0.9943,0.9522,0.9264,0.0208,0.0000,0.0000
2019-07-28 10:05:59,616,21,USPS,MNIST,MCD,Adam,256,0.001,0.9951,0.9340,0.9232,0.0175,0.0000,0.0000
2019-07-28 10:06:07,644,22,USPS,MNIST,MCD,Adam,256,0.001,0.9925,0.9375,0.9224,0.0249,0.0000,0.0000
2019-07-28 10:06:16,672,23,USPS,MNIST,MCD,Adam,256,0.001,0.9932,0.9534,0.9217,0.0224,0.0000,0.0000
2019-07-28 10:06:24,700,24,USPS,MNIST,MCD,Adam,256,0.001,0.9948,0.9434,0.9183,0.0172,0.0000,0.0000
2019-07-28 10:06:31,728,25,USPS,MNIST,MCD,Adam,256,0.001,0.9953,0.9300,0.9210,0.0193,0.0000,0.0000
2019-07-28 10:06:39,756,26,USPS,MNIST,MCD,Adam,256,0.001,0.9955,0.9113,0.9163,0.0158,0.0000,0.0000
2019-07-28 10:06:47,784,27,USPS,MNIST,MCD,Adam,256,0.001,0.9944,0.9432,0.9245,0.0198,0.0000,0.0000
2019-07-28 10:06:55,812,28,USPS,MNIST,MCD,Adam,256,0.001,0.9955,0.9210,0.9159,0.0153,0.0000,0.0000
2019-07-28 10:07:04,840,29,USPS,MNIST,MCD,Adam,256,0.001,0.9942,0.9362,0.9213,0.0194,0.0000,0.0000
2019-07-28 10:07:12,868,30,USPS,MNIST,MCD,Adam,256,0.001,0.9933,0.9165,0.9175,0.0211,0.0000,0.0000
2019-07-28 10:07:19,896,31,USPS,MNIST,MCD,Adam,256,0.001,0.9949,0.9382,0.9257,0.0182,0.0000,0.0000
2019-07-28 10:07:27,924,32,USPS,MNIST,MCD,Adam,256,0.001,0.9936,0.9405,0.8900,0.0202,0.0000,0.0000
2019-07-28 10:07:35,952,33,USPS,MNIST,MCD,Adam,256,0.001,0.9935,0.9537,0.9262,0.0213,0.0000,0.0000
2019-07-28 10:07:43,980,34,USPS,MNIST,MCD,Adam,256,0.001,0.9937,0.9235,0.9084,0.0198,0.0000,0.0000
