time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-29 11:55:34,235,0,USPS,MNIST,MT,Adam,256,0.001,0.9248,0.9641,0.5768,0.2447,0.0000,0.0000
2019-07-29 11:56:40,470,1,USPS,MNIST,MT,Adam,256,0.001,0.9742,0.9646,0.7200,0.0860,0.0000,0.0000
2019-07-29 11:57:43,705,2,USPS,MNIST,MT,Adam,256,0.001,0.9804,0.9731,0.6907,0.0659,0.0000,0.0000
2019-07-29 11:58:45,940,3,USPS,MNIST,MT,Adam,256,0.001,0.9826,0.9731,0.7781,0.0573,0.0000,0.0000
2019-07-29 11:59:52,1175,4,USPS,MNIST,MT,Adam,256,0.001,0.9839,0.9736,0.7703,0.0525,0.0000,0.0000
2019-07-29 12:00:57,1410,5,USPS,MNIST,MT,Adam,256,0.001,0.9857,0.9706,0.8230,0.0464,0.0000,0.0000
2019-07-29 12:02:02,1645,6,USPS,MNIST,MT,Adam,256,0.001,0.9868,0.9736,0.7437,0.0425,0.0000,0.0000
2019-07-29 12:03:07,1880,7,USPS,MNIST,MT,Adam,256,0.001,0.9880,0.9741,0.6484,0.0391,0.0000,0.0000
2019-07-29 12:04:12,2115,8,USPS,MNIST,MT,Adam,256,0.001,0.9879,0.9691,0.8666,0.0392,0.0000,0.0000
2019-07-29 12:05:15,2350,9,USPS,MNIST,MT,Adam,256,0.001,0.9891,0.9741,0.7181,0.0377,0.0000,0.0000
2019-07-29 12:06:17,2585,10,USPS,MNIST,MT,Adam,256,0.001,0.9882,0.9766,0.8369,0.0376,0.0000,0.0000
2019-07-29 12:07:21,2820,11,USPS,MNIST,MT,Adam,256,0.001,0.9898,0.9751,0.9214,0.0346,0.0000,0.0000
2019-07-29 12:08:27,3055,12,USPS,MNIST,MT,Adam,256,0.001,0.9898,0.9746,0.7044,0.0334,0.0000,0.0000
2019-07-29 12:09:33,3290,13,USPS,MNIST,MT,Adam,256,0.001,0.9888,0.9736,0.8981,0.0363,0.0000,0.0000
2019-07-29 12:10:36,3525,14,USPS,MNIST,MT,Adam,256,0.001,0.9905,0.9811,0.9085,0.0318,0.0000,0.0000
2019-07-29 12:11:42,3760,15,USPS,MNIST,MT,Adam,256,0.001,0.9909,0.9731,0.8467,0.0321,0.0000,0.0000
2019-07-29 12:12:50,3995,16,USPS,MNIST,MT,Adam,256,0.001,0.9906,0.9731,0.8449,0.0317,0.0000,0.0000
2019-07-29 12:14:00,4230,17,USPS,MNIST,MT,Adam,256,0.001,0.9913,0.9781,0.9010,0.0302,0.0000,0.0000
2019-07-29 12:15:13,4465,18,USPS,MNIST,MT,Adam,256,0.001,0.9916,0.9721,0.9320,0.0291,0.0000,0.0000
2019-07-29 12:16:23,4700,19,USPS,MNIST,MT,Adam,256,0.001,0.9923,0.9776,0.8919,0.0276,0.0000,0.0000
2019-07-29 12:17:36,4935,20,USPS,MNIST,MT,Adam,256,0.001,0.9918,0.9761,0.9489,0.0282,0.0000,0.0000
2019-07-29 12:18:43,5170,21,USPS,MNIST,MT,Adam,256,0.001,0.9923,0.9781,0.8790,0.0275,0.0000,0.0000
2019-07-29 12:19:44,5405,22,USPS,MNIST,MT,Adam,256,0.001,0.9924,0.9741,0.8958,0.0273,0.0000,0.0000
2019-07-29 12:20:50,5640,23,USPS,MNIST,MT,Adam,256,0.001,0.9918,0.9776,0.8919,0.0277,0.0000,0.0000
2019-07-29 12:21:56,5875,24,USPS,MNIST,MT,Adam,256,0.001,0.9918,0.9731,0.9244,0.0295,0.0000,0.0000
2019-07-29 12:23:00,6110,25,USPS,MNIST,MT,Adam,256,0.001,0.9925,0.9781,0.9434,0.0274,0.0000,0.0000
2019-07-29 12:24:07,6345,26,USPS,MNIST,MT,Adam,256,0.001,0.9926,0.9781,0.9449,0.0264,0.0000,0.0000
