time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-26 13:47:01,156,1,Amazon,Dslr,Baseline,SGD,36,0.0003,0.7448,0.0000,0.7008,0.9543,0.0000,1.0316
2019-07-26 13:48:04,312,3,Amazon,Dslr,Baseline,SGD,36,0.0003,0.8197,0.0000,0.7550,0.6553,0.0000,0.8195
2019-07-26 13:49:06,468,5,Amazon,Dslr,Baseline,SGD,36,0.0003,0.8403,0.0000,0.7470,0.5310,0.0000,0.8094
2019-07-26 13:50:09,624,7,Amazon,Dslr,Baseline,SGD,36,0.0003,0.8630,0.0000,0.7791,0.4703,0.0000,0.7385
2019-07-26 13:51:12,780,9,Amazon,Dslr,Baseline,SGD,36,0.0003,0.8885,0.0000,0.7691,0.4010,0.0000,0.8613
2019-07-26 13:52:15,936,11,Amazon,Dslr,Baseline,SGD,36,0.0003,0.8960,0.0000,0.7651,0.3512,0.0000,0.8830
2019-07-26 13:53:18,1092,13,Amazon,Dslr,Baseline,SGD,36,0.0003,0.9105,0.0000,0.7811,0.3099,0.0000,0.8615
2019-07-26 13:54:21,1248,15,Amazon,Dslr,Baseline,SGD,36,0.0003,0.9162,0.0000,0.7771,0.2891,0.0000,0.8319
2019-07-26 13:55:24,1404,17,Amazon,Dslr,Baseline,SGD,36,0.0003,0.9251,0.0000,0.7610,0.2542,0.0000,0.8509
2019-07-26 13:56:27,1560,19,Amazon,Dslr,Baseline,SGD,36,0.0003,0.9226,0.0000,0.7932,0.2587,0.0000,0.8264
2019-07-26 13:57:30,1716,21,Amazon,Dslr,Baseline,SGD,36,0.0003,0.9333,0.0000,0.7791,0.2380,0.0000,0.8531
2019-07-26 13:58:32,1872,23,Amazon,Dslr,Baseline,SGD,36,0.0003,0.9343,0.0000,0.7811,0.2239,0.0000,0.8779
2019-07-26 13:59:35,2028,25,Amazon,Dslr,Baseline,SGD,36,0.0003,0.9315,0.0000,0.7811,0.2319,0.0000,0.8564
