time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-08-02 04:50:45,112,7,Amazon,Dslr,DANN,SGD,36,0.0009241180817702607,0.7698,0.0000,0.7631,1.3066,0.0000,0.0000
2019-08-02 04:55:25,224,15,Amazon,Dslr,DANN,SGD,36,0.0008599117933613207,0.7976,0.0000,0.7791,1.1678,0.0000,0.0000
2019-08-02 05:00:10,336,23,Amazon,Dslr,DANN,SGD,36,0.0008052333125387846,0.8730,0.0000,0.7892,1.0639,0.0000,0.0000
2019-08-02 05:04:58,448,31,Amazon,Dslr,DANN,SGD,36,0.000758034262956754,0.8929,0.0000,0.8012,1.0555,0.0000,0.0000
2019-08-02 05:09:42,560,39,Amazon,Dslr,DANN,SGD,36,0.0007168233024123451,0.8849,0.0000,0.8092,1.0789,0.0000,0.0000
2019-08-02 05:14:31,672,47,Amazon,Dslr,DANN,SGD,36,0.0006804872053373114,0.8948,0.0000,0.8313,1.0832,0.0000,0.0000
2019-08-02 05:19:14,784,55,Amazon,Dslr,DANN,SGD,36,0.0006481771106806992,0.8869,0.0000,0.8213,1.1069,0.0000,0.0000
2019-08-02 05:24:12,896,63,Amazon,Dslr,DANN,SGD,36,0.0006192337307130867,0.9187,0.0000,0.8373,1.0793,0.0000,0.0000
2019-08-02 05:28:59,1008,71,Amazon,Dslr,DANN,SGD,36,0.0005931367352933703,0.9325,0.0000,0.8333,1.0529,0.0000,0.0000
2019-08-02 05:33:51,1120,79,Amazon,Dslr,DANN,SGD,36,0.0005694696258395419,0.9206,0.0000,0.8434,1.0828,0.0000,0.0000
2019-08-02 05:38:37,1232,87,Amazon,Dslr,DANN,SGD,36,0.0005478948152857627,0.9226,0.0000,0.8253,1.0747,0.0000,0.0000
2019-08-02 05:43:29,1344,95,Amazon,Dslr,DANN,SGD,36,0.0005281356002076935,0.9187,0.0000,0.8233,1.0572,0.0000,0.0000
2019-08-02 05:48:17,1456,103,Amazon,Dslr,DANN,SGD,36,0.00050996289003043,0.9187,0.0000,0.8112,1.0806,0.0000,0.0000
2019-08-02 05:53:01,1568,111,Amazon,Dslr,DANN,SGD,36,0.00049318528434305,0.9345,0.0000,0.8233,1.0750,0.0000,0.0000
2019-08-02 05:57:55,1680,119,Amazon,Dslr,DANN,SGD,36,0.0004776415483620732,0.9504,0.0000,0.8394,1.0312,0.0000,0.0000
2019-08-02 06:02:49,1792,127,Amazon,Dslr,DANN,SGD,36,0.0004631948335747761,0.9425,0.0000,0.8474,1.0511,0.0000,0.0000
2019-08-02 06:07:42,1904,135,Amazon,Dslr,DANN,SGD,36,0.0004497281868145794,0.9504,0.0000,0.8514,1.0398,0.0000,0.0000
2019-08-02 06:12:27,2016,143,Amazon,Dslr,DANN,SGD,36,0.00043714102315100796,0.9663,0.0000,0.8353,1.0213,0.0000,0.0000
2019-08-02 06:17:16,2128,151,Amazon,Dslr,DANN,SGD,36,0.0004253463285034436,0.9544,0.0000,0.8193,1.0267,0.0000,0.0000
2019-08-02 06:22:06,2240,159,Amazon,Dslr,DANN,SGD,36,0.00041426842090111114,0.9524,0.0000,0.8253,1.0598,0.0000,0.0000
2019-08-02 06:26:53,2352,167,Amazon,Dslr,DANN,SGD,36,0.0004038411438166217,0.9484,0.0000,0.8353,1.0474,0.0000,0.0000
2019-08-02 06:31:39,2464,175,Amazon,Dslr,DANN,SGD,36,0.0003940063968579439,0.9603,0.0000,0.8293,1.0309,0.0000,0.0000
2019-08-02 06:36:32,2576,183,Amazon,Dslr,DANN,SGD,36,0.0003847129321928258,0.9464,0.0000,0.8394,1.0353,0.0000,0.0000
2019-08-02 06:41:22,2688,191,Amazon,Dslr,DANN,SGD,36,0.0003759153620077061,0.9504,0.0000,0.8313,1.0373,0.0000,0.0000
2019-08-02 06:46:13,2800,199,Amazon,Dslr,DANN,SGD,36,0.00036757333484778074,0.9484,0.0000,0.8333,1.0572,0.0000,0.0000
2019-08-02 06:50:57,2912,207,Amazon,Dslr,DANN,SGD,36,0.00035965084807456656,0.9683,0.0000,0.8414,1.0422,0.0000,0.0000
2019-08-02 06:55:45,3024,215,Amazon,Dslr,DANN,SGD,36,0.00035211567077148817,0.9702,0.0000,0.8293,1.0078,0.0000,0.0000
2019-08-02 07:00:35,3136,223,Amazon,Dslr,DANN,SGD,36,0.0003449388568350255,0.9504,0.0000,0.8454,1.0396,0.0000,0.0000
2019-08-02 07:05:24,3248,231,Amazon,Dslr,DANN,SGD,36,0.00033809433214409363,0.9544,0.0000,0.8434,1.0493,0.0000,0.0000
2019-08-02 07:10:19,3360,239,Amazon,Dslr,DANN,SGD,36,0.0003315585429182202,0.9444,0.0000,0.8233,1.0601,0.0000,0.0000
2019-08-02 07:15:10,3472,247,Amazon,Dslr,DANN,SGD,36,0.0003253101548853995,0.9643,0.0000,0.8353,1.0269,0.0000,0.0000
