time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-08-01 14:57:32,112,7,Amazon,Dslr,MADA,SGD,36,0.0009241180817702607,0.8056,0.0000,0.7369,22.1979,0.0000,0.0000
2019-08-01 15:04:35,224,15,Amazon,Dslr,MADA,SGD,36,0.0008599117933613207,0.8631,0.0000,0.7430,21.9213,0.0000,0.0000
2019-08-01 15:11:39,336,23,Amazon,Dslr,MADA,SGD,36,0.0008052333125387846,0.8968,0.0000,0.7952,21.8106,0.0000,0.0000
2019-08-01 15:18:41,448,31,Amazon,Dslr,MADA,SGD,36,0.000758034262956754,0.9028,0.0000,0.7771,21.7779,0.0000,0.0000
2019-08-01 15:25:32,560,39,Amazon,Dslr,MADA,SGD,36,0.0007168233024123451,0.9008,0.0000,0.7972,21.7091,0.0000,0.0000
2019-08-01 15:32:04,672,47,Amazon,Dslr,MADA,SGD,36,0.0006804872053373114,0.9306,0.0000,0.7811,21.6354,0.0000,0.0000
2019-08-01 15:38:35,784,55,Amazon,Dslr,MADA,SGD,36,0.0006481771106806992,0.9246,0.0000,0.7892,21.6585,0.0000,0.0000
2019-08-01 15:45:06,896,63,Amazon,Dslr,MADA,SGD,36,0.0006192337307130867,0.9484,0.0000,0.7992,21.5438,0.0000,0.0000
2019-08-01 15:51:36,1008,71,Amazon,Dslr,MADA,SGD,36,0.0005931367352933703,0.9246,0.0000,0.8353,21.6401,0.0000,0.0000
2019-08-01 15:58:07,1120,79,Amazon,Dslr,MADA,SGD,36,0.0005694696258395419,0.9444,0.0000,0.8213,21.5797,0.0000,0.0000
2019-08-01 16:04:39,1232,87,Amazon,Dslr,MADA,SGD,36,0.0005478948152857627,0.9544,0.0000,0.8233,21.5176,0.0000,0.0000
2019-08-01 16:11:10,1344,95,Amazon,Dslr,MADA,SGD,36,0.0005281356002076935,0.9405,0.0000,0.8313,21.5844,0.0000,0.0000
2019-08-01 16:17:44,1456,103,Amazon,Dslr,MADA,SGD,36,0.00050996289003043,0.9425,0.0000,0.8594,21.6182,0.0000,0.0000
2019-08-01 16:24:15,1568,111,Amazon,Dslr,MADA,SGD,36,0.00049318528434305,0.9603,0.0000,0.8594,21.6090,0.0000,0.0000
2019-08-01 16:30:47,1680,119,Amazon,Dslr,MADA,SGD,36,0.0004776415483620732,0.9504,0.0000,0.8594,21.6499,0.0000,0.0000
2019-08-01 16:37:20,1792,127,Amazon,Dslr,MADA,SGD,36,0.0004631948335747761,0.9444,0.0000,0.8675,21.6704,0.0000,0.0000
2019-08-01 16:43:50,1904,135,Amazon,Dslr,MADA,SGD,36,0.0004497281868145794,0.9702,0.0000,0.8936,21.5865,0.0000,0.0000
2019-08-01 16:50:22,2016,143,Amazon,Dslr,MADA,SGD,36,0.00043714102315100796,0.9702,0.0000,0.8876,21.6101,0.0000,0.0000
2019-08-01 16:56:51,2128,151,Amazon,Dslr,MADA,SGD,36,0.0004253463285034436,0.9563,0.0000,0.8896,21.6412,0.0000,0.0000
2019-08-01 17:03:21,2240,159,Amazon,Dslr,MADA,SGD,36,0.00041426842090111114,0.9623,0.0000,0.8896,21.6267,0.0000,0.0000
2019-08-01 17:09:50,2352,167,Amazon,Dslr,MADA,SGD,36,0.0004038411438166217,0.9623,0.0000,0.8956,21.6161,0.0000,0.0000
2019-08-01 17:16:21,2464,175,Amazon,Dslr,MADA,SGD,36,0.0003940063968579439,0.9643,0.0000,0.8855,21.6105,0.0000,0.0000
2019-08-01 17:22:52,2576,183,Amazon,Dslr,MADA,SGD,36,0.0003847129321928258,0.9742,0.0000,0.8956,21.6000,0.0000,0.0000
2019-08-01 17:29:23,2688,191,Amazon,Dslr,MADA,SGD,36,0.0003759153620077061,0.9702,0.0000,0.8835,21.6047,0.0000,0.0000
2019-08-01 17:35:55,2800,199,Amazon,Dslr,MADA,SGD,36,0.00036757333484778074,0.9663,0.0000,0.8936,21.6107,0.0000,0.0000
2019-08-01 17:42:25,2912,207,Amazon,Dslr,MADA,SGD,36,0.00035965084807456656,0.9504,0.0000,0.8876,21.6495,0.0000,0.0000
