time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-26 20:38:45,104,7,Amazon,Dslr,MCD,SGD,36,0.0003,0.7340,0.0000,0.7129,1.0186,0.0000,0.0000
2019-07-26 20:44:48,208,15,Amazon,Dslr,MCD,SGD,36,0.0003,0.7874,0.0000,0.7641,0.7280,0.0000,0.0000
2019-07-26 20:50:51,312,23,Amazon,Dslr,MCD,SGD,36,0.0003,0.8675,0.0000,0.7751,0.5074,0.0000,0.0000
2019-07-26 20:56:54,416,31,Amazon,Dslr,MCD,SGD,36,0.0003,0.8643,0.0000,0.7851,0.4982,0.0000,0.0000
2019-07-26 21:02:58,520,39,Amazon,Dslr,MCD,SGD,36,0.0003,0.8889,0.0000,0.7882,0.4196,0.0000,0.0000
2019-07-26 21:09:02,624,47,Amazon,Dslr,MCD,SGD,36,0.0003,0.8665,0.0000,0.7871,0.4539,0.0000,0.0000
2019-07-26 21:15:06,728,55,Amazon,Dslr,MCD,SGD,36,0.0003,0.8910,0.0000,0.8042,0.3794,0.0000,0.0000
2019-07-26 21:21:10,832,63,Amazon,Dslr,MCD,SGD,36,0.0003,0.8964,0.0000,0.8183,0.3465,0.0000,0.0000
2019-07-26 21:27:14,936,71,Amazon,Dslr,MCD,SGD,36,0.0003,0.9017,0.0000,0.8263,0.3226,0.0000,0.0000
2019-07-26 21:33:18,1040,79,Amazon,Dslr,MCD,SGD,36,0.0003,0.9167,0.0000,0.8323,0.2620,0.0000,0.0000
2019-07-26 21:39:21,1144,87,Amazon,Dslr,MCD,SGD,36,0.0003,0.9423,0.0000,0.8273,0.2467,0.0000,0.0000
2019-07-26 21:45:24,1248,95,Amazon,Dslr,MCD,SGD,36,0.0003,0.9402,0.0000,0.8082,0.2050,0.0000,0.0000
2019-07-26 21:51:29,1352,103,Amazon,Dslr,MCD,SGD,36,0.0003,0.9327,0.0000,0.8183,0.2461,0.0000,0.0000
2019-07-26 21:57:33,1456,111,Amazon,Dslr,MCD,SGD,36,0.0003,0.9423,0.0000,0.8293,0.2302,0.0000,0.0000
2019-07-26 22:03:38,1560,119,Amazon,Dslr,MCD,SGD,36,0.0003,0.9423,0.0000,0.8052,0.2442,0.0000,0.0000
2019-07-26 22:09:43,1664,127,Amazon,Dslr,MCD,SGD,36,0.0003,0.9284,0.0000,0.8263,0.2338,0.0000,0.0000
2019-07-26 22:15:48,1768,135,Amazon,Dslr,MCD,SGD,36,0.0003,0.9509,0.0000,0.8173,0.1764,0.0000,0.0000
2019-07-26 22:21:52,1872,143,Amazon,Dslr,MCD,SGD,36,0.0003,0.9434,0.0000,0.8213,0.2108,0.0000,0.0000
2019-07-26 22:27:56,1976,151,Amazon,Dslr,MCD,SGD,36,0.0003,0.9188,0.0000,0.8343,0.2424,0.0000,0.0000
2019-07-26 22:34:00,2080,159,Amazon,Dslr,MCD,SGD,36,0.0003,0.9530,0.0000,0.8243,0.2259,0.0000,0.0000
2019-07-26 22:40:05,2184,167,Amazon,Dslr,MCD,SGD,36,0.0003,0.9626,0.0000,0.8183,0.1408,0.0000,0.0000
2019-07-26 22:46:09,2288,175,Amazon,Dslr,MCD,SGD,36,0.0003,0.9573,0.0000,0.8122,0.1607,0.0000,0.0000
2019-07-26 22:52:13,2392,183,Amazon,Dslr,MCD,SGD,36,0.0003,0.9370,0.0000,0.8193,0.1977,0.0000,0.0000
2019-07-26 22:58:17,2496,191,Amazon,Dslr,MCD,SGD,36,0.0003,0.9380,0.0000,0.8223,0.2224,0.0000,0.0000
2019-07-26 23:04:22,2600,199,Amazon,Dslr,MCD,SGD,36,0.0003,0.9615,0.0000,0.8002,0.1503,0.0000,0.0000
2019-07-26 23:10:25,2704,207,Amazon,Dslr,MCD,SGD,36,0.0003,0.9434,0.0000,0.8243,0.2120,0.0000,0.0000
2019-07-26 23:16:29,2808,215,Amazon,Dslr,MCD,SGD,36,0.0003,0.9530,0.0000,0.8273,0.1614,0.0000,0.0000
2019-07-26 23:22:34,2912,223,Amazon,Dslr,MCD,SGD,36,0.0003,0.9605,0.0000,0.8183,0.1463,0.0000,0.0000
2019-07-26 23:28:38,3016,231,Amazon,Dslr,MCD,SGD,36,0.0003,0.9583,0.0000,0.8223,0.1740,0.0000,0.0000
2019-07-26 23:34:42,3120,239,Amazon,Dslr,MCD,SGD,36,0.0003,0.9615,0.0000,0.8323,0.1445,0.0000,0.0000
2019-07-26 23:40:46,3224,247,Amazon,Dslr,MCD,SGD,36,0.0003,0.9551,0.0000,0.8263,0.1430,0.0000,0.0000
2019-07-26 23:46:50,3328,255,Amazon,Dslr,MCD,SGD,36,0.0003,0.9690,0.0000,0.8253,0.1523,0.0000,0.0000
2019-07-26 23:52:54,3432,263,Amazon,Dslr,MCD,SGD,36,0.0003,0.9573,0.0000,0.8183,0.1565,0.0000,0.0000
2019-07-26 23:58:59,3536,271,Amazon,Dslr,MCD,SGD,36,0.0003,0.9669,0.0000,0.8213,0.1235,0.0000,0.0000
2019-07-27 00:05:04,3640,279,Amazon,Dslr,MCD,SGD,36,0.0003,0.9562,0.0000,0.8102,0.1433,0.0000,0.0000
2019-07-27 00:11:07,3744,287,Amazon,Dslr,MCD,SGD,36,0.0003,0.9797,0.0000,0.8203,0.1071,0.0000,0.0000
2019-07-27 00:17:12,3848,295,Amazon,Dslr,MCD,SGD,36,0.0003,0.9637,0.0000,0.8293,0.1589,0.0000,0.0000
2019-07-27 00:23:17,3952,303,Amazon,Dslr,MCD,SGD,36,0.0003,0.9541,0.0000,0.8293,0.1485,0.0000,0.0000
2019-07-27 00:29:21,4056,311,Amazon,Dslr,MCD,SGD,36,0.0003,0.9637,0.0000,0.8223,0.1100,0.0000,0.0000
2019-07-27 00:35:25,4160,319,Amazon,Dslr,MCD,SGD,36,0.0003,0.9573,0.0000,0.8273,0.1222,0.0000,0.0000
2019-07-27 00:41:29,4264,327,Amazon,Dslr,MCD,SGD,36,0.0003,0.9573,0.0000,0.8303,0.1400,0.0000,0.0000
2019-07-27 00:47:34,4368,335,Amazon,Dslr,MCD,SGD,36,0.0003,0.9669,0.0000,0.8153,0.1087,0.0000,0.0000
2019-07-27 00:53:39,4472,343,Amazon,Dslr,MCD,SGD,36,0.0003,0.9615,0.0000,0.8253,0.1244,0.0000,0.0000
2019-07-27 00:59:44,4576,351,Amazon,Dslr,MCD,SGD,36,0.0003,0.9776,0.0000,0.8454,0.0948,0.0000,0.0000
2019-07-27 01:05:49,4680,359,Amazon,Dslr,MCD,SGD,36,0.0003,0.9829,0.0000,0.8353,0.0758,0.0000,0.0000
2019-07-27 01:11:53,4784,367,Amazon,Dslr,MCD,SGD,36,0.0003,0.9519,0.0000,0.8243,0.1490,0.0000,0.0000
2019-07-27 01:17:57,4888,375,Amazon,Dslr,MCD,SGD,36,0.0003,0.9541,0.0000,0.8303,0.1772,0.0000,0.0000
2019-07-27 01:24:01,4992,383,Amazon,Dslr,MCD,SGD,36,0.0003,0.9679,0.0000,0.8404,0.1232,0.0000,0.0000
2019-07-27 01:30:05,5096,391,Amazon,Dslr,MCD,SGD,36,0.0003,0.9712,0.0000,0.8363,0.1043,0.0000,0.0000
2019-07-27 01:36:09,5200,399,Amazon,Dslr,MCD,SGD,36,0.0003,0.9733,0.0000,0.8283,0.1139,0.0000,0.0000
2019-07-27 01:42:14,5304,407,Amazon,Dslr,MCD,SGD,36,0.0003,0.9530,0.0000,0.8343,0.1386,0.0000,0.0000
2019-07-27 01:48:19,5408,415,Amazon,Dslr,MCD,SGD,36,0.0003,0.9744,0.0000,0.8253,0.1335,0.0000,0.0000
2019-07-27 01:54:23,5512,423,Amazon,Dslr,MCD,SGD,36,0.0003,0.9669,0.0000,0.8404,0.1141,0.0000,0.0000
2019-07-27 02:00:27,5616,431,Amazon,Dslr,MCD,SGD,36,0.0003,0.9712,0.0000,0.8424,0.1055,0.0000,0.0000
2019-07-27 02:06:31,5720,439,Amazon,Dslr,MCD,SGD,36,0.0003,0.9658,0.0000,0.8394,0.1435,0.0000,0.0000
2019-07-27 02:12:38,5824,447,Amazon,Dslr,MCD,SGD,36,0.0003,0.9669,0.0000,0.8293,0.1270,0.0000,0.0000
2019-07-27 02:19:08,5928,455,Amazon,Dslr,MCD,SGD,36,0.0003,0.9679,0.0000,0.8343,0.1161,0.0000,0.0000
