iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
158,1,Amazon,Webcam,Baseline,SGD,36,0.001,0.7682,0.0000,0.6830,0.8157,0.0000,1.1871
316,3,Amazon,Webcam,Baseline,SGD,36,0.001,0.8520,0.0000,0.6616,0.4932,0.0000,1.2353
474,5,Amazon,Webcam,Baseline,SGD,36,0.001,0.8868,0.0000,0.6830,0.3774,0.0000,1.2383
632,7,Amazon,Webcam,Baseline,SGD,36,0.001,0.8981,0.0000,0.6767,0.3237,0.0000,1.2346
790,9,Amazon,Webcam,Baseline,SGD,36,0.001,0.9194,0.0000,0.6918,0.2782,0.0000,1.1258
948,11,Amazon,Webcam,Baseline,SGD,36,0.001,0.9357,0.0000,0.6579,0.2222,0.0000,1.3994
1106,13,Amazon,Webcam,Baseline,SGD,36,0.001,0.9439,0.0000,0.6491,0.2045,0.0000,1.4877
1264,15,Amazon,Webcam,Baseline,SGD,36,0.001,0.9397,0.0000,0.7031,0.2026,0.0000,1.2762
1422,17,Amazon,Webcam,Baseline,SGD,36,0.001,0.9546,0.0000,0.6805,0.1461,0.0000,1.3694
1580,19,Amazon,Webcam,Baseline,SGD,36,0.001,0.9521,0.0000,0.6629,0.1639,0.0000,1.3266
1738,21,Amazon,Webcam,Baseline,SGD,36,0.001,0.9570,0.0000,0.6629,0.1597,0.0000,1.4072
1896,23,Amazon,Webcam,Baseline,SGD,36,0.001,0.9563,0.0000,0.6906,0.1608,0.0000,1.3895
2054,25,Amazon,Webcam,Baseline,SGD,36,0.001,0.9613,0.0000,0.6742,0.1257,0.0000,1.3650
2212,27,Amazon,Webcam,Baseline,SGD,36,0.001,0.9624,0.0000,0.6969,0.1265,0.0000,1.4189
2370,29,Amazon,Webcam,Baseline,SGD,36,0.001,0.9677,0.0000,0.6742,0.1299,0.0000,1.4096
2528,31,Amazon,Webcam,Baseline,SGD,36,0.001,0.9638,0.0000,0.6830,0.1301,0.0000,1.3816
2686,33,Amazon,Webcam,Baseline,SGD,36,0.001,0.9645,0.0000,0.6792,0.1300,0.0000,1.3844
2844,35,Amazon,Webcam,Baseline,SGD,36,0.001,0.9705,0.0000,0.6767,0.1140,0.0000,1.5113
3002,37,Amazon,Webcam,Baseline,SGD,36,0.001,0.9631,0.0000,0.6755,0.1300,0.0000,1.4519
3160,39,Amazon,Webcam,Baseline,SGD,36,0.001,0.9716,0.0000,0.6931,0.1068,0.0000,1.3910
3318,41,Amazon,Webcam,Baseline,SGD,36,0.001,0.9730,0.0000,0.6931,0.0984,0.0000,1.3808
3476,43,Amazon,Webcam,Baseline,SGD,36,0.001,0.9741,0.0000,0.7031,0.0986,0.0000,1.2853
3634,45,Amazon,Webcam,Baseline,SGD,36,0.001,0.9681,0.0000,0.6818,0.1038,0.0000,1.4351
3792,47,Amazon,Webcam,Baseline,SGD,36,0.001,0.9712,0.0000,0.6642,0.1088,0.0000,1.4895
3950,49,Amazon,Webcam,Baseline,SGD,36,0.001,0.9652,0.0000,0.6855,0.1175,0.0000,1.4263
4108,51,Amazon,Webcam,Baseline,SGD,36,0.001,0.9741,0.0000,0.6805,0.0876,0.0000,1.4468
4266,53,Amazon,Webcam,Baseline,SGD,36,0.001,0.9698,0.0000,0.6642,0.1063,0.0000,1.5097
4424,55,Amazon,Webcam,Baseline,SGD,36,0.001,0.9791,0.0000,0.6730,0.0739,0.0000,1.4729
4582,57,Amazon,Webcam,Baseline,SGD,36,0.001,0.9755,0.0000,0.6704,0.0913,0.0000,1.3887
4740,59,Amazon,Webcam,Baseline,SGD,36,0.001,0.9752,0.0000,0.6553,0.0917,0.0000,1.5000
4898,61,Amazon,Webcam,Baseline,SGD,36,0.001,0.9723,0.0000,0.6528,0.1025,0.0000,1.5473
5056,63,Amazon,Webcam,Baseline,SGD,36,0.001,0.9744,0.0000,0.6453,0.0934,0.0000,1.5544
5214,65,Amazon,Webcam,Baseline,SGD,36,0.001,0.9734,0.0000,0.6528,0.0903,0.0000,1.6461
5372,67,Amazon,Webcam,Baseline,SGD,36,0.001,0.9780,0.0000,0.6541,0.0902,0.0000,1.5163
5530,69,Amazon,Webcam,Baseline,SGD,36,0.001,0.9698,0.0000,0.6302,0.0947,0.0000,1.6815
