time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-28 14:54:52,22,0,Amazon,Webcam,DANN,SGD,36,0.001,0.3106,0.0000,0.5233,4.0463,0.0000,0.0000
2019-07-28 14:55:26,44,1,Amazon,Webcam,DANN,SGD,36,0.0009757075614613401,0.6389,0.0000,0.6465,2.7054,0.0000,0.0000
2019-07-28 14:56:00,66,2,Amazon,Webcam,DANN,SGD,36,0.0009527489027899026,0.7134,0.0000,0.6969,2.4099,0.0000,0.0000
2019-07-28 14:56:34,88,3,Amazon,Webcam,DANN,SGD,36,0.0009310124446222228,0.7374,0.0000,0.7296,2.1998,0.0000,0.0000
2019-07-28 14:57:09,110,4,Amazon,Webcam,DANN,SGD,36,0.0009103989606830062,0.8182,0.0000,0.7321,1.9554,0.0000,0.0000
2019-07-28 14:57:43,132,5,Amazon,Webcam,DANN,SGD,36,0.0008908198951074958,0.7841,0.0000,0.7409,2.0377,0.0000,0.0000
2019-07-28 14:58:16,154,6,Amazon,Webcam,DANN,SGD,36,0.0008721959494934213,0.7929,0.0000,0.7220,2.0413,0.0000,0.0000
2019-07-28 14:58:51,176,7,Amazon,Webcam,DANN,SGD,36,0.0008544558903018245,0.8434,0.0000,0.6994,1.7931,0.0000,0.0000
2019-07-28 14:59:25,198,8,Amazon,Webcam,DANN,SGD,36,0.0008375355373317971,0.8093,0.0000,0.7195,1.8960,0.0000,0.0000
2019-07-28 14:59:58,220,9,Amazon,Webcam,DANN,SGD,36,0.0008213769018249545,0.8497,0.0000,0.7396,1.7555,0.0000,0.0000
2019-07-28 15:00:32,242,10,Amazon,Webcam,DANN,SGD,36,0.0008059274488676565,0.8649,0.0000,0.7094,1.6834,0.0000,0.0000
2019-07-28 15:01:07,264,11,Amazon,Webcam,DANN,SGD,36,0.0007911394635625721,0.8409,0.0000,0.7698,1.6988,0.0000,0.0000
2019-07-28 15:01:41,286,12,Amazon,Webcam,DANN,SGD,36,0.0007769695042409123,0.8851,0.0000,0.7862,1.5787,0.0000,0.0000
2019-07-28 15:02:15,308,13,Amazon,Webcam,DANN,SGD,36,0.0007633779290108232,0.8434,0.0000,0.7358,1.7053,0.0000,0.0000
2019-07-28 15:02:49,330,14,Amazon,Webcam,DANN,SGD,36,0.0007503284843584282,0.8801,0.0000,0.7698,1.5645,0.0000,0.0000
2019-07-28 15:03:27,352,15,Amazon,Webcam,DANN,SGD,36,0.000737787946466881,0.8737,0.0000,0.7925,1.6200,0.0000,0.0000
2019-07-28 15:04:01,374,16,Amazon,Webcam,DANN,SGD,36,0.0007257258074959142,0.8699,0.0000,0.7862,1.5778,0.0000,0.0000
2019-07-28 15:04:35,396,17,Amazon,Webcam,DANN,SGD,36,0.0007141140003470576,0.9015,0.0000,0.7899,1.5953,0.0000,0.0000
2019-07-28 15:05:10,418,18,Amazon,Webcam,DANN,SGD,36,0.0007029266564879363,0.8674,0.0000,0.8038,1.7393,0.0000,0.0000
2019-07-28 15:05:44,440,19,Amazon,Webcam,DANN,SGD,36,0.0006921398922696125,0.8699,0.0000,0.7774,1.7305,0.0000,0.0000
2019-07-28 15:06:18,462,20,Amazon,Webcam,DANN,SGD,36,0.0006817316198804997,0.8851,0.0000,0.8038,1.6973,0.0000,0.0000
2019-07-28 15:06:52,484,21,Amazon,Webcam,DANN,SGD,36,0.0006716813796678979,0.8889,0.0000,0.7786,1.6537,0.0000,0.0000
2019-07-28 15:07:26,506,22,Amazon,Webcam,DANN,SGD,36,0.0006619701910466051,0.9003,0.0000,0.7748,1.6258,0.0000,0.0000
2019-07-28 15:07:59,528,23,Amazon,Webcam,DANN,SGD,36,0.0006525804196216387,0.8864,0.0000,0.7572,1.6895,0.0000,0.0000
2019-07-28 15:08:33,550,24,Amazon,Webcam,DANN,SGD,36,0.0006434956584934828,0.8889,0.0000,0.7950,1.6628,0.0000,0.0000
2019-07-28 15:09:07,572,25,Amazon,Webcam,DANN,SGD,36,0.0006347006220012119,0.8851,0.0000,0.7748,1.6784,0.0000,0.0000
2019-07-28 15:09:42,594,26,Amazon,Webcam,DANN,SGD,36,0.0006261810504008462,0.9104,0.0000,0.8214,1.6109,0.0000,0.0000
2019-07-28 15:10:16,616,27,Amazon,Webcam,DANN,SGD,36,0.0006179236241810625,0.9280,0.0000,0.8226,1.5857,0.0000,0.0000
2019-07-28 15:10:50,638,28,Amazon,Webcam,DANN,SGD,36,0.0006099158868921908,0.9230,0.0000,0.7811,1.6258,0.0000,0.0000
2019-07-28 15:11:24,660,29,Amazon,Webcam,DANN,SGD,36,0.0006021461755124054,0.9141,0.0000,0.8101,1.6305,0.0000,0.0000
2019-07-28 15:11:58,682,30,Amazon,Webcam,DANN,SGD,36,0.0005946035575013605,0.9192,0.0000,0.8038,1.6477,0.0000,0.0000
2019-07-28 15:12:33,704,31,Amazon,Webcam,DANN,SGD,36,0.0005872777737997179,0.9066,0.0000,0.8164,1.6682,0.0000,0.0000
2019-07-28 15:13:10,726,32,Amazon,Webcam,DANN,SGD,36,0.0005801591871258903,0.9003,0.0000,0.8239,1.6668,0.0000,0.0000
2019-07-28 15:13:44,748,33,Amazon,Webcam,DANN,SGD,36,0.0005732387350012933,0.9242,0.0000,0.7786,1.6187,0.0000,0.0000
2019-07-28 15:14:18,770,34,Amazon,Webcam,DANN,SGD,36,0.000566507887004394,0.9331,0.0000,0.8063,1.5980,0.0000,0.0000
2019-07-28 15:14:52,792,35,Amazon,Webcam,DANN,SGD,36,0.0005599586058135523,0.9141,0.0000,0.8277,1.6415,0.0000,0.0000
2019-07-28 15:15:27,814,36,Amazon,Webcam,DANN,SGD,36,0.0005535833116504121,0.9129,0.0000,0.8440,1.6554,0.0000,0.0000
2019-07-28 15:16:01,836,37,Amazon,Webcam,DANN,SGD,36,0.0005473748497805968,0.9356,0.0000,0.8340,1.6010,0.0000,0.0000
2019-07-28 15:16:35,858,38,Amazon,Webcam,DANN,SGD,36,0.0005413264607676568,0.9116,0.0000,0.8201,1.6826,0.0000,0.0000
2019-07-28 15:17:09,880,39,Amazon,Webcam,DANN,SGD,36,0.0005354317532104296,0.9167,0.0000,0.8440,1.6342,0.0000,0.0000
2019-07-28 15:17:43,902,40,Amazon,Webcam,DANN,SGD,36,0.000529684678723906,0.9318,0.0000,0.8289,1.5886,0.0000,0.0000
2019-07-28 15:18:17,924,41,Amazon,Webcam,DANN,SGD,36,0.0005240795089499245,0.9205,0.0000,0.8176,1.6250,0.0000,0.0000
2019-07-28 15:18:51,946,42,Amazon,Webcam,DANN,SGD,36,0.0005186108144070653,0.9242,0.0000,0.8050,1.6010,0.0000,0.0000
2019-07-28 15:19:25,968,43,Amazon,Webcam,DANN,SGD,36,0.0005132734450093771,0.9444,0.0000,0.8327,1.5398,0.0000,0.0000
2019-07-28 15:19:59,990,44,Amazon,Webcam,DANN,SGD,36,0.000508062512101457,0.9280,0.0000,0.8239,1.6022,0.0000,0.0000
2019-07-28 15:20:33,1012,45,Amazon,Webcam,DANN,SGD,36,0.0005029733718731742,0.9280,0.0000,0.8352,1.5814,0.0000,0.0000
2019-07-28 15:21:07,1034,46,Amazon,Webcam,DANN,SGD,36,0.0004980016100313001,0.9407,0.0000,0.8264,1.5683,0.0000,0.0000
2019-07-28 15:21:41,1056,47,Amazon,Webcam,DANN,SGD,36,0.0004931430276176803,0.9255,0.0000,0.8138,1.6314,0.0000,0.0000
2019-07-28 15:22:18,1078,48,Amazon,Webcam,DANN,SGD,36,0.0004883936278745637,0.9457,0.0000,0.8013,1.5847,0.0000,0.0000
2019-07-28 15:22:54,1100,49,Amazon,Webcam,DANN,SGD,36,0.00048374960406747443,0.9470,0.0000,0.8352,1.5648,0.0000,0.0000
2019-07-28 15:23:27,1122,50,Amazon,Webcam,DANN,SGD,36,0.00047920732818470434,0.9331,0.0000,0.8226,1.5635,0.0000,0.0000
2019-07-28 15:24:02,1144,51,Amazon,Webcam,DANN,SGD,36,0.00047476334044026003,0.9167,0.0000,0.8176,1.6220,0.0000,0.0000
2019-07-28 15:24:36,1166,52,Amazon,Webcam,DANN,SGD,36,0.00047041433951402334,0.9343,0.0000,0.8302,1.5898,0.0000,0.0000
2019-07-28 15:25:10,1188,53,Amazon,Webcam,DANN,SGD,36,0.00046615717346907935,0.9457,0.0000,0.8176,1.5971,0.0000,0.0000
2019-07-28 15:25:44,1210,54,Amazon,Webcam,DANN,SGD,36,0.00046198883129171486,0.9242,0.0000,0.8377,1.6195,0.0000,0.0000
2019-07-28 15:26:18,1232,55,Amazon,Webcam,DANN,SGD,36,0.000457906435004565,0.9381,0.0000,0.8201,1.5752,0.0000,0.0000
2019-07-28 15:26:52,1254,56,Amazon,Webcam,DANN,SGD,36,0.0004539072323078566,0.9470,0.0000,0.8226,1.5495,0.0000,0.0000
2019-07-28 15:27:25,1276,57,Amazon,Webcam,DANN,SGD,36,0.000449988589707716,0.9558,0.0000,0.8189,1.5235,0.0000,0.0000
2019-07-28 15:28:00,1298,58,Amazon,Webcam,DANN,SGD,36,0.00044614798609412545,0.9457,0.0000,0.7975,1.5450,0.0000,0.0000
2019-07-28 15:28:34,1320,59,Amazon,Webcam,DANN,SGD,36,0.0004423830067343792,0.9369,0.0000,0.8176,1.5655,0.0000,0.0000
2019-07-28 15:29:08,1342,60,Amazon,Webcam,DANN,SGD,36,0.0004386913376508308,0.9407,0.0000,0.8403,1.5413,0.0000,0.0000
2019-07-28 15:29:41,1364,61,Amazon,Webcam,DANN,SGD,36,0.0004350707603543882,0.9457,0.0000,0.8126,1.5823,0.0000,0.0000
2019-07-28 15:30:15,1386,62,Amazon,Webcam,DANN,SGD,36,0.0004315191469076181,0.9432,0.0000,0.8239,1.5951,0.0000,0.0000
2019-07-28 15:30:49,1408,63,Amazon,Webcam,DANN,SGD,36,0.0004280344552935055,0.9482,0.0000,0.8314,1.5559,0.0000,0.0000
2019-07-28 15:31:23,1430,64,Amazon,Webcam,DANN,SGD,36,0.00042461472506788824,0.9394,0.0000,0.8189,1.5865,0.0000,0.0000
2019-07-28 15:32:00,1452,65,Amazon,Webcam,DANN,SGD,36,0.00042125807327538466,0.9293,0.0000,0.8365,1.6052,0.0000,0.0000
2019-07-28 15:32:36,1474,66,Amazon,Webcam,DANN,SGD,36,0.00041796269061026377,0.9432,0.0000,0.8201,1.5386,0.0000,0.0000
2019-07-28 15:33:10,1496,67,Amazon,Webcam,DANN,SGD,36,0.0004147268378051887,0.9306,0.0000,0.8214,1.5895,0.0000,0.0000
2019-07-28 15:33:44,1518,68,Amazon,Webcam,DANN,SGD,36,0.00041154884223212,0.9356,0.0000,0.7962,1.6084,0.0000,0.0000
2019-07-28 15:34:18,1540,69,Amazon,Webcam,DANN,SGD,36,0.00040842709470089296,0.9571,0.0000,0.8289,1.5286,0.0000,0.0000
2019-07-28 15:34:52,1562,70,Amazon,Webcam,DANN,SGD,36,0.0004053600464421103,0.9533,0.0000,0.8440,1.5381,0.0000,0.0000
2019-07-28 15:35:26,1584,71,Amazon,Webcam,DANN,SGD,36,0.0004023462062620158,0.9508,0.0000,0.8214,1.5639,0.0000,0.0000
2019-07-28 15:36:00,1606,72,Amazon,Webcam,DANN,SGD,36,0.00039938413785795413,0.9369,0.0000,0.8164,1.5785,0.0000,0.0000
2019-07-28 15:36:35,1628,73,Amazon,Webcam,DANN,SGD,36,0.00039647245728388023,0.9508,0.0000,0.8516,1.5833,0.0000,0.0000
2019-07-28 15:37:08,1650,74,Amazon,Webcam,DANN,SGD,36,0.00039360983055616665,0.9609,0.0000,0.8478,1.5403,0.0000,0.0000
2019-07-28 15:37:43,1672,75,Amazon,Webcam,DANN,SGD,36,0.00039079497139068016,0.9457,0.0000,0.8252,1.5777,0.0000,0.0000
2019-07-28 15:38:17,1694,76,Amazon,Webcam,DANN,SGD,36,0.000388026639062757,0.9634,0.0000,0.8226,1.5160,0.0000,0.0000
2019-07-28 15:38:50,1716,77,Amazon,Webcam,DANN,SGD,36,0.00038530363638231634,0.9419,0.0000,0.8289,1.5869,0.0000,0.0000
2019-07-28 15:39:24,1738,78,Amazon,Webcam,DANN,SGD,36,0.00038262480777690545,0.9407,0.0000,0.8189,1.5713,0.0000,0.0000
2019-07-28 15:39:58,1760,79,Amazon,Webcam,DANN,SGD,36,0.00037998903747598706,0.9495,0.0000,0.8340,1.5327,0.0000,0.0000
2019-07-28 15:40:32,1782,80,Amazon,Webcam,DANN,SGD,36,0.0003773952477902469,0.9356,0.0000,0.8264,1.5539,0.0000,0.0000
2019-07-28 15:41:06,1804,81,Amazon,Webcam,DANN,SGD,36,0.00037484239748013893,0.9495,0.0000,0.8138,1.5634,0.0000,0.0000
2019-07-28 15:41:44,1826,82,Amazon,Webcam,DANN,SGD,36,0.0003723294802082819,0.9508,0.0000,0.8302,1.5414,0.0000,0.0000
2019-07-28 15:42:18,1848,83,Amazon,Webcam,DANN,SGD,36,0.0003698555230706942,0.9407,0.0000,0.8327,1.5869,0.0000,0.0000
2019-07-28 15:42:52,1870,84,Amazon,Webcam,DANN,SGD,36,0.00036741958520219336,0.9634,0.0000,0.8264,1.5173,0.0000,0.0000
2019-07-28 15:43:27,1892,85,Amazon,Webcam,DANN,SGD,36,0.0003650207564516021,0.9533,0.0000,0.8314,1.5458,0.0000,0.0000
2019-07-28 15:44:00,1914,86,Amazon,Webcam,DANN,SGD,36,0.0003626581561226941,0.9571,0.0000,0.8465,1.5466,0.0000,0.0000
2019-07-28 15:44:34,1936,87,Amazon,Webcam,DANN,SGD,36,0.00036033093177708443,0.9545,0.0000,0.8491,1.5385,0.0000,0.0000
2019-07-28 15:45:08,1958,88,Amazon,Webcam,DANN,SGD,36,0.0003580382580955149,0.9419,0.0000,0.8289,1.5559,0.0000,0.0000
2019-07-28 15:45:42,1980,89,Amazon,Webcam,DANN,SGD,36,0.00035577933579422036,0.9596,0.0000,0.8289,1.5352,0.0000,0.0000
2019-07-28 15:46:17,2002,90,Amazon,Webcam,DANN,SGD,36,0.0003535533905932738,0.9634,0.0000,0.8491,1.5177,0.0000,0.0000
2019-07-28 15:46:50,2024,91,Amazon,Webcam,DANN,SGD,36,0.0003513596722340073,0.9533,0.0000,0.8302,1.5397,0.0000,0.0000
2019-07-28 15:47:24,2046,92,Amazon,Webcam,DANN,SGD,36,0.00034919745354279147,0.9470,0.0000,0.8302,1.5743,0.0000,0.0000
2019-07-28 15:47:58,2068,93,Amazon,Webcam,DANN,SGD,36,0.0003470660295386255,0.9646,0.0000,0.8352,1.5009,0.0000,0.0000
