time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-29 02:53:39,115,4,Amazon,Webcam,MADA,SGD,36,0.0009222516369110502,0.7838,0.0000,0.7484,2.1602,0.0000,0.0000
2019-07-29 02:55:57,230,9,Amazon,Webcam,MADA,SGD,36,0.0008567623151203901,0.8370,0.0000,0.7396,1.9635,0.0000,0.0000
2019-07-29 02:58:18,345,14,Amazon,Webcam,MADA,SGD,36,0.0008011869826527027,0.8623,0.0000,0.7384,1.8594,0.0000,0.0000
2019-07-29 03:00:42,460,19,Amazon,Webcam,MADA,SGD,36,0.0007533547065603879,0.8949,0.0000,0.7648,1.7122,0.0000,0.0000
2019-07-29 03:03:04,575,24,Amazon,Webcam,MADA,SGD,36,0.0007116950602540659,0.8986,0.0000,0.7409,1.7196,0.0000,0.0000
2019-07-29 03:05:25,690,29,Amazon,Webcam,MADA,SGD,36,0.0006750421556685226,0.9275,0.0000,0.7509,1.6515,0.0000,0.0000
2019-07-29 03:07:48,805,34,Amazon,Webcam,MADA,SGD,36,0.0006425111200459104,0.9336,0.0000,0.7560,1.6416,0.0000,0.0000
2019-07-29 03:10:08,920,39,Amazon,Webcam,MADA,SGD,36,0.0006134174756572845,0.9469,0.0000,0.7572,1.5801,0.0000,0.0000
2019-07-29 03:12:28,1035,44,Amazon,Webcam,MADA,SGD,36,0.0005872229249430694,0.9324,0.0000,0.7698,1.5923,0.0000,0.0000
2019-07-29 03:14:48,1150,49,Amazon,Webcam,MADA,SGD,36,0.0005634979350296413,0.9432,0.0000,0.7396,1.5736,0.0000,0.0000
2019-07-29 03:17:06,1265,54,Amazon,Webcam,MADA,SGD,36,0.0005418953229033869,0.9384,0.0000,0.7547,1.5651,0.0000,0.0000
2019-07-29 03:19:26,1380,59,Amazon,Webcam,MADA,SGD,36,0.0005221312289286617,0.9444,0.0000,0.7698,1.5724,0.0000,0.0000
2019-07-29 03:21:45,1495,64,Amazon,Webcam,MADA,SGD,36,0.0005039711651884882,0.9565,0.0000,0.7585,1.5445,0.0000,0.0000
2019-07-29 03:24:04,1610,69,Amazon,Webcam,MADA,SGD,36,0.000487219620043949,0.9505,0.0000,0.7283,1.5552,0.0000,0.0000
2019-07-29 03:26:24,1725,74,Amazon,Webcam,MADA,SGD,36,0.00047171219993257673,0.9589,0.0000,0.7723,1.5606,0.0000,0.0000
2019-07-29 03:28:45,1840,79,Amazon,Webcam,MADA,SGD,36,0.00045730961101440935,0.9686,0.0000,0.7597,1.5080,0.0000,0.0000
2019-07-29 03:31:05,1955,84,Amazon,Webcam,MADA,SGD,36,0.00044389299475439717,0.9565,0.0000,0.7547,1.5224,0.0000,0.0000
2019-07-29 03:33:26,2070,89,Amazon,Webcam,MADA,SGD,36,0.0004313602733292376,0.9420,0.0000,0.7421,1.5666,0.0000,0.0000
2019-07-29 03:35:46,2185,94,Amazon,Webcam,MADA,SGD,36,0.0004196232575207583,0.9626,0.0000,0.7597,1.5135,0.0000,0.0000
2019-07-29 03:38:06,2300,99,Amazon,Webcam,MADA,SGD,36,0.00040860533687992704,0.9626,0.0000,0.7296,1.5101,0.0000,0.0000
2019-07-29 03:40:26,2415,104,Amazon,Webcam,MADA,SGD,36,0.0003982396191970717,0.9650,0.0000,0.7245,1.4934,0.0000,0.0000
2019-07-29 03:42:46,2530,109,Amazon,Webcam,MADA,SGD,36,0.0003884674200351854,0.9698,0.0000,0.7170,1.4931,0.0000,0.0000
2019-07-29 03:45:06,2645,114,Amazon,Webcam,MADA,SGD,36,0.0003792370274546534,0.9541,0.0000,0.7371,1.5365,0.0000,0.0000
2019-07-29 03:47:26,2760,119,Amazon,Webcam,MADA,SGD,36,0.00037050268487937124,0.9710,0.0000,0.7535,1.5040,0.0000,0.0000
2019-07-29 03:49:47,2875,124,Amazon,Webcam,MADA,SGD,36,0.00036222374822905923,0.9746,0.0000,0.7447,1.4894,0.0000,0.0000
2019-07-29 03:52:06,2990,129,Amazon,Webcam,MADA,SGD,36,0.00035436398328164286,0.9686,0.0000,0.7484,1.4891,0.0000,0.0000
2019-07-29 03:54:26,3105,134,Amazon,Webcam,MADA,SGD,36,0.0003468909766475229,0.9722,0.0000,0.7333,1.4692,0.0000,0.0000
2019-07-29 03:56:46,3220,139,Amazon,Webcam,MADA,SGD,36,0.0003397756393801184,0.9710,0.0000,0.7346,1.4819,0.0000,0.0000
2019-07-29 03:59:06,3335,144,Amazon,Webcam,MADA,SGD,36,0.00033299178657509747,0.9710,0.0000,0.7610,1.5055,0.0000,0.0000
2019-07-29 04:01:25,3450,149,Amazon,Webcam,MADA,SGD,36,0.00032651577965662234,0.9710,0.0000,0.7409,1.5052,0.0000,0.0000
2019-07-29 04:03:45,3565,154,Amazon,Webcam,MADA,SGD,36,0.0003203262206547776,0.9650,0.0000,0.7409,1.5016,0.0000,0.0000
2019-07-29 04:06:04,3680,159,Amazon,Webcam,MADA,SGD,36,0.0003144036898220335,0.9698,0.0000,0.7535,1.5080,0.0000,0.0000
2019-07-29 04:08:23,3795,164,Amazon,Webcam,MADA,SGD,36,0.00030873051955000367,0.9698,0.0000,0.7635,1.5044,0.0000,0.0000
2019-07-29 04:10:42,3910,169,Amazon,Webcam,MADA,SGD,36,0.00030329059882946014,0.9771,0.0000,0.7572,1.4752,0.0000,0.0000
2019-07-29 04:13:01,4025,174,Amazon,Webcam,MADA,SGD,36,0.0002980692035208178,0.9746,0.0000,0.7648,1.4749,0.0000,0.0000
2019-07-29 04:15:20,4140,179,Amazon,Webcam,MADA,SGD,36,0.00029305284852541744,0.9795,0.0000,0.7509,1.4564,0.0000,0.0000
2019-07-29 04:17:39,4255,184,Amazon,Webcam,MADA,SGD,36,0.0002882291586129844,0.9662,0.0000,0.7396,1.4939,0.0000,0.0000
2019-07-29 04:19:57,4370,189,Amazon,Webcam,MADA,SGD,36,0.0002835867552006937,0.9783,0.0000,0.7572,1.4711,0.0000,0.0000
2019-07-29 04:22:14,4485,194,Amazon,Webcam,MADA,SGD,36,0.00027911515681997956,0.9746,0.0000,0.7686,1.4902,0.0000,0.0000
2019-07-29 04:24:32,4600,199,Amazon,Webcam,MADA,SGD,36,0.00027480469136852,0.9831,0.0000,0.7409,1.4792,0.0000,0.0000
2019-07-29 04:26:51,4715,204,Amazon,Webcam,MADA,SGD,36,0.0002706464185423364,0.9831,0.0000,0.7472,1.4487,0.0000,0.0000
2019-07-29 04:29:10,4830,209,Amazon,Webcam,MADA,SGD,36,0.0002666320610889666,0.9758,0.0000,0.7497,1.4728,0.0000,0.0000
2019-07-29 04:31:28,4945,214,Amazon,Webcam,MADA,SGD,36,0.00026275394372694534,0.9807,0.0000,0.7384,1.4624,0.0000,0.0000
2019-07-29 04:33:46,5060,219,Amazon,Webcam,MADA,SGD,36,0.0002590049387470878,0.9710,0.0000,0.7245,1.4984,0.0000,0.0000
2019-07-29 04:36:04,5175,224,Amazon,Webcam,MADA,SGD,36,0.00025537841745352515,0.9771,0.0000,0.7308,1.4615,0.0000,0.0000
2019-07-29 04:38:24,5290,229,Amazon,Webcam,MADA,SGD,36,0.00025186820672204495,0.9710,0.0000,0.7182,1.4840,0.0000,0.0000
2019-07-29 04:40:43,5405,234,Amazon,Webcam,MADA,SGD,36,0.0002484685500540605,0.9903,0.0000,0.7472,1.4296,0.0000,0.0000
2019-07-29 04:43:03,5520,239,Amazon,Webcam,MADA,SGD,36,0.0002451740725897124,0.9746,0.0000,0.7283,1.4721,0.0000,0.0000
2019-07-29 04:45:23,5635,244,Amazon,Webcam,MADA,SGD,36,0.00024197974961583934,0.9722,0.0000,0.7472,1.4810,0.0000,0.0000
2019-07-29 04:47:44,5750,249,Amazon,Webcam,MADA,SGD,36,0.00023888087816599437,0.9807,0.0000,0.7233,1.4636,0.0000,0.0000
2019-07-29 04:50:05,5865,254,Amazon,Webcam,MADA,SGD,36,0.00023587305136209667,0.9674,0.0000,0.7560,1.5047,0.0000,0.0000
2019-07-29 04:52:25,5980,259,Amazon,Webcam,MADA,SGD,36,0.00023295213519215,0.9734,0.0000,0.7396,1.4842,0.0000,0.0000
2019-07-29 04:54:46,6095,264,Amazon,Webcam,MADA,SGD,36,0.00023011424745692714,0.9686,0.0000,0.7535,1.4820,0.0000,0.0000
2019-07-29 04:57:07,6210,269,Amazon,Webcam,MADA,SGD,36,0.0002273557386516063,0.9758,0.0000,0.7447,1.4820,0.0000,0.0000
2019-07-29 04:59:27,6325,274,Amazon,Webcam,MADA,SGD,36,0.0002246731745768792,0.9734,0.0000,0.7434,1.4710,0.0000,0.0000
2019-07-29 05:01:48,6440,279,Amazon,Webcam,MADA,SGD,36,0.000222063320498715,0.9783,0.0000,0.7434,1.4613,0.0000,0.0000
2019-07-29 05:04:12,6555,284,Amazon,Webcam,MADA,SGD,36,0.00021952312669733942,0.9746,0.0000,0.7459,1.4606,0.0000,0.0000
2019-07-29 05:06:32,6670,289,Amazon,Webcam,MADA,SGD,36,0.00021704971526455123,0.9843,0.0000,0.7396,1.4544,0.0000,0.0000
2019-07-29 05:08:51,6785,294,Amazon,Webcam,MADA,SGD,36,0.00021464036802465856,0.9783,0.0000,0.7522,1.4520,0.0000,0.0000
2019-07-29 05:11:11,6900,299,Amazon,Webcam,MADA,SGD,36,0.0002122925154684156,0.9819,0.0000,0.7497,1.4576,0.0000,0.0000
2019-07-29 05:13:31,7015,304,Amazon,Webcam,MADA,SGD,36,0.0002100037266016632,0.9771,0.0000,0.7409,1.4644,0.0000,0.0000
2019-07-29 05:15:51,7130,309,Amazon,Webcam,MADA,SGD,36,0.00020777169962117378,0.9734,0.0000,0.7409,1.4949,0.0000,0.0000
2019-07-29 05:18:11,7245,314,Amazon,Webcam,MADA,SGD,36,0.00020559425333967717,0.9819,0.0000,0.7434,1.4631,0.0000,0.0000
2019-07-29 05:20:31,7360,319,Amazon,Webcam,MADA,SGD,36,0.0002034693192903755,0.9722,0.0000,0.7459,1.4736,0.0000,0.0000
2019-07-29 05:22:51,7475,324,Amazon,Webcam,MADA,SGD,36,0.00020139493444860032,0.9795,0.0000,0.7371,1.4661,0.0000,0.0000
2019-07-29 05:25:11,7590,329,Amazon,Webcam,MADA,SGD,36,0.00019936923451474182,0.9758,0.0000,0.7459,1.4772,0.0000,0.0000
2019-07-29 05:27:31,7705,334,Amazon,Webcam,MADA,SGD,36,0.0001973904477083141,0.9746,0.0000,0.7384,1.4775,0.0000,0.0000
