time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-26 14:21:32,110,4,Amazon,Webcam,MT,SGD,36,0.001,0.7790,0.0000,0.7371,0.8056,0.0000,0.9372
2019-07-26 14:24:01,220,9,Amazon,Webcam,MT,SGD,36,0.001,0.8548,0.0000,0.6969,0.5826,0.0000,1.0754
2019-07-26 14:26:32,330,14,Amazon,Webcam,MT,SGD,36,0.001,0.8813,0.0000,0.7610,0.4070,0.0000,0.8761
2019-07-26 14:29:01,440,19,Amazon,Webcam,MT,SGD,36,0.001,0.8965,0.0000,0.7333,0.3197,0.0000,1.0071
2019-07-26 14:31:31,550,24,Amazon,Webcam,MT,SGD,36,0.001,0.9154,0.0000,0.7308,0.2956,0.0000,0.9773
2019-07-26 14:34:00,660,29,Amazon,Webcam,MT,SGD,36,0.001,0.9306,0.0000,0.7484,0.2667,0.0000,0.8849
2019-07-26 14:36:30,770,34,Amazon,Webcam,MT,SGD,36,0.001,0.9331,0.0000,0.7748,0.2322,0.0000,0.8620
2019-07-26 14:38:59,880,39,Amazon,Webcam,MT,SGD,36,0.001,0.9407,0.0000,0.7623,0.2054,0.0000,0.9103
2019-07-26 14:41:29,990,44,Amazon,Webcam,MT,SGD,36,0.001,0.9495,0.0000,0.7371,0.1765,0.0000,1.0145
2019-07-26 14:43:59,1100,49,Amazon,Webcam,MT,SGD,36,0.001,0.9558,0.0000,0.7384,0.1587,0.0000,0.9584
2019-07-26 14:46:29,1210,54,Amazon,Webcam,MT,SGD,36,0.001,0.9444,0.0000,0.7560,0.1877,0.0000,1.0106
2019-07-26 14:48:58,1320,59,Amazon,Webcam,MT,SGD,36,0.001,0.9470,0.0000,0.7572,0.1967,0.0000,0.9197
2019-07-26 14:51:27,1430,64,Amazon,Webcam,MT,SGD,36,0.001,0.9444,0.0000,0.7459,0.1970,0.0000,0.9584
2019-07-26 14:53:57,1540,69,Amazon,Webcam,MT,SGD,36,0.001,0.9495,0.0000,0.7572,0.1753,0.0000,0.9674
2019-07-26 14:56:28,1650,74,Amazon,Webcam,MT,SGD,36,0.001,0.9419,0.0000,0.7371,0.2098,0.0000,1.0131
2019-07-26 14:58:58,1760,79,Amazon,Webcam,MT,SGD,36,0.001,0.9533,0.0000,0.7774,0.1723,0.0000,0.8385
2019-07-26 15:01:28,1870,84,Amazon,Webcam,MT,SGD,36,0.001,0.9634,0.0000,0.7421,0.1294,0.0000,0.9477
2019-07-26 15:03:57,1980,89,Amazon,Webcam,MT,SGD,36,0.001,0.9571,0.0000,0.7396,0.1465,0.0000,0.9557
2019-07-26 15:06:26,2090,94,Amazon,Webcam,MT,SGD,36,0.001,0.9596,0.0000,0.7660,0.1381,0.0000,0.8208
2019-07-26 15:08:55,2200,99,Amazon,Webcam,MT,SGD,36,0.001,0.9609,0.0000,0.7195,0.1432,0.0000,0.9917
2019-07-26 15:11:25,2310,104,Amazon,Webcam,MT,SGD,36,0.001,0.9747,0.0000,0.7421,0.0976,0.0000,0.9882
2019-07-26 15:13:55,2420,109,Amazon,Webcam,MT,SGD,36,0.001,0.9646,0.0000,0.7824,0.1216,0.0000,0.8318
2019-07-26 15:16:26,2530,114,Amazon,Webcam,MT,SGD,36,0.001,0.9760,0.0000,0.7509,0.1077,0.0000,0.9769
2019-07-26 15:18:56,2640,119,Amazon,Webcam,MT,SGD,36,0.001,0.9634,0.0000,0.7686,0.1390,0.0000,0.8742
2019-07-26 15:21:26,2750,124,Amazon,Webcam,MT,SGD,36,0.001,0.9659,0.0000,0.7459,0.1037,0.0000,0.9963
2019-07-26 15:23:56,2860,129,Amazon,Webcam,MT,SGD,36,0.001,0.9609,0.0000,0.7484,0.1309,0.0000,0.9671
2019-07-26 15:26:26,2970,134,Amazon,Webcam,MT,SGD,36,0.001,0.9646,0.0000,0.7673,0.1250,0.0000,0.9113
