time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-26 14:55:05,104,7,Dslr,Amazon,Baseline,SGD,36,0.001,0.9157,0.0000,0.5566,0.0968,0.0000,1.7513
2019-07-26 14:56:34,208,15,Dslr,Amazon,Baseline,SGD,36,0.001,0.9217,0.0000,0.6145,0.0656,0.0000,1.6778
2019-07-26 14:58:01,312,23,Dslr,Amazon,Baseline,SGD,36,0.001,0.9157,0.0000,0.5832,0.0726,0.0000,1.8011
2019-07-26 14:59:28,416,31,Dslr,Amazon,Baseline,SGD,36,0.001,0.9237,0.0000,0.5765,0.0666,0.0000,1.8482
2019-07-26 15:00:56,520,39,Dslr,Amazon,Baseline,SGD,36,0.001,0.9177,0.0000,0.5623,0.0930,0.0000,1.9283
2019-07-26 15:02:23,624,47,Dslr,Amazon,Baseline,SGD,36,0.001,0.9297,0.0000,0.5517,0.0455,0.0000,1.9923
2019-07-26 15:03:51,728,55,Dslr,Amazon,Baseline,SGD,36,0.001,0.9277,0.0000,0.5552,0.0394,0.0000,1.9853
2019-07-26 15:05:18,832,63,Dslr,Amazon,Baseline,SGD,36,0.001,0.9277,0.0000,0.5627,0.0341,0.0000,1.9031
2019-07-26 15:06:47,936,71,Dslr,Amazon,Baseline,SGD,36,0.001,0.9257,0.0000,0.5893,0.0371,0.0000,1.8519
2019-07-26 15:08:15,1040,79,Dslr,Amazon,Baseline,SGD,36,0.001,0.9337,0.0000,0.5715,0.0183,0.0000,1.8842
2019-07-26 15:09:43,1144,87,Dslr,Amazon,Baseline,SGD,36,0.001,0.9337,0.0000,0.5616,0.0230,0.0000,1.9589
2019-07-26 15:11:10,1248,95,Dslr,Amazon,Baseline,SGD,36,0.001,0.9337,0.0000,0.5517,0.0261,0.0000,2.0011
2019-07-26 15:12:38,1352,103,Dslr,Amazon,Baseline,SGD,36,0.001,0.9237,0.0000,0.5158,0.0430,0.0000,2.2110
2019-07-26 15:14:06,1456,111,Dslr,Amazon,Baseline,SGD,36,0.001,0.9297,0.0000,0.5506,0.0292,0.0000,1.9537
2019-07-26 15:15:35,1560,119,Dslr,Amazon,Baseline,SGD,36,0.001,0.9357,0.0000,0.5183,0.0177,0.0000,2.2207
2019-07-26 15:17:03,1664,127,Dslr,Amazon,Baseline,SGD,36,0.001,0.9398,0.0000,0.5524,0.0069,0.0000,1.9771
2019-07-26 15:18:30,1768,135,Dslr,Amazon,Baseline,SGD,36,0.001,0.9337,0.0000,0.5446,0.0279,0.0000,2.0135
2019-07-26 15:19:59,1872,143,Dslr,Amazon,Baseline,SGD,36,0.001,0.9398,0.0000,0.5577,0.0084,0.0000,1.9215
2019-07-26 15:21:27,1976,151,Dslr,Amazon,Baseline,SGD,36,0.001,0.9357,0.0000,0.5485,0.0099,0.0000,2.0337
2019-07-26 15:22:54,2080,159,Dslr,Amazon,Baseline,SGD,36,0.001,0.9237,0.0000,0.5474,0.0388,0.0000,2.0125
2019-07-26 15:24:22,2184,167,Dslr,Amazon,Baseline,SGD,36,0.001,0.9357,0.0000,0.5343,0.0121,0.0000,2.0787
2019-07-26 15:25:50,2288,175,Dslr,Amazon,Baseline,SGD,36,0.001,0.9398,0.0000,0.5623,0.0085,0.0000,1.9650
2019-07-26 15:27:17,2392,183,Dslr,Amazon,Baseline,SGD,36,0.001,0.9378,0.0000,0.5467,0.0112,0.0000,2.0002
2019-07-26 15:28:44,2496,191,Dslr,Amazon,Baseline,SGD,36,0.001,0.9337,0.0000,0.5442,0.0304,0.0000,2.0453
2019-07-26 15:30:12,2600,199,Dslr,Amazon,Baseline,SGD,36,0.001,0.9378,0.0000,0.5375,0.0062,0.0000,2.0232
2019-07-26 15:31:40,2704,207,Dslr,Amazon,Baseline,SGD,36,0.001,0.9398,0.0000,0.5367,0.0039,0.0000,1.9820
2019-07-26 15:33:08,2808,215,Dslr,Amazon,Baseline,SGD,36,0.001,0.9357,0.0000,0.5147,0.0120,0.0000,2.2205
2019-07-26 15:34:36,2912,223,Dslr,Amazon,Baseline,SGD,36,0.001,0.9378,0.0000,0.5339,0.0116,0.0000,2.0674
2019-07-26 15:36:03,3016,231,Dslr,Amazon,Baseline,SGD,36,0.001,0.9378,0.0000,0.5431,0.0137,0.0000,2.0338
2019-07-26 15:37:31,3120,239,Dslr,Amazon,Baseline,SGD,36,0.001,0.9357,0.0000,0.5382,0.0114,0.0000,1.9915
2019-07-26 15:39:00,3224,247,Dslr,Amazon,Baseline,SGD,36,0.001,0.9357,0.0000,0.5215,0.0155,0.0000,2.0623
2019-07-26 15:40:27,3328,255,Dslr,Amazon,Baseline,SGD,36,0.001,0.9337,0.0000,0.5016,0.0145,0.0000,2.1433
2019-07-26 15:41:54,3432,263,Dslr,Amazon,Baseline,SGD,36,0.001,0.9398,0.0000,0.5197,0.0090,0.0000,2.0929
2019-07-26 15:43:22,3536,271,Dslr,Amazon,Baseline,SGD,36,0.001,0.9357,0.0000,0.5147,0.0161,0.0000,2.1163
2019-07-26 15:44:50,3640,279,Dslr,Amazon,Baseline,SGD,36,0.001,0.9378,0.0000,0.5300,0.0188,0.0000,2.0342
2019-07-26 15:46:18,3744,287,Dslr,Amazon,Baseline,SGD,36,0.001,0.9378,0.0000,0.5438,0.0102,0.0000,2.0613
2019-07-26 15:47:46,3848,295,Dslr,Amazon,Baseline,SGD,36,0.001,0.9398,0.0000,0.5499,0.0074,0.0000,1.9964
2019-07-26 15:49:14,3952,303,Dslr,Amazon,Baseline,SGD,36,0.001,0.9398,0.0000,0.5332,0.0129,0.0000,2.0799
2019-07-26 15:50:41,4056,311,Dslr,Amazon,Baseline,SGD,36,0.001,0.9317,0.0000,0.5548,0.0220,0.0000,1.9515
2019-07-26 15:52:09,4160,319,Dslr,Amazon,Baseline,SGD,36,0.001,0.9378,0.0000,0.5548,0.0096,0.0000,1.9597
