time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-27 06:48:41,156,1,Dslr,Amazon,DANN,SGD,36,0.0008975961681142214,0.9619,0.0000,0.6006,1.1839,0.0000,0.0000
2019-07-27 06:56:17,312,3,Dslr,Amazon,DANN,SGD,36,0.0008162606821475054,0.9786,0.0000,0.5680,1.0201,0.0000,0.0000
2019-07-27 07:04:10,468,5,Dslr,Amazon,DANN,SGD,36,0.0007502722371425987,0.9825,0.0000,0.6095,1.1997,0.0000,0.0000
2019-07-27 07:12:02,624,7,Dslr,Amazon,DANN,SGD,36,0.0006955223753780036,0.9836,0.0000,0.6209,1.3566,0.0000,0.0000
2019-07-27 07:18:05,780,9,Dslr,Amazon,DANN,SGD,36,0.0006492696055904064,0.9875,0.0000,0.5999,1.3800,0.0000,0.0000
2019-07-27 07:23:27,936,11,Dslr,Amazon,DANN,SGD,36,0.0006096101785927369,0.9854,0.0000,0.6205,1.4165,0.0000,0.0000
2019-07-27 07:28:47,1092,13,Dslr,Amazon,DANN,SGD,36,0.0005751782227389043,0.9922,0.0000,0.6166,1.4014,0.0000,0.0000
2019-07-27 07:34:11,1248,15,Dslr,Amazon,DANN,SGD,36,0.0005449667178478274,0.9904,0.0000,0.6060,1.4039,0.0000,0.0000
2019-07-27 07:39:37,1404,17,Dslr,Amazon,DANN,SGD,36,0.0005182158829432445,0.9879,0.0000,0.6283,1.4144,0.0000,0.0000
2019-07-27 07:44:33,1560,19,Dslr,Amazon,DANN,SGD,36,0.0004943410071824716,0.9925,0.0000,0.6393,1.4104,0.0000,0.0000
2019-07-27 07:49:19,1716,21,Dslr,Amazon,DANN,SGD,36,0.0004728843071733194,0.9907,0.0000,0.6305,1.4116,0.0000,0.0000
2019-07-27 07:54:08,1872,23,Dslr,Amazon,DANN,SGD,36,0.00045348193412586514,0.9939,0.0000,0.6145,1.4030,0.0000,0.0000
2019-07-27 07:58:48,2028,25,Dslr,Amazon,DANN,SGD,36,0.0004358408243778849,0.9915,0.0000,0.6148,1.4105,0.0000,0.0000
2019-07-27 08:03:29,2184,27,Dslr,Amazon,DANN,SGD,36,0.00041972211568718464,0.9950,0.0000,0.6283,1.4005,0.0000,0.0000
2019-07-27 08:08:09,2340,29,Dslr,Amazon,DANN,SGD,36,0.000404929045879424,0.9947,0.0000,0.6244,1.3995,0.0000,0.0000
2019-07-27 08:12:49,2496,31,Dslr,Amazon,DANN,SGD,36,0.0003912979754265398,0.9950,0.0000,0.6248,1.4017,0.0000,0.0000
2019-07-27 08:17:31,2652,33,Dslr,Amazon,DANN,SGD,36,0.00037869162791315426,0.9947,0.0000,0.6248,1.3998,0.0000,0.0000
2019-07-27 08:22:14,2808,35,Dslr,Amazon,DANN,SGD,36,0.00036699393164145905,0.9961,0.0000,0.6404,1.4017,0.0000,0.0000
2019-07-27 08:26:56,2964,37,Dslr,Amazon,DANN,SGD,36,0.0003561060347536154,0.9939,0.0000,0.6269,1.4062,0.0000,0.0000
2019-07-27 08:31:40,3120,39,Dslr,Amazon,DANN,SGD,36,0.00034594319238923934,0.9957,0.0000,0.6209,1.4028,0.0000,0.0000
2019-07-27 08:36:38,3276,41,Dslr,Amazon,DANN,SGD,36,0.0003364323100642079,0.9929,0.0000,0.6113,1.4093,0.0000,0.0000
2019-07-27 08:42:13,3432,43,Dslr,Amazon,DANN,SGD,36,0.0003275099866125592,0.9968,0.0000,0.6315,1.3966,0.0000,0.0000
2019-07-27 08:49:16,3588,45,Dslr,Amazon,DANN,SGD,36,0.00031912094150670864,0.9947,0.0000,0.6170,1.4001,0.0000,0.0000
2019-07-27 08:56:22,3744,47,Dslr,Amazon,DANN,SGD,36,0.0003112167408575109,0.9979,0.0000,0.6195,1.3930,0.0000,0.0000
2019-07-27 09:03:17,3900,49,Dslr,Amazon,DANN,SGD,36,0.00030375475763212256,0.9936,0.0000,0.6269,1.4067,0.0000,0.0000
2019-07-27 09:10:07,4056,51,Dslr,Amazon,DANN,SGD,36,0.00029669731710652074,0.9947,0.0000,0.6113,1.3993,0.0000,0.0000
2019-07-27 09:17:00,4212,53,Dslr,Amazon,DANN,SGD,36,0.0002900109899780196,0.9972,0.0000,0.6308,1.3987,0.0000,0.0000
2019-07-27 09:23:42,4368,55,Dslr,Amazon,DANN,SGD,36,0.00028366600405912415,0.9961,0.0000,0.6180,1.4046,0.0000,0.0000
2019-07-27 09:30:53,4524,57,Dslr,Amazon,DANN,SGD,36,0.0002776357518626059,0.9972,0.0000,0.6287,1.3947,0.0000,0.0000
2019-07-27 09:38:09,4680,59,Dslr,Amazon,DANN,SGD,36,0.0002718963762352315,0.9954,0.0000,0.6376,1.4002,0.0000,0.0000
2019-07-27 09:43:36,4836,61,Dslr,Amazon,DANN,SGD,36,0.00026642641990720303,0.9957,0.0000,0.6315,1.3949,0.0000,0.0000
2019-07-27 09:50:54,4992,63,Dslr,Amazon,DANN,SGD,36,0.00026120652768595693,0.9950,0.0000,0.6241,1.4040,0.0000,0.0000
2019-07-27 09:58:15,5148,65,Dslr,Amazon,DANN,SGD,36,0.00025621919224703336,0.9968,0.0000,0.6209,1.3984,0.0000,0.0000
2019-07-27 10:05:33,5304,67,Dslr,Amazon,DANN,SGD,36,0.00025144853621561107,0.9972,0.0000,0.6329,1.3977,0.0000,0.0000
2019-07-27 10:12:49,5460,69,Dslr,Amazon,DANN,SGD,36,0.0002468801246041403,0.9975,0.0000,0.6329,1.3953,0.0000,0.0000
2019-07-27 10:20:07,5616,71,Dslr,Amazon,DANN,SGD,36,0.00024250080275940866,0.9964,0.0000,0.6383,1.3979,0.0000,0.0000
2019-07-27 10:27:28,5772,73,Dslr,Amazon,DANN,SGD,36,0.0002382985558403159,0.9961,0.0000,0.6297,1.3909,0.0000,0.0000
2019-07-27 10:33:53,5928,75,Dslr,Amazon,DANN,SGD,36,0.000234262386544048,0.9954,0.0000,0.6351,1.4034,0.0000,0.0000
2019-07-27 10:40:08,6084,77,Dslr,Amazon,DANN,SGD,36,0.0002303822083601701,0.9982,0.0000,0.6237,1.3953,0.0000,0.0000
2019-07-27 10:45:09,6240,79,Dslr,Amazon,DANN,SGD,36,0.0002266487520877556,0.9979,0.0000,0.6329,1.3954,0.0000,0.0000
2019-07-27 10:51:42,6396,81,Dslr,Amazon,DANN,SGD,36,0.0002230534837219424,0.9982,0.0000,0.6351,1.3946,0.0000,0.0000
2019-07-27 10:56:32,6552,83,Dslr,Amazon,DANN,SGD,36,0.00021958853212029105,0.9947,0.0000,0.6429,1.4010,0.0000,0.0000
2019-07-27 11:01:07,6708,85,Dslr,Amazon,DANN,SGD,36,0.0002162466251093246,0.9950,0.0000,0.6344,1.4017,0.0000,0.0000
2019-07-27 11:06:44,6864,87,Dslr,Amazon,DANN,SGD,36,0.0002130210328981246,0.9968,0.0000,0.6337,1.3963,0.0000,0.0000
2019-07-27 11:12:28,7020,89,Dslr,Amazon,DANN,SGD,36,0.00020990551783711724,0.9972,0.0000,0.6187,1.4011,0.0000,0.0000
2019-07-27 11:18:09,7176,91,Dslr,Amazon,DANN,SGD,36,0.00020689428970277577,0.9972,0.0000,0.6251,1.3939,0.0000,0.0000
2019-07-27 11:23:52,7332,93,Dslr,Amazon,DANN,SGD,36,0.0002039819658081423,0.9972,0.0000,0.6283,1.3948,0.0000,0.0000
2019-07-27 11:29:34,7488,95,Dslr,Amazon,DANN,SGD,36,0.00020116353533903314,0.9954,0.0000,0.6344,1.4002,0.0000,0.0000
2019-07-27 11:34:56,7644,97,Dslr,Amazon,DANN,SGD,36,0.00019843432739993213,0.9964,0.0000,0.6266,1.3974,0.0000,0.0000
