time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-08-02 05:11:33,504,35,Dslr,Webcam,Baseline,SGD,36,0.0007367571391858559,0.9880,0.0000,0.9245,0.0357,0.0000,0.0000
2019-08-02 05:25:03,1008,71,Dslr,Webcam,Baseline,SGD,36,0.0005931367352933703,0.9920,0.0000,0.9447,0.0264,0.0000,0.0000
2019-08-02 05:38:33,1512,107,Dslr,Webcam,Baseline,SGD,36,0.000501410408341909,0.9900,0.0000,0.9233,0.0179,0.0000,0.0000
2019-08-02 05:52:01,2016,143,Dslr,Webcam,Baseline,SGD,36,0.00043714102315100796,0.9960,0.0000,0.9522,0.0095,0.0000,0.0000
2019-08-02 06:05:32,2520,179,Dslr,Webcam,Baseline,SGD,36,0.0003892949679329672,0.9920,0.0000,0.9409,0.0245,0.0000,0.0000
2019-08-02 06:19:04,3024,215,Dslr,Webcam,Baseline,SGD,36,0.00035211567077148817,0.9960,0.0000,0.9371,0.0146,0.0000,0.0000
2019-08-02 06:32:34,3528,251,Dslr,Webcam,Baseline,SGD,36,0.00032228761190002423,1.0000,0.0000,0.9321,0.0060,0.0000,0.0000
2019-08-02 06:46:07,4032,287,Dslr,Webcam,Baseline,SGD,36,0.00029775812993923105,0.9940,0.0000,0.9321,0.0165,0.0000,0.0000
2019-08-02 06:59:37,4536,323,Dslr,Webcam,Baseline,SGD,36,0.00027718422180324855,1.0000,0.0000,0.9421,0.0052,0.0000,0.0000
2019-08-02 07:13:08,5040,359,Dslr,Webcam,Baseline,SGD,36,0.0002596479609141785,0.9940,0.0000,0.9296,0.0140,0.0000,0.0000
2019-08-02 07:26:41,5544,395,Dslr,Webcam,Baseline,SGD,36,0.0002444993225016294,0.9980,0.0000,0.9472,0.0166,0.0000,0.0000
2019-08-02 07:40:12,6048,431,Dslr,Webcam,Baseline,SGD,36,0.0002312642863142884,0.9900,0.0000,0.9358,0.0262,0.0000,0.0000
2019-08-02 07:53:42,6552,467,Dslr,Webcam,Baseline,SGD,36,0.00021958853212029105,1.0000,0.0000,0.9371,0.0078,0.0000,0.0000
2019-08-02 08:07:13,7056,503,Dslr,Webcam,Baseline,SGD,36,0.00020920156509643225,0.9960,0.0000,0.9371,0.0107,0.0000,0.0000
2019-08-02 08:20:44,7560,539,Dslr,Webcam,Baseline,SGD,36,0.00019989308494142513,0.9960,0.0000,0.9421,0.0112,0.0000,0.0000
2019-08-02 08:34:15,8064,575,Dslr,Webcam,Baseline,SGD,36,0.0001914969678477483,1.0000,0.0000,0.9296,0.0058,0.0000,0.0000
2019-08-02 08:47:46,8568,611,Dslr,Webcam,Baseline,SGD,36,0.0001838801348578609,0.9940,0.0000,0.9434,0.0134,0.0000,0.0000
2019-08-02 09:01:16,9072,647,Dslr,Webcam,Baseline,SGD,36,0.0001769346448208928,0.9980,0.0000,0.9434,0.0059,0.0000,0.0000
2019-08-02 09:14:45,9576,683,Dslr,Webcam,Baseline,SGD,36,0.00017057196794367145,1.0000,0.0000,0.9396,0.0075,0.0000,0.0000
