time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-25 15:06:18,110,4,Dslr,Webcam,DANN,SGD,36,0.0003,0.9596,0.0000,0.9358,1.6148,0.0000,0.2906
2019-07-25 15:10:13,220,9,Dslr,Webcam,DANN,SGD,36,0.0003,0.9722,0.0000,0.9509,1.4758,0.0000,0.2074
2019-07-25 15:14:11,330,14,Dslr,Webcam,DANN,SGD,36,0.0003,0.9747,0.0000,0.9610,1.4123,0.0000,0.1469
2019-07-25 15:18:10,440,19,Dslr,Webcam,DANN,SGD,36,0.0003,0.9684,0.0000,0.9623,1.4098,0.0000,0.1501
2019-07-25 15:22:06,550,24,Dslr,Webcam,DANN,SGD,36,0.0003,0.9861,0.0000,0.9723,1.3612,0.0000,0.1120
2019-07-25 15:26:03,660,29,Dslr,Webcam,DANN,SGD,36,0.0003,0.9798,0.0000,0.9761,1.3927,0.0000,0.1027
2019-07-25 15:29:59,770,34,Dslr,Webcam,DANN,SGD,36,0.0003,0.9811,0.0000,0.9748,1.4020,0.0000,0.0984
2019-07-25 15:33:55,880,39,Dslr,Webcam,DANN,SGD,36,0.0003,0.9811,0.0000,0.9748,1.3930,0.0000,0.1034
2019-07-25 15:37:53,990,44,Dslr,Webcam,DANN,SGD,36,0.0003,0.9949,0.0000,0.9736,1.3667,0.0000,0.1078
2019-07-25 15:41:48,1100,49,Dslr,Webcam,DANN,SGD,36,0.0003,0.9861,0.0000,0.9736,1.3900,0.0000,0.0899
2019-07-25 15:45:44,1210,54,Dslr,Webcam,DANN,SGD,36,0.0003,0.9937,0.0000,0.9673,1.3843,0.0000,0.0900
2019-07-25 15:49:38,1320,59,Dslr,Webcam,DANN,SGD,36,0.0003,0.9874,0.0000,0.9736,1.3974,0.0000,0.0943
2019-07-25 15:53:32,1430,64,Dslr,Webcam,DANN,SGD,36,0.0003,0.9848,0.0000,0.9761,1.4193,0.0000,0.0748
2019-07-25 15:57:30,1540,69,Dslr,Webcam,DANN,SGD,36,0.0003,0.9912,0.0000,0.9723,1.4085,0.0000,0.0980
2019-07-25 16:01:24,1650,74,Dslr,Webcam,DANN,SGD,36,0.0003,0.9823,0.0000,0.9597,1.4296,0.0000,0.1149
2019-07-25 16:05:20,1760,79,Dslr,Webcam,DANN,SGD,36,0.0003,0.9937,0.0000,0.9786,1.3953,0.0000,0.0784
2019-07-25 16:09:19,1870,84,Dslr,Webcam,DANN,SGD,36,0.0003,0.9924,0.0000,0.9711,1.4043,0.0000,0.1012
2019-07-25 16:13:21,1980,89,Dslr,Webcam,DANN,SGD,36,0.0003,0.9874,0.0000,0.9736,1.4176,0.0000,0.0660
2019-07-25 16:17:19,2090,94,Dslr,Webcam,DANN,SGD,36,0.0003,0.9886,0.0000,0.9698,1.4197,0.0000,0.0904
