time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-25 15:04:51,110,4,Dslr,Webcam,MT,SGD,36,0.0003,0.9520,0.0000,0.9321,0.2448,0.0000,0.3099
2019-07-25 15:08:58,220,9,Dslr,Webcam,MT,SGD,36,0.0003,0.9722,0.0000,0.9484,0.1200,0.0000,0.2054
2019-07-25 15:13:04,330,14,Dslr,Webcam,MT,SGD,36,0.0003,0.9811,0.0000,0.9547,0.1028,0.0000,0.1666
2019-07-25 15:17:10,440,19,Dslr,Webcam,MT,SGD,36,0.0003,0.9697,0.0000,0.9522,0.1077,0.0000,0.1460
2019-07-25 15:21:16,550,24,Dslr,Webcam,MT,SGD,36,0.0003,0.9836,0.0000,0.9585,0.0744,0.0000,0.1497
2019-07-25 15:25:22,660,29,Dslr,Webcam,MT,SGD,36,0.0003,0.9861,0.0000,0.9421,0.0652,0.0000,0.1621
2019-07-25 15:29:29,770,34,Dslr,Webcam,MT,SGD,36,0.0003,0.9874,0.0000,0.9686,0.0548,0.0000,0.1225
2019-07-25 15:33:35,880,39,Dslr,Webcam,MT,SGD,36,0.0003,0.9899,0.0000,0.9572,0.0547,0.0000,0.1331
2019-07-25 15:37:41,990,44,Dslr,Webcam,MT,SGD,36,0.0003,0.9798,0.0000,0.9547,0.0675,0.0000,0.1420
2019-07-25 15:41:47,1100,49,Dslr,Webcam,MT,SGD,36,0.0003,0.9937,0.0000,0.9509,0.0422,0.0000,0.1533
2019-07-25 15:45:53,1210,54,Dslr,Webcam,MT,SGD,36,0.0003,0.9886,0.0000,0.9522,0.0459,0.0000,0.1521
2019-07-25 15:50:00,1320,59,Dslr,Webcam,MT,SGD,36,0.0003,0.9975,0.0000,0.9648,0.0251,0.0000,0.1370
2019-07-25 15:54:06,1430,64,Dslr,Webcam,MT,SGD,36,0.0003,0.9924,0.0000,0.9547,0.0345,0.0000,0.1602
2019-07-25 15:58:12,1540,69,Dslr,Webcam,MT,SGD,36,0.0003,0.9886,0.0000,0.9673,0.0470,0.0000,0.1252
2019-07-25 16:02:19,1650,74,Dslr,Webcam,MT,SGD,36,0.0003,0.9874,0.0000,0.9623,0.0548,0.0000,0.1289
2019-07-25 16:06:25,1760,79,Dslr,Webcam,MT,SGD,36,0.0003,0.9912,0.0000,0.9535,0.0315,0.0000,0.1432
2019-07-25 16:10:31,1870,84,Dslr,Webcam,MT,SGD,36,0.0003,0.9962,0.0000,0.9560,0.0274,0.0000,0.1484
2019-07-25 16:14:37,1980,89,Dslr,Webcam,MT,SGD,36,0.0003,0.9924,0.0000,0.9660,0.0311,0.0000,0.1441
2019-07-25 16:18:44,2090,94,Dslr,Webcam,MT,SGD,36,0.0003,0.9949,0.0000,0.9585,0.0296,0.0000,0.1487
2019-07-25 16:22:51,2200,99,Dslr,Webcam,MT,SGD,36,0.0003,0.9924,0.0000,0.9522,0.0257,0.0000,0.1414
2019-07-25 16:26:57,2310,104,Dslr,Webcam,MT,SGD,36,0.0003,0.9962,0.0000,0.9472,0.0197,0.0000,0.1579
2019-07-25 16:31:03,2420,109,Dslr,Webcam,MT,SGD,36,0.0003,0.9886,0.0000,0.9509,0.0367,0.0000,0.1495
2019-07-25 16:35:10,2530,114,Dslr,Webcam,MT,SGD,36,0.0003,0.9949,0.0000,0.9421,0.0245,0.0000,0.1654
2019-07-25 16:39:16,2640,119,Dslr,Webcam,MT,SGD,36,0.0003,0.9949,0.0000,0.9572,0.0221,0.0000,0.1406
2019-07-25 16:43:23,2750,124,Dslr,Webcam,MT,SGD,36,0.0003,0.9937,0.0000,0.9396,0.0332,0.0000,0.1768
2019-07-25 16:47:29,2860,129,Dslr,Webcam,MT,SGD,36,0.0003,0.9924,0.0000,0.9610,0.0370,0.0000,0.1475
2019-07-25 16:51:36,2970,134,Dslr,Webcam,MT,SGD,36,0.0003,0.9924,0.0000,0.9472,0.0239,0.0000,0.1612
