iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
115,4,Webcam,Amazon,Baseline,SGD,36,0.001,0.9321,0.0000,0.5776,0.2183,0.0000,2.0806
230,9,Webcam,Amazon,Baseline,SGD,36,0.001,0.9673,0.0000,0.4594,0.1077,0.0000,3.1575
345,14,Webcam,Amazon,Baseline,SGD,36,0.001,0.9547,0.0000,0.5566,0.1396,0.0000,2.6002
460,19,Webcam,Amazon,Baseline,SGD,36,0.001,0.9447,0.0000,0.5119,0.1739,0.0000,2.9704
575,24,Webcam,Amazon,Baseline,SGD,36,0.001,0.9660,0.0000,0.5300,0.0974,0.0000,2.8215
690,29,Webcam,Amazon,Baseline,SGD,36,0.001,0.9522,0.0000,0.5350,0.1492,0.0000,3.0831
805,34,Webcam,Amazon,Baseline,SGD,36,0.001,0.9560,0.0000,0.5353,0.1529,0.0000,2.9587
920,39,Webcam,Amazon,Baseline,SGD,36,0.001,0.9862,0.0000,0.5534,0.0596,0.0000,2.8856
1035,44,Webcam,Amazon,Baseline,SGD,36,0.001,0.9610,0.0000,0.4938,0.1422,0.0000,3.4012
1150,49,Webcam,Amazon,Baseline,SGD,36,0.001,0.9824,0.0000,0.5360,0.0480,0.0000,2.9043
1265,54,Webcam,Amazon,Baseline,SGD,36,0.001,0.9849,0.0000,0.5389,0.0468,0.0000,3.0478
1380,59,Webcam,Amazon,Baseline,SGD,36,0.001,0.9862,0.0000,0.5048,0.0737,0.0000,3.2563
1495,64,Webcam,Amazon,Baseline,SGD,36,0.001,0.9736,0.0000,0.5186,0.0943,0.0000,3.0593
1610,69,Webcam,Amazon,Baseline,SGD,36,0.001,0.9736,0.0000,0.5573,0.1054,0.0000,2.6935
1725,74,Webcam,Amazon,Baseline,SGD,36,0.001,0.9824,0.0000,0.5236,0.0582,0.0000,3.1415
1840,79,Webcam,Amazon,Baseline,SGD,36,0.001,0.9925,0.0000,0.5059,0.0309,0.0000,3.2481
1955,84,Webcam,Amazon,Baseline,SGD,36,0.001,0.9899,0.0000,0.5272,0.0273,0.0000,2.9617
2070,89,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5375,0.0396,0.0000,3.0925
2185,94,Webcam,Amazon,Baseline,SGD,36,0.001,0.9899,0.0000,0.5279,0.0379,0.0000,2.9373
2300,99,Webcam,Amazon,Baseline,SGD,36,0.001,0.9862,0.0000,0.5048,0.0543,0.0000,3.1766
2415,104,Webcam,Amazon,Baseline,SGD,36,0.001,0.9836,0.0000,0.4611,0.0519,0.0000,3.6086
2530,109,Webcam,Amazon,Baseline,SGD,36,0.001,0.9849,0.0000,0.4966,0.0519,0.0000,3.1375
2645,114,Webcam,Amazon,Baseline,SGD,36,0.001,0.9874,0.0000,0.4945,0.0539,0.0000,3.4679
2760,119,Webcam,Amazon,Baseline,SGD,36,0.001,0.9849,0.0000,0.5066,0.0547,0.0000,3.2258
2875,124,Webcam,Amazon,Baseline,SGD,36,0.001,0.9686,0.0000,0.4988,0.0974,0.0000,3.3389
2990,129,Webcam,Amazon,Baseline,SGD,36,0.001,0.9899,0.0000,0.4998,0.0559,0.0000,3.3771
3105,134,Webcam,Amazon,Baseline,SGD,36,0.001,0.9723,0.0000,0.5357,0.0821,0.0000,2.8586
3220,139,Webcam,Amazon,Baseline,SGD,36,0.001,0.9849,0.0000,0.5385,0.0483,0.0000,2.8855
3335,144,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5222,0.0333,0.0000,2.9845
3450,149,Webcam,Amazon,Baseline,SGD,36,0.001,0.9862,0.0000,0.5190,0.0503,0.0000,3.1241
3565,154,Webcam,Amazon,Baseline,SGD,36,0.001,0.9874,0.0000,0.4679,0.0428,0.0000,3.4987
3680,159,Webcam,Amazon,Baseline,SGD,36,0.001,0.9849,0.0000,0.4980,0.0480,0.0000,3.3197
3795,164,Webcam,Amazon,Baseline,SGD,36,0.001,0.9849,0.0000,0.5350,0.0536,0.0000,2.8398
3910,169,Webcam,Amazon,Baseline,SGD,36,0.001,0.9937,0.0000,0.5144,0.0281,0.0000,2.9828
4025,174,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5282,0.0369,0.0000,2.9253
4140,179,Webcam,Amazon,Baseline,SGD,36,0.001,0.9899,0.0000,0.5399,0.0323,0.0000,2.7822
4255,184,Webcam,Amazon,Baseline,SGD,36,0.001,0.9862,0.0000,0.5403,0.0366,0.0000,2.7338
4370,189,Webcam,Amazon,Baseline,SGD,36,0.001,0.9899,0.0000,0.5243,0.0339,0.0000,2.7475
4485,194,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5382,0.0379,0.0000,2.6402
4600,199,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5346,0.0311,0.0000,2.6945
4715,204,Webcam,Amazon,Baseline,SGD,36,0.001,0.9874,0.0000,0.5137,0.0402,0.0000,3.0728
4830,209,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5027,0.0298,0.0000,2.9862
4945,214,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5264,0.0319,0.0000,2.7356
5060,219,Webcam,Amazon,Baseline,SGD,36,0.001,0.9786,0.0000,0.5186,0.0669,0.0000,2.8810
5175,224,Webcam,Amazon,Baseline,SGD,36,0.001,0.9950,0.0000,0.5126,0.0191,0.0000,2.8608
5290,229,Webcam,Amazon,Baseline,SGD,36,0.001,0.9874,0.0000,0.5080,0.0432,0.0000,3.1995
5405,234,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5236,0.0408,0.0000,2.8429
5520,239,Webcam,Amazon,Baseline,SGD,36,0.001,0.9950,0.0000,0.5105,0.0175,0.0000,2.8208
5635,244,Webcam,Amazon,Baseline,SGD,36,0.001,0.9849,0.0000,0.4856,0.0487,0.0000,3.1180
5750,249,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5286,0.0306,0.0000,2.6982
5865,254,Webcam,Amazon,Baseline,SGD,36,0.001,0.9862,0.0000,0.5133,0.0461,0.0000,2.8395
5980,259,Webcam,Amazon,Baseline,SGD,36,0.001,0.9925,0.0000,0.5293,0.0239,0.0000,2.6438
6095,264,Webcam,Amazon,Baseline,SGD,36,0.001,0.9912,0.0000,0.5250,0.0268,0.0000,2.6630
6210,269,Webcam,Amazon,Baseline,SGD,36,0.001,0.9937,0.0000,0.5062,0.0248,0.0000,3.0179
6325,274,Webcam,Amazon,Baseline,SGD,36,0.001,0.9950,0.0000,0.5133,0.0195,0.0000,2.8444
6440,279,Webcam,Amazon,Baseline,SGD,36,0.001,0.9874,0.0000,0.5389,0.0326,0.0000,2.6530
6555,284,Webcam,Amazon,Baseline,SGD,36,0.001,0.9937,0.0000,0.5396,0.0264,0.0000,2.6072
6670,289,Webcam,Amazon,Baseline,SGD,36,0.001,0.9937,0.0000,0.5314,0.0209,0.0000,2.6958
6785,294,Webcam,Amazon,Baseline,SGD,36,0.001,0.9950,0.0000,0.5325,0.0221,0.0000,2.6412
6900,299,Webcam,Amazon,Baseline,SGD,36,0.001,0.9950,0.0000,0.5296,0.0243,0.0000,2.6041
7015,304,Webcam,Amazon,Baseline,SGD,36,0.001,0.9899,0.0000,0.5431,0.0268,0.0000,2.6396
7130,309,Webcam,Amazon,Baseline,SGD,36,0.001,0.9912,0.0000,0.5151,0.0317,0.0000,2.7098
7245,314,Webcam,Amazon,Baseline,SGD,36,0.001,0.9912,0.0000,0.5030,0.0305,0.0000,2.8440
7360,319,Webcam,Amazon,Baseline,SGD,36,0.001,0.9937,0.0000,0.5201,0.0145,0.0000,2.7977
7475,324,Webcam,Amazon,Baseline,SGD,36,0.001,0.9925,0.0000,0.5122,0.0192,0.0000,2.7543
7590,329,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5279,0.0403,0.0000,2.5957
7705,334,Webcam,Amazon,Baseline,SGD,36,0.001,0.9925,0.0000,0.5304,0.0287,0.0000,2.7136
7820,339,Webcam,Amazon,Baseline,SGD,36,0.001,0.9962,0.0000,0.5268,0.0118,0.0000,2.6194
7935,344,Webcam,Amazon,Baseline,SGD,36,0.001,0.9912,0.0000,0.4810,0.0296,0.0000,3.0237
8050,349,Webcam,Amazon,Baseline,SGD,36,0.001,0.9912,0.0000,0.5335,0.0265,0.0000,2.4770
8165,354,Webcam,Amazon,Baseline,SGD,36,0.001,0.9937,0.0000,0.5279,0.0247,0.0000,2.6025
8280,359,Webcam,Amazon,Baseline,SGD,36,0.001,0.9887,0.0000,0.5108,0.0299,0.0000,2.6251
8395,364,Webcam,Amazon,Baseline,SGD,36,0.001,0.9962,0.0000,0.5240,0.0142,0.0000,2.5984
8510,369,Webcam,Amazon,Baseline,SGD,36,0.001,0.9912,0.0000,0.5332,0.0211,0.0000,2.5341
8625,374,Webcam,Amazon,Baseline,SGD,36,0.001,0.9962,0.0000,0.5300,0.0205,0.0000,2.5444
8740,379,Webcam,Amazon,Baseline,SGD,36,0.001,0.9925,0.0000,0.5325,0.0246,0.0000,2.5036
8855,384,Webcam,Amazon,Baseline,SGD,36,0.001,0.9912,0.0000,0.5343,0.0322,0.0000,2.4799
8970,389,Webcam,Amazon,Baseline,SGD,36,0.001,0.9962,0.0000,0.5492,0.0209,0.0000,2.4609
9085,394,Webcam,Amazon,Baseline,SGD,36,0.001,0.9962,0.0000,0.5307,0.0215,0.0000,2.5434
9200,399,Webcam,Amazon,Baseline,SGD,36,0.001,0.9987,0.0000,0.5414,0.0143,0.0000,2.4875
9315,404,Webcam,Amazon,Baseline,SGD,36,0.001,0.9950,0.0000,0.5414,0.0218,0.0000,2.4636
9430,409,Webcam,Amazon,Baseline,SGD,36,0.001,0.9925,0.0000,0.5406,0.0271,0.0000,2.5289
9545,414,Webcam,Amazon,Baseline,SGD,36,0.001,0.9937,0.0000,0.5179,0.0231,0.0000,2.4866
9660,419,Webcam,Amazon,Baseline,SGD,36,0.001,0.9950,0.0000,0.5321,0.0218,0.0000,2.3593
9775,424,Webcam,Amazon,Baseline,SGD,36,0.001,0.9950,0.0000,0.5243,0.0151,0.0000,2.5126
9890,429,Webcam,Amazon,Baseline,SGD,36,0.001,0.9962,0.0000,0.5435,0.0232,0.0000,2.3592
10005,434,Webcam,Amazon,Baseline,SGD,36,0.001,0.9962,0.0000,0.5435,0.0184,0.0000,2.3424
