time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-27 03:23:52,156,1,Webcam,Amazon,DANN,SGD,36,0.0008975961681142214,0.9544,0.0000,0.5843,1.3290,0.0000,1.9223
2019-07-27 03:27:23,312,3,Webcam,Amazon,DANN,SGD,36,0.0008162606821475054,0.9612,0.0000,0.5896,1.1774,0.0000,1.9570
2019-07-27 03:30:54,468,5,Webcam,Amazon,DANN,SGD,36,0.0007502722371425987,0.9722,0.0000,0.6198,1.2725,0.0000,1.9921
2019-07-27 03:34:26,624,7,Webcam,Amazon,DANN,SGD,36,0.0006955223753780036,0.9776,0.0000,0.6195,1.3431,0.0000,2.0937
2019-07-27 03:37:35,780,9,Webcam,Amazon,DANN,SGD,36,0.0006492696055904064,0.9829,0.0000,0.6294,1.3914,0.0000,2.0824
2019-07-27 03:40:42,936,11,Webcam,Amazon,DANN,SGD,36,0.0006096101785927369,0.9854,0.0000,0.6099,1.4167,0.0000,2.1384
2019-07-27 03:44:54,1092,13,Webcam,Amazon,DANN,SGD,36,0.0005751782227389043,0.9847,0.0000,0.6241,1.4203,0.0000,2.1386
2019-07-27 03:51:25,1248,15,Webcam,Amazon,DANN,SGD,36,0.0005449667178478274,0.9836,0.0000,0.6099,1.4195,0.0000,2.1326
2019-07-27 03:57:48,1404,17,Webcam,Amazon,DANN,SGD,36,0.0005182158829432445,0.9858,0.0000,0.6262,1.4269,0.0000,2.0656
2019-07-27 04:03:46,1560,19,Webcam,Amazon,DANN,SGD,36,0.0004943410071824716,0.9868,0.0000,0.6195,1.4238,0.0000,2.1687
2019-07-27 04:10:19,1716,21,Webcam,Amazon,DANN,SGD,36,0.0004728843071733194,0.9897,0.0000,0.6230,1.4134,0.0000,2.0174
2019-07-27 04:16:57,1872,23,Webcam,Amazon,DANN,SGD,36,0.00045348193412586514,0.9890,0.0000,0.6290,1.4163,0.0000,1.9876
2019-07-27 04:23:24,2028,25,Webcam,Amazon,DANN,SGD,36,0.0004358408243778849,0.9854,0.0000,0.6361,1.4200,0.0000,1.9686
2019-07-27 04:32:10,2184,27,Webcam,Amazon,DANN,SGD,36,0.00041972211568718464,0.9893,0.0000,0.6365,1.4223,0.0000,1.9996
2019-07-27 04:37:15,2340,29,Webcam,Amazon,DANN,SGD,36,0.000404929045879424,0.9932,0.0000,0.6418,1.4065,0.0000,1.9464
2019-07-27 04:40:52,2496,31,Webcam,Amazon,DANN,SGD,36,0.0003912979754265398,0.9904,0.0000,0.6408,1.4135,0.0000,1.9192
2019-07-27 04:44:29,2652,33,Webcam,Amazon,DANN,SGD,36,0.00037869162791315426,0.9893,0.0000,0.6344,1.4262,0.0000,2.0478
2019-07-27 04:48:06,2808,35,Webcam,Amazon,DANN,SGD,36,0.00036699393164145905,0.9922,0.0000,0.6408,1.4088,0.0000,1.8469
2019-07-27 04:51:42,2964,37,Webcam,Amazon,DANN,SGD,36,0.0003561060347536154,0.9907,0.0000,0.6315,1.4182,0.0000,1.8905
2019-07-27 04:55:18,3120,39,Webcam,Amazon,DANN,SGD,36,0.00034594319238923934,0.9922,0.0000,0.6479,1.4107,0.0000,1.8796
2019-07-27 04:59:07,3276,41,Webcam,Amazon,DANN,SGD,36,0.0003364323100642079,0.9915,0.0000,0.6471,1.4128,0.0000,1.8606
2019-07-27 05:02:38,3432,43,Webcam,Amazon,DANN,SGD,36,0.0003275099866125592,0.9950,0.0000,0.6418,1.4059,0.0000,1.8930
2019-07-27 05:05:38,3588,45,Webcam,Amazon,DANN,SGD,36,0.00031912094150670864,0.9943,0.0000,0.6461,1.4081,0.0000,1.8715
2019-07-27 05:08:37,3744,47,Webcam,Amazon,DANN,SGD,36,0.0003112167408575109,0.9925,0.0000,0.6411,1.4127,0.0000,1.8643
2019-07-27 05:11:36,3900,49,Webcam,Amazon,DANN,SGD,36,0.00030375475763212256,0.9957,0.0000,0.6393,1.4049,0.0000,1.9217
2019-07-27 05:14:35,4056,51,Webcam,Amazon,DANN,SGD,36,0.00029669731710652074,0.9918,0.0000,0.6450,1.4107,0.0000,1.8226
2019-07-27 05:17:35,4212,53,Webcam,Amazon,DANN,SGD,36,0.0002900109899780196,0.9957,0.0000,0.6333,1.4043,0.0000,1.9853
2019-07-27 05:20:37,4368,55,Webcam,Amazon,DANN,SGD,36,0.00028366600405912415,0.9925,0.0000,0.6450,1.4110,0.0000,1.8705
2019-07-27 05:23:31,4524,57,Webcam,Amazon,DANN,SGD,36,0.0002776357518626059,0.9911,0.0000,0.6500,1.4130,0.0000,1.8533
2019-07-27 05:26:25,4680,59,Webcam,Amazon,DANN,SGD,36,0.0002718963762352315,0.9925,0.0000,0.6447,1.4056,0.0000,1.8502
2019-07-27 05:29:19,4836,61,Webcam,Amazon,DANN,SGD,36,0.00026642641990720303,0.9957,0.0000,0.6468,1.4022,0.0000,1.8380
2019-07-27 05:32:14,4992,63,Webcam,Amazon,DANN,SGD,36,0.00026120652768595693,0.9904,0.0000,0.6635,1.4066,0.0000,1.7630
2019-07-27 05:35:09,5148,65,Webcam,Amazon,DANN,SGD,36,0.00025621919224703336,0.9939,0.0000,0.6635,1.4075,0.0000,1.8002
2019-07-27 05:38:04,5304,67,Webcam,Amazon,DANN,SGD,36,0.00025144853621561107,0.9936,0.0000,0.6361,1.4020,0.0000,1.8603
2019-07-27 05:40:58,5460,69,Webcam,Amazon,DANN,SGD,36,0.0002468801246041403,0.9936,0.0000,0.6400,1.4046,0.0000,1.8803
2019-07-27 05:43:53,5616,71,Webcam,Amazon,DANN,SGD,36,0.00024250080275940866,0.9961,0.0000,0.6397,1.3947,0.0000,1.8591
2019-07-27 05:46:48,5772,73,Webcam,Amazon,DANN,SGD,36,0.0002382985558403159,0.9950,0.0000,0.6521,1.4035,0.0000,1.7748
2019-07-27 05:49:43,5928,75,Webcam,Amazon,DANN,SGD,36,0.000234262386544048,0.9936,0.0000,0.6489,1.4005,0.0000,1.8438
2019-07-27 05:52:39,6084,77,Webcam,Amazon,DANN,SGD,36,0.0002303822083601701,0.9957,0.0000,0.6589,1.3990,0.0000,1.7518
2019-07-27 05:55:37,6240,79,Webcam,Amazon,DANN,SGD,36,0.0002266487520877556,0.9943,0.0000,0.6546,1.4056,0.0000,1.7735
2019-07-27 05:58:36,6396,81,Webcam,Amazon,DANN,SGD,36,0.0002230534837219424,0.9947,0.0000,0.6574,1.4069,0.0000,1.7627
2019-07-27 06:01:37,6552,83,Webcam,Amazon,DANN,SGD,36,0.00021958853212029105,0.9943,0.0000,0.6645,1.3988,0.0000,1.7471
2019-07-27 06:04:37,6708,85,Webcam,Amazon,DANN,SGD,36,0.0002162466251093246,0.9950,0.0000,0.6571,1.4052,0.0000,1.7289
2019-07-27 06:07:37,6864,87,Webcam,Amazon,DANN,SGD,36,0.0002130210328981246,0.9929,0.0000,0.6376,1.4106,0.0000,1.8225
2019-07-27 06:10:37,7020,89,Webcam,Amazon,DANN,SGD,36,0.00020990551783711724,0.9957,0.0000,0.6521,1.4014,0.0000,1.7759
2019-07-27 06:13:36,7176,91,Webcam,Amazon,DANN,SGD,36,0.00020689428970277577,0.9950,0.0000,0.6503,1.4017,0.0000,1.7453
2019-07-27 06:16:35,7332,93,Webcam,Amazon,DANN,SGD,36,0.0002039819658081423,0.9939,0.0000,0.6610,1.4037,0.0000,1.7024
2019-07-27 06:19:35,7488,95,Webcam,Amazon,DANN,SGD,36,0.00020116353533903314,0.9947,0.0000,0.6503,1.4062,0.0000,1.8095
2019-07-27 06:22:35,7644,97,Webcam,Amazon,DANN,SGD,36,0.00019843432739993213,0.9943,0.0000,0.6610,1.4027,0.0000,1.7298
2019-07-27 06:25:34,7800,99,Webcam,Amazon,DANN,SGD,36,0.00019578998232463386,0.9943,0.0000,0.6571,1.4077,0.0000,1.7146
2019-07-27 06:28:34,7956,101,Webcam,Amazon,DANN,SGD,36,0.00019322642586690019,0.9943,0.0000,0.6571,1.4028,0.0000,1.7502
2019-07-27 06:31:34,8112,103,Webcam,Amazon,DANN,SGD,36,0.00019073984593755895,0.9964,0.0000,0.6677,1.4004,0.0000,1.6960
2019-07-27 06:34:33,8268,105,Webcam,Amazon,DANN,SGD,36,0.0001883266715980818,0.9929,0.0000,0.6571,1.4077,0.0000,1.7323
2019-07-27 06:37:32,8424,107,Webcam,Amazon,DANN,SGD,36,0.0001859835540579617,0.9939,0.0000,0.6493,1.4053,0.0000,1.7800
2019-07-27 06:40:32,8580,109,Webcam,Amazon,DANN,SGD,36,0.0001837073494551656,0.9954,0.0000,0.6667,1.4016,0.0000,1.6908
2019-07-27 06:43:34,8736,111,Webcam,Amazon,DANN,SGD,36,0.0001814951032264062,0.9943,0.0000,0.6660,1.4000,0.0000,1.7429
2019-07-27 06:46:34,8892,113,Webcam,Amazon,DANN,SGD,36,0.00017934403589764505,0.9932,0.0000,0.6581,1.4038,0.0000,1.7235
2019-07-27 06:49:35,9048,115,Webcam,Amazon,DANN,SGD,36,0.00017725153014568643,0.9964,0.0000,0.6550,1.3971,0.0000,1.7290
2019-07-27 06:52:36,9204,117,Webcam,Amazon,DANN,SGD,36,0.00017521511899942842,0.9964,0.0000,0.6674,1.4001,0.0000,1.7091
