time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-29 09:06:20,158,1,Webcam,Amazon,MADA,SGD,36,0.0008964326245814852,0.9592,0.0000,0.5758,42.5363,0.0000,0.0000
2019-07-29 09:09:46,316,3,Webcam,Amazon,MADA,SGD,36,0.0008143983482258539,0.9613,0.0000,0.5829,42.1566,0.0000,0.0000
2019-07-29 09:13:13,474,5,Webcam,Amazon,MADA,SGD,36,0.0007479796169588692,0.9715,0.0000,0.6209,42.1635,0.0000,0.0000
2019-07-29 09:16:42,632,7,Webcam,Amazon,MADA,SGD,36,0.0006929627961813978,0.9652,0.0000,0.6329,43.7458,0.0000,0.0000
2019-07-29 09:20:09,790,9,Webcam,Amazon,MADA,SGD,36,0.0006465463846045033,0.9374,0.0000,0.5087,51.1643,0.0000,0.0000
2019-07-29 09:23:35,948,11,Webcam,Amazon,MADA,SGD,36,0.0006067906610265789,0.9459,0.0000,0.5421,44.2999,0.0000,0.0000
2019-07-29 09:27:00,1106,13,Webcam,Amazon,MADA,SGD,36,0.0005723073168775267,0.9603,0.0000,0.6301,44.1213,0.0000,0.0000
2019-07-29 09:30:26,1264,15,Webcam,Amazon,MADA,SGD,36,0.0005420748753691512,0.9631,0.0000,0.6415,43.9918,0.0000,0.0000
2019-07-29 09:33:50,1422,17,Webcam,Amazon,MADA,SGD,36,0.0005153239876163055,0.9754,0.0000,0.6202,43.2995,0.0000,0.0000
2019-07-29 09:37:17,1580,19,Webcam,Amazon,MADA,SGD,36,0.000491463467720305,0.9627,0.0000,0.5889,43.3451,0.0000,0.0000
2019-07-29 09:40:43,1738,21,Webcam,Amazon,MADA,SGD,36,0.00047003106835475413,0.9585,0.0000,0.5563,43.4135,0.0000,0.0000
2019-07-29 09:44:08,1896,23,Webcam,Amazon,MADA,SGD,36,0.0004506598156885711,0.9652,0.0000,0.5059,43.1479,0.0000,0.0000
2019-07-29 09:47:34,2054,25,Webcam,Amazon,MADA,SGD,36,0.0004330544307046911,0.9687,0.0000,0.4388,42.9232,0.0000,0.0000
2019-07-29 09:50:59,2212,27,Webcam,Amazon,MADA,SGD,36,0.000416974464889992,0.9708,0.0000,0.3923,42.9847,0.0000,0.0000
2019-07-29 09:54:25,2370,29,Webcam,Amazon,MADA,SGD,36,0.0004022220115732949,0.9733,0.0000,0.4579,42.9425,0.0000,0.0000
