time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-07-27 17:07:28,156,1,Webcam,Amazon,MCD,SGD,36,0.0008975961681142214,0.9464,0.0000,0.5911,0.1785,0.0000,0.0000
2019-07-27 17:14:36,312,3,Webcam,Amazon,MCD,SGD,36,0.0008162606821475054,0.9728,0.0000,0.5939,0.1014,0.0000,0.0000
2019-07-27 17:21:43,468,5,Webcam,Amazon,MCD,SGD,36,0.0007502722371425987,0.9761,0.0000,0.5726,0.0877,0.0000,0.0000
2019-07-27 17:28:50,624,7,Webcam,Amazon,MCD,SGD,36,0.0006955223753780036,0.9781,0.0000,0.5964,0.0847,0.0000,0.0000
2019-07-27 17:35:58,780,9,Webcam,Amazon,MCD,SGD,36,0.0006492696055904064,0.9865,0.0000,0.5753,0.0501,0.0000,0.0000
2019-07-27 17:42:59,936,11,Webcam,Amazon,MCD,SGD,36,0.0006096101785927369,0.9834,0.0000,0.5919,0.0605,0.0000,0.0000
2019-07-27 17:49:54,1092,13,Webcam,Amazon,MCD,SGD,36,0.0005751782227389043,0.9833,0.0000,0.6111,0.0492,0.0000,0.0000
2019-07-27 17:56:50,1248,15,Webcam,Amazon,MCD,SGD,36,0.0005449667178478274,0.9886,0.0000,0.6022,0.0422,0.0000,0.0000
2019-07-27 18:03:45,1404,17,Webcam,Amazon,MCD,SGD,36,0.0005182158829432445,0.9934,0.0000,0.5848,0.0310,0.0000,0.0000
2019-07-27 18:10:41,1560,19,Webcam,Amazon,MCD,SGD,36,0.0004943410071824716,0.9879,0.0000,0.6074,0.0407,0.0000,0.0000
2019-07-27 18:17:40,1716,21,Webcam,Amazon,MCD,SGD,36,0.0004728843071733194,0.9906,0.0000,0.6060,0.0357,0.0000,0.0000
2019-07-27 18:24:39,1872,23,Webcam,Amazon,MCD,SGD,36,0.00045348193412586514,0.9863,0.0000,0.5868,0.0424,0.0000,0.0000
2019-07-27 18:31:37,2028,25,Webcam,Amazon,MCD,SGD,36,0.0004358408243778849,0.9929,0.0000,0.6145,0.0301,0.0000,0.0000
2019-07-27 18:38:36,2184,27,Webcam,Amazon,MCD,SGD,36,0.00041972211568718464,0.9943,0.0000,0.6024,0.0238,0.0000,0.0000
2019-07-27 18:45:30,2340,29,Webcam,Amazon,MCD,SGD,36,0.000404929045879424,0.9902,0.0000,0.6061,0.0321,0.0000,0.0000
2019-07-27 18:52:26,2496,31,Webcam,Amazon,MCD,SGD,36,0.0003912979754265398,0.9938,0.0000,0.6003,0.0259,0.0000,0.0000
2019-07-27 18:59:23,2652,33,Webcam,Amazon,MCD,SGD,36,0.00037869162791315426,0.9938,0.0000,0.6060,0.0248,0.0000,0.0000
2019-07-27 19:06:17,2808,35,Webcam,Amazon,MCD,SGD,36,0.00036699393164145905,0.9934,0.0000,0.6108,0.0228,0.0000,0.0000
2019-07-27 19:13:13,2964,37,Webcam,Amazon,MCD,SGD,36,0.0003561060347536154,0.9922,0.0000,0.6049,0.0317,0.0000,0.0000
2019-07-27 19:20:11,3120,39,Webcam,Amazon,MCD,SGD,36,0.00034594319238923934,0.9945,0.0000,0.6069,0.0290,0.0000,0.0000
2019-07-27 19:27:08,3276,41,Webcam,Amazon,MCD,SGD,36,0.0003364323100642079,0.9927,0.0000,0.6015,0.0282,0.0000,0.0000
2019-07-27 19:34:07,3432,43,Webcam,Amazon,MCD,SGD,36,0.0003275099866125592,0.9925,0.0000,0.5873,0.0233,0.0000,0.0000
2019-07-27 19:41:05,3588,45,Webcam,Amazon,MCD,SGD,36,0.00031912094150670864,0.9932,0.0000,0.6038,0.0260,0.0000,0.0000
2019-07-27 19:48:03,3744,47,Webcam,Amazon,MCD,SGD,36,0.0003112167408575109,0.9929,0.0000,0.6053,0.0248,0.0000,0.0000
2019-07-27 19:55:01,3900,49,Webcam,Amazon,MCD,SGD,36,0.00030375475763212256,0.9931,0.0000,0.6097,0.0252,0.0000,0.0000
2019-07-27 20:01:56,4056,51,Webcam,Amazon,MCD,SGD,36,0.00029669731710652074,0.9906,0.0000,0.6040,0.0291,0.0000,0.0000
2019-07-27 20:08:51,4212,53,Webcam,Amazon,MCD,SGD,36,0.0002900109899780196,0.9941,0.0000,0.5992,0.0268,0.0000,0.0000
2019-07-27 20:15:45,4368,55,Webcam,Amazon,MCD,SGD,36,0.00028366600405912415,0.9938,0.0000,0.6069,0.0228,0.0000,0.0000
2019-07-27 20:22:44,4524,57,Webcam,Amazon,MCD,SGD,36,0.0002776357518626059,0.9955,0.0000,0.6122,0.0209,0.0000,0.0000
2019-07-27 20:29:43,4680,59,Webcam,Amazon,MCD,SGD,36,0.0002718963762352315,0.9955,0.0000,0.6182,0.0213,0.0000,0.0000
2019-07-27 20:36:42,4836,61,Webcam,Amazon,MCD,SGD,36,0.00026642641990720303,0.9957,0.0000,0.6120,0.0217,0.0000,0.0000
2019-07-27 20:43:41,4992,63,Webcam,Amazon,MCD,SGD,36,0.00026120652768595693,0.9963,0.0000,0.6129,0.0165,0.0000,0.0000
2019-07-27 20:50:39,5148,65,Webcam,Amazon,MCD,SGD,36,0.00025621919224703336,0.9961,0.0000,0.6155,0.0202,0.0000,0.0000
2019-07-27 20:57:36,5304,67,Webcam,Amazon,MCD,SGD,36,0.00025144853621561107,0.9900,0.0000,0.6131,0.0270,0.0000,0.0000
2019-07-27 21:04:35,5460,69,Webcam,Amazon,MCD,SGD,36,0.0002468801246041403,0.9963,0.0000,0.6193,0.0166,0.0000,0.0000
2019-07-27 21:11:34,5616,71,Webcam,Amazon,MCD,SGD,36,0.00024250080275940866,0.9954,0.0000,0.6141,0.0214,0.0000,0.0000
2019-07-27 21:18:31,5772,73,Webcam,Amazon,MCD,SGD,36,0.0002382985558403159,0.9947,0.0000,0.6102,0.0200,0.0000,0.0000
2019-07-27 21:25:28,5928,75,Webcam,Amazon,MCD,SGD,36,0.000234262386544048,0.9955,0.0000,0.6104,0.0199,0.0000,0.0000
2019-07-27 21:32:27,6084,77,Webcam,Amazon,MCD,SGD,36,0.0002303822083601701,0.9964,0.0000,0.6095,0.0174,0.0000,0.0000
2019-07-27 21:39:21,6240,79,Webcam,Amazon,MCD,SGD,36,0.0002266487520877556,0.9988,0.0000,0.6148,0.0119,0.0000,0.0000
2019-07-27 21:46:20,6396,81,Webcam,Amazon,MCD,SGD,36,0.0002230534837219424,0.9961,0.0000,0.6124,0.0195,0.0000,0.0000
2019-07-27 21:53:16,6552,83,Webcam,Amazon,MCD,SGD,36,0.00021958853212029105,0.9955,0.0000,0.6155,0.0184,0.0000,0.0000
2019-07-27 22:00:11,6708,85,Webcam,Amazon,MCD,SGD,36,0.0002162466251093246,0.9963,0.0000,0.6198,0.0152,0.0000,0.0000
2019-07-27 22:07:07,6864,87,Webcam,Amazon,MCD,SGD,36,0.0002130210328981246,0.9973,0.0000,0.6262,0.0183,0.0000,0.0000
2019-07-27 22:14:02,7020,89,Webcam,Amazon,MCD,SGD,36,0.00020990551783711724,0.9950,0.0000,0.6125,0.0201,0.0000,0.0000
2019-07-27 22:20:57,7176,91,Webcam,Amazon,MCD,SGD,36,0.00020689428970277577,0.9970,0.0000,0.6258,0.0174,0.0000,0.0000
2019-07-27 22:27:52,7332,93,Webcam,Amazon,MCD,SGD,36,0.0002039819658081423,0.9970,0.0000,0.6266,0.0147,0.0000,0.0000
2019-07-27 22:34:47,7488,95,Webcam,Amazon,MCD,SGD,36,0.00020116353533903314,0.9957,0.0000,0.6317,0.0193,0.0000,0.0000
2019-07-27 22:41:42,7644,97,Webcam,Amazon,MCD,SGD,36,0.00019843432739993213,0.9947,0.0000,0.6251,0.0198,0.0000,0.0000
2019-07-27 22:48:36,7800,99,Webcam,Amazon,MCD,SGD,36,0.00019578998232463386,0.9939,0.0000,0.6186,0.0219,0.0000,0.0000
2019-07-27 22:55:30,7956,101,Webcam,Amazon,MCD,SGD,36,0.00019322642586690019,0.9963,0.0000,0.6248,0.0176,0.0000,0.0000
2019-07-27 23:02:25,8112,103,Webcam,Amazon,MCD,SGD,36,0.00019073984593755895,0.9966,0.0000,0.6241,0.0158,0.0000,0.0000
2019-07-27 23:09:18,8268,105,Webcam,Amazon,MCD,SGD,36,0.0001883266715980818,0.9936,0.0000,0.6122,0.0231,0.0000,0.0000
2019-07-27 23:16:12,8424,107,Webcam,Amazon,MCD,SGD,36,0.0001859835540579617,0.9943,0.0000,0.6166,0.0210,0.0000,0.0000
2019-07-27 23:23:06,8580,109,Webcam,Amazon,MCD,SGD,36,0.0001837073494551656,0.9964,0.0000,0.6143,0.0161,0.0000,0.0000
2019-07-27 23:30:01,8736,111,Webcam,Amazon,MCD,SGD,36,0.0001814951032264062,0.9959,0.0000,0.6297,0.0186,0.0000,0.0000
2019-07-27 23:36:55,8892,113,Webcam,Amazon,MCD,SGD,36,0.00017934403589764505,0.9952,0.0000,0.6241,0.0206,0.0000,0.0000
2019-07-27 23:43:49,9048,115,Webcam,Amazon,MCD,SGD,36,0.00017725153014568643,0.9945,0.0000,0.6315,0.0215,0.0000,0.0000
2019-07-27 23:50:43,9204,117,Webcam,Amazon,MCD,SGD,36,0.00017521511899942842,0.9975,0.0000,0.6225,0.0136,0.0000,0.0000
2019-07-27 23:57:36,9360,119,Webcam,Amazon,MCD,SGD,36,0.000173232475064705,0.9952,0.0000,0.6200,0.0222,0.0000,0.0000
2019-07-28 00:04:29,9516,121,Webcam,Amazon,MCD,SGD,36,0.00017130140067002413,0.9970,0.0000,0.6246,0.0175,0.0000,0.0000
2019-07-28 00:11:23,9672,123,Webcam,Amazon,MCD,SGD,36,0.00016941981884216256,0.9945,0.0000,0.6237,0.0197,0.0000,0.0000
2019-07-28 00:18:16,9828,125,Webcam,Amazon,MCD,SGD,36,0.00016758576503076288,0.9964,0.0000,0.6262,0.0164,0.0000,0.0000
2019-07-28 00:25:11,9984,127,Webcam,Amazon,MCD,SGD,36,0.00016579737950999355,0.9972,0.0000,0.6379,0.0152,0.0000,0.0000
