iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
546,6,Webcam,Amazon,MT,SGD,36,0.001,0.9733,0.0000,0.5609,0.0887,0.0000,2.0970
1092,13,Webcam,Amazon,MT,SGD,36,0.001,0.9868,0.0000,0.5680,0.0476,0.0000,2.0983
1638,20,Webcam,Amazon,MT,SGD,36,0.001,0.9922,0.0000,0.5751,0.0299,0.0000,2.0184
2184,27,Webcam,Amazon,MT,SGD,36,0.001,0.9904,0.0000,0.5662,0.0340,0.0000,1.9867
2730,34,Webcam,Amazon,MT,SGD,36,0.001,0.9911,0.0000,0.5740,0.0341,0.0000,1.8857
3276,41,Webcam,Amazon,MT,SGD,36,0.001,0.9939,0.0000,0.5740,0.0192,0.0000,1.9505
3822,48,Webcam,Amazon,MT,SGD,36,0.001,0.9947,0.0000,0.5790,0.0253,0.0000,1.8957
4368,55,Webcam,Amazon,MT,SGD,36,0.001,0.9939,0.0000,0.5914,0.0252,0.0000,1.7856
4914,62,Webcam,Amazon,MT,SGD,36,0.001,0.9932,0.0000,0.6017,0.0262,0.0000,1.7507
5460,69,Webcam,Amazon,MT,SGD,36,0.001,0.9972,0.0000,0.6035,0.0163,0.0000,1.7442
6006,76,Webcam,Amazon,MT,SGD,36,0.001,0.9954,0.0000,0.6113,0.0184,0.0000,1.6931
6552,83,Webcam,Amazon,MT,SGD,36,0.001,0.9964,0.0000,0.6084,0.0161,0.0000,1.7029
7098,90,Webcam,Amazon,MT,SGD,36,0.001,0.9961,0.0000,0.6045,0.0154,0.0000,1.7097
7644,97,Webcam,Amazon,MT,SGD,36,0.001,0.9979,0.0000,0.6127,0.0113,0.0000,1.6381
8190,104,Webcam,Amazon,MT,SGD,36,0.001,0.9989,0.0000,0.6109,0.0084,0.0000,1.6326
8736,111,Webcam,Amazon,MT,SGD,36,0.001,0.9979,0.0000,0.6095,0.0118,0.0000,1.6427
9282,118,Webcam,Amazon,MT,SGD,36,0.001,0.9968,0.0000,0.6010,0.0160,0.0000,1.6720
9828,125,Webcam,Amazon,MT,SGD,36,0.001,0.9957,0.0000,0.6092,0.0181,0.0000,1.6394
