time,iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
2019-08-02 09:31:22,506,21,Webcam,Dslr,Baseline,SGD,36,0.0007360229028772128,0.9774,0.0000,0.9900,0.0870,0.0000,0.0000
2019-08-02 09:35:53,1012,43,Webcam,Dslr,Baseline,SGD,36,0.0005922518526722734,0.9686,0.0000,0.9819,0.0934,0.0000,0.0000
2019-08-02 09:40:26,1518,65,Webcam,Dslr,Baseline,SGD,36,0.0005005138405611126,0.9849,0.0000,0.9900,0.0650,0.0000,0.0000
2019-08-02 09:44:59,2024,87,Webcam,Dslr,Baseline,SGD,36,0.0004362732204744836,0.9824,0.0000,0.9819,0.0496,0.0000,0.0000
2019-08-02 09:49:32,2530,109,Webcam,Dslr,Baseline,SGD,36,0.0003884674200351854,0.9811,0.0000,0.9839,0.0602,0.0000,0.0000
2019-08-02 09:54:03,3036,131,Webcam,Dslr,Baseline,SGD,36,0.00035133006823782995,0.9811,0.0000,0.9618,0.0488,0.0000,0.0000
2019-08-02 09:58:34,3542,153,Webcam,Dslr,Baseline,SGD,36,0.00032154217533559833,0.9849,0.0000,0.9438,0.0488,0.0000,0.0000
2019-08-02 10:03:05,4048,175,Webcam,Dslr,Baseline,SGD,36,0.00029704994052493503,0.9925,0.0000,0.9819,0.0282,0.0000,0.0000
2019-08-02 10:07:37,4554,197,Webcam,Dslr,Baseline,SGD,36,0.0002765101293304244,0.9874,0.0000,0.9819,0.0406,0.0000,0.0000
2019-08-02 10:12:09,5060,219,Webcam,Dslr,Baseline,SGD,36,0.0002590049387470878,0.9899,0.0000,0.9880,0.0407,0.0000,0.0000
2019-08-02 10:16:43,5566,241,Webcam,Dslr,Baseline,SGD,36,0.00024388459514663498,0.9912,0.0000,0.9900,0.0279,0.0000,0.0000
2019-08-02 10:21:14,6072,263,Webcam,Dslr,Baseline,SGD,36,0.00023067536111119182,0.9887,0.0000,0.9819,0.0365,0.0000,0.0000
2019-08-02 10:25:45,6578,285,Webcam,Dslr,Baseline,SGD,36,0.00021902319103009552,0.9962,0.0000,0.9739,0.0178,0.0000,0.0000
2019-08-02 10:30:17,7084,307,Webcam,Dslr,Baseline,SGD,36,0.00020865784118982462,0.9950,0.0000,0.9960,0.0187,0.0000,0.0000
2019-08-02 10:34:48,7590,329,Webcam,Dslr,Baseline,SGD,36,0.00019936923451474182,0.9950,0.0000,0.9880,0.0198,0.0000,0.0000
2019-08-02 10:39:20,8096,351,Webcam,Dslr,Baseline,SGD,36,0.00019099144292232412,0.9937,0.0000,0.9839,0.0261,0.0000,0.0000
2019-08-02 10:43:53,8602,373,Webcam,Dslr,Baseline,SGD,36,0.0001833915579795883,0.9950,0.0000,0.9859,0.0149,0.0000,0.0000
2019-08-02 10:48:26,9108,395,Webcam,Dslr,Baseline,SGD,36,0.0001764617867677969,0.9975,0.0000,0.9799,0.0151,0.0000,0.0000
2019-08-02 10:52:57,9614,417,Webcam,Dslr,Baseline,SGD,36,0.00017011372835960687,0.9887,0.0000,0.9940,0.0387,0.0000,0.0000
