iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
112,7,Webcam,Dslr,DANN,SGD,36,0.001,0.9643,0.0000,0.9839,1.5206,0.0000,0.0697
224,15,Webcam,Dslr,DANN,SGD,36,0.001,0.9702,0.0000,0.9880,1.5165,0.0000,0.0388
336,23,Webcam,Dslr,DANN,SGD,36,0.001,0.9802,0.0000,0.9980,1.4710,0.0000,0.0227
448,31,Webcam,Dslr,DANN,SGD,36,0.001,0.9742,0.0000,0.9980,1.4899,0.0000,0.0269
560,39,Webcam,Dslr,DANN,SGD,36,0.001,0.9821,0.0000,0.9940,1.4600,0.0000,0.0250
672,47,Webcam,Dslr,DANN,SGD,36,0.001,0.9881,0.0000,0.9920,1.4560,0.0000,0.0225
784,55,Webcam,Dslr,DANN,SGD,36,0.001,0.9762,0.0000,0.9980,1.4676,0.0000,0.0155
896,63,Webcam,Dslr,DANN,SGD,36,0.001,0.9841,0.0000,0.9980,1.4643,0.0000,0.0258
1008,71,Webcam,Dslr,DANN,SGD,36,0.001,0.9821,0.0000,0.9920,1.4594,0.0000,0.0292
1120,79,Webcam,Dslr,DANN,SGD,36,0.001,0.9821,0.0000,0.9960,1.4460,0.0000,0.0271
1232,87,Webcam,Dslr,DANN,SGD,36,0.001,0.9901,0.0000,0.9940,1.4451,0.0000,0.0290
1344,95,Webcam,Dslr,DANN,SGD,36,0.001,0.9841,0.0000,0.9920,1.4648,0.0000,0.0321
1456,103,Webcam,Dslr,DANN,SGD,36,0.001,0.9901,0.0000,0.9960,1.4383,0.0000,0.0254
1568,111,Webcam,Dslr,DANN,SGD,36,0.001,0.9901,0.0000,0.9920,1.4471,0.0000,0.0331
1680,119,Webcam,Dslr,DANN,SGD,36,0.001,0.9881,0.0000,0.9960,1.4392,0.0000,0.0213
1792,127,Webcam,Dslr,DANN,SGD,36,0.001,0.9901,0.0000,0.9920,1.4410,0.0000,0.0325
1904,135,Webcam,Dslr,DANN,SGD,36,0.001,1.0000,0.0000,0.9940,1.4104,0.0000,0.0280
2016,143,Webcam,Dslr,DANN,SGD,36,0.001,0.9940,0.0000,0.9940,1.4349,0.0000,0.0268
2128,151,Webcam,Dslr,DANN,SGD,36,0.001,0.9881,0.0000,0.9960,1.4406,0.0000,0.0267
2240,159,Webcam,Dslr,DANN,SGD,36,0.001,0.9881,0.0000,0.9960,1.4530,0.0000,0.0275
2352,167,Webcam,Dslr,DANN,SGD,36,0.001,0.9841,0.0000,0.9940,1.4593,0.0000,0.0284
2464,175,Webcam,Dslr,DANN,SGD,36,0.001,0.9921,0.0000,0.9940,1.4383,0.0000,0.0307
2576,183,Webcam,Dslr,DANN,SGD,36,0.001,0.9980,0.0000,0.9960,1.4151,0.0000,0.0238
2688,191,Webcam,Dslr,DANN,SGD,36,0.001,0.9940,0.0000,0.9940,1.4255,0.0000,0.0266
2800,199,Webcam,Dslr,DANN,SGD,36,0.001,0.9921,0.0000,0.9920,1.4437,0.0000,0.0354
2912,207,Webcam,Dslr,DANN,SGD,36,0.001,0.9901,0.0000,0.9900,1.4293,0.0000,0.0403
3024,215,Webcam,Dslr,DANN,SGD,36,0.001,0.9940,0.0000,0.9940,1.4320,0.0000,0.0290
3136,223,Webcam,Dslr,DANN,SGD,36,0.001,0.9980,0.0000,0.9940,1.4163,0.0000,0.0287
