iter,epoch,source,target,model,optimizer,batch_size,lr,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss
122,0,Art,Clipart,DANN,SGD,36,0.001,0.5164,0.0000,0.3991,3.4069,0.0000,2.5694
244,1,Art,Clipart,DANN,SGD,36,0.001,0.7612,0.0000,0.4039,2.2522,0.0000,2.8474
366,2,Art,Clipart,DANN,SGD,36,0.001,0.8392,0.0000,0.4011,1.9859,0.0000,3.0511
488,3,Art,Clipart,DANN,SGD,36,0.001,0.8618,0.0000,0.3995,1.8932,0.0000,3.0010
610,4,Art,Clipart,DANN,SGD,36,0.001,0.8900,0.0000,0.4133,1.8021,0.0000,2.9988
732,5,Art,Clipart,DANN,SGD,36,0.001,0.9012,0.0000,0.4039,1.7584,0.0000,3.1211
854,6,Art,Clipart,DANN,SGD,36,0.001,0.9156,0.0000,0.3968,1.7206,0.0000,3.2197
976,7,Art,Clipart,DANN,SGD,36,0.001,0.9108,0.0000,0.4041,1.7267,0.0000,3.2698
1098,8,Art,Clipart,DANN,SGD,36,0.001,0.9272,0.0000,0.4018,1.6757,0.0000,3.3261
1220,9,Art,Clipart,DANN,SGD,36,0.001,0.9330,0.0000,0.4044,1.6385,0.0000,3.3241
1342,10,Art,Clipart,DANN,SGD,36,0.001,0.9211,0.0000,0.4108,1.6698,0.0000,3.1605
1464,11,Art,Clipart,DANN,SGD,36,0.001,0.9323,0.0000,0.4126,1.6348,0.0000,3.2440
1586,12,Art,Clipart,DANN,SGD,36,0.001,0.9401,0.0000,0.4147,1.6133,0.0000,3.2693
1708,13,Art,Clipart,DANN,SGD,36,0.001,0.9412,0.0000,0.4135,1.6129,0.0000,3.1759
1830,14,Art,Clipart,DANN,SGD,36,0.001,0.9458,0.0000,0.4030,1.5941,0.0000,3.2704
1952,15,Art,Clipart,DANN,SGD,36,0.001,0.9492,0.0000,0.4094,1.5814,0.0000,3.2008
2074,16,Art,Clipart,DANN,SGD,36,0.001,0.9439,0.0000,0.4002,1.5922,0.0000,3.3738
2196,17,Art,Clipart,DANN,SGD,36,0.001,0.9476,0.0000,0.4163,1.5844,0.0000,3.1312
2318,18,Art,Clipart,DANN,SGD,36,0.001,0.9581,0.0000,0.4094,1.5517,0.0000,3.2247
2440,19,Art,Clipart,DANN,SGD,36,0.001,0.9517,0.0000,0.4153,1.5625,0.0000,3.1835
